timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,40.01,40.28,39.29,39.44,39.44,3483449,0.0000,1.0
2023-02-07,40.32,40.765,39.955,40.28,40.28,2547436,0.0000,1.0
2023-02-06,41.09,41.2,40.42,40.54,40.54,2478540,0.0000,1.0
2023-02-03,41.23,41.87,41.195,41.36,41.36,2650309,0.0000,1.0
2023-02-02,41.25,41.605,40.825,41.53,41.53,4356077,0.0000,1.0
2023-02-01,41.3,41.5,40.38,40.85,40.85,6862330,0.0000,1.0
2023-01-31,39.66,41.89,39.4,41.82,41.82,10851215,0.0000,1.0
2023-01-30,37.8,38.38,37.77,37.79,37.79,4174455,0.0000,1.0
2023-01-27,37.29,38.26,37.18,38.11,38.11,3282390,0.0000,1.0
2023-01-26,36.4,37.27,36.33,37.23,37.23,2552907,0.0000,1.0
2023-01-25,36.47,36.68,35.8,36.32,36.32,2998254,0.0000,1.0
2023-01-24,37.47,37.51,36.58,36.75,36.75,2241357,0.0000,1.0
2023-01-23,37.59,37.88,37.2,37.47,37.47,2058501,0.0000,1.0
2023-01-20,36.51,37.53,36.5,37.53,37.53,2445153,0.0000,1.0
2023-01-19,36.53,36.87,35.92,36.63,36.63,2299624,0.0000,1.0
2023-01-18,37.64,37.81,36.86,36.91,36.91,2138934,0.0000,1.0
2023-01-17,38.25,38.36,37.525,37.54,37.54,2165484,0.0000,1.0
2023-01-13,37.51,38.41,37.38,38.25,38.25,3447164,0.0000,1.0
2023-01-12,37.8,38.1,37.37,37.82,37.82,2315065,0.0000,1.0
2023-01-11,37.93,38.06,37.46,37.61,37.61,3533797,0.0000,1.0
2023-01-10,36.96,37.66,36.42,37.62,37.62,3299536,0.0000,1.0
2023-01-09,36.68,37.67,36.68,37.01,37.01,2951278,0.0000,1.0
2023-01-06,36.58,36.9,36.35,36.64,36.64,2167324,0.0000,1.0
2023-01-05,36.48,36.57,35.9,36.2,36.2,3407283,0.0000,1.0
2023-01-04,35.76,36.86,35.65,36.83,36.83,4592456,0.0000,1.0
2023-01-03,34.76,35.51,34.71,35.41,35.41,3692623,0.0000,1.0
2022-12-30,34.5,34.76,34.24,34.63,34.63,2016804,0.0000,1.0
2022-12-29,34.51,35.03,34.44,34.77,34.77,1751169,0.0000,1.0
2022-12-28,34.7,35.1,34.15,34.36,34.36,2312631,0.0000,1.0
