timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,54.4,54.65,54.05,54.25,54.25,1241436,0.0000,1.0
2023-02-07,54.67,55.06,53.985,54.67,54.67,975613,0.0000,1.0
2023-02-06,55.04,55.23,54.65,54.95,54.95,1380091,0.0000,1.0
2023-02-03,55.86,55.95,54.725,55.53,55.53,1524350,0.0000,1.0
2023-02-02,56.14,57.21,56.03,56.63,56.63,1635267,0.0000,1.0
2023-02-01,54.25,55.68,53.9,55.59,55.59,1869119,0.0000,1.0
2023-01-31,54.6,55.03,54.215,54.58,54.58,7025460,0.0000,1.0
2023-01-30,54.76,55.12,54.11,54.46,54.46,2030243,0.0000,1.0
2023-01-27,53.64,55.13,53.41,55.07,55.07,1681329,0.0000,1.0
2023-01-26,53.0,53.67,52.73,53.63,53.63,1176666,0.0000,1.0
2023-01-25,51.63,52.605,51.32,52.54,52.54,1758031,0.0000,1.0
2023-01-24,52.17,52.38,51.22,52.15,52.15,939641,0.0000,1.0
2023-01-23,51.75,52.39,51.4617,52.24,52.24,983584,0.0000,1.0
2023-01-20,51.03,51.85,50.33,51.82,51.82,1336097,0.0000,1.0
2023-01-19,51.8,52.11,51.08,51.1,51.1,1122454,0.0000,1.0
2023-01-18,52.52,53.05,51.82,52.07,52.07,1427772,0.0000,1.0
2023-01-17,52.62,53.26,52.0178,52.32,52.32,1361095,0.0000,1.0
2023-01-13,51.34,52.75,51.13,52.63,52.63,1212280,0.0000,1.0
2023-01-12,51.76,52.29,51.39,52.15,52.15,1071973,0.0000,1.0
2023-01-11,50.58,51.56,50.51,51.53,51.53,1487291,0.0000,1.0
2023-01-10,50.25,50.265,48.95,50.16,50.16,1785034,0.0000,1.0
2023-01-09,50.8,51.1,50.335,50.46,50.46,1367356,0.0000,1.0
2023-01-06,49.67,50.875,49.45,50.69,50.69,1369507,0.0000,1.0
2023-01-05,50.32,50.46,48.92,48.95,48.95,1359919,0.0000,1.0
2023-01-04,50.13,51.15,50.03,50.88,50.88,1579458,0.0000,1.0
2023-01-03,50.27,50.675,49.24,49.67,49.67,1110482,0.0000,1.0
2022-12-30,49.89,50.11,49.3,49.85,49.85,953131,0.0000,1.0
2022-12-29,49.49,50.2,49.22,50.13,50.13,927279,0.0000,1.0
2022-12-28,50.71,50.75,48.985,49.0,49.0,1013257,0.0000,1.0
2022-12-27,50.7,50.78,50.0692,50.7,50.7,750148,0.0000,1.0
2022-12-23,50.66,50.82,50.28,50.63,50.63,852457,0.0000,1.0
2022-12-22,50.29,51.0,49.645,50.68,50.68,1429281,0.0000,1.0
2022-12-21,50.63,51.035,50.4,50.71,50.71,1092995,0.0000,1.0
2022-12-20,49.77,50.26,49.1,50.11,50.11,1231074,0.0000,1.0
2022-12-19,51.55,51.97,49.85,50.21,50.21,1452571,0.0000,1.0
2022-12-16,53.41,53.645,51.02,51.61,51.61,2969287,0.0000,1.0
2022-12-15,54.24,54.67,53.66,54.32,54.32,1367976,0.0000,1.0
2022-12-14,55.15,56.01,54.75,54.96,54.96,1209636,0.6185,1.0
2022-12-13,56.0,56.62,54.97,55.54,54.9219284435528,2186769,0.0000,1.0
2022-12-12,54.71,54.9,54.0675,54.83,54.2198296103709,1248154,0.0000,1.0
2022-12-09,54.6,54.9899,54.34,54.41,53.804503540038,1092586,0.0000,1.0
2022-12-08,54.44,55.31,54.26,54.61,54.0022778592441,881573,0.0000,1.0
2022-12-07,54.69,55.43,54.26,54.43,53.8242809719586,1139677,0.0000,1.0
2022-12-06,55.16,55.19,54.21,54.67,54.061610155006,1254788,0.0000,1.0
2022-12-05,54.49,55.15,54.3262,54.99,54.3780490657359,1450586,0.0000,1.0
2022-12-02,54.13,55.06,53.75,55.06,54.447270077458,975678,0.0000,1.0
2022-12-01,54.97,55.58,54.285,54.78,54.1703860305694,1392308,0.0000,1.0
2022-11-30,53.64,54.615,53.62,54.33,53.7253938123555,2809994,0.0000,1.0
2022-11-29,53.48,54.0,53.03,53.86,53.260624162221,1658214,0.0000,1.0
2022-11-28,53.07,53.375,52.895,53.27,52.6771899205628,1162451,0.0000,1.0
2022-11-25,53.69,53.95,53.23,53.56,52.9639626834118,535371,0.0000,1.0
2022-11-23,53.01,53.52,52.73,53.41,52.8156319440071,657393,0.0000,1.0
2022-11-22,52.79,52.99,52.5067,52.96,52.3706397257933,1032895,0.0000,1.0
2022-11-21,52.03,52.69,51.8896,52.57,51.9849798033412,1052925,0.0000,1.0
2022-11-18,52.0,52.55,51.63,52.3,51.7179844724129,929777,0.0000,1.0
