timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,121.59,122.67,120.35,121.4,121.4,718216,0.0000,1.0
2023-02-07,124.93,127.285,118.4,122.57,122.57,1216721,0.0000,1.0
2023-02-06,125.6,126.05,124.6,124.92,124.92,1086800,0.0000,1.0
2023-02-03,125.0,126.02,124.19,125.55,125.55,1559535,0.0000,1.0
2023-02-02,125.69,125.99,123.89,125.4,125.4,938842,0.0000,1.0
2023-02-01,123.43,125.79,122.5559,125.16,125.16,1647894,0.0000,1.0
2023-01-31,121.25,123.67,120.55,123.55,123.55,459612,0.0000,1.0
2023-01-30,121.2,122.82,120.97,121.0,121.0,422845,0.0000,1.0
2023-01-27,122.23,123.02,121.485,121.91,121.91,371977,0.0000,1.0
2023-01-26,123.24,123.5,120.96,122.72,122.72,628635,0.0000,1.0
2023-01-25,120.16,122.97,118.85,121.9,121.9,845157,0.0000,1.0
2023-01-24,120.9,122.06,119.59,121.35,121.35,608743,0.0000,1.0
2023-01-23,120.77,121.45,119.67,120.71,120.71,776744,0.0000,1.0
2023-01-20,119.38,120.51,118.225,120.06,120.06,672903,0.0000,1.0
2023-01-19,121.27,121.4,118.41,118.65,118.65,486285,0.0000,1.0
2023-01-18,124.5,125.775,121.445,121.99,121.99,544645,0.0000,1.0
2023-01-17,125.95,127.0,123.89,124.45,124.45,457639,0.0000,1.0
2023-01-13,125.28,126.5572,124.92,126.01,126.01,494375,0.0000,1.0
2023-01-12,128.52,128.8,127.63,127.82,127.82,455496,0.0000,1.0
2023-01-11,128.53,129.84,127.6806,128.0,128.0,550463,0.0000,1.0
2023-01-10,125.01,127.51,124.08,127.5,127.5,579120,0.0000,1.0
2023-01-09,128.91,129.49,125.69,125.78,125.78,545669,0.0000,1.0
2023-01-06,126.4,129.5,125.97,128.51,128.51,425490,0.0000,1.0
2023-01-05,125.21,125.76,123.4,123.61,123.61,641417,0.0000,1.0
2023-01-04,122.18,126.22,121.7,126.01,126.01,786368,0.0000,1.0
2023-01-03,120.51,121.42,119.21,121.29,121.29,451743,0.0000,1.0
