timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,199.6,199.95,196.79,197.73,197.73,614229,0.0000,1.0
2023-02-07,197.82,200.27,196.15,199.9,199.9,615888,0.0000,1.0
2023-02-06,196.46,197.985,195.735,197.08,197.08,530793,0.0000,1.0
2023-02-03,194.51,198.51,192.53,197.89,197.89,745990,0.0000,1.0
2023-02-02,197.21,200.64,196.11,197.35,197.35,813828,0.0000,1.0
2023-02-01,189.91,197.19,188.1,195.96,195.96,991739,0.0000,1.0
2023-01-31,185.8,189.17,185.4,189.05,189.05,689439,0.0000,1.0
2023-01-30,190.2,190.51,185.55,185.79,185.79,582803,0.0000,1.0
2023-01-27,187.47,194.28,187.47,191.61,191.61,702756,0.0000,1.0
2023-01-26,190.02,190.18,183.67,188.72,188.72,525453,0.0000,1.0
2023-01-25,190.04,190.26,186.75,188.61,188.61,655870,0.0000,1.0
2023-01-24,193.05,196.0,190.11,191.88,191.88,759359,0.0000,1.0
2023-01-23,189.21,195.895,188.23,193.62,193.62,863865,0.0000,1.0
2023-01-20,186.68,189.52,184.36,189.1,189.1,878269,0.0000,1.0
2023-01-19,183.69,189.28,182.64,184.83,184.83,1747570,0.0000,1.0
2023-01-18,177.0,187.11,177.0,185.02,185.02,2156078,0.0000,1.0
2023-01-17,177.08,178.01,175.39,176.29,176.29,1205490,0.0000,1.0
2023-01-13,176.96,177.6689,175.07,176.8,176.8,562279,0.0000,1.0
2023-01-12,180.75,181.5,177.2,179.65,179.65,577864,0.0000,1.0
2023-01-11,176.7,181.13,175.79,180.68,180.68,688614,0.0000,1.0
2023-01-10,177.64,177.885,174.57,175.38,175.38,444949,0.0000,1.0
2023-01-09,173.87,180.78,173.87,177.64,177.64,648799,0.0000,1.0
2023-01-06,169.91,176.58,169.89,176.04,176.04,765473,0.0000,1.0
2023-01-05,172.27,172.515,168.25,169.2,169.2,1032960,0.0000,1.0
2023-01-04,170.89,176.77,169.72,174.98,174.98,801635,0.0000,1.0
2023-01-03,175.66,175.78,170.6,172.6,172.6,578661,0.0000,1.0
2022-12-30,175.85,176.27,172.05,174.36,174.36,459009,0.0000,1.0
2022-12-29,175.12,178.605,174.78,176.77,176.77,362402,0.0000,1.0
2022-12-28,178.39,179.28,174.35,174.46,174.46,240204,0.0000,1.0
2022-12-27,177.85,178.96,175.05,178.22,178.22,354367,0.0000,1.0
2022-12-23,176.61,177.755,175.08,177.36,177.36,371787,0.0000,1.0
2022-12-22,176.26,177.11,173.18,176.44,176.44,443414,0.0000,1.0
2022-12-21,178.41,179.99,175.75,177.97,177.97,436523,0.0000,1.0
2022-12-20,178.77,178.86,174.79,176.01,176.01,743254,0.0000,1.0
2022-12-19,179.26,181.6,178.27,179.53,179.53,830022,0.0000,1.0
2022-12-16,178.98,181.01,177.91,178.65,178.65,1118131,0.0000,1.0
2022-12-15,184.84,185.64,180.55,181.37,181.37,514025,0.0000,1.0
2022-12-14,184.8,189.8,184.8,187.27,187.27,840641,0.0000,1.0
2022-12-13,194.73,195.45,182.705,184.25,184.25,1068521,0.0000,1.0
2022-12-12,178.84,187.145,178.65,186.91,186.91,1072597,0.0000,1.0
2022-12-09,177.46,179.7,176.9,177.98,177.98,628730,0.0000,1.0
2022-12-08,176.41,179.25,175.53,177.91,177.91,463275,0.0000,1.0
2022-12-07,177.63,178.4,175.89,176.3,176.3,452940,0.0000,1.0
2022-12-06,176.84,178.52,175.585,177.69,177.69,643603,0.0000,1.0
2022-12-05,181.14,181.43,177.28,177.64,177.64,596220,0.0000,1.0
2022-12-02,180.33,183.73,178.9,182.88,182.88,400419,0.0000,1.0
2022-12-01,183.78,184.51,180.53,182.81,182.81,493503,0.0000,1.0
2022-11-30,179.37,184.98,176.57,183.89,183.89,1048665,0.0000,1.0
2022-11-29,176.7,180.21,176.0,179.83,179.83,581250,0.0000,1.0
2022-11-28,181.77,183.97,175.52,176.2,176.2,647514,0.0000,1.0
2022-11-25,181.4,182.705,178.92,182.6,182.6,254775,0.0000,1.0
2022-11-23,176.88,181.45,176.88,180.36,180.36,530752,0.0000,1.0
2022-11-22,182.71,182.885,176.365,176.88,176.88,1381189,0.0000,1.0
2022-11-21,180.5,181.99,178.22,181.72,181.72,644504,0.0000,1.0
2022-11-18,181.53,181.73,175.98,180.25,180.25,615878,0.0000,1.0
2022-11-17,177.8,179.47,172.21,179.27,179.27,701682,0.0000,1.0
2022-11-16,187.76,187.76,178.94,180.41,180.41,1219969,0.0000,1.0
2022-11-15,190.0,190.725,186.02,189.17,189.17,631191,0.0000,1.0
