timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,64.02,65.15,63.5,65.06,65.06,3452144,0.0000,1.0
2023-02-07,65.34,65.485,63.7,64.52,64.52,3587941,0.0000,1.0
2023-02-06,65.22,66.32,64.795,65.82,65.82,3836860,0.0000,1.0
2023-02-03,64.03,65.91,63.85,65.72,65.72,4821687,0.0000,1.0
2023-02-02,66.25,66.36,64.515,64.57,64.57,6505940,0.0000,1.0
2023-02-01,66.25,66.99,64.37,66.36,66.36,8301896,0.0000,1.0
2023-01-31,68.56,69.6,68.42,69.57,69.57,4920105,0.0000,1.0
2023-01-30,68.34,68.98,68.24,68.26,68.26,2870355,0.0000,1.0
2023-01-27,68.68,69.3,68.38,68.85,68.85,2865422,0.0000,1.0
2023-01-26,68.48,68.86,67.75,68.82,68.82,3046852,0.0000,1.0
2023-01-25,67.45,68.32,66.94,68.1,68.1,2438037,0.0000,1.0
2023-01-24,66.37,68.395,66.28,68.06,68.06,2498408,0.0000,1.0
2023-01-23,66.26,66.95,65.775,66.73,66.73,3013412,0.0000,1.0
2023-01-20,65.34,66.115,65.005,66.05,66.05,2998896,0.0000,1.0
2023-01-19,65.96,66.25,64.69,64.83,64.83,3444734,0.0000,1.0
2023-01-18,68.0,68.13,66.07,66.16,66.16,4103228,0.0000,1.0
2023-01-17,68.86,69.15,67.32,67.77,67.77,4216926,0.0000,1.0
2023-01-13,67.85,69.07,67.82,68.83,68.83,2388826,0.0000,1.0
2023-01-12,68.01,68.529,67.26,68.38,68.38,3177822,0.0000,1.0
2023-01-11,67.89,68.025,67.36,67.59,67.59,3079952,0.0000,1.0
2023-01-10,66.25,67.37,66.0389,67.31,67.31,2089122,0.0000,1.0
2023-01-09,67.44,68.25,66.725,66.78,66.78,3698011,0.0000,1.0
2023-01-06,65.87,67.45,65.315,67.15,67.15,2246906,0.0000,1.0
2023-01-05,65.55,65.835,64.735,65.03,65.03,2539089,0.0000,1.0
2023-01-04,65.45,66.08,64.96,65.8,65.8,2469516,0.0000,1.0
2023-01-03,64.9,65.54,64.02,64.74,64.74,2095107,0.0000,1.0
2022-12-30,63.92,64.16,63.31,64.0,64.0,1594321,0.0000,1.0
2022-12-29,63.74,64.88,63.74,64.46,64.46,1625589,0.0000,1.0
2022-12-28,64.48,64.57,63.22,63.22,63.22,1275648,0.0000,1.0
2022-12-27,64.18,64.745,63.84,64.3,64.3,1162938,0.0000,1.0
2022-12-23,64.08,64.335,63.43,64.1,64.1,1568394,0.0000,1.0
2022-12-22,63.94,64.14,63.02,64.13,64.13,3798827,0.0000,1.0
2022-12-21,63.85,64.76,63.72,64.62,64.62,3262475,0.0000,1.0
2022-12-20,63.47,63.83,63.15,63.25,63.25,3896728,0.0000,1.0
2022-12-19,63.49,64.4,62.98,63.46,63.46,3681188,0.0000,1.0
2022-12-16,63.88,64.2,62.95,63.35,63.35,7851049,0.3500,1.0
2022-12-15,65.41,65.66,64.27,64.82,64.4638461538461,3396264,0.0000,1.0
2022-12-14,66.83,67.27,65.985,66.55,66.1843406593406,4725273,0.0000,1.0
2022-12-13,67.83,67.99,65.755,66.58,66.2141758241758,5130450,0.0000,1.0
2022-12-12,64.89,65.68,64.53,65.64,65.2793406593406,3463928,0.0000,1.0
2022-12-09,66.7,67.01,65.64,65.77,65.4086263736264,3316102,0.0000,1.0
2022-12-08,66.57,66.91,66.27,66.77,66.4031318681319,2027846,0.0000,1.0
2022-12-07,65.95,67.08,65.69,66.39,66.0252197802198,2842615,0.0000,1.0
2022-12-06,67.18,67.36,65.52,66.1,65.7368131868132,2459247,0.0000,1.0
2022-12-05,67.28,67.52,66.38,67.21,66.8407142857143,3201076,0.0000,1.0
2022-12-02,66.42,68.65,66.195,68.12,67.7457142857143,3895186,0.0000,1.0
2022-12-01,67.49,67.92,66.34,66.9,66.5324175824176,3694968,0.0000,1.0
2022-11-30,65.26,66.69,64.64,66.44,66.074945054945,7976148,0.0000,1.0
2022-11-29,65.6,65.97,65.29,65.4,65.0406593406593,2644841,0.0000,1.0
2022-11-28,66.24,66.7,65.25,65.84,65.4782417582418,3240295,0.0000,1.0
2022-11-25,67.12,67.31,66.72,66.85,66.4826923076923,1430975,0.0000,1.0
2022-11-23,67.64,68.03,66.85,66.95,66.5821428571429,2447715,0.0000,1.0
2022-11-22,67.24,67.755,66.755,67.58,67.2086813186813,3552751,0.0000,1.0
2022-11-21,66.78,67.23,66.43,66.65,66.2837912087912,2834244,0.0000,1.0
2022-11-18,67.0,67.4,66.22,66.98,66.611978021978,3739230,0.0000,1.0
2022-11-17,64.65,65.82,64.59,65.77,65.4086263736264,3091817,0.0000,1.0
2022-11-16,66.27,66.56,65.45,65.82,65.4583516483516,4981047,0.0000,1.0
2022-11-15,66.53,67.6,65.945,66.4,66.0351648351648,5120228,0.0000,1.0
2022-11-14,66.07,66.37,65.435,65.58,65.2196703296703,4858804,0.0000,1.0
2022-11-11,66.46,67.61,66.2,66.39,66.0252197802198,4611338,0.0000,1.0
2022-11-10,66.42,66.82,65.62,66.66,66.2937362637362,4164746,0.0000,1.0
2022-11-09,64.33,65.11,63.8,63.85,63.4991758241758,3356539,0.0000,1.0
2022-11-08,64.38,65.255,63.89,64.88,64.5235164835165,5341620,0.0000,1.0
2022-11-07,63.81,64.25,63.05,64.13,63.7776373626373,5160624,0.0000,1.0
2022-11-04,62.63,64.24,61.44,63.81,63.4593956043956,6783193,0.0000,1.0
2022-11-03,59.0,60.875,58.16,60.39,60.0581868131868,7940229,0.0000,1.0
2022-11-02,57.72,59.6842,57.11,57.11,56.7962087912088,7185692,0.0000,1.0
2022-11-01,58.63,58.75,57.545,58.0,57.6813186813187,3606767,0.0000,1.0
2022-10-31,58.19,59.015,57.79,57.84,57.5221978021978,5097787,0.0000,1.0
