timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,167.0,169.5,163.56,164.54,164.54,1609057,0.0000,1.0
2023-02-07,176.58,182.25,176.58,181.46,181.46,519844,0.0000,1.0
2023-02-06,179.78,180.5445,177.43,177.69,177.69,445529,0.0000,1.0
2023-02-03,180.66,181.22,177.9325,180.7,180.7,445372,0.0000,1.0
2023-02-02,181.48,184.185,180.87,182.47,182.47,464764,0.0000,1.0
2023-02-01,179.38,182.175,178.46,181.16,181.16,476677,0.0000,1.0
2023-01-31,179.19,180.76,178.62,180.09,180.09,363744,0.0000,1.0
2023-01-30,180.01,180.73,178.74,179.08,179.08,311239,0.0000,1.0
2023-01-27,180.84,181.57,179.93,180.51,180.51,322369,0.0000,1.0
2023-01-26,179.46,181.91,177.69,181.31,181.31,378516,0.0000,1.0
2023-01-25,177.53,179.43,174.26,178.92,178.92,335106,0.0000,1.0
2023-01-24,180.78,182.85,178.25,178.43,178.43,342743,0.0000,1.0
2023-01-23,178.86,182.23,178.65,180.46,180.46,298775,0.0000,1.0
2023-01-20,177.7,179.09,176.17,178.86,178.86,457514,0.0000,1.0
2023-01-19,179.31,179.7091,176.66,176.84,176.84,440830,0.0000,1.0
2023-01-18,182.07,182.64,179.7,180.05,180.05,338704,0.0000,1.0
2023-01-17,182.24,183.634,181.42,181.79,181.79,538653,0.0000,1.0
2023-01-13,181.32,182.32,179.18,181.76,181.76,329518,0.0000,1.0
2023-01-12,180.71,182.3,179.45,181.59,181.59,291595,0.0000,1.0
2023-01-11,180.32,181.555,179.715,181.1,181.1,364390,0.0000,1.0
2023-01-10,177.46,178.37,176.32,178.37,178.37,254385,0.0000,1.0
2023-01-09,177.75,179.97,177.36,178.2,178.2,548500,0.0000,1.0
2023-01-06,175.41,179.19,174.2901,178.3,178.3,248898,0.0000,1.0
2023-01-05,176.68,176.94,173.44,173.78,173.78,349718,0.0000,1.0
2023-01-04,177.49,178.93,175.9,177.19,177.19,394229,0.0000,1.0
2023-01-03,176.83,177.78,174.72,176.1,176.1,323343,0.0000,1.0
2022-12-30,176.52,176.75,173.8175,175.56,175.56,358091,0.0000,1.0
2022-12-29,177.42,179.06,177.02,177.49,177.49,324321,0.0000,1.0
2022-12-28,179.08,180.375,176.57,176.64,176.64,253265,0.0000,1.0
2022-12-27,177.67,179.46,176.48,178.9,178.9,294493,0.0000,1.0
2022-12-23,176.64,177.56,175.98,177.34,177.34,232480,0.0000,1.0
2022-12-22,177.1,177.39,174.12,176.67,176.67,279916,0.0000,1.0
2022-12-21,176.73,178.8949,176.06,178.29,178.29,377025,0.0000,1.0
2022-12-20,174.68,176.8,173.815,176.47,176.47,405144,0.0000,1.0
2022-12-19,174.7,178.755,174.7,175.37,175.37,552208,0.0000,1.0
2022-12-16,176.47,179.14,175.7,177.55,177.55,1442902,0.0000,1.0
2022-12-15,179.36,180.98,176.74,177.93,177.93,542017,0.0000,1.0
2022-12-14,183.42,185.23,179.25,180.59,180.59,520015,0.0000,1.0
2022-12-13,187.06,187.225,180.74,183.08,183.08,480168,0.0000,1.0
2022-12-12,182.03,183.26,181.22,182.89,182.89,371706,0.0000,1.0
2022-12-09,184.41,184.945,181.25,181.54,181.54,580310,0.0000,1.0
2022-12-08,184.69,185.58,183.1,184.92,184.92,363016,0.0000,1.0
2022-12-07,183.96,186.055,183.0,184.78,184.78,377576,0.0000,1.0
2022-12-06,188.5,188.61,182.69,183.49,183.49,445907,0.0000,1.0
2022-12-05,190.73,190.855,188.49,188.93,188.93,387959,0.0000,1.0
2022-12-02,188.5,192.33,188.29,191.6,191.6,489981,0.0000,1.0
2022-12-01,189.75,191.61,188.27,190.73,190.73,531757,0.0000,1.0
2022-11-30,185.33,190.36,185.16,189.35,189.35,837628,0.4900,1.0
2022-11-29,188.71,189.64,183.875,185.9,185.420169616519,481568,0.0000,1.0
2022-11-28,190.07,192.35,188.31,188.8,188.312684365782,402455,0.0000,1.0
2022-11-25,190.31,191.76,190.29,191.42,190.925921828909,196633,0.0000,1.0
2022-11-23,189.34,190.52,187.85,190.06,189.569432153392,317505,0.0000,1.0
2022-11-22,189.02,190.655,186.54,188.94,188.45232300885,508640,0.0000,1.0
2022-11-21,187.65,190.57,187.315,188.81,188.322658554572,792902,0.0000,1.0
2022-11-18,185.06,187.75,184.71,186.96,186.477433628319,730224,0.0000,1.0
2022-11-17,179.04,183.42,179.04,183.1,182.627396755162,641487,0.0000,1.0
2022-11-16,182.08,184.03,180.51,180.64,180.173746312684,500897,0.0000,1.0
2022-11-15,178.79,181.3,176.59,181.2,180.732300884956,575863,0.0000,1.0
2022-11-14,175.26,180.37,173.59,177.43,176.972031710914,573869,0.0000,1.0
2022-11-11,175.28,177.8633,172.65,174.49,174.03962020649,713189,0.0000,1.0
2022-11-10,177.65,181.25,173.96,175.75,175.2963679941,1009830,0.0000,1.0
2022-11-09,169.3,177.735,167.51,172.52,172.074705014749,1132679,0.0000,1.0
2022-11-08,182.39,184.145,179.16,180.94,180.472971976401,721755,0.0000,1.0
2022-11-07,181.24,182.62,180.19,181.85,181.380623156342,645464,0.0000,1.0
2022-11-04,180.99,182.01,177.27,180.46,179.994210914454,626491,0.0000,1.0
2022-11-03,188.98,189.55,179.27,179.62,179.156379056047,763570,0.0000,1.0
2022-11-02,199.76,199.96,190.24,190.64,190.147935103245,890086,0.0000,1.0
2022-11-01,199.65,201.7,199.27,201.24,200.720575221239,435448,0.0000,1.0
2022-10-31,200.6,202.175,198.66,199.06,198.546202064897,483007,0.0000,1.0
2022-10-28,197.34,202.66,197.32,201.73,201.209310471976,408097,0.0000,1.0
2022-10-27,193.46,197.27,192.05,196.34,195.833222713864,669325,0.0000,1.0
2022-10-26,193.09,194.64,191.28,193.25,192.751198377581,457877,0.0000,1.0
2022-10-25,191.99,193.05,189.7644,192.67,192.172695427729,366469,0.0000,1.0
2022-10-24,188.39,189.62,186.67,189.14,188.651806784661,376241,0.0000,1.0
