timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,31.07,31.42,30.94,31.06,31.06,2299505,0.0000,1.0
2023-02-07,30.74,31.25,30.535,31.22,31.22,3499821,0.0000,1.0
2023-02-06,30.58,31.085,30.55,30.8,30.8,5089620,0.0000,1.0
2023-02-03,31.24,31.2419,30.55,30.73,30.73,7508723,0.0000,1.0
2023-02-02,31.3,31.69,30.905,31.45,31.45,6784856,0.0000,1.0
2023-02-01,30.36,31.04,29.69,30.99,30.99,11328007,0.0000,1.0
2023-01-31,32.0,32.33,31.67,32.3,32.3,7324628,0.0000,1.0
2023-01-30,31.85,32.175,31.6,32.13,32.13,5230195,0.0000,1.0
2023-01-27,32.13,32.305,31.97,32.01,32.01,3202581,0.0000,1.0
2023-01-26,32.17,32.42,31.905,32.32,32.32,1932392,0.0000,1.0
2023-01-25,31.75,32.11,31.575,31.98,31.98,2678598,0.0000,1.0
2023-01-24,31.54,32.305,31.34,32.01,32.01,3294210,0.0000,1.0
2023-01-23,31.64,32.0,31.55,31.85,31.85,2257308,0.0000,1.0
2023-01-20,31.36,31.5,30.42,31.46,31.46,4397688,0.0000,1.0
2023-01-19,31.94,32.06,31.44,31.45,31.45,4344865,0.0000,1.0
2023-01-18,32.28,33.045,32.03,32.06,32.06,4580416,0.0000,1.0
2023-01-17,31.92,32.34,31.92,32.12,32.12,3955307,0.0000,1.0
2023-01-13,31.36,32.11,31.35,31.94,31.94,2291318,0.0000,1.0
2023-01-12,32.13,32.19,31.605,31.69,31.69,2318547,0.0000,1.0
2023-01-11,31.86,32.345,31.8,32.16,32.16,2162856,0.0000,1.0
2023-01-10,31.85,32.01,31.68,31.83,31.83,1836581,0.0000,1.0
2023-01-09,32.01,32.3,31.775,31.83,31.83,3330326,0.0000,1.0
2023-01-06,31.48,32.06,31.28,31.95,31.95,2018478,0.0000,1.0
2023-01-05,31.75,31.8,31.14,31.17,31.17,3047280,0.0000,1.0
2023-01-04,32.76,33.085,31.435,31.83,31.83,5179746,0.0000,1.0
2023-01-03,32.24,32.745,32.03,32.53,32.53,3062386,0.0000,1.0
2022-12-30,31.79,32.0,31.7,31.96,31.96,1755925,0.0000,1.0
2022-12-29,31.5,32.04,31.5,32.03,32.03,2126227,0.0000,1.0
2022-12-28,31.82,31.875,31.31,31.36,31.36,1426296,0.0000,1.0
2022-12-27,31.74,31.83,31.505,31.78,31.78,1644895,0.0000,1.0
2022-12-23,31.41,31.69,31.2,31.67,31.67,2017514,0.0000,1.0
2022-12-22,31.51,31.51,30.99,31.39,31.39,2537237,0.0000,1.0
2022-12-21,32.0,32.07,31.68,31.75,31.75,2232559,0.0000,1.0
2022-12-20,31.65,31.97,31.64,31.78,31.78,2744792,0.0000,1.0
2022-12-19,31.68,32.045,31.52,31.67,31.67,3566784,0.0000,1.0
2022-12-16,31.8,31.97,31.475,31.78,31.78,8252384,0.0000,1.0
2022-12-15,32.72,32.795,32.045,32.29,32.29,3410743,0.0000,1.0
2022-12-14,33.1,33.545,32.78,33.08,33.08,2660981,0.0000,1.0
2022-12-13,33.9,33.95,32.67,33.13,33.13,3775795,0.0000,1.0
2022-12-12,32.37,33.08,32.28,33.05,33.05,2729822,0.0000,1.0
2022-12-09,32.46,32.575,32.22,32.38,32.38,3041588,0.0000,1.0
2022-12-08,32.46,32.68,32.22,32.45,32.45,2779262,0.0000,1.0
2022-12-07,31.98,32.14,31.74,31.97,31.97,2790484,0.0000,1.0
2022-12-06,32.52,32.62,31.835,32.15,32.15,2344218,0.0000,1.0
2022-12-05,32.59,32.59,32.28,32.53,32.53,1738350,0.0000,1.0
2022-12-02,32.57,32.95,32.245,32.86,32.86,2677454,0.0000,1.0
2022-12-01,33.27,33.27,32.78,32.92,32.92,4020223,0.0000,1.0
2022-11-30,31.58,33.27,31.49,33.24,33.24,7437390,0.2100,1.0
2022-11-29,31.94,32.23,31.71,31.87,31.6699192825112,3379459,0.0000,1.0
2022-11-28,31.77,31.95,31.56,31.91,31.709668161435,2805885,0.0000,1.0
2022-11-25,32.01,32.15,31.93,32.02,31.8189775784753,1287791,0.0000,1.0
2022-11-23,32.21,32.38,31.62,31.73,31.530798206278,3336530,0.0000,1.0
2022-11-22,32.0,32.35,31.985,32.24,32.0375964125561,3348374,0.0000,1.0
2022-11-21,31.44,31.94,31.2801,31.87,31.6699192825112,4372706,0.0000,1.0
2022-11-18,30.96,31.705,30.81,31.57,31.371802690583,5046640,0.0000,1.0
2022-11-17,29.52,30.66,29.5,30.51,30.3184573991031,3585065,0.0000,1.0
2022-11-16,30.3,30.3,29.91,29.93,29.7420986547085,2795870,0.0000,1.0
2022-11-15,30.57,30.81,30.26,30.46,30.2687713004484,2722820,0.0000,1.0
2022-11-14,30.37,30.91,30.22,30.24,30.0501524663677,2492909,0.0000,1.0
2022-11-11,30.66,30.66,30.19,30.5,30.3085201793722,2184221,0.0000,1.0
2022-11-10,29.98,30.51,29.74,30.51,30.3184573991031,3390328,0.0000,1.0
2022-11-09,29.78,29.84,28.83,28.94,28.7583139013453,3680098,0.0000,1.0
2022-11-08,29.95,30.44,29.6784,30.04,29.8514080717489,4791732,0.0000,1.0
2022-11-07,30.26,30.36,29.72,29.82,29.6327892376682,3553944,0.0000,1.0
2022-11-04,30.29,30.65,29.62,30.12,29.9309058295964,3757928,0.0000,1.0
2022-11-03,29.75,30.025,29.54,29.84,29.65266367713,2492021,0.0000,1.0
2022-11-02,30.83,31.29,30.1,30.11,29.9209686098655,4906614,0.0000,1.0
2022-11-01,30.84,31.09,30.485,30.91,30.7159461883408,3188843,0.0000,1.0
2022-10-31,30.66,30.8,30.36,30.6,30.4078923766816,3189026,0.0000,1.0
2022-10-28,30.43,30.86,30.06,30.83,30.6364484304933,3213470,0.0000,1.0
2022-10-27,30.28,30.48,29.71,30.28,30.0899013452915,3444472,0.0000,1.0
2022-10-26,30.0,30.495,28.91,30.0,29.8116591928251,6902160,0.0000,1.0
2022-10-25,28.4,29.29,28.33,29.16,28.976932735426,5274055,0.0000,1.0
2022-10-24,28.77,28.98,28.235,28.49,28.3111390134529,4309189,0.0000,1.0
2022-10-21,28.64,28.88,27.96,28.76,28.5794439461883,5678088,0.0000,1.0
2022-10-20,27.33,28.1,27.23,27.61,27.43666367713,5330959,0.0000,1.0
2022-10-19,27.18,27.73,27.06,27.37,27.1981704035874,3984559,0.0000,1.0
2022-10-18,27.59,27.74,26.97,27.44,27.267730941704,3777267,0.0000,1.0
2022-10-17,26.36,26.719,26.325,26.61,26.4429417040359,3415306,0.0000,1.0
2022-10-14,26.56,26.8,25.76,25.81,25.6479641255605,4827212,0.0000,1.0
2022-10-13,25.5,26.51,25.18,26.32,26.1547623318386,7118394,0.0000,1.0
2022-10-12,26.03,26.165,25.81,25.91,25.74733632287,2448336,0.0000,1.0
2022-10-11,26.14,26.455,25.715,25.81,25.6479641255605,2696653,0.0000,1.0
2022-10-10,27.05,27.05,26.0,26.33,26.1646995515695,2767444,0.0000,1.0
2022-10-07,27.23,27.29,26.615,26.74,26.5721255605381,2317148,0.0000,1.0
2022-10-06,27.5,27.805,27.37,27.54,27.3671031390134,2435283,0.0000,1.0
2022-10-05,27.27,27.74,27.15,27.58,27.4068520179372,2133645,0.0000,1.0
2022-10-04,27.03,27.64,27.0,27.63,27.4565381165919,2394953,0.0000,1.0
2022-10-03,26.49,26.91,26.4,26.57,26.4031928251121,3974874,0.0000,1.0
2022-09-30,26.18,26.675,26.105,26.12,25.9560179372197,3139354,0.0000,1.0
2022-09-29,26.41,26.46,25.86,26.11,25.9460807174888,2668949,0.0000,1.0
2022-09-28,26.15,26.92,26.13,26.68,26.5125022421525,2765850,0.0000,1.0
2022-09-27,26.39,26.53,25.73,26.02,25.8566457399103,2708772,0.0000,1.0
2022-09-26,26.35,26.72,25.96,25.97,25.8069596412556,3910810,0.0000,1.0
2022-09-23,26.21,26.41,25.995,26.38,26.2143856502242,3270021,0.0000,1.0
2022-09-22,26.27,26.415,26.04,26.33,26.1646995515695,4071916,0.0000,1.0
2022-09-21,27.03,27.34,26.36,26.36,26.1945112107623,3429763,0.0000,1.0
2022-09-20,27.07,27.12,26.695,26.88,26.7112466367713,2978513,0.0000,1.0
2022-09-19,27.17,27.555,26.93,27.31,27.1385470852018,3813314,0.0000,1.0
2022-09-16,27.72,27.72,27.13,27.61,27.43666367713,6617214,0.0000,1.0
2022-09-15,28.05,28.33,27.835,27.98,27.8043408071749,3082176,0.0000,1.0
2022-09-14,28.01,28.25,27.8,28.05,27.8739013452915,4032283,0.0000,1.0
2022-09-13,28.89,28.94,27.92,28.02,27.8440896860987,2694358,0.0000,1.0
2022-09-12,29.28,29.7481,29.18,29.41,29.2253632286995,2655729,0.0000,1.0
2022-09-09,28.9,29.15,28.78,29.04,28.8576860986547,2210003,0.0000,1.0
2022-09-08,28.0,28.83,27.92,28.69,28.5098834080717,3252973,0.0000,1.0
2022-09-07,27.81,28.2,27.62,28.19,28.0130224215247,2793200,0.0000,1.0
2022-09-06,28.14,28.2,27.48,27.76,27.5857219730942,4088237,0.0000,1.0
2022-09-02,28.5,28.665,27.85,28.01,27.8341524663677,3256610,0.0000,1.0
2022-09-01,28.24,28.33,27.64,28.14,27.96333632287,4193340,0.0000,1.0
2022-08-31,28.95,29.3,28.37,28.42,28.2415784753363,5695467,0.2100,1.0
2022-08-30,29.51,29.6,28.81,28.92,28.5276440624075,3357709,0.0000,1.0
2022-08-29,29.21,29.625,28.9,29.37,28.9715389388972,5601611,0.0000,1.0
2022-08-26,30.37,30.45,29.295,29.39,28.9912676000746,3402236,0.0000,1.0
2022-08-25,29.16,30.46,29.15,30.38,29.967836328352,6706671,0.0000,1.0
2022-08-24,28.99,29.22,28.79,28.99,28.5966943765281,1551430,0.0000,1.0
2022-08-23,28.96,29.395,28.9464,29.02,28.6262873682941,2000670,0.0000,1.0
2022-08-22,29.32,29.41,28.94,28.97,28.5769657153508,1861631,0.0000,1.0
2022-08-19,30.08,30.15,29.52,29.73,29.326654840089,2815817,0.0000,1.0
2022-08-18,29.17,30.27,29.06,30.26,29.8494643612881,4821507,0.0000,1.0
2022-08-17,28.79,28.995,28.46,28.82,28.4290007565209,1794945,0.0000,1.0
2022-08-16,28.98,29.29,28.855,29.1,28.7052020130034,2139987,0.0000,1.0
2022-08-15,28.65,29.08,28.46,29.04,28.6460160294714,2809586,0.0000,1.0
2022-08-12,28.88,29.32,28.765,28.91,28.5177797318188,1676381,0.0000,1.0
2022-08-11,28.77,29.11,28.53,28.74,28.3500861118116,2516138,0.0000,1.0
2022-08-10,28.28,28.815,28.055,28.72,28.3303574506343,2582658,0.0000,1.0
2022-08-09,28.09,28.11,27.675,27.82,27.4425676976548,2550619,0.0000,1.0
2022-08-08,28.35,28.4,27.925,28.11,27.728633284726,2962172,0.0000,1.0
2022-08-05,27.74,28.05,27.51,28.04,27.6595829706053,2897406,0.0000,1.0
2022-08-04,28.28,28.315,27.805,27.92,27.5412110035414,2859445,0.0000,1.0
2022-08-03,27.78,28.275,27.58,28.21,27.8272765906126,2740968,0.0000,1.0
2022-08-02,27.9,28.02,27.53,27.71,27.3340600611795,4005524,0.0000,1.0
2022-08-01,27.87,28.205,27.66,27.98,27.6003969870734,3556847,0.0000,1.0
2022-07-29,27.96,28.25,27.72,28.03,27.6497186400167,4907677,0.0000,1.0
2022-07-28,27.97,28.28,27.63,28.0,27.6201256482507,6107844,0.0000,1.0
2022-07-27,26.24,27.99,26.2,27.71,27.3340600611795,9765117,0.0000,1.0
2022-07-26,28.42,28.53,27.94,28.07,27.6891759623713,4989375,0.0000,1.0
2022-07-25,28.73,28.78,28.27,28.42,28.0344275329744,5737468,0.0000,1.0
2022-07-22,29.25,29.37,28.265,28.61,28.221849814159,3696848,0.0000,1.0
2022-07-21,28.59,29.25,28.59,29.24,28.8433026412446,3632233,0.0000,1.0
2022-07-20,28.28,29.01,28.25,28.53,28.1429351694497,7349544,0.0000,1.0
2022-07-19,28.45,29.21,28.4036,29.18,28.7841166577127,3015055,0.0000,1.0
2022-07-18,28.21,28.63,27.65,28.17,27.7878192682579,5229138,0.0000,1.0
2022-07-15,28.38,28.56,28.12,28.52,28.133070838861,2350739,0.0000,1.0
2022-07-14,27.89,28.185,27.355,28.03,27.6497186400167,3089432,0.0000,1.0
2022-07-13,27.45,28.235,27.33,27.98,27.6003969870734,3143662,0.0000,1.0
2022-07-12,28.65,28.9,28.08,28.37,27.9851058800311,2296418,0.0000,1.0
2022-07-11,28.66,28.86,28.48,28.67,28.281035797691,2251228,0.0000,1.0
2022-07-08,28.69,28.96,28.42,28.79,28.3994077647549,2209316,0.0000,1.0
2022-07-07,28.36,28.97,28.36,28.66,28.2711714671023,2169066,0.0000,1.0
2022-07-06,28.05,28.27,27.82,28.09,27.7089046235486,2892784,0.0000,1.0
2022-07-05,27.75,28.07,27.04,28.04,27.6595829706053,5033641,0.0000,1.0
2022-07-01,28.5,28.59,27.83,28.22,27.8371409212012,2991755,0.0000,1.0
2022-06-30,28.48,28.825,28.31,28.5,28.1133421776837,3571040,0.0000,1.0
2022-06-29,28.66,28.85,28.289,28.79,28.3994077647549,2409153,0.0000,1.0
2022-06-28,29.37,29.53,28.63,28.67,28.281035797691,2467307,0.0000,1.0
2022-06-27,29.16,29.325,28.85,29.17,28.774252327124,2364565,0.0000,1.0
2022-06-24,28.49,29.2,28.49,29.15,28.7545236659467,3661443,0.0000,1.0
2022-06-23,28.2,28.41,27.93,28.22,27.8371409212012,3790275,0.0000,1.0
2022-06-22,28.08,28.29,27.8004,28.16,27.7779549376693,2915181,0.0000,1.0
2022-06-21,28.11,28.525,27.98,28.39,28.0048345412085,3560346,0.0000,1.0
2022-06-17,27.57,27.82,27.12,27.63,27.2551454164702,6826086,0.0000,1.0
2022-06-16,28.0,28.0,27.36,27.65,27.2748740776475,3304799,0.0000,1.0
2022-06-15,28.51,28.94,28.085,28.58,28.192256822393,3352813,0.0000,1.0
2022-06-14,28.28,28.95,28.065,28.32,27.9357842270878,3665697,0.0000,1.0
2022-06-13,28.29,28.44,27.91,28.07,27.6891759623713,3462377,0.0000,1.0
2022-06-10,29.08,29.149,28.62,28.81,28.4191364259322,4066133,0.0000,1.0
2022-06-09,30.14,30.25,29.57,29.58,29.1786898812591,3074480,0.0000,1.0
2022-06-08,30.6,30.72,30.24,30.25,29.8396000306994,2554347,0.0000,1.0
2022-06-07,30.46,30.93,30.32,30.89,30.4709171883737,1702348,0.0000,1.0
2022-06-06,31.09,31.24,30.57,30.7,30.2834949071891,1874688,0.0000,1.0
2022-06-03,30.95,31.06,30.6,30.8,30.3821382130757,2428666,0.0000,1.0
2022-06-02,30.59,31.19,30.26,31.17,30.7471184448562,2215234,0.0000,1.0
2022-06-01,30.9,30.99,30.38,30.75,30.3328165601324,3136055,0.0000,1.0
2022-05-31,30.86,30.95,30.41,30.68,30.2637662460118,5072977,0.2100,1.0
2022-05-27,30.98,31.225,30.77,31.22,30.5870761476364,2867015,0.0000,1.0
2022-05-26,30.19,30.94,30.18,30.62,29.9992399628644,3476834,0.0000,1.0
2022-05-25,29.64,30.399,29.5,30.07,29.4603901268234,4448618,0.0000,1.0
2022-05-24,29.54,29.865,29.02,29.72,29.1174856857064,4595475,0.0000,1.0
2022-05-23,29.13,29.755,28.91,29.61,29.0097157184982,3338545,0.0000,1.0
2022-05-20,29.1,29.13,27.975,28.87,28.2847177572794,5261252,0.0000,1.0
2022-05-19,28.72,29.34,28.215,28.8,28.216136869056,5928082,0.0000,1.0
2022-05-18,31.1,31.27,29.47,29.85,29.244850192407,5647492,0.0000,1.0
2022-05-17,30.66,31.43,30.6,31.41,30.7732242728142,4418609,0.0000,1.0
2022-05-16,30.55,30.58,30.11,30.27,29.6563355217474,4717521,0.0000,1.0
2022-05-13,30.0,30.56,29.79,30.46,29.8424836469252,5683359,0.0000,1.0
2022-05-12,30.44,30.5,29.15,29.67,29.0684993369754,7492754,0.0000,1.0
2022-05-11,30.82,31.425,30.54,30.57,29.9502536141334,3616386,0.0000,1.0
2022-05-10,31.0,31.32,30.56,31.09,30.4597116409358,3586674,0.0000,1.0
2022-05-09,31.8,31.87,30.64,30.7,30.077618120834,4541958,0.0000,1.0
2022-05-06,31.44,32.38,31.44,32.07,31.4198440760634,4950136,0.0000,1.0
2022-05-05,32.5,32.84,31.435,31.78,31.1357232534236,5321118,0.0000,1.0
2022-05-04,32.27,33.06,32.16,32.92,32.2526120044904,5499160,0.0000,1.0
2022-05-03,32.22,32.85,32.12,32.3,31.645181280226,4241834,0.0000,1.0
2022-05-02,31.84,32.27,31.53,32.24,31.5863976617488,4229401,0.0000,1.0
2022-04-29,32.48,32.94,31.44,31.52,30.8809942400224,4526188,0.0000,1.0
2022-04-28,32.17,32.78,31.88,32.68,32.0174775305816,4685385,0.0000,1.0
2022-04-27,32.52,32.6,31.31,31.9,31.253290490378,7104984,0.0000,1.0
2022-04-26,34.59,34.81,33.51,33.6,32.918826347232,4177362,0.0000,1.0
2022-04-25,35.0,35.13,33.375,34.62,33.9181478613444,6763020,0.0000,1.0
2022-04-22,36.09,36.22,35.1,35.15,34.437403157893,3782596,0.0000,1.0
2022-04-21,37.0,37.18,36.09,36.15,35.417130132513,3867018,0.0000,1.0
2022-04-20,35.98,36.65,35.98,36.5,35.76003457363,3303415,0.0000,1.0
2022-04-19,35.1,35.87,34.97,35.77,35.0448338821574,2523096,0.0000,1.0
2022-04-18,35.05,35.475,34.93,35.1,34.388416809162,2887048,0.0000,1.0
2022-04-14,35.26,35.67,35.05,35.13,34.4178086184006,5611778,0.0000,1.0
2022-04-13,34.46,35.255,34.29,35.22,34.5059840461164,3877066,0.0000,1.0
2022-04-12,34.67,35.21,34.04,34.22,33.5262570714964,3194127,0.0000,1.0
2022-04-11,35.28,35.36,34.37,34.41,33.7124051966742,3616625,0.0000,1.0
2022-04-08,35.74,35.74,35.255,35.43,34.7117267107866,2299968,0.0000,1.0
2022-04-07,35.45,35.93,35.31,35.7,34.976252993934,3037112,0.0000,1.0
2022-04-06,36.08,36.11,35.25,35.58,34.8586857569796,4840413,0.0000,1.0
2022-04-05,36.62,36.875,36.1,36.29,35.5542919089598,3401871,0.0000,1.0
2022-04-04,36.83,36.935,36.38,36.79,36.0441553962698,3685807,0.0000,1.0
2022-04-01,37.27,37.34,35.59,36.83,36.0833444752546,6566984,0.0000,1.0
2022-03-31,37.5,38.14,37.15,37.16,36.4066543768792,5553256,0.0000,1.0
2022-03-30,37.71,37.92,37.0747,37.58,36.8181397062196,6351100,0.0000,1.0
2022-03-29,37.475,37.73,36.565,37.69,36.9259096734278,6385437,0.0000,1.0
2022-03-28,36.52,37.31,36.3,37.31,36.5536134230722,6191342,0.0000,1.0
2022-03-25,35.7,36.62,35.34,36.52,35.7796291131224,6455042,0.0000,1.0
2022-03-24,35.22,35.68,35.02,35.66,34.9370639149492,3330127,0.0000,1.0
2022-03-23,35.52,35.66,35.02,35.07,34.3590249999234,3224350,0.0000,1.0
2022-03-22,35.32,35.805,35.13,35.68,34.9566584544416,3484445,0.0000,1.0
2022-03-21,35.44,35.7,34.9632,35.31,34.5941594738322,4837081,0.0000,1.0
2022-03-18,34.66,35.37,34.43,35.31,34.5941594738322,10989685,0.0000,1.0
2022-03-17,34.09,34.84,33.99,34.65,33.947539670583,5430539,0.0000,1.0
2022-03-16,34.31,34.4,33.41,34.17,33.4772707227654,5439471,0.0000,1.0
2022-03-15,33.56,34.43,33.45,34.38,33.6830133874356,4647992,0.0000,1.0
2022-03-14,33.4,33.74,32.945,33.29,32.6151109850998,4395960,0.0000,1.0
2022-03-11,33.56,34.24,33.11,33.14,32.4681519389068,2399745,0.0000,1.0
2022-03-10,33.5,33.9,33.135,33.25,32.575921906115,3792716,0.0000,1.0
2022-03-09,33.61,33.935,33.32,33.69,33.0070017749478,2463007,0.0000,1.0
2022-03-08,33.26,33.61,32.55,32.88,32.2134229255056,4374570,0.0000,1.0
2022-03-07,34.06,34.18,33.03,33.04,32.3701792414448,3239397,0.0000,1.0
2022-03-04,33.86,34.1756,33.7,34.15,33.457676183273,2730786,0.0000,1.0
2022-03-03,34.48,34.58,34.09,34.33,33.6340270387046,2887350,0.0000,1.0
2022-03-02,33.21,34.32,33.09,34.21,33.5164598017502,2848751,0.0000,1.0
2022-03-01,33.59,33.77,32.84,33.08,32.4093683204296,3236135,0.0000,1.0
2022-02-28,33.57,33.855,33.29,33.79,33.1049744724098,3489840,0.2100,1.0
2022-02-25,33.66,34.36,33.5,34.32,33.4165507027384,3339036,0.0000,1.0
2022-02-24,32.445,33.745,32.26,33.67,32.7836614848835,5463127,0.0000,1.0
2022-02-23,34.07,34.29,33.135,33.19,32.3162971393906,3456233,0.0000,1.0
2022-02-22,34.07,34.5,33.54,33.81,32.9199760856522,3880251,0.0000,1.0
2022-02-18,34.28,34.62,34.0,34.32,33.4165507027384,3789306,0.0000,1.0
2022-02-17,34.87,35.05,34.215,34.38,33.474971245925,3274764,0.0000,1.0
2022-02-16,34.35,34.77,34.2,34.75,33.8352312622424,2579899,0.0000,1.0
2022-02-15,34.18,34.7,34.04,34.6,33.6891799042759,3417684,0.0000,1.0
2022-02-14,34.07,34.46,33.485,33.79,32.9005025712567,3676863,0.0000,1.0
2022-02-11,34.51,34.6544,33.87,33.99,33.0952377152121,3276559,0.0000,1.0
2022-02-10,34.69,35.515,34.44,34.56,33.6502328754848,4251105,0.0000,1.0
2022-02-09,35.08,35.3,34.885,35.13,34.2052280357576,3128045,0.0000,1.0
2022-02-08,34.87,35.1,34.74,34.91,33.9910193774067,2977562,0.0000,1.0
2022-02-07,35.13,35.27,34.64,34.72,33.8060209906491,3328907,0.0000,1.0
2022-02-04,34.77,35.56,34.63,35.13,34.2052280357576,4290516,0.0000,1.0
2022-02-03,34.24,35.04,34.01,34.77,33.8547047766379,5049499,0.0000,1.0
2022-02-02,34.16,34.62,34.12,34.6,33.6891799042759,5765849,0.0000,1.0
2022-02-01,34.78,35.0,33.805,34.04,33.1439215012009,5119112,0.0000,1.0
2022-01-31,33.63,35.07,31.696,34.82,33.9033885626268,11592528,0.0000,1.0
2022-01-28,32.44,33.7,31.7,33.63,32.7447144560924,9389988,0.0000,1.0
2022-01-27,31.74,32.11,30.94,31.45,30.6221013869791,8171671,0.0000,1.0
2022-01-26,31.13,32.27,30.59,31.43,30.6026278725836,9172318,0.0000,1.0
2022-01-25,31.93,31.9532,30.81,31.52,30.6902586873635,5682087,0.0000,1.0
2022-01-24,32.53,32.62,31.395,32.29,31.4399889915916,6438622,0.0000,1.0
2022-01-21,33.24,33.535,32.55,32.87,32.0047209090621,6082076,0.0000,1.0
2022-01-20,33.75,33.99,33.275,33.31,32.4331382257639,4510359,0.0000,1.0
2022-01-19,34.27,34.52,33.56,33.57,32.6862939129058,3446148,0.0000,1.0
2022-01-18,34.29,34.36,33.89,34.05,33.1536582583987,3935601,0.0000,1.0
2022-01-14,34.54,34.835,34.24,34.64,33.7281269330669,3074404,0.0000,1.0
2022-01-13,34.92,35.09,34.6,34.87,33.9520723486156,4729378,0.0000,1.0
2022-01-12,35.4,35.6,34.68,34.88,33.9618091058134,2940131,0.0000,1.0
2022-01-11,35.67,36.03,34.82,35.36,34.4291734513062,4973715,0.0000,1.0
2022-01-10,34.14,34.545,33.85,34.51,33.601549089496,3897075,0.0000,1.0
2022-01-07,34.46,34.59,33.98,34.24,33.3386566451562,2066690,0.0000,1.0
2022-01-06,34.21,34.945,34.18,34.44,33.5333917891116,3091915,0.0000,1.0
2022-01-05,34.88,35.11,34.24,34.26,33.3581301595518,2483982,0.0000,1.0
2022-01-04,35.36,35.58,34.91,34.98,34.059176677791,2722319,0.0000,1.0
2022-01-03,35.65,35.69,35.04,35.36,34.4291734513062,2834482,0.0000,1.0
2021-12-31,35.45,35.76,35.4,35.71,34.7699599532281,2306595,0.0000,1.0
2021-12-30,35.85,35.92,35.33,35.38,34.4486469657018,3026478,0.0000,1.0
2021-12-29,35.45,35.91,35.349,35.77,34.8283804964147,2243841,0.0000,1.0
2021-12-28,35.1,35.545,35.08,35.43,34.4973307516906,3582343,0.0000,1.0
2021-12-27,34.23,35.16,34.215,35.11,34.185754521362,2857430,0.0000,1.0
2021-12-23,33.89,34.505,33.8601,34.13,33.2315523159808,2111440,0.0000,1.0
2021-12-22,33.61,33.87,33.365,33.84,32.9491863572455,1902344,0.0000,1.0
2021-12-21,33.48,33.61,33.125,33.6,32.7155041844991,4064750,0.0000,1.0
2021-12-20,33.04,33.44,32.79,33.16,32.2870868677973,2473201,0.0000,1.0
2021-12-17,33.29,33.79,33.1,33.64,32.7544512132902,9821289,0.0000,1.0
2021-12-16,34.09,34.18,33.285,33.47,32.5889263409281,4212128,0.0000,1.0
2021-12-15,33.73,34.09,33.4841,34.05,33.1536582583987,5211903,0.0000,1.0
2021-12-14,33.91,34.03,33.42,33.52,32.637610126917,7710938,0.0000,1.0
2021-12-13,33.98,34.255,33.42,34.01,33.1147112296076,5253355,0.0000,1.0
2021-12-10,32.905,34.01,32.75,34.0,33.1049744724098,5394231,0.0000,1.0
2021-12-09,32.73,33.07,32.51,32.74,31.8781430654911,2829743,0.0000,1.0
2021-12-08,32.7,33.1,32.335,32.43,31.5763035923603,2989126,0.0000,1.0
2021-12-07,32.25,33.105,31.96,32.66,31.800249007909,5665661,0.0000,1.0
2021-12-06,31.5,31.78,31.35,31.45,30.6221013869791,2202034,0.0000,1.0
2021-12-03,31.35,31.67,30.94,31.27,30.4468397574193,3706431,0.0000,1.0
2021-12-02,30.9,31.48,30.66,31.21,30.3884192142327,2432939,0.0000,1.0
2021-12-01,31.33,31.845,30.78,30.8,29.9892121691242,3580347,0.0000,1.0
2021-11-30,31.56,31.59,30.98,31.13,30.3105251566505,6785924,0.2000,1.0
2021-11-29,31.675,32.205,31.675,31.84,30.8039298112912,3767526,0.0000,1.0
2021-11-26,31.77,32.23,31.365,31.45,30.4266203695071,3094082,0.0000,1.0
2021-11-24,32.17,32.645,32.17,32.42,31.3650566734315,5292604,0.0000,1.0
2021-11-23,32.27,32.63,32.065,32.33,31.2779852637891,2925268,0.0000,1.0
2021-11-22,32.23,33.02,32.03,32.4,31.3457074712888,4445194,0.0000,1.0
2021-11-19,32.33,32.535,32.18,32.2,31.1522154498611,3500885,0.0000,1.0
2021-11-18,32.3,32.485,31.79,32.38,31.326358269146,4798114,0.0000,1.0
2021-11-17,31.87,32.2,31.6201,32.12,31.07481864129,2905033,0.0000,1.0
