timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,18.27,18.41,18.14,18.22,18.22,11769737,0.0000,1.0
2023-02-07,18.19,18.31,18.06,18.28,18.28,10086355,0.0000,1.0
2023-02-06,18.2,18.28,17.985,18.17,18.17,11849979,0.0000,1.0
2023-02-03,18.47,18.64,18.22,18.28,18.28,13963563,0.0000,1.0
2023-02-02,18.37,18.5199,18.24,18.45,18.45,13324649,0.0000,1.0
2023-02-01,18.25,18.51,18.19,18.37,18.37,20314738,0.0000,1.0
2023-01-31,18.07,18.31,17.955,18.3,18.3,15757334,0.0000,1.0
2023-01-30,18.25,18.34,18.03,18.04,18.04,13284087,0.2775,1.0
2023-01-27,18.6,18.77,18.525,18.66,18.3773113143169,13120093,0.0000,1.0
2023-01-26,18.57,18.62,18.35,18.61,18.3280687866794,14299221,0.0000,1.0
2023-01-25,18.45,18.52,18.32,18.45,18.1704926982394,19135105,0.0000,1.0
2023-01-24,18.75,18.9,18.38,18.57,18.2886747645694,13090066,0.0000,1.0
2023-01-23,18.74,18.85,18.61,18.76,18.4757963695919,11451132,0.0000,1.0
2023-01-20,18.81,18.85,18.6,18.64,18.3576143032619,15423673,0.0000,1.0
2023-01-19,18.51,18.93,18.395,18.75,18.4659478640644,17379018,0.0000,1.0
2023-01-18,18.87,18.92,18.29,18.36,18.0818561484919,19528155,0.0000,1.0
2023-01-17,18.93,19.095,18.7,18.82,18.5348874027569,12372331,0.0000,1.0
2023-01-13,18.88,18.93,18.69,18.85,18.5644329193394,8616900,0.0000,1.0
2023-01-12,18.88,19.06,18.77,18.89,18.6038269414494,11067880,0.0000,1.0
2023-01-11,18.88,18.9,18.58,18.78,18.4954933806469,13289363,0.0000,1.0
2023-01-10,18.75,18.82,18.505,18.74,18.4560993585369,9544482,0.0000,1.0
2023-01-09,18.76,18.8,18.6,18.71,18.4265538419544,17355115,0.0000,1.0
2023-01-06,18.37,18.69,18.29,18.58,18.2985232700969,9086234,0.0000,1.0
2023-01-05,18.12,18.24,18.02,18.21,17.9341285655794,8489535,0.0000,1.0
2023-01-04,17.86,18.38,17.85,18.23,17.9538255766344,12069666,0.0000,1.0
2023-01-03,18.0,18.18,17.86,18.01,17.7371584550293,10454013,0.0000,1.0
2022-12-30,18.08,18.2,17.95,18.08,17.8060979937218,7385676,0.0000,1.0
2022-12-29,17.92,18.25,17.88,18.15,17.8750375324144,7431035,0.0000,1.0
2022-12-28,18.21,18.29,17.865,17.93,17.6583704108093,7938218,0.0000,1.0
2022-12-27,18.21,18.34,18.09,18.26,17.9833710932169,8233007,0.0000,1.0
2022-12-23,17.84,18.14,17.8345,18.14,17.8651890268869,9304122,0.0000,1.0
2022-12-22,17.81,17.86,17.4,17.74,17.4712488057868,13845834,0.0000,1.0
2022-12-21,17.83,17.985,17.725,17.88,17.6091278831718,10625985,0.0000,1.0
2022-12-20,17.54,17.71,17.46,17.61,17.3432182339293,11481871,0.0000,1.0
2022-12-19,17.76,17.845,17.39,17.51,17.2447331786543,13387099,0.0000,1.0
2022-12-16,17.67,17.78,17.41,17.69,17.4220062781493,21209895,0.0000,1.0
2022-12-15,17.96,18.05,17.68,17.96,17.6879159273918,11533947,0.0000,1.0
2022-12-14,18.21,18.35,18.0,18.11,17.8356435103044,13930554,0.0000,1.0
2022-12-13,18.09,18.295,17.99,18.21,17.9341285655794,16966679,0.0000,1.0
2022-12-12,17.5,17.83,17.39,17.82,17.5500368500068,13062224,0.0000,1.0
2022-12-09,17.71,17.845,17.41,17.45,17.1856421454893,19193134,0.0000,1.0
2022-12-08,18.13,18.26,17.54,17.77,17.5007943223693,17700987,0.0000,1.0
2022-12-07,18.12,18.25,17.935,18.04,17.7667039716118,11408209,0.0000,1.0
2022-12-06,18.5,18.65,18.0,18.1,17.8257950047769,15801246,0.0000,1.0
2022-12-05,19.11,19.13,18.41,18.56,18.2788262590419,12111121,0.0000,1.0
2022-12-02,19.0,19.11,18.89,19.0,18.7121605022519,9641211,0.0000,1.0
2022-12-01,19.23,19.355,19.07,19.15,18.8598880851645,12570418,0.0000,1.0
2022-11-30,18.99,19.135,18.77,19.12,18.830342568582,41252482,0.0000,1.0
2022-11-29,18.6,18.945,18.53,18.88,18.5939784359219,16437211,0.0000,1.0
2022-11-28,18.25,18.5881,18.22,18.46,18.1803412037669,16709780,0.0000,1.0
2022-11-25,18.7,18.78,18.59,18.63,18.3477657977344,5981404,0.0000,1.0
2022-11-23,18.54,18.725,18.47,18.65,18.3674628087894,9669551,0.0000,1.0
2022-11-22,18.53,18.87,18.41,18.72,18.4364023474819,14890737,0.0000,1.0
2022-11-21,18.24,18.3,17.84,18.28,18.0030681042719,12895375,0.0000,1.0
2022-11-18,18.19,18.4653,18.13,18.42,18.1409471816569,17351389,0.0000,1.0
2022-11-17,18.2,18.31,18.0,18.3,18.0227651153269,12015996,0.0000,1.0
2022-11-16,18.54,18.6,18.29,18.41,18.1310986761294,14531974,0.0000,1.0
2022-11-15,18.74,18.8086,18.545,18.66,18.3773113143169,14480944,0.0000,1.0
2022-11-14,18.66,18.96,18.53,18.53,18.2492807424594,15299627,0.0000,1.0
