timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,44.36,44.56,44.0,44.27,44.27,4748261,0.0000,1.0
2023-02-07,44.5,44.65,44.14,44.47,44.47,3487142,0.0000,1.0
2023-02-06,44.53,44.61,44.085,44.54,44.54,4413754,0.0000,1.0
2023-02-03,44.92,45.02,44.15,44.42,44.42,5025089,0.0000,1.0
2023-02-02,44.78,45.285,44.5625,44.97,44.97,4816469,0.0000,1.0
2023-02-01,44.41,45.39,44.08,45.18,45.18,5387340,0.0000,1.0
2023-01-31,44.05,44.63,43.74,44.63,44.63,5006989,0.0000,1.0
2023-01-30,44.69,44.89,44.065,44.21,44.21,4544803,0.0000,1.0
2023-01-27,44.6,45.3,44.46,45.05,45.05,3672096,0.0000,1.0
2023-01-26,44.8,44.92,44.335,44.46,44.46,3106631,0.0000,1.0
2023-01-25,44.3,44.91,44.27,44.9,44.9,3351742,0.0000,1.0
2023-01-24,45.0,45.0,44.145,44.26,44.26,2721773,0.0000,1.0
2023-01-23,44.45,45.035,44.29,44.7,44.7,3556250,0.0000,1.0
2023-01-20,44.01,44.49,43.62,44.45,44.45,3978537,0.0000,1.0
2023-01-19,45.32,45.44,43.985,44.0,44.0,4422212,0.0000,1.0
2023-01-18,46.22,46.39,45.105,45.26,45.26,4005199,0.0000,1.0
2023-01-17,45.36,46.49,45.35,46.18,46.18,3834040,0.0000,1.0
2023-01-13,45.5,45.67,44.855,45.22,45.22,3429388,0.0000,1.0
2023-01-12,45.73,45.83,45.18,45.67,45.67,3312442,0.0000,1.0
2023-01-11,46.19,46.28,45.085,45.61,45.61,4994331,0.0000,1.0
2023-01-10,46.27,46.64,45.795,45.98,45.98,3434643,0.0000,1.0
2023-01-09,45.99,46.45,45.79,46.19,46.19,4736589,0.0000,1.0
2023-01-06,45.32,45.975,45.26,45.74,45.74,4385830,0.0000,1.0
2023-01-05,44.78,45.24,44.21,45.16,45.16,4749783,0.0000,1.0
2023-01-04,44.4,45.51,44.07,44.97,44.97,4299941,0.0000,1.0
2023-01-03,44.48,44.995,44.22,44.47,44.47,3570210,0.0000,1.0
2022-12-30,44.49,44.835,44.24,44.58,44.58,3626154,0.0000,1.0
2022-12-29,44.68,44.78,44.41,44.62,44.62,2897701,0.0000,1.0
2022-12-28,45.94,46.16,44.57,44.58,44.58,4224043,0.0000,1.0
2022-12-27,45.92,46.36,45.8301,45.95,45.95,4601158,0.0000,1.0
2022-12-23,45.25,46.065,45.25,45.89,45.89,4693152,0.0000,1.0
2022-12-22,44.56,45.26,44.225,45.25,45.25,4341609,0.0000,1.0
2022-12-21,44.55,44.81,44.31,44.46,44.46,3486206,0.0000,1.0
2022-12-20,44.27,44.97,44.2,44.58,44.58,4444497,0.0000,1.0
2022-12-19,44.31,44.77,43.992,44.4,44.4,4556364,0.0000,1.0
2022-12-16,43.26,44.44,43.06,44.32,44.32,13022360,0.0000,1.0
2022-12-15,44.26,44.45,43.32,43.49,43.49,7070838,0.0000,1.0
2022-12-14,45.37,45.66,44.5756,44.76,44.76,5731687,0.0000,1.0
2022-12-13,46.8,46.89,45.43,45.45,45.45,6225339,0.0000,1.0
2022-12-12,46.54,46.825,46.04,46.71,46.71,4260611,0.0000,1.0
2022-12-09,47.19,47.5,46.455,46.47,46.47,5210339,0.0000,1.0
2022-12-08,46.83,47.537,46.42,47.46,47.46,3792618,0.0000,1.0
2022-12-07,46.46,47.06,46.36,46.94,46.94,4855441,0.0000,1.0
2022-12-06,46.33,46.73,45.925,46.33,46.33,4102561,0.0000,1.0
2022-12-05,47.21,47.415,45.55,46.07,46.07,7997943,0.0000,1.0
2022-12-02,48.3,48.57,47.28,47.57,47.57,5145213,0.0000,1.0
2022-12-01,50.35,50.41,47.65,48.41,48.41,10564363,0.0000,1.0
2022-11-30,48.96,49.42,48.435,49.19,49.19,10713446,0.0000,1.0
2022-11-29,49.0,49.74,48.71,49.35,49.35,6008018,0.0000,1.0
2022-11-28,48.92,49.39,48.48,48.83,48.83,5846670,0.0000,1.0
2022-11-25,47.9,49.04,47.9,49.04,49.04,2438770,0.0000,1.0
2022-11-23,48.17,48.25,47.615,47.84,47.84,4091711,0.0000,1.0
2022-11-22,48.54,48.665,47.96,48.08,48.08,3597171,0.0000,1.0
2022-11-21,48.11,48.4,47.605,48.12,48.12,3524490,0.0000,1.0
