timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,210.98,212.5,210.24,211.94,211.94,1108095,0.0000,1.0
2023-02-07,211.58,212.95,208.1,212.43,212.43,865921,0.0000,1.0
2023-02-06,210.99,213.675,209.68,212.33,212.33,1599571,0.0000,1.0
2023-02-03,211.93,213.115,210.36,210.95,210.95,921487,0.0000,1.0
2023-02-02,215.13,215.9,210.53,212.04,212.04,2008066,0.0000,1.0
2023-02-01,213.5,217.3049,212.81,215.85,215.85,1193461,0.0000,1.0
2023-01-31,212.97,214.82,211.55,214.82,214.82,1922985,0.0000,1.0
2023-01-30,212.31,214.41,210.5,211.91,211.91,1913819,0.0000,1.0
2023-01-27,205.0,214.55,204.43,212.1,212.1,3106105,0.0000,1.0
2023-01-26,198.21,200.18,196.19,196.54,196.54,1789960,0.0000,1.0
2023-01-25,193.95,197.95,192.8,197.68,197.68,1296686,0.0000,1.0
2023-01-24,194.45,195.94,192.15,194.72,194.72,1481890,0.0000,1.0
2023-01-23,193.19,195.35,191.78,194.25,194.25,1612773,0.0000,1.0
2023-01-20,192.36,193.0788,189.73,192.51,192.51,1547086,0.0000,1.0
2023-01-19,193.34,195.18,191.24,191.45,191.45,2182412,0.0000,1.0
2023-01-18,194.48,195.41,191.34,192.97,192.97,2283580,0.0000,1.0
2023-01-17,198.3,198.49,194.13,194.65,194.65,2297871,0.0000,1.0
2023-01-13,196.83,199.51,193.87,197.16,197.16,1778866,0.0000,1.0
2023-01-12,199.57,201.9616,197.0204,199.75,199.75,2112460,0.0000,1.0
2023-01-11,201.95,202.51,199.17,199.91,199.91,1854334,0.0000,1.0
2023-01-10,201.82,203.02,199.87,201.95,201.95,1084762,0.0000,1.0
2023-01-09,206.23,206.23,199.51,201.07,201.07,1604692,0.0000,1.0
2023-01-06,207.83,210.93,203.42,206.18,206.18,1031173,0.0000,1.0
2023-01-05,206.36,206.87,203.65,206.13,206.13,886304,0.0000,1.0
2023-01-04,206.2,209.38,204.5,206.93,206.93,925246,0.0000,1.0
2023-01-03,207.59,209.03,205.62,206.93,206.93,949242,0.0000,1.0
2022-12-30,206.82,208.75,205.4,208.21,208.21,716676,0.0000,1.0
2022-12-29,204.67,208.1,204.66,206.66,206.66,898156,0.0000,1.0
2022-12-28,207.15,207.99,204.23,204.56,204.56,764599,0.0000,1.0
2022-12-27,207.0,209.295,206.4,206.45,206.45,637892,0.0000,1.0
2022-12-23,204.83,206.55,204.0,206.24,206.24,731019,0.0000,1.0
2022-12-22,206.28,207.2,202.31,204.81,204.81,1112210,0.0000,1.0
2022-12-21,206.51,207.58,204.36,206.98,206.98,1797854,0.0000,1.0
2022-12-20,202.97,207.25,202.97,205.6,205.6,1741732,0.0000,1.0
2022-12-19,207.2,208.64,203.83,205.55,205.55,3033047,0.0000,1.0
2022-12-16,214.22,215.78,210.51,213.27,213.27,2182690,0.0000,1.0
2022-12-15,220.3,221.03,213.6101,216.48,216.48,1034237,0.0000,1.0
2022-12-14,216.88,220.1,216.01,218.04,218.04,775599,0.0000,1.0
2022-12-13,220.22,220.4227,215.04,216.15,216.15,1441987,0.0000,1.0
2022-12-12,216.5,218.15,215.51,217.59,217.59,884365,0.0000,1.0
2022-12-09,216.58,219.21,215.12,215.53,215.53,786662,0.0000,1.0
2022-12-08,219.79,220.09,217.14,217.81,217.81,1111775,0.0000,1.0
2022-12-07,218.6,221.12,216.19,217.91,217.91,1075200,0.0000,1.0
2022-12-06,226.0,226.0,218.62,218.76,218.76,697711,0.0000,1.0
2022-12-05,227.25,227.91,224.4,224.71,224.71,597737,0.0000,1.0
2022-12-02,224.33,230.73,223.97,230.0,230.0,999948,0.0000,1.0
2022-12-01,228.35,229.14,223.24,225.39,225.39,1181687,0.0000,1.0
2022-11-30,225.19,227.12,221.72,227.08,227.08,2026125,0.0000,1.0
2022-11-29,226.09,227.68,225.155,225.61,225.61,531629,0.0000,1.0
2022-11-28,227.91,229.1,224.74,225.86,225.86,621169,0.0000,1.0
2022-11-25,227.98,228.96,226.855,228.68,228.68,232329,0.0000,1.0
2022-11-23,225.21,228.26,224.17,226.43,226.43,796118,0.0000,1.0
2022-11-22,226.49,227.9685,224.69,225.32,225.32,660043,0.0000,1.0
2022-11-21,223.57,226.815,223.25,225.35,225.35,865899,0.0000,1.0
2022-11-18,222.77,225.16,220.7,224.0,224.0,797526,0.0000,1.0
2022-11-17,219.0,223.23,218.435,221.5,221.5,1243589,1.1200,1.0
2022-11-16,221.64,223.41,219.246,221.5,220.385634713862,1034365,0.0000,1.0
2022-11-15,219.1,225.0,215.0,221.24,220.126942772437,2251737,0.0000,1.0
2022-11-14,226.05,227.61,217.34,217.8,216.704249393585,2220977,0.0000,1.0
2022-11-11,229.51,232.38,220.775,224.75,223.619283981673,3025382,0.0000,1.0
2022-11-10,240.71,242.6,234.27,239.34,238.135881771629,1425140,0.0000,1.0
2022-11-09,236.13,239.145,233.515,237.67,236.474283532477,1594068,0.0000,1.0
2022-11-08,229.38,236.36,228.74,236.09,234.902232503818,1420628,0.0000,1.0
2022-11-07,229.58,231.9,228.53,230.58,229.419953283622,1277221,0.0000,1.0
2022-11-04,234.99,234.99,225.27,229.33,228.176242026772,1548487,0.0000,1.0
2022-11-03,235.5,237.66,234.4,234.98,233.797816907735,1322149,0.0000,1.0
2022-11-02,240.54,243.42,238.73,238.81,237.608548198724,1259995,0.0000,1.0
2022-11-01,247.13,249.09,240.825,241.15,239.936775671548,1128836,0.0000,1.0
2022-10-31,245.22,250.04,242.411,246.47,245.230010780703,1274174,0.0000,1.0
2022-10-28,242.0001,250.8699,233.24,248.74,247.488590423143,2512984,0.0000,1.0
2022-10-27,250.75,255.095,250.12,252.8,251.528164585392,1169322,0.0000,1.0
2022-10-26,249.98,252.7,248.0,249.99,248.732301679993,1214304,0.0000,1.0
2022-10-25,246.89,249.11,244.7,248.23,246.981156230348,1058759,0.0000,1.0
2022-10-24,249.26,250.32,246.52,248.11,246.86175994969,1296234,0.0000,1.0
2022-10-21,240.0,248.74,239.7,247.2,245.956338154703,1711780,0.0000,1.0
2022-10-20,237.72,239.36,236.24,239.0,237.797592309766,1444078,0.0000,1.0
2022-10-19,236.94,240.86,235.24,237.61,236.414585392148,932927,0.0000,1.0
2022-10-18,227.58,237.23,226.46,236.58,235.389767316503,1442557,0.0000,1.0
2022-10-17,220.0,226.2,219.91,223.56,222.435270865151,812661,0.0000,1.0
2022-10-14,227.11,228.17,218.06,218.51,217.410677387476,1401122,0.0000,1.0
2022-10-13,222.8,228.32,222.151,227.53,226.385297816908,1135342,0.0000,1.0
2022-10-12,230.49,231.97,223.76,224.17,223.042201958494,1061600,0.0000,1.0
2022-10-11,229.07,235.1,229.07,231.5,230.335324768664,1593278,0.0000,1.0
2022-10-10,226.54,231.69,225.61,230.44,229.280657622855,1695921,0.0000,1.0
2022-10-07,219.79,224.51,219.39,224.32,223.191447309316,1270464,0.0000,1.0
2022-10-06,220.0,222.49,219.92,220.5,219.390665708382,990662,0.0000,1.0
2022-10-05,222.14,223.52,220.5,220.84,219.728955170245,710476,0.0000,1.0
2022-10-04,219.69,224.385,218.705,224.12,222.99245350822,1071488,0.0000,1.0
2022-10-03,210.43,219.53,210.0,217.4,216.306261791393,1063062,0.0000,1.0
2022-09-30,207.11,210.675,206.89,207.83,206.784408408948,1070486,0.0000,1.0
2022-09-29,214.05,215.19,207.92,209.35,208.296761297278,703554,0.0000,1.0
2022-09-28,210.6,216.095,207.36,214.57,213.490499505884,970334,0.0000,1.0
2022-09-27,216.95,218.4,212.3,212.56,211.490611804869,645548,0.0000,1.0
2022-09-26,219.45,220.77,215.2606,215.67,214.584965411913,799789,0.0000,1.0
2022-09-23,224.05,224.53,217.52,220.39,219.281219117779,859507,0.0000,1.0
2022-09-22,228.13,228.155,223.99,226.01,224.872944928578,905961,0.0000,1.0
2022-09-21,233.59,237.12,228.68,228.72,227.569310933429,961309,0.0000,1.0
2022-09-20,229.65,229.65,225.17,228.47,227.320568682059,682128,0.0000,1.0
2022-09-19,229.15,232.2,225.77,230.07,228.912519090827,853343,0.0000,1.0
2022-09-16,226.37,230.34,225.51,230.01,228.852820950499,1706885,0.0000,1.0
2022-09-15,233.0,233.48,226.74,228.43,227.28076992184,943964,0.0000,1.0
