timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,53.76,53.77,52.77,53.54,53.54,1203866,0.0000,1.0
2023-02-06,53.12,53.97,53.02,53.93,53.93,1231977,0.0000,1.0
2023-02-03,54.33,54.61,52.34,53.34,53.34,1745458,0.0000,1.0
2023-02-02,54.69,55.55,54.26,54.76,54.76,1532267,0.0000,1.0
2023-02-01,53.79,55.09,53.375,54.74,54.74,2176448,0.0000,1.0
2023-01-31,53.82,54.1,52.72,54.03,54.03,1715241,0.0000,1.0
2023-01-30,53.83,54.31,53.5201,53.65,53.65,1327954,0.4525,1.0
2023-01-27,54.3,54.75,54.01,54.42,53.9648445081096,1421525,0.0000,1.0
2023-01-26,54.22,54.57,54.02,54.45,53.9945935954901,871303,0.0000,1.0
2023-01-25,54.08,54.55,53.68,54.41,53.9549281456495,1265273,0.0000,1.0
2023-01-24,54.04,54.51,53.23,54.33,53.8755972459683,938810,0.0000,1.0
2023-01-23,53.12,54.3,52.99,53.88,53.4293609352618,1177309,0.0000,1.0
2023-01-20,53.11,53.93,52.41,53.89,53.4392772977219,1311227,0.0000,1.0
2023-01-19,53.41,53.9,53.19,53.21,52.7649646504321,1065563,0.0000,1.0
2023-01-18,55.08,55.11,53.68,53.71,53.2607827734393,1263113,0.0000,1.0
2023-01-17,55.61,56.15,54.8896,55.08,54.6193244304792,1414818,0.0000,1.0
2023-01-13,55.76,55.76,55.13,55.51,55.0457280162654,899346,0.0000,1.0
2023-01-12,55.94,56.26,55.54,55.8,55.3333025276096,1151235,0.0000,1.0
2023-01-11,55.14,55.95,55.04,55.94,55.4721316020517,1390286,0.0000,1.0
2023-01-10,55.12,55.32,54.46,54.97,54.5102444434176,1068339,0.0000,1.0
2023-01-09,54.93,55.58,54.6,55.44,54.9763134790444,1314631,0.0000,1.0
2023-01-06,54.78,55.62,54.725,55.35,54.8870662169031,994531,0.0000,1.0
2023-01-05,55.42,55.47,54.05,54.13,53.6772699967654,918198,0.0000,1.0
2023-01-04,55.48,56.26,55.06,55.79,55.3233861651495,1361513,0.0000,1.0
2023-01-03,55.24,55.54,54.135,55.37,54.9068989418234,1111570,0.0000,1.0
2022-12-30,56.03,56.29,54.74,55.21,54.7482371424611,1022311,0.0000,1.0
2022-12-29,55.52,56.46,55.28,56.03,55.561378864193,1020005,0.0000,1.0
2022-12-28,56.11,56.34,55.14,55.21,54.7482371424611,812389,0.0000,1.0
2022-12-27,55.28,56.15,54.98,56.03,55.561378864193,742229,0.0000,1.0
2022-12-23,54.66,55.37,54.53,55.3,54.8374844046024,819047,0.0000,1.0
2022-12-22,54.94,54.94,53.82,54.77,54.3119171942147,854849,0.0000,1.0
2022-12-21,54.38,55.12,54.18,55.08,54.6193244304792,1270453,0.0000,1.0
2022-12-20,54.38,54.5158,53.7,54.15,53.6971027216857,1159511,0.0000,1.0
2022-12-19,54.42,54.93,54.06,54.29,53.8359317961277,1048531,0.0000,1.0
2022-12-16,54.89,55.17,53.91,54.61,54.1532553948524,2797835,0.0000,1.0
2022-12-15,55.77,55.89,55.09,55.39,54.9267316667437,939027,0.0000,1.0
2022-12-14,56.54,57.26,55.73,56.05,55.5812115891133,1840742,0.0000,1.0
2022-12-13,57.19,57.52,55.815,56.42,55.9481170001386,2857593,0.0000,1.0
2022-12-12,55.6,56.59,55.33,56.57,56.0968624370408,1047086,0.0000,1.0
2022-12-09,55.39,55.9,55.09,55.31,54.8474007670625,1023255,0.0000,1.0
2022-12-08,54.45,55.56,54.3,55.47,55.0060625664248,1111498,0.0000,1.0
2022-12-07,54.87,55.37,54.17,54.5,54.0441754077908,1457493,0.0000,1.0
2022-12-06,54.47,55.33,54.0,55.31,54.8474007670625,1073699,0.0000,1.0
2022-12-05,54.32,54.84,54.06,54.54,54.0838408576314,1219031,0.0000,1.0
2022-12-02,54.85,55.14,54.24,54.8,54.3416662815951,1233142,0.0000,1.0
2022-12-01,56.86,57.31,55.17,55.53,55.0655607411857,1999490,0.0000,1.0
2022-11-30,54.99,56.52,54.76,56.3,55.8291206506169,1643734,0.0000,1.0
2022-11-29,55.32,55.55,54.61,55.07,54.609408068019,1673961,0.0000,1.0
2022-11-28,55.96,56.21,55.51,55.78,55.3134698026893,1281044,0.0000,1.0
2022-11-25,56.25,56.67,56.21,56.45,55.9778660875191,337532,0.0000,1.0
2022-11-23,55.36,56.01,55.22,55.97,55.5018806894321,947685,0.0000,1.0
2022-11-22,54.13,55.835,53.82,55.42,54.9564807541241,1438802,0.0000,1.0
2022-11-21,55.38,55.89,55.13,55.34,54.877149854443,1099063,0.0000,1.0
2022-11-18,54.33,55.41,54.29,55.26,54.7978189547618,1537558,0.0000,1.0
2022-11-17,53.98,54.121,53.19,53.77,53.3202809482002,1178224,0.0000,1.0
2022-11-16,53.63,54.72,53.63,54.51,54.0540917702509,1197102,0.0000,1.0
2022-11-15,53.77,54.02,52.885,53.63,53.1814518737581,1209639,0.0000,1.0
2022-11-14,54.04,54.25,53.32,53.32,52.8740446374937,1277682,0.0000,1.0
2022-11-11,55.14,55.41,53.84,53.93,53.4789427475625,2150782,0.0000,1.0
2022-11-10,54.68,55.63,53.71,55.52,55.0556443787256,2730810,0.0000,1.0
2022-11-09,52.83,54.12,52.77,53.34,52.8938773624139,2063893,0.0000,1.0
2022-11-08,51.5,53.42,51.06,52.98,52.5368883138487,2948202,0.0000,1.0
2022-11-07,52.78,52.955,50.83,51.57,51.1386812069683,2444730,0.0000,1.0
2022-11-04,52.15,52.825,51.69,52.73,52.2889792523451,1341926,0.0000,1.0
2022-11-03,51.74,52.49,51.14,52.15,51.7138302296567,1382918,0.0000,1.0
2022-11-02,52.28,53.68,52.115,52.12,51.6840811422762,1725781,0.0000,1.0
2022-11-01,52.43,52.725,51.81,52.63,52.1898156277436,1683426,0.0000,1.0
2022-10-31,52.51,52.51,51.74,52.17,51.733662954577,1671864,0.0000,1.0
2022-10-28,50.89,52.475,50.82,52.37,51.9319902037799,1343879,0.4275,1.0
2022-10-27,51.18,51.93,50.83,50.9,50.0655959348908,1688012,0.0000,1.0
2022-10-26,51.16,51.4,50.44,50.63,49.8000220468275,1876445,0.0000,1.0
2022-10-25,49.91,50.94,49.83,50.72,49.8885466761819,2674403,0.0000,1.0
2022-10-24,50.185,50.61,49.395,49.81,48.9934643127094,1911234,0.0000,1.0
2022-10-21,48.99,50.125,48.525,49.76,48.9442839630681,2324174,0.0000,1.0
2022-10-20,49.86,50.05,48.5,48.7,47.9016605506715,2541496,0.0000,1.0
2022-10-19,50.24,50.6,49.84,50.35,49.524612088836,1079604,0.0000,1.0
2022-10-18,50.31,51.22,50.3,50.92,50.0852680747473,1698722,0.0000,1.0
2022-10-17,49.78,50.3875,49.53,49.74,48.9246118232115,1828259,0.0000,1.0
2022-10-14,49.91,50.2,48.37,48.93,48.1278901590217,2273078,0.0000,1.0
2022-10-13,47.46,49.67,47.19,49.49,48.6787100750048,2112679,0.0000,1.0
2022-10-12,50.11,50.13,48.03,48.06,47.2721520752623,2185008,0.0000,1.0
2022-10-11,49.58,50.97,49.58,50.28,49.4557595993381,2358741,0.0000,1.0
2022-10-10,50.08,50.48,49.8,49.87,49.052480732279,1625042,0.0000,1.0
2022-10-07,51.24,51.39,49.26,49.65,48.8360871938571,2724702,0.0000,1.0
2022-10-06,52.94,52.94,51.2,51.25,50.4098583823802,2586740,0.0000,1.0
2022-10-05,54.43,54.43,52.605,53.05,52.1803509694687,2264019,0.0000,1.0
2022-10-04,54.52,55.51,54.32,55.01,54.1082206754094,2806502,0.0000,1.0
2022-10-03,53.75,54.84,53.32,54.33,53.4393679202871,2225192,0.0000,1.0
2022-09-30,54.77,55.03,52.81,52.99,52.121334549899,2358871,0.0000,1.0
2022-09-29,56.88,56.97,54.475,54.54,53.6459253887808,1583738,0.0000,1.0
2022-09-28,57.29,57.6756,56.45,57.21,56.2721560596287,1211411,0.0000,1.0
2022-09-27,58.04,58.31,56.57,56.84,55.9082214722827,1209671,0.0000,1.0
