timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,54.25,54.5,53.44,54.12,54.12,3156837,0.0000,1.0
2023-02-07,53.74,54.74,53.26,54.51,54.51,1648223,0.0000,1.0
2023-02-06,54.67,54.805,53.98,54.32,54.32,1338796,0.0000,1.0
2023-02-03,55.44,56.29,54.96,55.39,55.39,1946959,0.0000,1.0
2023-02-02,55.19,57.13,54.96,56.69,56.69,2739349,0.0000,1.0
2023-02-01,53.0,54.99,52.925,54.35,54.35,3233749,0.0000,1.0
2023-01-31,50.87,53.21,50.765,53.2,53.2,1773854,0.0000,1.0
2023-01-30,50.57,51.22,50.38,50.4,50.4,1064173,0.0000,1.0
2023-01-27,50.46,51.305,50.18,51.04,51.04,1007425,0.0000,1.0
2023-01-26,50.4,50.89,49.57,50.58,50.58,2225076,0.0000,1.0
2023-01-25,50.49,51.389,50.155,51.32,51.32,1060318,0.0000,1.0
2023-01-24,50.61,51.81,50.6,51.12,51.12,1299140,0.0000,1.0
2023-01-23,50.37,51.185,50.155,51.13,51.13,1590295,0.0000,1.0
2023-01-20,48.54,50.235,48.05,50.14,50.14,1797414,0.0000,1.0
2023-01-19,49.82,49.88,48.18,48.24,48.24,2012140,0.0000,1.0
2023-01-18,51.61,51.765,50.33,50.39,50.39,2144235,0.0000,1.0
2023-01-17,51.4,52.05,50.87,50.93,50.93,1656777,0.0000,1.0
2023-01-13,51.36,52.19,51.05,52.0,52.0,1445120,0.0000,1.0
2023-01-12,52.28,52.28,50.54,51.87,51.87,1306327,0.0000,1.0
2023-01-11,50.37,51.75,50.32,51.69,51.69,1431957,0.0000,1.0
2023-01-10,49.97,50.82,49.79,50.81,50.81,1446581,0.0000,1.0
2023-01-09,50.28,51.34,50.09,50.36,50.36,1820561,0.0000,1.0
2023-01-06,48.59,49.955,48.39,49.66,49.66,1391050,0.0000,1.0
2023-01-05,48.1,48.45,47.33,48.14,48.14,1753078,0.0000,1.0
2023-01-04,48.33,48.93,47.9,48.73,48.73,1196739,0.0000,1.0
2023-01-03,47.4,47.835,47.02,47.42,47.42,1332070,0.0000,1.0
2022-12-30,46.63,46.965,46.09,46.67,46.67,1233811,0.0000,1.0
2022-12-29,46.51,47.5,46.3,47.23,47.23,974922,0.0000,1.0
2022-12-28,47.33,47.55,46.09,46.14,46.14,1335622,0.0000,1.0
2022-12-27,46.97,47.3,46.7,47.26,47.26,896539,0.0000,1.0
2022-12-23,46.84,47.16,46.45,47.13,47.13,777442,0.0000,1.0
2022-12-22,46.41,47.07,45.74,46.93,46.93,1202567,0.0000,1.0
2022-12-21,46.89,47.31,46.63,47.12,47.12,1427637,0.0000,1.0
2022-12-20,46.54,46.78,46.18,46.53,46.53,2232980,0.0000,1.0
2022-12-19,47.18,47.415,46.61,46.96,46.96,1515921,0.0000,1.0
2022-12-16,48.15,48.38,46.63,47.42,47.42,3750232,0.0000,1.0
2022-12-15,49.13,49.39,48.3,48.54,48.54,3276035,0.0000,1.0
2022-12-14,51.17,51.49,49.75,50.14,50.14,2255830,0.0000,1.0
2022-12-13,52.35,52.35,50.88,51.42,51.42,2317936,0.0000,1.0
2022-12-12,49.49,49.76,48.97,49.66,49.66,1082559,0.0000,1.0
2022-12-09,49.46,49.98,49.12,49.32,49.32,987940,0.0000,1.0
