timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,85.82,86.42,84.6,84.79,84.79,4189053,0.0000,1.0
2023-02-07,84.63,86.995,84.16,86.52,86.52,6388586,0.0000,1.0
2023-02-06,84.29,86.24,83.8,84.47,84.47,5810356,0.0000,1.0
2023-02-03,83.72,87.76,83.51,85.34,85.34,8935154,0.0000,1.0
2023-02-02,82.02,84.95,82.0,84.53,84.53,8886188,0.0000,1.0
2023-02-01,77.9,82.08,77.88,81.16,81.16,7166987,0.0000,1.0
2023-01-31,75.68,77.74,75.635,77.62,77.62,9737358,0.0000,1.0
2023-01-30,76.81,77.41,75.49,75.68,75.68,4574120,0.0000,1.0
2023-01-27,77.31,78.595,77.1,77.68,77.68,4450187,0.0000,1.0
2023-01-26,77.31,78.36,76.24,78.26,78.26,4797623,0.0000,1.0
2023-01-25,74.57,76.22,73.8,76.13,76.13,3697037,0.0000,1.0
2023-01-24,75.43,76.64,75.26,75.72,75.72,3233464,0.0000,1.0
2023-01-23,73.85,76.66,73.85,76.31,76.31,4608821,0.0000,1.0
2023-01-20,72.53,73.75,71.47,73.6,73.6,3925398,0.0000,1.0
2023-01-19,73.52,73.67,71.41,71.75,71.75,4882464,0.0000,1.0
2023-01-18,75.38,76.08,73.83,73.9,73.9,4412681,0.0000,1.0
2023-01-17,74.87,75.77,73.585,74.49,74.49,3030030,0.0000,1.0
2023-01-13,74.77,75.07,73.91,74.92,74.92,4004333,0.0000,1.0
2023-01-12,75.67,75.91,73.98,75.24,75.24,3370536,0.0000,1.0
2023-01-11,75.74,75.99,74.73,75.4,75.4,3997529,0.0000,1.0
2023-01-10,73.99,75.53,73.365,75.45,75.45,2744662,0.0000,1.0
2023-01-09,74.0,75.39,73.56,73.8,73.8,3398399,0.0000,1.0
2023-01-06,70.68,73.26,69.74,72.77,72.77,4858571,0.0000,1.0
2023-01-05,69.86,70.78,68.98,69.1,69.1,4025980,0.0000,1.0
2023-01-04,70.61,71.61,69.58,70.79,70.79,5214579,0.0000,1.0
2023-01-03,71.29,71.58,68.405,69.1,69.1,3536832,0.0000,1.0
2022-12-30,69.33,70.33,68.81,70.25,70.25,2438213,0.0000,1.0
2022-12-29,68.79,70.77,68.72,70.45,70.45,3825228,0.0000,1.0
2022-12-28,68.55,69.61,67.69,67.87,67.87,2674344,0.0000,1.0
2022-12-27,69.44,69.67,68.32,69.03,69.03,3642293,0.0000,1.0
2022-12-23,69.39,69.99,68.69,69.93,69.93,2501261,0.0000,1.0
2022-12-22,71.37,71.37,68.45,69.91,69.91,7644483,0.0000,1.0
2022-12-21,71.76,73.04,71.58,72.96,72.96,3209481,0.0000,1.0
2022-12-20,70.63,72.13,70.28,71.22,71.22,2666573,0.0000,1.0
2022-12-19,72.95,72.95,70.49,71.48,71.48,5084798,0.0000,1.0
2022-12-16,72.16,72.96,71.51,72.67,72.67,9412532,0.0000,1.0
2022-12-15,74.72,75.0,72.53,72.71,72.71,6189968,0.0000,1.0
2022-12-14,77.42,78.37,75.51,76.11,76.11,3707546,0.0000,1.0
2022-12-13,80.04,80.5,76.37,77.41,77.41,5413356,0.0000,1.0
2022-12-12,75.53,77.4,75.37,77.33,77.33,4292957,0.0000,1.0
2022-12-09,75.91,77.385,75.35,75.88,75.88,3210367,0.0000,1.0
2022-12-08,75.83,77.14,75.25,76.82,76.82,3677557,0.0000,1.0
2022-12-07,74.67,75.82,74.42,75.23,75.23,3014240,0.0000,1.0
2022-12-06,76.42,76.635,74.53,75.14,75.14,3428923,0.0000,1.0
2022-12-05,76.73,77.11,75.92,76.58,76.58,3433567,0.0000,1.0
2022-12-02,76.26,77.39,76.03,77.31,77.31,4036717,0.0000,1.0
2022-12-01,79.75,79.91,77.35,78.32,78.32,4118318,0.0000,1.0
2022-11-30,74.72,79.28,73.64,79.19,79.19,7850455,0.0000,1.0
2022-11-29,74.77,74.945,73.33,74.22,74.22,2624461,0.0000,1.0
2022-11-28,74.78,76.48,73.74,74.34,74.34,4811214,0.0000,1.0
2022-11-25,76.26,76.73,75.63,75.67,75.67,1753429,0.0000,1.0
2022-11-23,75.09,77.49,74.96,76.62,76.62,5039246,0.0000,1.0
2022-11-22,72.88,75.29,72.65,75.18,75.18,5455133,0.0000,1.0
2022-11-21,73.495,73.65,71.61,72.25,72.25,4204446,0.3280,1.0
2022-11-18,75.12,75.25,73.51,74.17,73.8348053129047,2763676,0.0000,1.0
2022-11-17,71.94,74.13,71.84,73.79,73.4565226377139,3296615,0.0000,1.0
2022-11-16,75.12,75.63,72.905,73.64,73.3072005290859,6007470,0.0000,1.0
2022-11-15,77.67,78.12,75.59,76.94,76.5922869189011,4947779,0.0000,1.0
2022-11-14,75.12,76.99,74.8,74.89,74.5515514343189,4908647,0.0000,1.0
2022-11-11,74.23,76.28,73.05,75.83,75.4873033150541,4963814,0.0000,1.0
2022-11-10,70.68,74.22,70.1,73.92,73.5859351318582,10557326,0.0000,1.0
2022-11-09,66.8,67.39,65.61,66.5,66.1994681583951,5483097,0.0000,1.0
2022-11-08,66.89,68.63,65.85,67.76,67.45377387087,6804449,0.0000,1.0
2022-11-07,64.48,65.795,63.1,65.53,65.2338518559343,6304714,0.0000,1.0
2022-11-04,66.44,66.5,62.13,63.86,63.571399046543,11234145,0.0000,1.0
2022-11-03,59.95,60.58,58.61,59.46,59.1912838601229,5458213,0.0000,1.0
2022-11-02,62.8,64.21,60.59,60.64,60.3659511146628,6138490,0.0000,1.0
2022-11-01,63.15,63.48,61.82,62.36,62.0781779602634,4695923,0.0000,1.0
2022-10-31,62.24,62.46,60.74,61.74,61.4609799112679,5515382,0.0000,1.0
2022-10-28,61.61,63.305,60.99,63.0,62.7152856237427,11230992,0.0000,1.0
2022-10-27,63.52,64.0,61.11,61.24,60.9632395491747,7152168,0.0000,1.0
2022-10-26,62.9,64.58,62.1,62.57,62.2872289123426,5347949,0.0000,1.0
