timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,363.61,369.89,363.33,366.68,366.68,760950,0.0000,1.0
2023-02-07,357.7,364.54,355.73,363.61,363.61,953439,0.0000,1.0
2023-02-06,364.02,367.0,357.64,358.13,358.13,1335386,0.0000,1.0
2023-02-03,367.22,373.03,361.54,362.58,362.58,1320551,0.0000,1.0
2023-02-02,376.0,381.3,355.53,366.48,366.48,2692007,0.0000,1.0
2023-02-01,374.69,378.75,369.44,370.98,370.98,1739063,0.0000,1.0
2023-01-31,378.06,380.06,373.63,378.68,378.68,1252409,0.0000,1.0
2023-01-30,379.72,383.245,378.3945,378.69,378.69,674848,0.0000,1.0
2023-01-27,385.24,387.57,378.48,379.2,379.2,750786,0.0000,1.0
2023-01-26,376.99,384.14,375.09,384.12,384.12,858242,0.0000,1.0
2023-01-25,376.04,380.96,375.925,376.05,376.05,985429,0.0000,1.0
2023-01-24,375.9,377.24,368.42,376.5,376.5,918969,0.0000,1.0
2023-01-23,378.35,381.045,374.9,375.03,375.03,1132272,0.0000,1.0
2023-01-20,380.17,380.46,374.62,378.04,378.04,1326699,0.0000,1.0
2023-01-19,378.47,379.97,375.83,378.72,378.72,790213,0.0000,1.0
2023-01-18,381.93,384.43,378.28,378.4,378.4,734430,0.0000,1.0
2023-01-17,381.81,385.36,381.1,383.47,383.47,803664,0.0000,1.0
2023-01-13,379.63,384.24,379.6,381.81,381.81,701814,0.0000,1.0
2023-01-12,379.56,383.0624,377.595,380.84,380.84,756005,0.0000,1.0
2023-01-11,384.98,384.98,380.425,380.8,380.8,956551,0.0000,1.0
2023-01-10,381.72,383.27,379.77,382.67,382.67,742473,0.0000,1.0
2023-01-09,385.98,391.49,381.96,381.96,381.96,1092416,0.0000,1.0
2023-01-06,378.0,386.6782,377.07,386.05,386.05,993770,0.0000,1.0
2023-01-05,374.0,374.12,371.095,374.05,374.05,1075760,0.0000,1.0
2023-01-04,373.61,375.64,368.85,374.01,374.01,959484,0.0000,1.0
2023-01-03,372.74,375.39,368.0,374.33,374.33,732752,0.0000,1.0
2022-12-30,375.02,376.07,371.43,375.12,375.12,499238,0.0000,1.0
2022-12-29,378.67,379.13,373.77,375.12,375.12,648539,0.0000,1.0
2022-12-28,380.4,381.73,377.2,377.51,377.51,783057,0.0000,1.0
2022-12-27,384.73,385.06,379.76,380.19,380.19,842884,0.0000,1.0
2022-12-23,382.0,385.22,380.36,383.67,383.67,514132,0.0000,1.0
2022-12-22,380.4,386.43,379.2124,381.79,381.79,752442,0.0000,1.0
2022-12-21,377.49,381.0436,375.21,380.46,380.46,744719,0.0000,1.0
2022-12-20,376.12,379.58,375.53,375.55,375.55,1109432,0.0000,1.0
2022-12-19,372.73,380.94,371.8,375.54,375.54,1491075,0.0000,1.0
2022-12-16,364.98,373.43,363.08,372.64,372.64,2851012,0.0000,1.0
2022-12-15,371.76,372.035,366.01,368.28,368.28,1445484,0.0000,1.0
2022-12-14,372.47,374.16,365.7,372.31,372.31,1570422,0.0000,1.0
2022-12-13,377.3,377.44,367.95,371.09,371.09,1255788,0.0000,1.0
2022-12-12,372.0,377.85,369.27,377.75,377.75,983617,0.0000,1.0
2022-12-09,379.79,379.79,370.4223,371.41,371.41,1229395,0.0000,1.0
2022-12-08,386.0,387.94,380.47,381.64,381.64,803318,0.0000,1.0
2022-12-07,380.42,387.985,379.6,385.51,385.51,1141422,0.0000,1.0
2022-12-06,382.17,383.78,375.22,378.04,378.04,965801,0.0000,1.0
2022-12-05,382.76,383.7,378.03,382.44,382.44,864807,0.0000,1.0
2022-12-02,378.61,389.445,377.8,386.85,386.85,1052673,0.0000,1.0
2022-12-01,382.5,384.64,379.13,379.72,379.72,927626,0.0000,1.0
2022-11-30,379.95,382.31,374.765,381.68,381.68,2060602,0.5400,1.0
