timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,122.1,122.72,119.58,121.56,121.56,3005142,0.0000,1.0
2023-02-07,116.78,122.64,116.78,122.23,122.23,5361908,0.0000,1.0
2023-02-06,118.54,119.41,114.115,116.41,116.41,4190064,0.0000,1.0
2023-02-03,120.57,121.875,118.04,118.2,118.2,3255123,0.0000,1.0
2023-02-02,122.76,122.83,118.09,119.9,119.9,6275745,0.0000,1.0
2023-02-01,128.85,129.1,121.87,122.97,122.97,5189881,0.0000,1.0
2023-01-31,131.55,133.0,126.71,128.52,128.52,5408672,0.0000,1.0
2023-01-30,132.2,133.5,129.01,129.14,129.14,4152328,0.0000,1.0
2023-01-27,135.16,136.46,132.4,132.85,132.85,3400601,0.0000,1.0
2023-01-26,130.71,135.42,129.69,135.35,135.35,4005337,0.0000,1.0
2023-01-25,129.46,130.85,128.29,129.81,129.81,3671645,0.0000,1.0
2023-01-24,117.31,130.74,117.31,130.21,130.21,3782200,0.0000,1.0
2023-01-23,126.24,128.825,126.081,126.88,126.88,3963352,0.0000,1.0
2023-01-20,123.26,126.15,122.534,125.72,125.72,2882014,0.0000,1.0
2023-01-19,120.47,123.66,120.22,123.23,123.23,2475569,0.0000,1.0
2023-01-18,122.83,125.85,121.01,121.31,121.31,3709344,0.0000,1.0
2023-01-17,122.83,125.3,121.29,121.77,121.77,3746939,0.0000,1.0
2023-01-13,121.12,122.89,120.24,121.93,121.93,2780709,0.0000,1.0
2023-01-12,118.45,121.83,118.45,121.01,121.01,3091314,0.0000,1.0
2023-01-11,118.31,118.77,117.17,117.6,117.6,2977033,0.0000,1.0
2023-01-10,115.73,116.89,114.04,116.5,116.5,2752352,0.0000,1.0
2023-01-09,119.39,119.92,114.89,115.76,115.76,3716831,0.0000,1.0
2023-01-06,116.85,119.35,116.06,116.82,116.82,3102813,0.0000,1.0
2023-01-05,110.58,115.78,110.25,115.73,115.73,4093558,0.0000,1.0
2023-01-04,109.08,112.14,109.0,110.58,110.58,3664596,0.0000,1.0
2023-01-03,115.65,115.65,110.32,110.92,110.92,4363887,0.0000,1.0
2022-12-30,115.67,116.76,115.39,116.39,116.39,2370808,0.0000,1.0
2022-12-29,114.52,116.41,114.25,116.18,116.18,2054071,0.0000,1.0
2022-12-28,116.75,116.99,113.96,114.52,114.52,2650566,0.0000,1.0
2022-12-27,115.74,117.11,115.23,116.82,116.82,2420033,0.0000,1.0
2022-12-23,112.66,115.39,112.08,115.12,115.12,2388039,0.0000,1.0
2022-12-22,114.6,114.73,109.63,111.65,111.65,2700327,0.0000,1.0
2022-12-21,114.6,115.16,112.8,114.55,114.55,3226056,0.0000,1.0
2022-12-20,111.32,114.36,111.07,113.01,113.01,3520727,0.0000,1.0
2022-12-19,110.63,112.4,110.2729,111.07,111.07,3408890,0.0000,1.0
2022-12-16,108.47,110.21,107.7,109.75,109.75,14691259,0.0000,1.0
2022-12-15,110.17,110.98,108.07,110.87,110.87,4255915,0.0000,1.0
2022-12-14,111.61,112.68,109.69,110.94,110.94,4257790,0.0000,1.0
2022-12-13,112.8,113.8,110.36,111.12,111.12,4260294,0.0000,1.0
2022-12-12,107.3,111.21,106.62,111.21,111.21,5812632,0.0000,1.0
2022-12-09,108.35,110.1,106.52,106.83,106.83,5379930,0.0000,1.0
2022-12-08,110.72,111.54,108.36,108.85,108.85,4547387,0.0000,1.0
2022-12-07,109.21,110.815,107.86,109.0,109.0,5190248,0.0000,1.0
2022-12-06,111.81,113.75,108.13,109.29,109.29,5049361,0.0000,1.0
2022-12-05,118.75,119.3,111.98,112.45,112.45,4945647,0.0000,1.0
2022-12-02,119.64,121.19,117.57,118.23,118.23,3889225,0.0000,1.0
2022-12-01,122.7,123.09,120.18,120.23,120.23,3243598,0.0000,1.0
2022-11-30,124.51,124.93,120.39,121.81,121.81,7568560,0.0000,1.0
2022-11-29,122.7,124.64,122.16,123.47,123.47,2921495,0.0000,1.0
2022-11-28,122.5,124.6599,121.52,121.92,121.92,3414724,0.0000,1.0
2022-11-25,126.22,127.62,125.07,125.2,125.2,1588506,0.0000,1.0
2022-11-23,124.76,127.35,124.28,125.6,125.6,3941363,0.0000,1.0
2022-11-22,121.99,127.32,121.83,126.6,126.6,4314031,0.0000,1.0
2022-11-21,119.97,120.79,116.59,120.31,120.31,5107356,0.0000,1.0
2022-11-18,118.69,121.83,117.97,121.18,121.18,3783502,0.0000,1.0
2022-11-17,118.19,120.49,117.7545,120.4,120.4,3202198,0.0000,1.0
2022-11-16,118.73,120.535,118.14,119.86,119.86,2758644,0.0000,1.0
2022-11-15,120.88,121.42,118.19,120.0,120.0,3580655,0.7500,1.0
2022-11-14,121.15,123.12,120.41,120.53,119.781366459627,2801038,0.0000,1.0
2022-11-11,120.72,122.69,119.845,121.23,120.47701863354,3390221,0.0000,1.0
2022-11-10,118.44,119.43,116.485,119.18,118.439751552795,2875487,0.0000,1.0
2022-11-09,118.44,119.41,115.72,115.86,115.140372670807,2882369,0.0000,1.0
2022-11-08,119.43,119.625,117.32,119.1,118.360248447205,2108841,0.0000,1.0
2022-11-07,118.09,120.38,117.66,119.5,118.757763975155,4505804,0.0000,1.0
2022-11-04,120.32,120.98,116.38,117.65,116.919254658385,2748583,0.0000,1.0
2022-11-03,114.11,118.94,113.28,118.2,117.465838509317,3042142,0.0000,1.0
