timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,460.0,471.44,457.4,463.0,463.0,726852,0.0000,1.0
2023-02-07,451.65,471.035,449.47,467.62,467.62,598564,0.0000,1.0
2023-02-06,446.84,463.195,445.01,449.68,449.68,473168,0.0000,1.0
2023-02-03,460.39,473.31,453.61,456.3,456.3,693489,0.0000,1.0
2023-02-02,461.39,479.585,461.39,473.96,473.96,608464,0.0000,1.0
2023-02-01,426.55,464.72,426.44,457.77,457.77,1083162,0.0000,1.0
2023-01-31,407.79,426.79,405.7,426.56,426.56,466563,0.0000,1.0
2023-01-30,416.45,418.29,406.15,407.62,407.62,635018,0.0000,1.0
2023-01-27,428.64,432.78,422.13,425.07,425.07,484221,0.0000,1.0
2023-01-26,431.46,436.42,420.77,432.76,432.76,295811,0.0000,1.0
2023-01-25,407.79,426.2,402.14,424.69,424.69,350830,0.0000,1.0
2023-01-24,425.92,434.8,415.52,419.13,419.13,445814,0.0000,1.0
2023-01-23,403.99,429.6,399.06,428.51,428.51,792509,0.0000,1.0
2023-01-20,390.38,397.94,383.28,397.78,397.78,358878,0.0000,1.0
2023-01-19,391.59,393.24,379.095,383.29,383.29,650543,0.0000,1.0
2023-01-18,405.79,409.575,397.22,397.85,397.85,307491,0.0000,1.0
2023-01-17,395.92,403.775,395.92,401.68,401.68,478474,0.0000,1.0
2023-01-13,392.75,398.74,391.34,398.46,398.46,208956,0.0000,1.0
2023-01-12,398.0,404.53,387.114,399.64,399.64,457586,0.0000,1.0
2023-01-11,390.37,397.9,388.52,397.37,397.37,486309,0.0000,1.0
2023-01-10,383.42,391.42,381.34,388.17,388.17,391783,0.0000,1.0
2023-01-09,377.0,391.5,372.475,383.46,383.46,615047,0.0000,1.0
2023-01-06,350.96,370.62,345.7,367.45,367.45,549913,0.0000,1.0
2023-01-05,352.18,357.43,346.33,347.06,347.06,627070,0.0000,1.0
2023-01-04,348.68,361.1,348.52,357.83,357.83,591837,0.0000,1.0
2023-01-03,359.65,361.0295,339.28,342.95,342.95,588651,0.0000,1.0
2022-12-30,346.01,354.08,343.85,353.61,353.61,346220,0.0000,1.0
2022-12-29,347.62,355.86,345.955,353.42,353.42,506605,0.7500,1.0
2022-12-28,339.67,348.47,336.63,340.28,339.559413840811,343625,0.0000,1.0
2022-12-27,348.21,352.97,338.09,342.28,341.555178586554,441436,0.0000,1.0
2022-12-23,343.72,350.89,337.21,350.61,349.867538752576,421314,0.0000,1.0
2022-12-22,357.34,360.235,339.45,347.6,346.863912810232,982798,0.0000,1.0
2022-12-21,361.49,369.535,359.61,367.0,366.222830843945,454891,0.0000,1.0
2022-12-20,352.32,363.475,352.32,357.87,357.112164779626,370227,0.0000,1.0
2022-12-19,367.49,367.49,348.47,359.01,358.249750684699,730201,0.0000,1.0
2022-12-16,371.96,375.72,360.71,367.03,366.252767315131,1631273,0.0000,1.0
2022-12-15,383.76,384.485,373.01,373.3,372.509489793037,662811,0.0000,1.0
2022-12-14,401.51,406.49,390.43,395.39,394.552711409775,596175,0.0000,1.0
2022-12-13,412.88,416.14,389.97,401.52,400.669730355479,736386,0.0000,1.0
2022-12-12,385.85,393.23,382.78,393.03,392.197709009798,534758,0.0000,1.0
2022-12-09,380.0,391.51,378.09,386.1,385.282384165796,673628,0.0000,1.0
2022-12-08,370.29,388.91,365.15,385.35,384.533972386142,622416,0.0000,1.0
2022-12-07,360.04,369.01,358.64,367.77,366.991200271056,369692,0.0000,1.0
2022-12-06,374.2,374.91,360.0,363.86,363.089480193128,546520,0.0000,1.0
2022-12-05,378.56,383.6,371.64,375.06,374.265762769292,471387,0.0000,1.0
2022-12-02,371.44,386.17,368.92,383.21,382.398504108197,585784,0.0000,1.0
2022-12-01,381.01,384.9689,369.947,382.07,381.260918203123,669059,0.0000,1.0
2022-11-30,356.74,382.97,350.88,381.96,381.151151142107,781021,0.0000,1.0
2022-11-29,358.29,359.79,351.83,354.95,354.19834825084,396209,0.0000,1.0
2022-11-28,362.36,367.63,353.11,355.49,354.737204732191,574428,0.0000,1.0
2022-11-25,370.43,372.5408,369.15,369.28,368.498002654093,213418,0.0000,1.0
2022-11-23,371.12,382.45,370.81,375.69,374.894428664201,359501,0.0000,1.0
2022-11-22,372.08,374.28,366.115,374.02,373.227965101505,460684,0.0000,1.0
2022-11-21,370.06,376.325,368.14,368.28,367.500120281221,413316,0.0000,1.0
2022-11-18,384.16,384.31,372.135,377.31,376.510998108253,364932,0.0000,1.0
2022-11-17,363.8,379.59,361.2,376.04,375.243687494706,500869,0.0000,1.0
2022-11-16,396.63,399.34,373.73,375.38,374.585085128611,734092,0.0000,1.0
2022-11-15,405.44,409.73,400.46,405.03,404.172297484259,611199,0.0000,1.0
2022-11-14,388.98,396.21,386.18,387.97,387.148424203066,619183,0.0000,1.0
2022-11-11,386.88,402.54,382.01,393.37,392.536989016574,751729,0.0000,1.0
2022-11-10,364.01,388.85,363.82,386.87,386.050753592907,900578,0.0000,1.0
2022-11-09,348.82,352.78,342.35,343.84,343.111875088234,675537,0.0000,1.0
2022-11-08,359.91,363.77,349.67,356.15,355.395807098286,587592,0.0000,1.0
2022-11-07,355.36,356.28,345.45,352.96,352.212562328825,690325,0.0000,1.0
2022-11-04,343.98,353.17,339.26,351.74,350.995145833922,896488,0.0000,1.0
2022-11-03,328.94,341.67,328.2,334.2,333.49228901375,780405,0.0000,1.0
2022-11-02,347.44,355.52,334.35,334.54,333.831569020527,996148,0.0000,1.0
2022-11-01,349.66,353.81,343.47,348.88,348.141202247508,1177466,0.0000,1.0
2022-10-31,341.13,344.63,333.12,339.45,338.731171471327,1048630,0.0000,1.0
2022-10-28,325.27,348.71,320.0103,346.8,346.065606911935,2143857,0.0000,1.0
2022-10-27,339.79,344.145,323.735,329.48,328.782284213796,1160267,0.0000,1.0
2022-10-26,333.47,347.18,329.01,333.33,332.624131349352,851465,0.0000,1.0
2022-10-25,333.38,344.72,333.025,342.16,341.43543270181,798224,0.0000,1.0
2022-10-24,332.2,335.49,321.15,330.99,330.289086596832,649593,0.0000,1.0
2022-10-21,315.18,334.08,313.78,332.83,332.125190162916,798071,0.0000,1.0
2022-10-20,314.91,325.75,313.43,317.44,316.767780444419,536190,0.0000,1.0
2022-10-19,311.03,322.74,307.87,314.83,314.163307451224,576163,0.0000,1.0
