timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,256.61,260.02,255.28,258.0,258.0,633530,0.0000,1.0
2023-02-07,255.73,258.9,251.25,257.8,257.8,778472,0.0000,1.0
2023-02-06,255.54,259.555,254.95,258.24,258.24,619989,0.0000,1.0
2023-02-03,255.29,258.38,254.38,256.44,256.44,588753,0.0000,1.0
2023-02-02,260.54,261.02,254.33,255.92,255.92,856817,0.0000,1.0
2023-02-01,255.51,260.5725,253.89,259.77,259.77,583025,0.0000,1.0
2023-01-31,253.27,257.03,252.67,257.01,257.01,713689,0.0000,1.0
2023-01-30,253.65,255.19,251.95,252.24,252.24,732789,0.0000,1.0
2023-01-27,256.68,257.72,254.0,254.4,254.4,507960,0.0000,1.0
2023-01-26,260.95,261.46,255.5,257.25,257.25,620245,0.0000,1.0
2023-01-25,254.49,259.02,254.265,258.57,258.57,479159,0.0000,1.0
2023-01-24,255.57,257.3,252.16,256.23,256.23,418802,0.0000,1.0
2023-01-23,255.12,258.88,253.92,256.82,256.82,419485,0.0000,1.0
2023-01-20,252.65,255.46,251.0,255.31,255.31,488307,0.0000,1.0
2023-01-19,255.46,256.755,251.65,252.53,252.53,829241,0.0000,1.0
2023-01-18,263.87,264.425,256.52,256.86,256.86,533430,0.0000,1.0
2023-01-17,265.95,267.56,262.46,263.29,263.29,749495,0.0000,1.0
2023-01-13,260.79,266.56,260.01,266.01,266.01,556296,0.0000,1.0
2023-01-12,265.78,266.62,262.53,264.71,264.71,884658,0.0000,1.0
2023-01-11,258.3,264.5,257.1271,264.34,264.34,830361,0.0000,1.0
2023-01-10,260.96,262.396,259.66,262.35,262.35,411569,0.0000,1.0
2023-01-09,264.45,268.13,260.29,260.61,260.61,492067,0.0000,1.0
2023-01-06,258.86,265.09,256.66,263.84,263.84,359308,0.0000,1.0
2023-01-05,256.94,257.46,254.26,255.12,255.12,497957,0.0000,1.0
2023-01-04,259.4,260.67,256.065,258.02,258.02,646541,0.0000,1.0
2023-01-03,258.29,259.6,255.56,257.4,257.4,531518,0.0000,1.0
2022-12-30,257.73,257.8199,254.84,257.71,257.71,360900,0.0000,1.0
2022-12-29,255.98,259.735,255.9789,258.81,258.81,322090,0.0000,1.0
2022-12-28,256.11,257.3,253.55,253.8,253.8,290468,0.0000,1.0
2022-12-27,257.56,257.56,254.6245,256.63,256.63,271105,0.0000,1.0
2022-12-23,255.48,256.955,254.48,256.63,256.63,230629,0.0000,1.0
2022-12-22,256.33,256.33,251.47,255.42,255.42,610736,0.0000,1.0
2022-12-21,256.92,260.03,256.4,257.5,257.5,432741,0.0000,1.0
2022-12-20,255.42,256.75,253.85,255.82,255.82,419197,0.0000,1.0
2022-12-19,253.24,255.96,252.5594,254.59,254.59,644860,0.0000,1.0
2022-12-16,253.77,255.07,252.145,252.44,252.44,1191041,0.0000,1.0
2022-12-15,263.23,263.635,256.11,257.14,257.14,700243,0.0000,1.0
2022-12-14,267.21,273.07,263.96,265.83,265.83,970660,0.8800,1.0
2022-12-13,275.0,275.0,265.2,267.15,266.268548235912,927098,0.0000,1.0
2022-12-12,267.26,271.0,265.34,270.84,269.946373214353,441050,0.0000,1.0
2022-12-09,269.5,271.27,265.465,265.57,264.693761388774,465382,0.0000,1.0
2022-12-08,268.76,270.095,266.92,269.79,268.899837651382,450400,0.0000,1.0
2022-12-07,266.27,269.3,263.69,266.79,265.909736042893,614524,0.0000,1.0
2022-12-06,268.85,269.99,263.28,266.17,265.291781710472,673416,0.0000,1.0
2022-12-05,269.78,272.25,267.185,268.23,267.344984814968,527412,0.0000,1.0
2022-12-02,268.76,274.11,268.76,272.7,271.800236211616,602546,0.0000,1.0
2022-12-01,273.41,275.16,271.29,271.78,270.883271718346,747982,0.0000,1.0
2022-11-30,263.68,272.58,263.68,272.2,271.301885943534,1349525,0.0000,1.0
2022-11-29,264.83,266.36,263.54,264.46,263.587423793634,706116,0.0000,1.0
2022-11-28,266.9,268.53,265.06,265.98,265.102408608601,897721,0.0000,1.0
2022-11-25,267.29,268.9094,266.15,268.43,267.5443249222,212115,0.0000,1.0
2022-11-23,265.48,267.44,265.12,266.0,265.122342619324,447101,0.0000,1.0
2022-11-22,263.86,265.55,262.8223,265.06,264.185444115331,620083,0.0000,1.0
2022-11-21,262.64,265.34,261.82,262.38,261.514286678415,515303,0.0000,1.0
2022-11-18,258.12,263.99,257.0,262.94,262.072438978666,931682,0.0000,1.0
2022-11-17,254.63,256.82,252.7232,255.51,254.666953994976,553089,0.0000,1.0
2022-11-16,251.1,256.44,250.935,255.76,254.916129129017,599831,0.0000,1.0
2022-11-15,253.13,253.3,248.75,250.41,249.583781260545,704383,0.0000,1.0
2022-11-14,250.12,255.6,250.12,250.95,250.121999550073,686193,0.0000,1.0
2022-11-11,260.0,260.02,245.76,249.53,248.706684788722,2209513,0.0000,1.0
2022-11-10,260.06,261.45,257.28,259.61,258.753426193244,907116,0.0000,1.0
2022-11-09,255.86,255.98,252.65,253.62,252.783189981628,765907,0.0000,1.0
2022-11-08,255.87,260.45,253.4,256.8,255.952697686626,775981,0.0000,1.0
2022-11-07,255.66,257.54,253.015,255.53,254.686888005699,818278,0.0000,1.0
2022-11-04,251.94,258.5282,244.03,254.87,254.029065651832,1865053,0.0000,1.0
2022-11-03,237.81,239.56,235.5,238.18,237.394133703273,920074,0.0000,1.0
2022-11-02,242.46,247.27,239.9,239.9,239.108458625473,677496,0.0000,1.0
2022-11-01,250.76,250.98,242.54,242.89,242.0885932286,968667,0.0000,1.0
2022-10-31,248.87,251.87,245.62,249.71,248.886090885231,1125004,0.0000,1.0
2022-10-28,243.63,250.45,243.0,250.12,249.294738105058,990804,0.0000,1.0
2022-10-27,242.44,244.58,241.51,242.18,241.380935847925,854469,0.0000,1.0
2022-10-26,240.04,241.39,238.42,240.3,239.507138839939,794650,0.0000,1.0
2022-10-25,234.9,240.3,234.9,239.68,238.889184507518,683591,0.0000,1.0
2022-10-24,228.67,235.67,228.67,235.05,234.274461025083,735280,0.0000,1.0
2022-10-21,221.32,227.08,219.43,226.38,225.633067376551,728802,0.0000,1.0
2022-10-20,223.07,224.46,219.79,221.17,220.440257583143,653819,0.0000,1.0
2022-10-19,223.82,225.295,222.07,223.85,223.111415020059,471898,0.0000,1.0
2022-10-18,225.47,227.5,222.55,225.3,224.556630797495,564548,0.0000,1.0
2022-10-17,217.31,222.2,217.31,220.74,220.011676352593,832673,0.0000,1.0
2022-10-14,225.89,225.89,212.76,213.28,212.576290352818,1105883,0.0000,1.0
2022-10-13,219.9,225.92,217.01,225.37,224.626399835027,783329,0.0000,1.0
2022-10-12,225.45,226.275,223.29,223.33,222.593130741255,709085,0.0000,1.0
2022-10-11,225.97,226.91,222.555,224.25,223.510095234524,666176,0.0000,1.0
2022-10-10,230.73,230.73,226.4501,227.02,226.270955719696,402775,0.0000,1.0
2022-10-07,232.13,232.13,228.1601,229.85,229.091618237036,554070,0.0000,1.0
2022-10-06,236.67,238.14,233.55,234.2,233.427265569345,459431,0.0000,1.0
2022-10-05,232.74,238.19,232.52,236.86,236.078488995538,476130,0.0000,1.0
2022-10-04,232.69,236.27,232.11,235.42,234.643240223464,607268,0.0000,1.0
2022-10-03,227.37,230.52,225.93,228.97,228.214521765213,877496,0.0000,1.0
2022-09-30,225.9,228.62,223.68,223.97,223.231019084399,1074857,0.0000,1.0
2022-09-29,227.96,228.05,223.295,225.3,224.556630797495,656836,0.0000,1.0
2022-09-28,228.2,230.51,226.2,229.62,228.862377113719,712596,0.0000,1.0
2022-09-27,228.22,228.99,223.67,225.66,224.915442990514,674067,0.0000,1.0
2022-09-26,229.23,230.04,224.47,225.81,225.064948070938,665164,0.0000,1.0
2022-09-23,229.81,230.3,225.67,228.76,228.005214652619,692215,0.0000,1.0
2022-09-22,236.38,237.07,231.97,232.02,231.25445840051,730374,0.0000,1.0
2022-09-21,240.12,243.84,237.78,237.86,237.075189531701,656350,0.0000,1.0
2022-09-20,239.93,240.32,237.74,239.51,238.71974541637,570174,0.0000,1.0
2022-09-19,236.84,240.905,236.385,240.57,239.776247984703,697819,0.0000,1.0
2022-09-16,237.3,239.54,235.45,239.2,238.410768250159,1250512,0.0000,1.0
2022-09-15,241.57,241.59,236.94,238.16,237.37419969255,898910,0.0000,1.0
2022-09-14,243.53,245.67,240.3,242.31,241.510506917626,993548,0.7900,1.0
2022-09-13,249.34,250.85,244.925,246.08,244.47102238704,735995,0.0000,1.0
2022-09-12,252.0,253.68,251.34,253.51,251.852441829236,724206,0.0000,1.0
2022-09-09,251.07,251.44,248.69,250.22,248.583953274078,640814,0.0000,1.0
2022-09-08,248.49,250.65,247.7,250.36,248.723037893446,516940,0.0000,1.0
