timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,158.84,160.93,158.62,158.89,158.89,1053532,0.0000,1.0
2023-02-07,157.04,160.65,156.68,160.1,160.1,1186105,0.0000,1.0
2023-02-06,158.51,159.0,157.0062,157.78,157.78,1346986,0.0000,1.0
2023-02-03,155.47,159.64,155.47,159.02,159.02,2265850,0.0000,1.0
2023-02-02,155.48,157.26,154.05,156.02,156.02,1713712,0.0000,1.0
2023-02-01,153.97,156.85,153.66,154.4,154.4,2280150,0.0000,1.0
2023-01-31,153.79,156.0,152.8501,156.0,156.0,1384825,0.0000,1.0
2023-01-30,153.92,154.89,153.24,153.49,153.49,1143535,0.0000,1.0
2023-01-27,154.83,156.22,154.2,154.98,154.98,849072,0.0000,1.0
2023-01-26,156.82,158.0,154.61,155.01,155.01,891963,0.0000,1.0
2023-01-25,154.21,155.97,153.5115,155.89,155.89,1010390,0.0000,1.0
2023-01-24,154.94,156.8,153.1259,154.94,154.94,981401,0.0000,1.0
2023-01-23,154.56,156.72,153.908,154.76,154.76,1182480,0.0000,1.0
2023-01-20,155.38,157.35,153.59,153.69,153.69,2094646,0.0000,1.0
2023-01-19,148.17,155.48,139.03,153.81,153.81,3522233,0.0000,1.0
2023-01-18,149.02,149.445,145.63,145.8,145.8,1264736,0.0000,1.0
2023-01-17,149.38,151.38,147.25,150.54,150.54,1112673,0.0000,1.0
2023-01-13,147.67,149.63,144.38,149.55,149.55,1413329,0.0000,1.0
2023-01-12,150.31,150.99,149.19,149.64,149.64,1052055,0.0000,1.0
2023-01-11,148.78,149.6,146.91,149.35,149.35,1062934,0.0000,1.0
2023-01-10,149.22,149.84,147.36,148.0,148.0,1400647,0.0000,1.0
2023-01-09,150.19,150.23,148.2,148.55,148.55,1148827,0.0000,1.0
2023-01-06,147.49,150.73,146.67,150.19,150.19,1269398,0.0000,1.0
2023-01-05,146.18,147.0,145.08,146.24,146.24,1175781,0.0000,1.0
2023-01-04,146.6,148.13,145.56,146.59,146.59,1071055,0.0000,1.0
2023-01-03,145.0,146.99,144.1,144.97,144.97,874376,0.0000,1.0
2022-12-30,144.43,146.275,144.11,145.06,145.06,781956,0.0000,1.0
2022-12-29,143.62,146.04,142.85,145.47,145.47,666225,0.0000,1.0
2022-12-28,146.17,146.3,143.54,143.57,143.57,612002,0.0000,1.0
2022-12-27,144.72,146.35,143.67,145.86,145.86,561763,0.0000,1.0
2022-12-23,144.84,145.6,144.08,144.56,144.56,1060509,0.0000,1.0
2022-12-22,142.69,144.87,141.96,144.76,144.76,1338069,0.0000,1.0
2022-12-21,141.34,143.02,141.1823,143.01,143.01,1108709,0.0000,1.0
2022-12-20,141.08,142.0,140.28,140.31,140.31,998020,0.0000,1.0
2022-12-19,140.59,141.75,139.55,140.65,140.65,1212433,0.0000,1.0
2022-12-16,139.87,140.87,138.43,140.05,140.05,2420770,0.0000,1.0
2022-12-15,141.94,142.21,139.03,141.01,141.01,2030107,0.0000,1.0
2022-12-14,146.82,147.58,142.92,143.79,143.79,1496971,0.0000,1.0
2022-12-13,153.51,153.51,144.99,146.15,146.15,1967669,0.0000,1.0
2022-12-12,150.94,152.73,149.06,151.54,151.54,1608183,0.0000,1.0
2022-12-09,149.76,152.61,149.76,151.38,151.38,1496128,0.0000,1.0
2022-12-08,148.63,150.57,148.06,150.12,150.12,2359102,0.0000,1.0
2022-12-07,148.76,149.5,144.735,147.97,147.97,4485079,0.0000,1.0
2022-12-06,161.27,162.36,158.92,160.35,160.35,1205590,0.0000,1.0
2022-12-05,168.0,168.91,160.56,161.31,161.31,1607388,0.0000,1.0
2022-12-02,167.14,169.76,166.75,169.1,169.1,1094597,0.0000,1.0
2022-12-01,170.68,171.27,167.3,168.32,168.32,1205044,0.0000,1.0
2022-11-30,167.77,170.02,165.06,170.02,170.02,1662549,1.2000,1.0
2022-11-29,169.82,171.52,169.4457,170.92,169.722102558112,885469,0.0000,1.0
2022-11-28,171.01,171.98,168.92,169.52,168.33191449597,683871,0.0000,1.0
2022-11-25,172.55,172.585,171.29,172.14,170.933552155122,316459,0.0000,1.0
2022-11-23,171.48,172.07,170.98,171.87,170.665444457423,671847,0.0000,1.0
2022-11-22,171.27,172.26,170.36,171.67,170.466846162831,654575,0.0000,1.0
2022-11-21,170.76,171.5,168.44,169.52,168.33191449597,1110597,0.0000,1.0
2022-11-18,170.32,171.39,168.605,170.61,169.414275201495,1407449,0.0000,1.0
2022-11-17,166.55,168.55,166.55,167.89,166.713338395047,946444,0.0000,1.0
2022-11-16,170.14,171.16,168.29,168.69,167.507731573414,1155406,0.0000,1.0
2022-11-15,167.51,169.92,166.88,169.92,168.729111085154,1538493,0.0000,1.0
2022-11-14,166.29,169.43,165.23,165.85,164.687635790211,1337616,0.0000,1.0
