timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,34.81,34.95,34.54,34.79,34.79,2956603,0.0000,1.0
2023-02-07,34.55,35.18,34.21,35.01,35.01,3162789,0.0000,1.0
2023-02-06,34.21,34.75,33.9,34.68,34.68,3641371,0.0000,1.0
2023-02-03,34.74,35.02,34.2,34.43,34.43,2910336,0.0000,1.0
2023-02-02,34.83,35.4696,34.62,34.95,34.95,3840889,0.0000,1.0
2023-02-01,34.0,34.75,33.585,34.6,34.6,3155976,0.0000,1.0
2023-01-31,33.37,34.3,33.2,34.22,34.22,8191496,0.3775,1.0
2023-01-30,33.6,34.02,33.44,33.55,33.183929474673,3267935,0.0000,1.0
2023-01-27,33.5,33.795,33.175,33.75,33.381747236072,2937004,0.0000,1.0
2023-01-26,33.31,33.5,32.839,33.49,33.1245841462533,5119869,0.0000,1.0
2023-01-25,32.66,33.2,32.27,33.15,32.7882939518751,4950855,0.0000,1.0
2023-01-24,32.58,32.97,31.98,32.9,32.5410217501265,2931323,0.0000,1.0
2023-01-23,32.52,32.87,32.365,32.42,32.066259122769,5232568,0.0000,1.0
2023-01-20,30.98,32.285,30.67,32.21,31.8585504733001,3682273,0.0000,1.0
2023-01-19,31.55,31.69,30.815,31.03,30.6914256810463,2648553,0.0000,1.0
2023-01-18,32.33,32.4692,31.57,31.63,31.2848789652432,2212457,0.0000,1.0
2023-01-17,31.95,32.3925,31.91,32.15,31.7992051448804,3147969,0.0000,1.0
2023-01-13,32.23,32.56,31.275,31.88,31.5321511669918,3723999,0.0000,1.0
2023-01-12,32.46,32.88,32.1,32.62,32.2640768841679,2810816,0.0000,1.0
2023-01-11,32.9,33.01,32.0531,32.29,31.9376775778597,6663272,0.0000,1.0
2023-01-10,32.5,32.88,32.12,32.86,32.5014581978467,2812341,0.0000,1.0
2023-01-09,32.38,32.83,32.22,32.64,32.2838586603078,3557273,0.0000,1.0
2023-01-06,32.11,32.495,31.835,32.2,31.8486595852301,3177447,0.0000,1.0
2023-01-05,31.94,32.1896,31.7029,31.75,31.4035696220825,2494839,0.0000,1.0
2023-01-04,32.02,32.3,31.64,32.09,31.7398598164607,3929965,0.0000,1.0
2023-01-03,31.88,32.19,31.42,31.93,31.5816056073416,4230438,0.0000,1.0
2022-12-30,32.31,32.39,31.5888,31.82,31.4728058385721,2329400,0.0000,1.0
2022-12-29,32.13,32.57,32.0,32.4,32.0464773466291,2211473,0.0000,1.0
2022-12-28,32.3,32.4,31.705,31.86,31.5123693908519,2512708,0.0000,1.0
2022-12-27,31.96,32.26,31.72,32.24,31.8882231375099,3349542,0.0000,1.0
2022-12-23,31.9,32.08,31.57,31.91,31.5618238312017,3090310,0.0000,1.0
2022-12-22,32.09,32.155,31.4,31.89,31.5420420550618,2929055,0.0000,1.0
2022-12-21,32.0,32.56,31.655,32.42,32.066259122769,5618264,0.0000,1.0
2022-12-20,31.57,31.98,31.31,31.66,31.314551629453,4547763,0.0000,1.0
2022-12-19,31.62,32.6,31.295,31.54,31.1958609726136,4931975,0.0000,1.0
2022-12-16,31.39,31.575,30.64,31.05,30.7112074571862,19349192,0.0000,1.0
2022-12-15,32.29,32.55,31.52,31.85,31.502478502782,5236410,0.0000,1.0
2022-12-14,33.41,33.49,32.12,32.47,32.1157135631187,4239530,0.0000,1.0
2022-12-13,33.41,33.65,32.61,33.41,33.0454570416938,5181327,0.0000,1.0
2022-12-12,32.4,32.68,31.68,32.67,32.3135313245177,4547264,0.0000,1.0
2022-12-09,31.75,32.9,31.21,32.28,31.9277866897897,4281933,0.0000,1.0
2022-12-08,33.0,34.01,32.16,32.18,31.8288778090903,7225469,0.0000,1.0
2022-12-07,34.1,34.46,32.95,33.14,32.7784030638052,7768241,0.0000,1.0
2022-12-06,35.59,37.05,33.855,34.68,34.3015998265771,16832650,0.0000,1.0
2022-12-05,40.82,41.07,40.45,40.84,40.3943868776646,1771849,0.0000,1.0
2022-12-02,41.54,41.72,40.855,41.25,40.7999132885324,1748380,0.0000,1.0
2022-12-01,42.95,43.21,41.81,42.13,41.6703114386878,2811400,0.0000,1.0
2022-11-30,41.98,42.49,40.995,42.45,41.9868198569261,6252194,0.0000,1.0
2022-11-29,41.29,41.93,40.81,41.91,41.4527119011489,2429008,0.0000,1.0
2022-11-28,41.72,41.91,41.09,41.43,40.9779492737915,2007177,0.0000,1.0
2022-11-25,42.43,42.57,42.01,42.16,41.6999841028976,916172,0.0000,1.0
2022-11-23,42.25,42.59,42.0,42.44,41.9769289688561,1527889,0.0000,1.0
2022-11-22,41.43,42.435,41.35,42.34,41.8780200881567,1684307,0.0000,1.0
2022-11-21,42.01,42.145,40.82,41.16,40.7108952959029,2479915,0.0000,1.0
2022-11-18,41.73,42.27,41.21,42.24,41.7791112074572,2716098,0.0000,1.0
2022-11-17,42.37,42.3738,41.15,41.34,40.8889312811619,2506912,0.0000,1.0
2022-11-16,43.33,43.62,42.83,42.96,42.4912551484934,2006417,0.0000,1.0
2022-11-15,44.35,44.44,43.25,43.46,42.9857995519908,2901037,0.0000,1.0
2022-11-14,45.21,45.8,43.84,43.85,43.3715441867187,3105159,0.0000,1.0
2022-11-11,44.89,45.505,44.37,45.4,44.9046318375605,2916265,0.0000,1.0
2022-11-10,44.08,45.55,43.565,45.09,44.5980143073922,3296096,0.0000,1.0
2022-11-09,44.0,44.48,42.575,42.65,42.184637618325,3864197,0.0000,1.0
2022-11-08,45.3,45.7,44.17,44.25,43.7671797095166,4580394,0.0000,1.0
2022-11-07,43.87,45.47,43.0,45.21,44.7167049642315,4695895,0.0000,1.0
2022-11-04,43.82,44.56,43.435,44.35,43.8660885902161,2151844,0.0000,1.0
2022-11-03,42.82,44.1535,42.55,43.63,43.1539446491799,1572698,0.0000,1.0
2022-11-02,43.75,44.81,43.27,43.37,42.8967815593612,2312594,0.0000,1.0
2022-11-01,44.52,44.66,43.72,44.03,43.5495801719777,2459682,0.0000,1.0
2022-10-31,44.12,44.74,44.05,44.4,43.9155430305658,2284045,0.3500,1.0
2022-10-28,43.93,44.73,43.74,44.67,43.8370347972151,1653890,0.0000,1.0
2022-10-27,43.59,44.36,43.38,43.7,42.8851224678374,2393710,0.0000,1.0
2022-10-26,43.7,43.97,43.11,43.15,42.3453783635511,2060777,0.0000,1.0
2022-10-25,42.96,43.75,42.84,43.64,42.8262412928244,2046131,0.0000,1.0
2022-10-24,42.78,43.32,41.97,42.99,42.1883618968497,2030867,0.0000,1.0
2022-10-21,41.13,42.555,40.73,42.36,41.5701095592127,2753309,0.0000,1.0
2022-10-20,42.04,42.04,40.62,40.72,39.9606907755227,2249454,0.0000,1.0
2022-10-19,42.43,42.6,41.53,41.96,41.177568392459,1861188,0.0000,1.0
2022-10-18,42.45,43.15,42.42,42.96,42.1589213093431,2511527,0.0000,1.0
2022-10-17,41.79,42.39,41.7,41.91,41.1285007466148,1777496,0.0000,1.0
2022-10-14,41.46,41.905,40.71,41.04,40.2747237089256,1517556,0.0000,1.0
2022-10-13,39.07,41.62,39.04,41.18,40.4121131172894,2204514,0.0000,1.0
2022-10-12,40.98,40.98,39.74,39.75,39.008778446145,1683986,0.0000,1.0
2022-10-11,41.04,41.75,40.845,41.06,40.2943507672633,1924403,0.0000,1.0
2022-10-10,41.25,41.98,40.96,41.01,40.2452831214191,2320687,0.0000,1.0
2022-10-07,40.95,41.36,40.65,41.12,40.3532319422763,1915028,0.0000,1.0
2022-10-06,41.39,41.74,40.95,41.1,40.3336048839386,2221229,0.0000,1.0
2022-10-05,40.23,41.8,40.0072,41.5,40.7261460506923,2163323,0.0000,1.0
2022-10-04,39.59,41.03,39.5827,41.01,40.2452831214191,2317620,0.0000,1.0
2022-10-03,39.07,39.7,38.14,39.34,38.6064237502225,3401221,0.0000,1.0
2022-09-30,39.38,39.56,38.18,38.27,37.5563761291565,2667711,0.0000,1.0
2022-09-29,40.02,40.03,38.77,39.18,38.4494072835211,1996396,0.0000,1.0
2022-09-28,39.84,40.45,39.54,40.25,39.4994549045871,1887930,0.0000,1.0
2022-09-27,39.87,40.23,39.17,39.39,38.6554913960667,2774592,0.0000,1.0
2022-09-26,40.5,40.88,39.295,39.39,38.6554913960667,2077426,0.0000,1.0
2022-09-23,40.71,41.0,40.07,40.63,39.8723690130031,2046960,0.0000,1.0
2022-09-22,42.09,42.13,41.37,41.38,40.6083837006662,2133639,0.0000,1.0
2022-09-21,43.2,43.57,42.15,42.17,41.3836525050047,2379980,0.0000,1.0
2022-09-20,43.64,43.79,42.65,42.8,42.0019048426417,2002274,0.0000,1.0
2022-09-19,43.52,44.155,43.42,44.02,43.1991554012404,1613350,0.0000,1.0
2022-09-16,44.69,44.91,43.73,43.87,43.0519524637077,6025740,0.0000,1.0
2022-09-15,44.18,44.9,43.9,44.86,44.023491851423,3061703,0.0000,1.0
2022-09-14,43.67,44.33,43.67,44.31,43.4837477471368,2685566,0.0000,1.0
2022-09-13,43.66,44.24,43.22,43.36,42.5514624760968,2277630,0.0000,1.0
2022-09-12,43.45,44.4,43.325,44.36,43.532815392981,2393831,0.0000,1.0
