timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,67.01,67.16,66.06,66.41,66.41,1170409,0.0000,1.0
2023-02-07,65.92,67.52,65.64,67.42,67.42,1865172,0.0000,1.0
2023-02-06,66.84,67.09,65.885,66.08,66.08,1319348,0.0000,1.0
2023-02-03,68.31,68.8575,67.32,67.62,67.62,1349151,0.0000,1.0
2023-02-02,67.68,69.75,67.5,69.05,69.05,2243027,0.0000,1.0
2023-02-01,66.03,67.48,65.32,67.11,67.11,1952605,0.0000,1.0
2023-01-31,65.57,66.26,64.23,66.23,66.23,4312978,0.0000,1.0
2023-01-30,65.18,66.26,65.06,65.51,65.51,1699664,0.0000,1.0
2023-01-27,65.8,66.48,65.43,65.54,65.54,1724171,0.0000,1.0
2023-01-26,67.0,67.285,65.645,65.79,65.79,2337661,0.0000,1.0
2023-01-25,66.35,66.65,65.6348,66.37,66.37,1213347,0.0000,1.0
2023-01-24,66.96,67.49,66.53,66.86,66.86,1047692,0.0000,1.0
2023-01-23,65.96,67.5345,65.725,67.01,67.01,1318112,0.0000,1.0
2023-01-20,64.52,65.54,63.985,65.47,65.47,1077314,0.0000,1.0
2023-01-19,64.79,64.98,63.79,64.51,64.51,1549736,0.0000,1.0
2023-01-18,65.31,65.81,64.76,64.96,64.96,1663461,0.0000,1.0
2023-01-17,64.81,65.48,64.46,64.77,64.77,2329138,0.0000,1.0
2023-01-13,63.7,64.94,63.6,64.66,64.66,1497620,0.0000,1.0
2023-01-12,64.3,64.59,63.64,64.05,64.05,1671316,0.0000,1.0
2023-01-11,64.5,64.725,63.695,64.45,64.45,1425135,0.0000,1.0
2023-01-10,62.83,64.5,62.81,64.21,64.21,1834006,0.0000,1.0
2023-01-09,63.87,65.12,63.76,63.8,63.8,2574696,0.0000,1.0
2023-01-06,62.03,64.07,61.51,63.65,63.65,1462600,0.0000,1.0
2023-01-05,61.46,61.71,60.67,61.33,61.33,1221749,0.5000,1.0
2023-01-04,61.74,62.78,61.56,61.93,61.4291913310691,2013894,0.0000,1.0
2023-01-03,60.4,60.89,59.95,60.79,60.2984101568818,1482445,0.0000,1.0
2022-12-30,59.76,60.08,59.1,60.06,59.5743134400776,1382207,0.0000,1.0
2022-12-29,58.67,60.37,58.53,60.09,59.6040708393983,1075517,0.0000,1.0
2022-12-28,58.69,59.16,58.08,58.18,57.7095164159793,1046439,0.0000,1.0
2022-12-27,59.29,59.7,58.63,59.05,58.5724809962801,689617,0.0000,1.0
2022-12-23,59.04,59.12,58.33,59.04,58.5625618631732,808340,0.0000,1.0
2022-12-22,59.41,59.42,58.42,58.97,58.4931279314249,1762905,0.0000,1.0
2022-12-21,60.04,60.47,59.42,60.05,59.5643943069707,1865753,0.0000,1.0
2022-12-20,58.34,59.74,58.16,59.47,58.9890845867702,1944697,0.0000,1.0
2022-12-19,60.5,60.73,58.77,59.19,58.7113488597768,1755120,0.0000,1.0
2022-12-16,60.86,61.53,59.7,60.32,59.8322109008572,3720286,0.0000,1.0
2022-12-15,63.58,63.59,61.01,61.38,60.8836390101892,3177283,0.0000,1.0
2022-12-14,64.49,65.53,63.79,64.39,63.8692980753679,1440610,0.0000,1.0
2022-12-13,65.86,66.99,64.385,64.91,64.3850929969271,2333537,0.0000,1.0
