timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,98.1,99.87,97.81,98.14,98.14,1036926,0.0000,1.0
2023-02-07,96.87,99.73,96.66,99.4,99.4,878400,0.0000,1.0
2023-02-06,96.98,97.835,96.85,97.46,97.46,754334,0.0000,1.0
2023-02-03,97.03,99.02,96.36,98.17,98.17,1033798,0.0000,1.0
2023-02-02,97.99,99.27,96.571,98.09,98.09,1059556,0.0000,1.0
2023-02-01,96.31,97.91,95.35,96.75,96.75,1675840,0.0000,1.0
2023-01-31,95.33,97.01,94.49,96.97,96.97,1193150,0.0000,1.0
2023-01-30,96.19,96.98,95.18,95.38,95.38,925381,0.0000,1.0
2023-01-27,96.64,98.13,96.45,97.2,97.2,1035449,0.0000,1.0
2023-01-26,94.99,97.01,94.38,96.94,96.94,1386956,0.0000,1.0
2023-01-25,93.67,94.6,92.9331,94.35,94.35,1838396,0.0000,1.0
2023-01-24,94.54,95.61,93.72,94.77,94.77,858111,0.0000,1.0
2023-01-23,93.23,95.27,92.9017,94.55,94.55,1120980,0.0000,1.0
2023-01-20,90.87,93.41,90.0926,93.36,93.36,2392328,0.0000,1.0
2023-01-19,95.25,95.31,88.5,90.46,90.46,3491056,0.0000,1.0
2023-01-18,99.35,100.25,98.72,98.97,98.97,1636812,0.0000,1.0
2023-01-17,98.16,99.78,97.5,99.4,99.4,1451729,0.0000,1.0
2023-01-13,96.44,99.02,95.95,98.2,98.2,757689,0.0000,1.0
2023-01-12,96.67,98.682,96.14,97.33,97.33,1313260,0.0000,1.0
2023-01-11,94.91,96.51,94.84,96.28,96.28,606310,0.0000,1.0
2023-01-10,93.87,95.22,93.18,94.84,94.84,585416,0.0000,1.0
2023-01-09,95.2,96.25,94.085,94.21,94.21,1043720,0.0000,1.0
2023-01-06,92.54,94.97,91.12,94.67,94.67,1116864,0.0000,1.0
2023-01-05,91.33,91.975,90.7,91.51,91.51,707190,0.0000,1.0
2023-01-04,90.14,92.62,90.09,91.68,91.68,1202402,0.0000,1.0
2023-01-03,89.6,90.52,88.9,89.78,89.78,719444,0.0000,1.0
2022-12-30,88.64,89.0,87.63,88.49,88.49,488194,0.0000,1.0
2022-12-29,87.68,89.73,86.9,89.48,89.48,496379,0.0000,1.0
2022-12-28,87.88,88.16,86.89,87.06,87.06,392252,0.0000,1.0
