timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,15.39,15.5,15.1,15.13,15.13,2941004,0.0000,1.0
2023-02-07,15.44,15.545,15.18,15.41,15.41,2818500,0.0000,1.0
2023-02-06,15.92,15.92,15.44,15.52,15.52,3444080,0.0000,1.0
2023-02-03,16.22,16.405,16.05,16.12,16.12,3215431,0.0000,1.0
2023-02-02,16.32,16.755,16.26,16.47,16.47,3344104,0.0000,1.0
2023-02-01,15.97,16.365,15.76,16.2,16.2,2980509,0.0000,1.0
2023-01-31,15.74,15.98,15.63,15.96,15.96,8892495,0.0000,1.0
2023-01-30,15.67,16.1,15.63,15.72,15.72,3578303,0.0000,1.0
2023-01-27,15.76,16.095,15.67,15.84,15.84,2885165,0.0000,1.0
2023-01-26,15.87,15.94,15.6,15.82,15.82,2562126,0.0000,1.0
2023-01-25,15.57,15.8,15.29,15.75,15.75,2991479,0.0000,1.0
2023-01-24,15.93,16.0,15.665,15.75,15.75,3711140,0.0000,1.0
2023-01-23,15.41,16.23,15.34,15.97,15.97,4813708,0.0000,1.0
2023-01-20,14.8,15.075,14.72,15.05,15.05,3321755,0.0000,1.0
2023-01-19,14.97,15.01,14.465,14.83,14.83,3520752,0.0000,1.0
2023-01-18,15.61,15.67,15.06,15.08,15.08,3144514,0.0000,1.0
2023-01-17,15.35,15.645,15.35,15.57,15.57,4033347,0.0000,1.0
2023-01-13,14.99,15.45,14.99,15.41,15.41,2465572,0.0000,1.0
2023-01-12,14.98,15.1879,14.835,15.14,15.14,3392634,0.0000,1.0
2023-01-11,14.77,14.86,14.6,14.84,14.84,3076487,0.0000,1.0
2023-01-10,14.43,14.68,14.32,14.66,14.66,2221938,0.0000,1.0
2023-01-09,14.39,14.82,14.29,14.53,14.53,2953928,0.0000,1.0
2023-01-06,14.15,14.47,14.06,14.4,14.4,3235582,0.0000,1.0
2023-01-05,14.11,14.18,13.825,14.11,14.11,3426501,0.0000,1.0
2023-01-04,13.64,14.39,13.6001,14.22,14.22,4878772,0.0000,1.0
2023-01-03,13.2,13.55,13.18,13.46,13.46,3725839,0.0000,1.0
2022-12-30,12.99,13.215,12.9015,13.08,13.08,3461331,0.0000,1.0
2022-12-29,13.01,13.23,12.9606,13.14,13.14,2613287,0.0000,1.0
2022-12-28,13.04,13.18,12.8747,12.92,12.92,3671381,0.0000,1.0
2022-12-27,12.98,13.12,12.81,13.04,13.04,3217239,0.0000,1.0
2022-12-23,12.89,13.0,12.725,12.99,12.99,2151405,0.0000,1.0
2022-12-22,12.81,12.91,12.475,12.89,12.89,3926603,0.0000,1.0
2022-12-21,12.76,12.93,12.74,12.89,12.89,3302839,0.0000,1.0
2022-12-20,12.71,12.725,12.515,12.61,12.61,3586456,0.0000,1.0
2022-12-19,12.99,13.07,12.635,12.76,12.76,4447008,0.0000,1.0
2022-12-16,12.995,13.31,12.96,13.07,13.07,19006431,0.0000,1.0
2022-12-15,13.57,13.625,13.12,13.2,13.2,4045848,0.0000,1.0
2022-12-14,13.8,13.93,13.475,13.66,13.66,3664504,0.0000,1.0
2022-12-13,14.05,14.345,13.78,13.83,13.83,7104807,0.0000,1.0
2022-12-12,13.37,13.6791,13.21,13.62,13.62,4187989,0.0000,1.0
2022-12-09,13.25,13.7,13.22,13.44,13.44,4880068,0.0000,1.0
2022-12-08,12.84,13.31,12.81,13.3,13.3,4655087,0.0000,1.0
2022-12-07,12.79,13.02,12.68,12.81,12.81,4001324,0.0000,1.0
2022-12-06,12.57,12.78,12.49,12.75,12.75,5185515,0.0000,1.0
2022-12-05,12.87,12.87,12.52,12.59,12.59,4463373,0.0000,1.0
2022-12-02,12.71,13.01,12.485,12.99,12.99,4209797,0.0000,1.0
2022-12-01,12.975,13.3796,12.77,12.84,12.84,5265974,0.0000,1.0
2022-11-30,12.855,12.985,12.44,12.97,12.97,7601774,0.0000,1.0
2022-11-29,13.0,13.075,12.73,12.87,12.87,5726455,0.2300,1.0
2022-11-28,13.2,13.36,12.92,13.12,12.8896488549618,5037532,0.0000,1.0
2022-11-25,13.18,13.43,13.14,13.35,13.1156106870229,1691474,0.0000,1.0
2022-11-23,13.04,13.2286,13.01,13.18,12.9485954198473,2233114,0.0000,1.0
2022-11-22,13.155,13.2,12.97,13.06,12.8307022900763,3421793,0.0000,1.0
2022-11-21,13.28,13.34,13.0,13.05,12.8208778625954,3155196,0.0000,1.0
2022-11-18,13.37,13.6,13.245,13.35,13.1156106870229,3586550,0.0000,1.0
2022-11-17,12.93,13.27,12.88,13.16,12.9289465648855,3813480,0.0000,1.0
2022-11-16,13.73,13.825,13.03,13.07,12.8405267175573,6259595,0.0000,1.0
2022-11-15,14.0,14.155,13.74,13.97,13.7247251908397,3554367,0.0000,1.0
2022-11-14,13.99,14.099,13.63,13.64,13.4005190839695,3957396,0.0000,1.0
2022-11-11,13.52,14.24,13.48,14.12,13.8720916030534,4154318,0.0000,1.0
2022-11-10,12.99,13.665,12.99,13.45,13.2138549618321,5457191,0.0000,1.0
2022-11-09,12.78,12.85,12.57,12.58,12.3591297709924,3542512,0.0000,1.0
2022-11-08,13.18,13.32,12.7301,12.87,12.6440381679389,3371342,0.0000,1.0
2022-11-07,13.19,13.25,12.84,13.14,12.9092977099237,3898226,0.0000,1.0
2022-11-04,12.92,13.45,12.83,13.11,12.8798244274809,5693117,0.0000,1.0
2022-11-03,12.69,12.785,12.245,12.71,12.4868473282443,5568690,0.0000,1.0
2022-11-02,13.36,13.36,12.85,12.86,12.634213740458,5591369,0.0000,1.0
2022-11-01,14.0,14.21,13.36,13.36,13.1254351145038,6497350,0.0000,1.0
2022-10-31,14.43,14.64,13.7,13.81,13.567534351145,12373832,0.0000,1.0
2022-10-28,15.05,15.66,14.78,15.05,14.7857633587786,8476755,0.0000,1.0
2022-10-27,15.89,16.015,15.635,15.67,15.3948778625954,4955828,0.0000,1.0
2022-10-26,15.78,15.94,15.58,15.74,15.4636488549618,3103784,0.0000,1.0
2022-10-25,15.27,15.83,15.23,15.72,15.444,4279089,0.0000,1.0
2022-10-24,15.19,15.34,14.95,15.31,15.0411984732824,2516444,0.0000,1.0
2022-10-21,14.68,15.11,14.58,15.02,14.7562900763359,2716133,0.0000,1.0
2022-10-20,15.07,15.07,14.595,14.73,14.4713816793893,3045484,0.0000,1.0
2022-10-19,15.01,15.08,14.835,15.03,14.7661145038168,2785252,0.0000,1.0
2022-10-18,15.19,15.31,15.005,15.22,14.9527786259542,1991835,0.0000,1.0
2022-10-17,14.91,15.08,14.85,14.91,14.6482213740458,3560330,0.0000,1.0
2022-10-14,14.79,14.81,14.5,14.64,14.3829618320611,3368570,0.0000,1.0
2022-10-13,13.9,14.805,13.84,14.64,14.3829618320611,4484336,0.0000,1.0
2022-10-12,14.17,14.36,14.06,14.24,13.9899847328244,2076095,0.0000,1.0
2022-10-11,13.92,14.38,13.92,14.17,13.921213740458,2646701,0.0000,1.0
2022-10-10,14.02,14.215,13.95,14.07,13.8229694656489,2573494,0.0000,1.0
2022-10-07,14.18,14.25,13.89,13.96,13.7149007633588,2832685,0.0000,1.0
2022-10-06,14.4,14.6,14.26,14.38,14.1275267175573,2635149,0.0000,1.0
2022-10-05,14.3,14.57,14.09,14.49,14.2355954198473,3040626,0.0000,1.0
2022-10-04,14.2,14.74,14.16,14.67,14.4124351145038,3895533,0.0000,1.0
2022-10-03,14.13,14.235,13.87,13.95,13.7050763358779,5478849,0.0000,1.0
2022-09-30,13.99,14.24,13.865,13.89,13.6461297709924,3593589,0.0000,1.0
2022-09-29,14.15,14.26,13.73,13.97,13.7247251908397,2668605,0.0000,1.0
2022-09-28,14.34,14.52,14.27,14.43,14.1766488549618,2525037,0.0000,1.0
2022-09-27,14.43,14.54,14.07,14.23,13.9801603053435,3083797,0.0000,1.0
2022-09-26,14.53,14.79,14.27,14.29,14.039106870229,2728089,0.0000,1.0
2022-09-23,14.63,14.66,14.19,14.63,14.3731374045802,3855489,0.0000,1.0
2022-09-22,15.29,15.29,14.77,14.81,14.5499770992366,3184096,0.0000,1.0
2022-09-21,15.75,16.07,15.19,15.21,14.9429541984733,3328454,0.0000,1.0
2022-09-20,16.28,16.28,15.42,15.61,15.3359312977099,3625874,0.0000,1.0
2022-09-19,16.172,16.56,16.12,16.49,16.2004809160305,3161371,0.0000,1.0
2022-09-16,16.54,16.62,16.08,16.3,16.0138167938931,9881804,0.0000,1.0
2022-09-15,16.99,17.259,16.66,16.72,16.4264427480916,3049492,0.0000,1.0
