timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,20.69,21.005,20.505,20.91,20.91,1771900,0.0000,1.0
2023-02-06,20.96,21.04,20.5925,20.77,20.77,2127788,0.0000,1.0
2023-02-03,21.21,21.41,21.005,21.17,21.17,2510567,0.0000,1.0
2023-02-02,20.935,21.69,20.88,21.47,21.47,3026000,0.0000,1.0
2023-02-01,20.26,20.75,19.9,20.72,20.72,3252834,0.0000,1.0
2023-01-31,20.16,20.29,20.095,20.26,20.26,2797985,0.0000,1.0
2023-01-30,20.29,20.415,20.05,20.17,20.17,3403978,0.0000,1.0
2023-01-27,20.7,20.78,20.455,20.52,20.52,2873383,0.0000,1.0
2023-01-26,20.63,20.82,20.36,20.72,20.72,3052506,0.0000,1.0
2023-01-25,20.505,21.28,20.42,20.64,20.64,9544622,0.0000,1.0
2023-01-24,19.48,19.56,19.27,19.53,19.53,1489916,0.0000,1.0
2023-01-23,19.3,19.565,19.17,19.55,19.55,1272896,0.0000,1.0
2023-01-20,18.77,19.3,18.64,19.26,19.26,1807693,0.0000,1.0
2023-01-19,18.73,18.8,18.51,18.71,18.71,1806722,0.0000,1.0
2023-01-18,19.34,19.4,18.8,18.87,18.87,2078427,0.0000,1.0
2023-01-17,19.43,19.51,19.17,19.27,19.27,1824637,0.0000,1.0
2023-01-13,19.14,19.47,19.13,19.46,19.46,1605580,0.0000,1.0
2023-01-12,19.34,19.455,19.19,19.35,19.35,1658214,0.0000,1.0
2023-01-11,19.39,19.45,19.02,19.31,19.31,2293487,0.0000,1.0
2023-01-10,19.04,19.4,18.89,19.39,19.39,1419140,0.0000,1.0
2023-01-09,19.1,19.345,18.98,19.07,19.07,1504291,0.0000,1.0
2023-01-06,18.91,19.07,18.625,19.0,19.0,1699252,0.0000,1.0
2023-01-05,18.89,18.92,18.55,18.68,18.68,1439042,0.0000,1.0
2023-01-04,18.53,19.01,18.345,18.98,18.98,2519245,0.0000,1.0
2023-01-03,18.37,18.545,18.08,18.3,18.3,1859168,0.0000,1.0
2022-12-30,18.03,18.21,17.95,18.2,18.2,1859919,0.0000,1.0
2022-12-29,18.03,18.36,17.99,18.22,18.22,1461037,0.0000,1.0
2022-12-28,18.25,18.39,17.94,17.95,17.95,1646057,0.0000,1.0
2022-12-27,18.31,18.46,18.1,18.28,18.28,1506601,0.0000,1.0
2022-12-23,18.18,18.54,17.91,18.31,18.31,3703894,0.0000,1.0
2022-12-22,17.55,17.84,17.435,17.81,17.81,1585810,0.0000,1.0
2022-12-21,17.65,17.865,17.51,17.73,17.73,1862469,0.0000,1.0
2022-12-20,17.45,17.56,17.245,17.51,17.51,2486752,0.0000,1.0
2022-12-19,17.78,17.825,17.32,17.43,17.43,2023742,0.0000,1.0
2022-12-16,17.7,17.91,17.57,17.83,17.83,3888095,0.0000,1.0
2022-12-15,18.37,18.57,17.74,17.78,17.78,2159410,0.0000,1.0
2022-12-14,18.57,18.875,18.37,18.68,18.68,2329670,0.0000,1.0
2022-12-13,18.74,18.955,18.45,18.7,18.7,2826496,0.0000,1.0
2022-12-12,18.01,18.205,17.845,18.19,18.19,2185282,0.0000,1.0
2022-12-09,18.15,18.21,17.99,18.05,18.05,1586014,0.0000,1.0
2022-12-08,18.29,18.435,18.11,18.15,18.15,2257868,0.0000,1.0
2022-12-07,18.45,18.48,18.055,18.2,18.2,2030851,0.0000,1.0
2022-12-06,18.74,18.81,18.355,18.48,18.48,1880512,0.0000,1.0
2022-12-05,19.02,19.07,18.7,18.72,18.72,1516747,0.0000,1.0
2022-12-02,18.98,19.17,18.875,19.12,19.12,1671195,0.0000,1.0
2022-12-01,19.09,19.36,19.02,19.16,19.16,2798644,0.0000,1.0
2022-11-30,18.5,19.25,18.47,19.15,19.15,4878806,0.0000,1.0
2022-11-29,18.21,18.62,18.1,18.56,18.56,2921102,0.0000,1.0
2022-11-28,18.11,18.605,18.11,18.19,18.19,3510086,0.0000,1.0
