timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,68.97,69.38,68.32,68.75,68.75,1654588,0.0000,1.0
2023-02-07,68.43,69.31,67.855,69.09,69.09,1829989,0.0000,1.0
2023-02-06,68.34,68.72,67.41,68.2,68.2,1953884,0.0000,1.0
2023-02-03,68.8,69.33,68.13,68.56,68.56,1966706,0.0000,1.0
2023-02-02,68.53,68.77,67.71,68.71,68.71,2389993,0.0000,1.0
2023-02-01,67.78,68.9,67.185,68.24,68.24,2241589,0.0000,1.0
2023-01-31,67.46,68.55,66.75,68.48,68.48,2568343,0.0000,1.0
2023-01-30,67.68,67.94,67.215,67.28,67.28,2365964,0.0000,1.0
2023-01-27,68.55,68.5967,67.5949,68.24,68.24,2498866,0.9550,1.0
2023-01-26,69.75,69.83,68.69,69.54,68.5802384565359,2373925,0.0000,1.0
2023-01-25,68.9,69.11,67.77,69.04,68.0871392441651,2782464,0.0000,1.0
2023-01-24,67.59,69.72,64.49,69.51,68.5506525037936,2974000,0.0000,1.0
2023-01-23,70.0,70.41,69.3101,69.73,68.7676161572368,2127354,0.0000,1.0
2023-01-20,69.76,70.13,68.93,69.71,68.747892188742,2210692,0.0000,1.0
2023-01-19,68.33,70.145,68.0,69.6,68.6394103620204,3154379,0.0000,1.0
2023-01-18,70.87,71.19,68.525,68.65,67.7025218585158,1828828,0.0000,1.0
2023-01-17,71.0,71.5737,69.67,70.12,69.1522335428861,2365150,0.0000,1.0
2023-01-13,70.71,70.935,70.2,70.83,69.8524344244526,1598261,0.0000,1.0
2023-01-12,70.43,71.39,69.94,70.93,69.9510542669268,2537375,0.0000,1.0
2023-01-11,69.71,70.24,69.0909,70.09,69.1226475901438,2565254,0.0000,1.0
2023-01-10,68.34,69.375,67.46,69.31,68.3534128188453,2697210,0.0000,1.0
2023-01-09,67.41,68.04,67.03,67.69,66.7557713707638,2321532,0.0000,1.0
2023-01-06,65.75,67.015,65.625,66.57,65.6512291350531,1968752,0.0000,1.0
2023-01-05,64.05,65.2332,63.76,64.83,63.9352438760026,2319159,0.0000,1.0
2023-01-04,63.34,64.93,63.24,64.44,63.5506264903534,2833927,0.0000,1.0
2023-01-03,65.64,65.92,63.26,63.94,63.0575272779825,2847938,0.0000,1.0
2022-12-30,65.55,65.93,65.21,65.7,64.7932365055279,1921800,0.0000,1.0
2022-12-29,64.45,66.33,64.23,65.95,65.0397861117133,1276399,0.0000,1.0
2022-12-28,66.02,66.0872,64.32,64.51,63.6196603800853,1298929,0.0000,1.0
2022-12-27,65.78,66.34,65.43,66.09,65.1778538911771,1566719,0.0000,1.0
2022-12-23,64.36,65.58,64.29,65.56,64.655168726064,1419754,0.0000,1.0
2022-12-22,64.64,64.79,62.67,64.11,63.2251810101886,1973687,0.0000,1.0
2022-12-21,64.4,65.33,64.05,65.01,64.1127595924561,2099328,0.0000,1.0
2022-12-20,63.3,63.85,62.95,63.5,62.6235999710962,2952067,0.0000,1.0
