timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,83.41,84.02,83.04,83.53,83.53,1724166,0.0000,1.0
2023-02-07,83.12,83.82,82.21,83.63,83.63,1641482,0.0000,1.0
2023-02-06,83.97,84.85,83.54,83.67,83.67,1500074,0.0000,1.0
2023-02-03,83.48,84.85,83.435,84.73,84.73,1580540,0.0000,1.0
2023-02-02,85.43,85.54,83.79,83.86,83.86,2274176,0.0000,1.0
2023-02-01,82.47,85.12,82.08,84.56,84.56,3058659,0.0000,1.0
2023-01-31,81.52,82.23,81.01,82.23,82.23,2543430,0.0000,1.0
2023-01-30,80.78,81.52,80.37,80.96,80.96,1334252,0.0000,1.0
2023-01-27,80.92,81.6,80.39,81.2,81.2,1457147,0.0000,1.0
2023-01-26,81.41,81.46,80.16,81.08,81.08,1353132,0.0000,1.0
2023-01-25,81.5,81.5,80.04,80.96,80.96,1448789,0.0000,1.0
2023-01-24,80.26,82.525,80.26,82.11,82.11,1542934,0.0000,1.0
2023-01-23,80.62,81.785,79.89,81.35,81.35,1104368,0.0000,1.0
2023-01-20,80.04,80.84,79.16,80.81,80.81,1787584,0.0000,1.0
2023-01-19,81.53,81.77,79.62,79.65,79.65,1552073,0.0000,1.0
2023-01-18,83.22,83.4,81.77,81.79,81.79,1876337,0.0000,1.0
2023-01-17,83.26,83.49,82.875,82.98,82.98,1946251,0.0000,1.0
2023-01-13,82.64,83.3,82.222,83.25,83.25,1271983,0.0000,1.0
2023-01-12,82.0,82.99,80.75,82.9,82.9,2503562,0.0000,1.0
2023-01-11,82.23,82.23,81.14,81.9,81.9,2683315,0.0000,1.0
2023-01-10,81.38,81.77,80.77,81.67,81.67,1975328,0.0000,1.0
2023-01-09,81.98,82.925,81.315,81.47,81.47,1652604,0.0000,1.0
2023-01-06,80.99,82.05,80.41,81.85,81.85,1555378,0.0000,1.0
2023-01-05,80.51,80.81,79.96,80.13,80.13,2136300,0.0000,1.0
2023-01-04,79.78,80.87,79.3,80.77,80.77,1611862,0.0000,1.0
2023-01-03,78.94,79.46,78.41,79.12,79.12,1317314,0.0000,1.0
2022-12-30,78.8,78.99,77.55,78.31,78.31,995953,0.0000,1.0
2022-12-29,78.04,79.23,77.6,79.07,79.07,957731,0.0000,1.0
2022-12-28,78.6,78.75,77.39,77.4,77.4,882790,0.0000,1.0
2022-12-27,78.37,78.97,78.01,78.51,78.51,955362,0.0000,1.0
2022-12-23,77.9,78.63,77.74,78.36,78.36,810374,0.0000,1.0
2022-12-22,78.56,78.78,77.1,78.14,78.14,1379563,0.0000,1.0
2022-12-21,78.44,79.13,77.91,79.03,79.03,1621721,0.0000,1.0
2022-12-20,77.9,78.26,77.51,77.92,77.92,1889767,0.0000,1.0
2022-12-19,78.63,79.015,77.5716,77.87,77.87,1532695,0.0000,1.0
2022-12-16,78.21,78.73,77.7,78.6,78.6,4036941,0.0000,1.0
2022-12-15,79.34,79.57,77.99,78.82,78.82,2119441,0.0000,1.0
2022-12-14,81.0,81.94,79.9,80.25,80.25,3025928,0.0000,1.0
2022-12-13,82.0,82.0,80.58,80.95,80.95,2600884,0.0000,1.0
2022-12-12,78.9,80.62,78.52,80.54,80.54,1681212,0.0000,1.0
2022-12-09,79.87,80.0,78.355,78.46,78.46,1417236,0.0000,1.0
2022-12-08,79.88,80.0,79.055,79.74,79.74,2376748,0.0000,1.0
2022-12-07,78.97,79.49,78.36,79.0,79.0,2151254,0.0000,1.0
2022-12-06,78.47,79.22,78.25,79.19,79.19,2674043,0.0000,1.0
2022-12-05,78.82,79.26,77.84,78.48,78.48,2100225,0.0000,1.0
2022-12-02,78.07,80.16,77.52,79.75,79.75,1998314,0.0000,1.0
2022-12-01,77.62,78.91,77.34,78.83,78.83,1776688,0.0000,1.0
2022-11-30,76.81,78.165,75.52,78.09,78.09,3462101,0.0000,1.0
2022-11-29,76.46,77.62,76.14,76.88,76.88,1869023,0.0000,1.0
2022-11-28,78.02,78.36,76.195,76.34,76.34,2065831,0.0000,1.0
2022-11-25,78.54,79.0175,78.22,78.67,78.67,971086,0.0000,1.0
2022-11-23,77.97,78.53,77.51,78.1,78.1,1898030,0.0000,1.0
2022-11-22,78.56,78.59,77.6,78.25,78.25,1916324,0.0000,1.0
2022-11-21,77.47,78.52,76.805,78.19,78.19,2068824,0.0000,1.0
2022-11-18,78.18,78.76,77.42,77.76,77.76,3697558,0.0000,1.0
2022-11-17,77.0,77.41,75.71,77.35,77.35,3420825,0.2900,1.0
2022-11-16,78.45,79.75,78.33,78.4,78.107161257084,2169657,0.0000,1.0
2022-11-15,78.47,79.48,78.19,78.71,78.4160033487893,2349083,0.0000,1.0
2022-11-14,76.76,79.56,76.72,77.77,77.4795144255538,4178882,0.0000,1.0
2022-11-11,75.66,78.03,75.615,77.37,77.0810085007728,2984532,0.0000,1.0
2022-11-10,74.52,76.11,74.52,75.6,75.3176197836167,2643463,0.0000,1.0
2022-11-09,72.96,73.89,72.54,72.61,72.3387879958784,1743202,0.0000,1.0
2022-11-08,73.94,74.2,72.6,73.16,72.8867336424523,1528100,0.0000,1.0
2022-11-07,73.09,73.77,72.69,73.74,73.4645672333849,1777414,0.0000,1.0
2022-11-04,71.29,73.87,71.29,73.22,72.9465095311695,2299001,0.0000,1.0
2022-11-03,69.47,71.09,69.12,70.21,69.9477524471922,2035020,0.0000,1.0
2022-11-02,71.21,72.57,70.2,70.21,69.9477524471922,1782943,0.0000,1.0
2022-11-01,71.27,72.02,70.73,71.51,71.2428967027306,1885243,0.0000,1.0
2022-10-31,70.68,71.52,70.24,70.64,70.3761463163318,2551864,0.0000,1.0
2022-10-28,70.12,71.87,69.85,71.69,71.422224368882,1918388,0.0000,1.0
2022-10-27,68.51,71.52,68.4,70.01,69.7484994848017,3016937,0.0000,1.0
2022-10-26,68.69,69.15,66.78,68.34,68.0847372488408,3656729,0.0000,1.0
2022-10-25,66.98,68.91,66.98,68.85,68.5928323029366,2567053,0.0000,1.0
2022-10-24,67.17,67.89,66.79,67.08,66.8294435857805,2518266,0.0000,1.0
2022-10-21,65.03,66.94,64.3,66.79,66.5405267903143,2351057,0.0000,1.0
2022-10-20,66.44,66.705,64.67,64.75,64.508146573931,1923236,0.0000,1.0
2022-10-19,66.47,66.95,65.66,66.28,66.0324317362184,1552325,0.0000,1.0
2022-10-18,66.92,67.0,66.0,66.71,66.4608256053581,1637234,0.0000,1.0
2022-10-17,65.03,65.73,64.81,65.37,65.1258307573416,1688550,0.0000,1.0
2022-10-14,65.43,66.1,63.83,64.12,63.8804997424008,1632929,0.0000,1.0
2022-10-13,63.18,65.55,62.49,65.01,64.7671754250386,1946388,0.0000,1.0
2022-10-12,65.07,65.34,64.565,64.58,64.338781555899,1637569,0.0000,1.0
2022-10-11,64.97,65.57,64.48,64.75,64.508146573931,1449160,0.0000,1.0
2022-10-10,65.8,65.99,64.47,65.01,64.7671754250386,841339,0.0000,1.0
2022-10-07,66.17,66.51,64.87,65.26,65.0162416280268,1446566,0.0000,1.0
2022-10-06,67.22,67.61,66.7,66.8,66.5504894384338,1669979,0.0000,1.0
2022-10-05,66.42,67.88,66.335,67.43,67.1781362699639,1452538,0.0000,1.0
2022-10-04,66.46,67.48,66.285,67.05,66.7995556414219,2424965,0.0000,1.0
2022-10-03,64.72,66.01,64.11,65.44,65.1955692941783,1905593,0.0000,1.0
2022-09-30,64.53,64.92,63.74,63.8,63.561695002576,2625604,0.0000,1.0
2022-09-29,65.22,65.36,63.875,64.5,64.2590803709428,1910815,0.0000,1.0
2022-09-28,65.73,66.23,64.895,65.77,65.5243366821226,2264449,0.0000,1.0
2022-09-27,65.94,66.25,64.61,65.13,64.886727202473,1890537,0.0000,1.0
2022-09-26,65.48,66.58,64.85,65.37,65.1258307573416,2415477,0.0000,1.0
2022-09-23,64.99,65.93,64.755,65.78,65.5342993302421,2551611,0.0000,1.0
2022-09-22,66.58,67.115,65.355,65.45,65.2055319422978,1976964,0.0000,1.0
2022-09-21,67.93,68.84,67.02,67.03,66.7796303451829,1579761,0.0000,1.0
2022-09-20,67.83,68.01,66.89,67.62,67.3674265842349,1842531,0.0000,1.0
2022-09-19,67.45,68.35,67.4,68.25,67.9950734157651,2337987,0.0000,1.0
2022-09-16,68.17,68.3,67.02,67.8,67.5467542503864,3782524,0.0000,1.0
2022-09-15,69.9,70.46,68.69,68.93,68.6725334878928,2129143,0.0000,1.0
2022-09-14,71.05,71.175,69.31,69.85,69.5890971148892,2097241,0.0000,1.0
2022-09-13,72.27,72.43,70.76,71.12,70.854353426069,1756298,0.0000,1.0
2022-09-12,73.99,74.1,72.87,73.8,73.524343122102,1693841,0.0000,1.0
2022-09-09,73.18,73.54,72.77,73.4,73.125837197321,1803334,0.0000,1.0
2022-09-08,72.94,73.22,72.42,72.91,72.6376674394642,1883942,0.0000,1.0
2022-09-07,72.21,73.51,71.73,73.41,73.1357998454405,1751408,0.0000,1.0
2022-09-06,71.7,72.15,70.93,72.08,71.8107676455435,1578717,0.0000,1.0
2022-09-02,73.46,73.61,71.45,71.72,71.4521123132406,1565901,0.0000,1.0
2022-09-01,72.14,72.76,71.32,72.72,72.4483771251932,1653577,0.0000,1.0
2022-08-31,73.2,73.49,71.83,72.22,71.9502447192169,3350562,0.0000,1.0
2022-08-30,74.13,74.36,72.23,72.86,72.5878541988666,2247014,0.0000,1.0
2022-08-29,74.75,74.8,73.89,74.07,73.7933346213292,1438545,0.0000,1.0
2022-08-26,78.39,78.39,75.17,75.23,74.9490018031942,1482079,0.0000,1.0
2022-08-25,77.71,78.24,77.39,78.18,77.8879829984544,1881593,0.0000,1.0
2022-08-24,76.96,77.66,76.78,77.37,77.0810085007728,1676762,0.0000,1.0
2022-08-23,77.13,77.66,76.555,76.9,76.6127640391551,1680324,0.0000,1.0
2022-08-22,78.07,78.275,77.09,77.33,77.0411579082947,2493907,0.0000,1.0
2022-08-19,80.03,80.2,78.99,79.41,79.1133887171561,1212521,0.0000,1.0
2022-08-18,80.54,80.59,80.01,80.41,80.1096535291087,1183119,0.2900,1.0
2022-08-17,80.52,80.86,80.16,80.58,79.9905313677271,1623175,0.0000,1.0
2022-08-16,81.24,81.76,80.905,81.32,80.7251180295802,1862059,0.0000,1.0
2022-08-15,81.26,81.94,81.01,81.55,80.9534355055615,2015554,0.0000,1.0
2022-08-12,81.06,81.86,80.55,81.75,81.1519724411975,1758848,0.0000,1.0
2022-08-11,80.71,81.54,80.1,80.6,80.0103850612907,1665769,0.0000,1.0
2022-08-10,80.0,80.545,79.38,79.9,79.3155057865649,1419726,0.0000,1.0
2022-08-09,78.9,79.08,78.36,78.86,78.2831137212579,1276566,0.0000,1.0
2022-08-08,79.8,80.065,79.015,79.28,78.7000412860934,1882426,0.0000,1.0
2022-08-05,78.91,79.715,78.56,79.32,78.7397486732206,1492698,0.0000,1.0
2022-08-04,79.58,79.81,79.04,79.5,78.918431915293,2129610,0.0000,1.0
2022-08-03,77.85,79.7,77.4585,79.23,78.6504070521844,2483628,0.0000,1.0
2022-08-02,78.17,78.77,77.4,77.46,76.8933551718062,2146675,0.0000,1.0
2022-08-01,77.3,79.05,77.3,78.28,77.7073566079136,2425713,0.0000,1.0
2022-07-29,77.09,78.55,76.39,78.17,77.5981612933139,2183052,0.0000,1.0
2022-07-28,76.06,77.49,75.91,76.85,76.2878175181165,2118315,0.0000,1.0
2022-07-27,72.8,76.61,72.8,76.44,75.8808168000628,3786533,0.0000,1.0
2022-07-26,72.39,72.79,71.59,72.72,72.188029797234,1897796,0.0000,1.0
2022-07-25,71.97,72.66,71.71,72.39,71.8604438534347,1620763,0.0000,1.0
2022-07-22,73.08,73.29,71.38,71.9,71.3740283611266,3805271,0.0000,1.0
2022-07-21,72.65,73.115,72.25,72.95,72.4163472732154,1520885,0.0000,1.0
2022-07-20,72.04,72.76,71.1,72.67,72.138395563325,1942411,0.0000,1.0
2022-07-19,69.8,71.93,69.75,71.84,71.3144672804358,2450518,0.0000,1.0
2022-07-18,69.89,70.4835,68.78,68.96,68.455535407278,1525857,0.0000,1.0
2022-07-15,69.93,70.15,69.26,69.51,69.0015119802769,3010099,0.0000,1.0
2022-07-14,67.32,69.02,67.0,68.99,68.4853159476234,2793636,0.0000,1.0
2022-07-13,68.08,68.95,67.83,68.4,67.8996319874974,1635472,0.0000,1.0
2022-07-12,68.89,70.2,68.56,68.84,68.3364132458965,2430655,0.0000,1.0
2022-07-11,69.93,70.17,68.7,69.0,68.4952427944052,2116858,0.0000,1.0
2022-07-08,70.0,70.37,68.821,69.89,69.3787321579852,2485611,0.0000,1.0
2022-07-07,68.65,70.21,67.36,70.09,69.5772690936212,4386820,0.0000,1.0
2022-07-06,71.46,71.78,70.59,71.26,70.7387101670915,2440039,0.0000,1.0
2022-07-05,70.38,71.49,70.175,71.37,70.8479054816913,1936782,0.0000,1.0
2022-07-01,70.98,72.245,70.23,71.9,71.3740283611266,2096473,0.0000,1.0
2022-06-30,68.97,70.91,68.75,70.67,70.1530262069655,2822561,0.0000,1.0
2022-06-29,69.5,70.2,68.52,69.78,69.2695368433855,2728652,0.0000,1.0
2022-06-28,70.2,70.85,69.49,69.79,69.2794636901673,1877814,0.0000,1.0
2022-06-27,71.3,71.37,69.125,69.92,69.4085126983306,2327723,0.0000,1.0
2022-06-24,68.95,70.9,68.47,70.86,70.3416362958196,3453527,0.0000,1.0
2022-06-23,68.68,69.52,67.92,68.59,68.0882420763515,1791029,0.0000,1.0
