timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,116.02,116.82,114.64,114.93,114.93,2081005,0.0000,1.0
2023-02-07,116.02,118.385,115.54,117.87,117.87,1128432,0.0000,1.0
2023-02-06,117.37,118.29,116.45,116.66,116.66,1102073,0.0000,1.0
2023-02-03,118.85,120.14,116.92,118.58,118.58,1791713,0.0000,1.0
2023-02-02,118.6,120.92,117.78,120.6,120.6,2475844,0.0000,1.0
2023-02-01,115.64,118.49,115.01,117.71,117.71,1535674,0.0000,1.0
2023-01-31,115.15,115.87,113.81,115.86,115.86,1564900,0.0000,1.0
2023-01-30,112.76,115.52,112.63,114.69,114.69,2798233,0.0000,1.0
2023-01-27,114.18,114.6969,112.65,113.03,113.03,2257706,0.0000,1.0
2023-01-26,116.19,116.5,114.74,115.1,115.1,1679281,0.0000,1.0
2023-01-25,116.44,116.47,112.38,115.62,115.62,2335292,0.0000,1.0
2023-01-24,119.9,120.14,117.93,118.62,118.62,1332524,0.0000,1.0
2023-01-23,117.78,120.96,117.07,119.99,119.99,1599253,0.0000,1.0
2023-01-20,115.67,118.53,114.705,117.93,117.93,1987591,0.0000,1.0
2023-01-19,116.91,117.2,115.41,115.52,115.52,1122005,0.0000,1.0
2023-01-18,118.64,119.27,117.17,117.23,117.23,1809850,0.0000,1.0
2023-01-17,118.89,120.11,117.94,118.42,118.42,2157357,0.0000,1.0
2023-01-13,119.66,120.69,119.28,120.31,120.31,1237713,0.0000,1.0
2023-01-12,119.49,120.09,118.75,119.85,119.85,1373095,0.0000,1.0
2023-01-11,118.08,119.78,117.17,119.68,119.68,1579168,0.0000,1.0
2023-01-10,117.23,117.95,115.86,117.31,117.31,1112471,0.0000,1.0
2023-01-09,117.35,119.04,117.13,117.41,117.41,1484221,0.0000,1.0
2023-01-06,115.59,117.98,114.98,117.45,117.45,1257902,0.0000,1.0
2023-01-05,116.39,116.44,113.7,114.36,114.36,1352298,0.0000,1.0
2023-01-04,116.95,118.19,115.775,117.07,117.07,1475251,0.0000,1.0
2023-01-03,116.64,116.82,114.88,115.81,115.81,1792600,0.0000,1.0
2022-12-30,115.82,116.11,113.97,115.56,115.56,1060897,0.0000,1.0
2022-12-29,114.85,117.07,114.535,116.46,116.46,1372402,0.0000,1.0
2022-12-28,115.08,116.2,114.375,114.43,114.43,1589982,0.0000,1.0
2022-12-27,115.86,116.04,114.27,115.13,115.13,1494913,0.0000,1.0
2022-12-23,112.74,116.24,112.42,116.01,116.01,2503109,0.0000,1.0
2022-12-22,111.0,112.22,108.0,112.18,112.18,4401045,0.0000,1.0
2022-12-21,114.87,115.86,113.9,114.77,114.77,2282607,0.0000,1.0
2022-12-20,114.99,115.76,113.525,114.26,114.26,1501363,0.0000,1.0
2022-12-19,116.15,116.69,114.935,115.52,115.52,1810086,0.0000,1.0
2022-12-16,115.71,116.53,115.05,115.96,115.96,2859878,0.0000,1.0
2022-12-15,121.22,121.51,116.785,117.08,117.08,2076317,0.0000,1.0
2022-12-14,122.79,125.145,121.59,122.67,122.67,2155453,0.0000,1.0
2022-12-13,127.39,127.89,122.68,123.32,123.32,1255283,0.0000,1.0
2022-12-12,120.0,123.08,119.51,122.97,122.97,1271180,0.0000,1.0
2022-12-09,119.73,120.25,119.17,119.51,119.51,1563746,0.0000,1.0
2022-12-08,120.72,122.005,119.87,120.16,120.16,1489861,0.0000,1.0
2022-12-07,120.97,121.36,119.74,120.44,120.44,932019,0.0000,1.0
2022-12-06,123.49,123.49,119.95,120.63,120.63,1198267,0.0000,1.0
2022-12-05,124.58,125.08,122.59,123.19,123.19,1415777,0.0000,1.0
2022-12-02,123.775,126.3,123.68,125.98,125.98,1291144,0.0000,1.0
2022-12-01,124.45,126.325,123.71,125.9,125.9,1466310,0.0000,1.0
2022-11-30,120.14,124.19,119.64,124.03,124.03,2628900,0.0000,1.0
2022-11-29,120.24,121.03,118.72,120.15,120.15,1217752,0.0000,1.0
2022-11-28,122.0,122.62,120.085,120.47,120.47,1524334,0.0000,1.0
2022-11-25,123.22,123.715,122.67,123.21,123.21,599587,0.0000,1.0
2022-11-23,122.85,123.67,122.41,123.16,123.16,1194958,0.0000,1.0
2022-11-22,122.3,122.95,120.61,122.78,122.78,1117877,0.0000,1.0
2022-11-21,120.91,122.28,120.35,121.55,121.55,919118,0.0000,1.0
2022-11-18,121.09,121.86,119.49,120.83,120.83,1164002,0.0000,1.0
2022-11-17,119.3,120.84,118.1,120.22,120.22,1442736,0.0000,1.0
2022-11-16,121.99,122.43,120.05,120.49,120.49,1827084,0.0000,1.0
2022-11-15,123.66,123.66,120.21,121.67,121.67,1521718,0.0000,1.0
2022-11-14,120.76,123.24,120.25,121.19,121.19,1818880,0.0000,1.0
2022-11-11,121.62,122.05,119.17,121.01,121.01,2098004,0.0000,1.0
2022-11-10,120.41,121.82,118.32,121.38,121.38,2058210,0.0000,1.0
2022-11-09,116.79,117.13,115.08,115.24,115.24,1216570,0.0000,1.0
2022-11-08,115.2,118.71,114.77,117.05,117.05,1342764,0.7900,1.0
2022-11-07,114.38,115.91,113.56,115.38,114.60649185336,1354413,0.0000,1.0
2022-11-04,114.1,114.81,111.26,113.76,112.997352342159,1784432,0.0000,1.0
2022-11-03,112.91,114.415,111.92,113.04,112.282179226069,1593374,0.0000,1.0
2022-11-02,117.91,119.35,114.47,114.5,113.73239137814,1501222,0.0000,1.0
2022-11-01,119.06,119.52,116.94,118.06,117.268525118805,1072010,0.0000,1.0
2022-10-31,118.75,119.36,117.73,118.31,117.516849117447,1693662,0.0000,1.0
2022-10-28,116.24,120.51,116.11,119.79,118.986927189409,1953917,0.0000,1.0
2022-10-27,115.94,116.93,115.19,115.76,114.983944331297,1258012,0.0000,1.0
2022-10-26,116.62,118.09,114.79,115.39,114.616424813306,1587379,0.0000,1.0
2022-10-25,114.3,116.64,114.3,116.48,115.699117447386,2035563,0.0000,1.0
2022-10-24,113.68,114.3,112.11,114.15,113.384737780041,1308844,0.0000,1.0
2022-10-21,110.88,112.54,109.69,112.16,111.408078750849,1263979,0.0000,1.0
2022-10-20,111.86,112.995,110.3806,111.06,110.315453156823,1233446,0.0000,1.0
2022-10-19,111.965,112.75,110.19,111.45,110.702838594705,1289741,0.0000,1.0
2022-10-18,113.73,115.19,112.45,113.38,112.619899864223,1811057,0.0000,1.0
2022-10-17,111.57,112.74,111.0,111.95,111.199486591989,1631075,0.0000,1.0
2022-10-14,111.41,111.805,108.8,109.19,108.457989646979,1790754,0.0000,1.0
2022-10-13,105.79,110.97,105.66,110.27,109.530749321113,1892533,0.0000,1.0
2022-10-12,108.52,109.03,107.81,108.0,107.275967413442,1429211,0.0000,1.0
2022-10-11,109.69,110.29,107.495,108.34,107.613688051595,1700818,0.0000,1.0
2022-10-10,110.17,110.47,108.55,109.88,109.143363883231,1469733,0.0000,1.0
2022-10-07,110.58,110.91,108.97,109.59,108.855308044807,2133537,0.0000,1.0
2022-10-06,114.64,114.87,111.46,111.69,110.941229633401,2327925,0.0000,1.0
2022-10-05,114.662,115.875,112.6,114.59,113.821788017651,2169804,0.0000,1.0
2022-10-04,116.61,117.63,114.985,115.39,114.616424813306,2202985,0.0000,1.0
2022-10-03,113.27,115.51,112.31,114.86,114.089977936185,1837079,0.0000,1.0
2022-09-30,114.15,115.61,112.1,112.21,111.457743550577,2524366,0.0000,1.0
2022-09-29,116.46,116.73,111.87,113.39,112.629832824168,2699256,0.0000,1.0
2022-09-28,116.63,119.21,112.39,117.38,116.593083842498,3301817,0.0000,1.0
2022-09-27,114.845,115.74,112.12,113.32,112.560302104549,1981681,0.0000,1.0
2022-09-26,115.02,115.97,113.55,114.04,113.275475220638,1855123,0.0000,1.0
2022-09-23,116.85,117.1,113.44,115.02,114.248905295316,2098637,0.0000,1.0
2022-09-22,117.64,118.91,116.35,117.61,116.821541921249,2135262,0.0000,1.0
2022-09-21,121.48,121.92,117.88,117.91,117.11953071962,1948163,0.0000,1.0
2022-09-20,120.73,120.985,119.17,120.04,119.235251188052,1312106,0.0000,1.0
2022-09-19,119.44,121.535,118.91,121.49,120.675530380176,1067045,0.0000,1.0
2022-09-16,118.16,120.61,117.24,120.13,119.324647827563,2133041,0.0000,1.0
2022-09-15,120.94,121.37,118.44,118.96,118.162491513917,1285383,0.0000,1.0
