timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,73.5,73.8,71.91,71.95,71.95,2946044,0.0000,1.0
2023-02-07,110.11,110.815,108.47,110.29,110.29,2031657,0.0000,1.0
2023-02-06,109.97,110.8049,109.59,110.44,110.44,2268242,0.0000,1.0
2023-02-03,110.85,111.37,109.98,110.18,110.18,1615422,0.0000,1.0
2023-02-02,111.31,111.99,109.82,111.61,111.61,1963242,0.0000,1.0
2023-02-01,108.58,112.09,107.765,111.36,111.36,2582434,0.0000,1.0
2023-01-31,109.28,109.65,108.2,109.31,109.31,2766684,0.0000,1.0
2023-01-30,110.39,111.06,108.6,108.78,108.78,2649251,0.0000,1.0
2023-01-27,112.0,112.24,108.95,110.63,110.63,2803159,0.0000,1.0
2023-01-26,111.9,112.89,110.58,112.23,112.23,2673358,0.0000,1.0
2023-01-25,110.8,111.315,109.31,110.81,110.81,2682294,0.0000,1.0
2023-01-24,105.0,111.44,103.5,111.08,111.08,7717810,0.0000,1.0
2023-01-23,99.81,103.06,99.06,102.25,102.25,3976242,0.0000,1.0
2023-01-20,97.86,99.46,97.34,99.19,99.19,2218350,0.0000,1.0
2023-01-19,99.52,99.52,97.17,98.01,98.01,2096071,0.0000,1.0
2023-01-18,102.05,102.55,99.62,99.74,99.74,2360350,0.0000,1.0
2023-01-17,103.0,103.28,101.53,101.61,101.61,2150573,0.0000,1.0
2023-01-13,100.88,102.78,100.56,102.67,102.67,1702846,0.0000,1.0
2023-01-12,100.47,101.9,100.27,101.39,101.39,1938392,0.0000,1.0
2023-01-11,100.59,101.14,99.43,101.06,101.06,2252329,0.0000,1.0
2023-01-10,98.76,100.53,98.28,100.49,100.49,1838757,0.0000,1.0
2023-01-09,100.26,101.165,99.53,99.79,99.79,1806967,0.0000,1.0
2023-01-06,98.49,100.61,98.49,100.32,100.32,1594812,0.0000,1.0
2023-01-05,97.93,98.24,96.96,97.78,97.78,1742299,0.0000,1.0
2023-01-04,99.07,99.35,97.77,98.21,98.21,1766324,0.0000,1.0
2023-01-03,98.88,99.23,97.67,98.43,98.43,1974249,0.0000,1.0
2022-12-30,97.99,99.32,97.6,98.97,98.97,1262308,0.0000,1.0
2022-12-29,99.86,99.99,98.35,98.59,98.59,1374363,0.0000,1.0
2022-12-28,100.7,100.83,99.155,99.25,99.25,1022917,0.0000,1.0
2022-12-27,100.74,101.16,100.07,100.32,100.32,1040105,0.0000,1.0
2022-12-23,99.77,101.09,99.3,100.55,100.55,1537128,0.0000,1.0
2022-12-22,100.7,100.98,98.45,99.82,99.82,2570601,0.0000,1.0
2022-12-21,100.13,101.45,99.905,101.04,101.04,1690308,0.0000,1.0
2022-12-20,99.35,100.31,98.95,99.41,99.41,2166985,0.0000,1.0
2022-12-19,98.27,99.97,98.27,99.11,99.11,1989478,0.0000,1.0
2022-12-16,97.08,98.69,96.49,98.23,98.23,4948921,0.0000,1.0
2022-12-15,99.98,99.98,97.46,97.93,97.93,2781931,2.8000,1.0
2022-12-14,104.63,105.47,102.21,102.76,99.9035719249479,2386654,0.0000,1.0
2022-12-13,105.42,105.615,100.7097,102.22,99.3785823488534,2664950,0.0000,1.0
2022-12-12,101.755,103.38,100.855,102.96,100.098012508687,2099271,0.0000,1.0
2022-12-09,103.8,104.02,101.04,101.26,98.4452675469076,3092021,0.0000,1.0
2022-12-08,104.72,105.52,103.14,103.61,100.729944405837,1564865,0.0000,1.0
2022-12-07,103.95,105.23,103.895,104.49,101.585482974288,1994082,0.0000,1.0
2022-12-06,103.53,104.1,102.86,103.67,100.788276580959,2313512,0.0000,1.0
2022-12-05,105.06,105.07,103.18,103.36,100.486893676164,1552153,0.0000,1.0
2022-12-02,104.41,106.11,104.07,105.79,102.849346768589,2040311,0.0000,1.0
2022-12-01,106.12,106.79,105.545,105.95,103.00489923558,1846574,0.0000,1.0
2022-11-30,104.16,106.41,103.41,105.91,102.966011118833,3059125,0.0000,1.0
2022-11-29,103.77,104.95,103.57,104.26,101.361876302988,1656824,0.0000,1.0
2022-11-28,104.7,104.94,103.07,103.61,100.729944405837,1885913,0.0000,1.0
2022-11-25,106.06,106.2,104.94,105.03,102.110472550382,673359,0.0000,1.0
2022-11-23,106.23,107.18,105.145,105.89,102.946567060459,1846021,0.0000,1.0
2022-11-22,104.61,106.245,104.5,106.02,103.072953439889,1951657,0.0000,1.0
2022-11-21,103.93,104.83,103.68,104.36,101.459096594858,1363057,0.0000,1.0
2022-11-18,104.61,104.97,103.33,103.87,100.982717164698,3114856,0.0000,1.0
2022-11-17,100.92,103.58,100.64,103.51,100.632724113968,2090511,0.0000,1.0
2022-11-16,102.78,104.585,102.39,103.4,100.525781792912,2282507,0.0000,1.0
2022-11-15,102.96,103.91,101.91,102.78,99.9230159833218,1808627,0.0000,1.0
2022-11-14,102.31,103.88,101.42,102.34,99.4952466990966,1683833,0.3700,1.0
2022-11-11,101.91,103.145,101.53,102.62,99.4080636380225,2378558,0.0000,1.0
2022-11-10,102.71,102.83,100.33,101.91,98.7202861562159,3045927,0.0000,1.0
2022-11-09,99.67,101.51,99.38,99.76,96.637579697224,3038339,0.0000,1.0
2022-11-08,99.31,101.07,98.95,100.55,97.4028532333187,2441971,0.0000,1.0
2022-11-07,99.57,99.885,98.505,99.14,96.0369852764915,2225610,0.0000,1.0
2022-11-04,98.48,99.65,98.21,99.12,96.0176112629195,2404795,0.0000,1.0
2022-11-03,94.78,97.91,93.86,96.98,93.9445918107136,2612668,0.0000,1.0
2022-11-02,96.46,98.89,95.48,95.7,92.7046549421044,2014361,0.0000,1.0
2022-11-01,97.19,97.55,95.6,96.95,93.9155307903555,1592527,0.0000,1.0
