timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,15.59,15.59,15.43,15.45,15.45,17199988,0.0000,1.0
2023-02-07,15.59,15.68,15.39,15.64,15.64,14946995,0.0000,1.0
2023-02-06,15.51,15.66,15.37,15.66,15.66,10516987,0.0000,1.0
2023-02-03,15.54,15.61,15.37,15.55,15.55,13305295,0.0000,1.0
2023-02-02,15.72,15.81,15.44,15.63,15.63,21030759,0.0000,1.0
2023-02-01,15.8,15.855,15.47,15.64,15.64,15549351,0.0000,1.0
2023-01-31,15.87,15.91,15.74,15.9,15.9,8837525,0.0000,1.0
2023-01-30,15.97,16.11,15.84,15.85,15.85,7910614,0.0000,1.0
2023-01-27,15.87,16.13,15.835,16.06,16.06,9739718,0.0000,1.0
2023-01-26,15.96,16.02,15.8,15.85,15.85,15471435,0.0000,1.0
2023-01-25,15.69,16.0,15.65,16.0,16.0,11417544,0.0000,1.0
2023-01-24,15.73,15.92,15.66,15.83,15.83,8008814,0.0000,1.0
2023-01-23,15.62,15.895,15.565,15.73,15.73,9675469,0.0000,1.0
2023-01-20,15.46,15.67,15.37,15.65,15.65,10179749,0.0000,1.0
2023-01-19,15.5,15.635,15.315,15.44,15.44,12618187,0.0000,1.0
2023-01-18,15.98,15.98,15.55,15.61,15.61,15019699,0.0000,1.0
2023-01-17,15.905,16.0,15.81,15.87,15.87,12794644,0.0000,1.0
2023-01-13,15.86,15.93,15.665,15.89,15.89,12116118,0.0000,1.0
2023-01-12,15.8,16.12,15.73,15.97,15.97,23975669,0.0000,1.0
2023-01-11,15.9,15.95,15.71,15.76,15.76,13152876,0.0000,1.0
2023-01-10,15.65,15.955,15.5,15.94,15.94,32406676,0.0000,1.0
2023-01-09,15.93,16.19,15.86,15.96,15.96,10312400,0.0000,1.0
2023-01-06,15.86,15.9971,15.65,15.89,15.89,10362316,0.0000,1.0
2023-01-05,15.76,15.8,15.575,15.66,15.66,8869014,0.0000,1.0
2023-01-04,15.75,15.985,15.645,15.88,15.88,16603023,0.0000,1.0
2023-01-03,15.99,16.155,15.4901,15.68,15.68,18080268,0.0000,1.0
2022-12-30,16.3,16.38,16.18,16.26,16.26,9488390,0.0000,1.0
2022-12-29,16.21,16.38,16.18,16.34,16.34,7585696,0.0000,1.0
2022-12-28,16.45,16.49,16.11,16.16,16.16,8566535,0.0000,1.0
2022-12-27,16.12,16.46,16.03,16.45,16.45,12066865,0.0000,1.0
2022-12-23,15.97,16.09,15.89,16.06,16.06,8482381,0.0000,1.0
2022-12-22,15.9,15.98,15.615,15.95,15.95,8631064,0.0000,1.0
2022-12-21,15.97,16.06,15.86,15.95,15.95,12403412,0.0000,1.0
2022-12-20,15.92,16.1,15.86,15.88,15.88,12427444,0.0000,1.0
2022-12-19,16.08,16.22,15.57,15.84,15.84,14283346,0.0000,1.0
2022-12-16,16.09,16.215,15.84,16.08,16.08,38328828,0.0000,1.0
2022-12-15,16.33,16.43,16.0305,16.19,16.19,20419816,0.0000,1.0
2022-12-14,16.06,16.41,15.9,16.4,16.4,28705140,0.0000,1.0
2022-12-13,15.79,16.01,15.69,16.01,16.01,39176631,0.0000,1.0
2022-12-12,15.65,16.02,15.56,16.01,16.01,20611181,0.0000,1.0
2022-12-09,15.4,15.68,15.38,15.54,15.54,18111735,0.0000,1.0
2022-12-08,15.28,15.455,15.12,15.42,15.42,19169829,0.0000,1.0
2022-12-07,15.42,15.74,15.325,15.57,15.57,15199701,0.0000,1.0
2022-12-06,15.33,15.5,15.21,15.43,15.43,17058553,0.0000,1.0
2022-12-05,15.58,15.88,15.24,15.32,15.32,22236874,0.0000,1.0
2022-12-02,15.43,15.78,15.4128,15.66,15.66,9010856,0.0000,1.0
2022-12-01,15.7,15.91,15.595,15.62,15.62,11507424,0.0000,1.0
2022-11-30,15.18,15.7,15.095,15.7,15.7,21057023,0.0000,1.0
2022-11-29,15.27,15.3,15.0,15.17,15.17,10924814,0.0000,1.0
2022-11-28,15.08,15.285,14.955,15.27,15.27,10243809,0.0000,1.0
2022-11-25,15.25,15.385,15.185,15.37,15.37,4822568,0.0000,1.0
2022-11-23,15.01,15.26,14.835,15.24,15.24,8911156,0.0000,1.0
2022-11-22,15.03,15.22,14.96,15.12,15.12,7862992,0.0000,1.0
2022-11-21,15.1,15.12,14.8725,14.99,14.99,11606832,0.0000,1.0
2022-11-18,14.75,15.03,14.695,15.02,15.02,11660839,0.0000,1.0
2022-11-17,14.5,14.7,14.465,14.58,14.58,8521708,0.0000,1.0
2022-11-16,14.41,14.85,14.36,14.73,14.73,14072898,0.0000,1.0
2022-11-15,14.73,14.825,14.32,14.44,14.44,31388240,0.0000,1.0
2022-11-14,14.73,14.735,14.42,14.46,14.46,11852265,0.0000,1.0
2022-11-11,14.89,15.05,14.65,14.76,14.76,19054615,0.0000,1.0
2022-11-10,15.1,15.12,14.63,14.81,14.81,25976619,0.0000,1.0
2022-11-09,14.87,14.96,14.56,14.58,14.58,12899678,0.0000,1.0
2022-11-08,15.07,15.17,14.83,14.93,14.93,9933106,0.0000,1.0
2022-11-07,15.29,15.385,14.97,15.07,15.07,11970338,0.0000,1.0
2022-11-04,15.35,15.49,15.06,15.31,15.31,18269311,0.0000,1.0
2022-11-03,14.79,15.285,14.75,15.2,15.2,17475348,0.0000,1.0
2022-11-02,15.28,15.43,14.9,14.93,14.93,17299938,0.0000,1.0
2022-11-01,15.06,15.31,15.01,15.31,15.31,18429760,0.0000,1.0
2022-10-31,15.22,15.25,14.85,14.93,14.93,20836541,0.0000,1.0
2022-10-28,15.26,15.46,15.0,15.25,15.25,29022304,0.0000,1.0
2022-10-27,15.29,15.605,15.13,15.38,15.38,22852788,0.0000,1.0
2022-10-26,15.12,15.335,15.045,15.17,15.17,25303510,0.0000,1.0
2022-10-25,14.74,15.25,14.69,15.13,15.13,23538989,0.0000,1.0
2022-10-24,14.52,14.79,14.415,14.73,14.73,18207911,0.0000,1.0
2022-10-21,14.05,14.58,13.985,14.5,14.5,16720261,0.0000,1.0
2022-10-20,14.0,14.1,13.885,14.04,14.04,14518316,0.0000,1.0
2022-10-19,14.11,14.2189,13.88,13.96,13.96,15600172,0.0000,1.0
2022-10-18,14.36,14.39,13.855,14.15,14.15,20264036,0.0000,1.0
2022-10-17,14.09,14.275,13.9,14.16,14.16,17172653,0.0000,1.0
2022-10-14,14.38,14.44,13.77,13.83,13.83,24222506,0.0000,1.0
2022-10-13,13.86,14.35,13.725,14.31,14.31,30057657,0.0000,1.0
2022-10-12,14.13,14.47,13.99,14.07,14.07,21280348,0.0000,1.0
2022-10-11,14.13,14.34,13.78,14.22,14.22,26773748,0.0000,1.0
2022-10-10,14.89,15.03,13.91,14.13,14.13,42317789,0.0000,1.0
2022-10-07,14.61,14.955,14.525,14.93,14.93,38200697,0.0000,1.0
2022-10-06,14.8,15.07,14.37,14.63,14.63,63378696,0.0000,1.0
2022-10-05,13.76,14.8,13.68,14.75,14.75,94095856,0.0000,1.0
2022-10-04,13.25,14.21,13.21,14.19,14.19,53672325,0.0000,1.0
2022-10-03,12.615,13.19,12.455,13.11,13.11,47987973,0.0000,1.0
2022-09-30,12.54,12.58,12.13,12.5,12.5,353648774,0.0000,1.0
2022-09-29,12.76,12.88,12.37,12.38,12.38,36038816,0.0000,1.0
2022-09-28,12.45,12.79,12.38,12.72,12.72,28303102,0.0000,1.0
2022-09-27,12.8,12.98,12.4,12.41,12.41,40390392,0.0000,1.0
2022-09-26,13.16,13.25,12.69,12.75,12.75,63874932,0.0000,1.0
2022-09-23,12.74,12.745,12.1601,12.61,12.61,20427878,0.0000,1.0
2022-09-22,13.11,13.17,12.725,12.96,12.96,15052258,0.0000,1.0
2022-09-21,13.34,13.39,13.01,13.01,13.01,14543620,0.0000,1.0
