timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,92.19,93.87,90.7,91.13,91.13,1767786,0.0000,1.0
2023-02-07,91.44,92.95,90.7,92.75,92.75,1124564,0.0000,1.0
2023-02-06,91.71,92.19,90.66,91.56,91.56,1387407,0.0000,1.0
2023-02-03,92.3,93.44,91.73,92.31,92.31,1487682,0.0000,1.0
2023-02-02,92.51,93.11,90.81,92.87,92.87,2110021,0.0000,1.0
2023-02-01,92.64,93.185,90.07,92.08,92.08,1992970,0.0000,1.0
2023-01-31,92.2,92.95,87.04,92.55,92.55,4973805,0.0000,1.0
2023-01-30,92.46,93.73,92.37,93.39,93.39,2460400,0.0000,1.0
2023-01-27,91.98,93.355,91.94,93.05,93.05,1870614,0.0000,1.0
2023-01-26,91.05,92.28,90.62,92.26,92.26,1374576,0.0000,1.0
2023-01-25,88.92,90.7575,88.7,90.69,90.69,1057878,0.0000,1.0
2023-01-24,89.18,90.07,88.04,89.77,89.77,827736,0.0000,1.0
2023-01-23,88.02,89.74,88.02,89.34,89.34,876325,0.0000,1.0
2023-01-20,87.34,88.13,86.685,87.96,87.96,1449923,0.0000,1.0
2023-01-19,86.33,87.585,85.975,86.91,86.91,1733644,0.0000,1.0
2023-01-18,89.69,89.945,87.305,87.41,87.41,1243282,0.0000,1.0
2023-01-17,89.53,89.92,88.5,89.34,89.34,1124180,0.0000,1.0
2023-01-13,87.71,89.64,87.075,89.32,89.32,1061531,0.0000,1.0
2023-01-12,89.35,89.54,88.211,88.36,88.36,1247647,0.0000,1.0
2023-01-11,88.2,90.74,88.115,89.25,89.25,2150039,0.0000,1.0
2023-01-10,86.89,87.73,86.2,87.62,87.62,1050426,0.0000,1.0
2023-01-09,87.56,88.205,86.48,86.87,86.87,1745885,0.0000,1.0
2023-01-06,85.24,87.63,84.78,87.46,87.46,1593274,0.0000,1.0
2023-01-05,84.79,84.95,84.0,84.39,84.39,1845727,0.0000,1.0
2023-01-04,84.27,85.14,84.18,85.01,85.01,1655575,0.0000,1.0
