timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,57.72,57.73,55.26,55.51,55.51,3785800,0.0000,1.0
2023-02-07,56.98,58.33,56.7,58.07,58.07,2849375,0.0000,1.0
2023-02-06,58.0,58.16,57.33,57.48,57.48,2527287,0.0000,1.0
2023-02-03,58.74,59.78,58.255,58.8,58.8,2772735,0.0000,1.0
2023-02-02,59.12,60.89,58.97,60.27,60.27,3653738,0.0000,1.0
2023-02-01,56.79,58.65,56.07,58.44,58.44,5325052,0.0000,1.0
2023-01-31,56.2,56.98,55.0701,56.89,56.89,7896080,0.0000,1.0
2023-01-30,52.16,53.02,51.93,51.99,51.99,2971882,0.0000,1.0
2023-01-27,52.19,53.185,51.98,52.62,52.62,2225208,0.0000,1.0
2023-01-26,52.27,52.825,51.38,52.37,52.37,1800822,0.0000,1.0
2023-01-25,51.12,52.19,51.04,51.98,51.98,1662130,0.0000,1.0
2023-01-24,51.65,52.0,50.8,51.62,51.62,1704446,0.0000,1.0
2023-01-23,50.53,51.45,50.42,51.06,51.06,1528356,0.0000,1.0
2023-01-20,50.42,50.75,49.475,50.71,50.71,1945070,0.0000,1.0
2023-01-19,50.94,51.06,49.89,50.18,50.18,1973319,0.0000,1.0
2023-01-18,51.3,52.28,50.88,50.97,50.97,2472697,0.0000,1.0
2023-01-17,50.81,51.37,50.56,51.07,51.07,2638380,0.0000,1.0
2023-01-13,49.36,50.93,49.27,50.74,50.74,2086042,0.0000,1.0
2023-01-12,49.99,50.51,49.12,50.31,50.31,2071664,0.0000,1.0
2023-01-11,49.0,49.915,48.85,49.83,49.83,1848338,0.0000,1.0
2023-01-10,47.73,48.51,47.4101,48.43,48.43,1292857,0.0000,1.0
2023-01-09,48.55,49.1,48.085,48.13,48.13,1506763,0.0000,1.0
2023-01-06,48.02,48.53,47.82,48.31,48.31,1952734,0.0000,1.0
2023-01-05,46.79,47.93,46.6,47.67,47.67,2150797,0.0000,1.0
2023-01-04,46.88,47.66,46.52,47.41,47.41,2442893,0.0000,1.0
2023-01-03,46.4,46.49,45.53,46.2,46.2,1500614,0.0000,1.0
2022-12-30,45.27,45.76,45.11,45.53,45.53,1320793,0.0000,1.0
2022-12-29,45.04,46.15,44.59,45.82,45.82,930531,0.0000,1.0
2022-12-28,45.94,46.03,44.8,44.89,44.89,1221683,0.0000,1.0
2022-12-27,45.6,46.045,45.34,45.87,45.87,1092209,0.0000,1.0
2022-12-23,45.71,46.05,45.3425,45.79,45.79,963846,0.0000,1.0
2022-12-22,45.14,46.05,44.89,46.03,46.03,1211999,0.0000,1.0
2022-12-21,45.52,46.08,45.34,45.76,45.76,1388429,0.0000,1.0
2022-12-20,44.72,45.23,44.4,44.78,44.78,1616522,0.0000,1.0
2022-12-19,45.88,46.195,44.995,45.08,45.08,2126628,0.0000,1.0
2022-12-16,46.11,46.615,45.78,46.3,46.3,4336578,0.0000,1.0
2022-12-15,45.13,47.365,44.9,47.05,47.05,4093629,0.0000,1.0
2022-12-14,46.21,46.83,45.51,46.33,46.33,2773297,0.0000,1.0
2022-12-13,47.16,47.61,45.44,45.79,45.79,2780180,0.1600,1.0
2022-12-12,44.06,45.02,43.8,44.82,44.6639347116431,1944945,0.0000,1.0
2022-12-09,43.83,44.47,43.62,43.92,43.7670685527748,1156502,0.0000,1.0
2022-12-08,44.36,45.005,44.08,44.41,44.2553623503808,1468786,0.0000,1.0
2022-12-07,43.69,44.855,43.55,44.6,44.4447007616975,1568454,0.0000,1.0
2022-12-06,43.89,44.05,42.78,43.38,43.2289488574538,2177884,0.0000,1.0
2022-12-05,43.68,44.13,43.4506,43.71,43.5577997823722,1410397,0.0000,1.0
2022-12-02,44.21,45.09,44.04,44.59,44.4347355821545,1467733,0.0000,1.0
2022-12-01,45.36,46.1303,44.82,45.15,44.9927856365615,2285513,0.0000,1.0
2022-11-30,43.85,44.85,42.8,44.78,44.6240739934712,6002311,0.0000,1.0
2022-11-29,43.48,44.31,43.4,44.09,43.9364766050054,1924044,0.0000,1.0
2022-11-28,44.02,44.3883,43.62,43.82,43.6674167573449,1910472,0.0000,1.0
2022-11-25,44.27,44.58,44.2,44.52,44.3649793253537,987982,0.0000,1.0
2022-11-23,43.73,44.79,43.32,44.7,44.5443525571273,1806771,0.0000,1.0
2022-11-22,43.11,43.75,43.0,43.73,43.5777301414581,1540494,0.0000,1.0
2022-11-21,42.82,42.84,42.05,42.41,42.2623264417845,1599202,0.0000,1.0
2022-11-18,43.56,43.65,42.19,42.85,42.7007943416757,1442327,0.0000,1.0
2022-11-17,42.55,42.9,41.72,42.84,42.6908291621328,1918945,0.0000,1.0
2022-11-16,43.34,43.79,43.055,43.7,43.5478346028292,2262427,0.0000,1.0
2022-11-15,43.58,44.3,42.7,43.62,43.4681131664853,2415037,0.0000,1.0
2022-11-14,44.2,44.35,42.49,42.51,42.3619782372144,2564942,0.0000,1.0
2022-11-11,43.82,44.865,43.48,44.37,44.2155016322089,2785322,0.0000,1.0
2022-11-10,41.08,44.22,41.03,43.78,43.627556039173,4704623,0.0000,1.0
2022-11-09,38.6,40.215,38.31,38.58,38.4456626768226,2829268,0.0000,1.0
2022-11-08,38.92,39.4,38.205,38.92,38.784478781284,2991722,0.0000,1.0
2022-11-07,38.51,38.77,37.63,38.72,38.5851751904244,2046370,0.0000,1.0
2022-11-04,37.9,38.62,37.33,38.26,38.1267769314472,2192588,0.0000,1.0
2022-11-03,37.82,38.08,37.06,37.22,37.0903982589772,2750922,0.0000,1.0
2022-11-02,39.62,40.62,38.62,38.64,38.5054537540805,2584208,0.0000,1.0
2022-11-01,40.91,41.04,39.44,39.8,39.6614145810664,2860383,0.0000,1.0
2022-10-31,39.81,40.12,39.05,39.99,39.850752992383,2742659,0.0000,1.0
2022-10-28,38.97,40.45,38.79,40.33,40.1895690968444,2043151,0.0000,1.0
2022-10-27,38.98,40.24,38.51,39.23,39.0933993471164,3234651,0.0000,1.0
2022-10-26,39.1,39.91,38.795,38.88,38.7446180631121,3130491,0.0000,1.0
2022-10-25,37.96,40.51,37.78,39.55,39.4122850924918,5781854,0.0000,1.0
2022-10-24,37.83,38.185,37.21,37.96,37.8278215451578,3586184,0.0000,1.0
2022-10-21,36.11,37.61,35.99,37.49,37.3594581066377,2764035,0.0000,1.0
2022-10-20,37.31,38.2,36.5,36.59,36.4625919477693,2134968,0.0000,1.0
2022-10-19,38.98,39.02,36.64,37.16,37.0306071817193,2849416,0.0000,1.0
