timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,101.18,101.83,101.05,101.29,101.29,3874672,0.0000,1.0
2023-02-07,100.93,102.36,100.6,102.2,102.2,3939175,0.0000,1.0
2023-02-06,102.55,102.67,101.66,101.81,101.81,2888682,0.0000,1.0
2023-02-03,103.7,103.77,101.79,102.59,102.59,3530504,0.0000,1.0
2023-02-02,104.59,104.78,102.8229,103.51,103.51,4378923,0.0000,1.0
2023-02-01,104.5,105.62,104.02,105.39,105.39,3791711,0.0000,1.0
2023-01-31,104.21,104.265,103.3101,104.24,104.24,3540413,0.0000,1.0
2023-01-30,103.32,104.59,103.25,103.83,103.83,5358287,0.0000,1.0
2023-01-27,104.31,104.45,103.555,103.76,103.76,4133437,0.0000,1.0
2023-01-26,103.09,104.35,102.45,104.32,104.32,4156168,0.0000,1.0
2023-01-25,102.5,104.06,102.28,103.42,103.42,12289879,0.0000,1.0
2023-01-24,101.17,101.9,100.4,101.3,101.3,3604541,0.0000,1.0
2023-01-23,102.0,102.3965,100.97,101.15,101.15,4815856,0.0000,1.0
2023-01-20,101.52,101.98,100.89,101.82,101.82,4806526,0.0000,1.0
2023-01-19,100.61,101.95,100.24,101.19,101.19,4645363,0.0000,1.0
2023-01-18,101.01,101.41,98.65,99.26,99.26,4271734,0.0000,1.0
2023-01-17,102.12,102.46,100.9328,101.23,101.23,4284036,0.0000,1.0
2023-01-13,101.34,101.86,101.21,101.7,101.7,2772151,0.0000,1.0
2023-01-12,102.53,102.56,101.09,101.44,101.44,4109105,0.0000,1.0
2023-01-11,102.32,102.96,101.01,102.06,102.06,4561574,0.0000,1.0
2023-01-10,102.62,102.82,101.79,102.19,102.19,4275167,0.0000,1.0
2023-01-09,104.0,104.43,102.28,102.3,102.3,4864218,0.0000,1.0
2023-01-06,102.1,104.27,101.83,103.49,103.49,5815692,0.0000,1.0
2023-01-05,100.59,101.09,99.76,100.82,100.82,3590271,0.0000,1.0
2023-01-04,101.51,101.74,100.68,101.23,101.23,5895503,0.0000,1.0
2023-01-03,101.51,101.94,100.19,101.3,101.3,2730043,0.0000,1.0
2022-12-30,101.06,101.41,100.296,101.21,101.21,2858848,0.0000,1.0
2022-12-29,101.09,101.49,100.8,101.19,101.19,2361425,0.0000,1.0
2022-12-28,103.0,103.15,100.87,100.94,100.94,2393507,0.0000,1.0
2022-12-27,102.08,102.995,101.72,102.68,102.68,5468116,0.0000,1.0
2022-12-23,100.54,101.79,100.31,101.69,101.69,2493495,0.0000,1.0
2022-12-22,100.51,100.92,99.59,100.86,100.86,3112562,0.0000,1.0
2022-12-21,99.9,100.595,99.69,100.52,100.52,5615888,1.2700,1.0
2022-12-20,100.79,101.39,100.245,100.92,99.6608547008547,4261446,0.0000,1.0
2022-12-19,100.62,101.44,99.93,100.61,99.3547224678259,4467806,0.0000,1.0
2022-12-16,100.53,101.43,99.5,100.28,99.0288397681501,11411962,0.0000,1.0
2022-12-15,101.96,102.3,99.81,101.27,100.006487867178,4969234,0.0000,1.0
2022-12-14,102.76,103.08,101.64,102.46,101.181640632675,7866389,0.0000,1.0
2022-12-13,103.45,103.82,100.82,102.32,101.043387366146,8753285,0.0000,1.0
2022-12-12,102.2,102.82,101.62,102.6,101.319893899204,7695573,0.0000,1.0
2022-12-09,102.15,102.92,101.89,102.09,100.816256999705,5723631,0.0000,1.0
2022-12-08,101.72,102.17,101.01,102.06,100.786631299735,5086424,0.0000,1.0
2022-12-07,102.11,102.25,101.15,101.88,100.608877099912,7894367,0.0000,1.0
2022-12-06,103.42,104.09,101.0342,101.63,100.361996266824,7233677,0.0000,1.0
2022-12-05,103.31,104.12,103.01,103.48,102.188914431673,17092656,0.0000,1.0
2022-12-02,101.51,104.31,101.24,104.3,102.998683564201,5847286,0.0000,1.0
2022-12-01,100.06,102.67,99.9,102.46,101.181640632675,7797729,0.0000,1.0
2022-11-30,97.95,99.88,96.73,99.67,98.4264505354161,5873608,0.0000,1.0
2022-11-29,97.82,97.9,97.02,97.79,96.5699066705963,2859731,0.0000,1.0
2022-11-28,97.32,98.12,96.78,97.63,96.4119029374202,3623914,0.0000,1.0
2022-11-25,98.01,98.58,97.76,98.25,97.0241674034778,1299010,0.0000,1.0
2022-11-23,97.45,98.6027,97.19,98.11,96.8859141369486,2979730,0.0000,1.0
2022-11-22,97.33,97.57,96.94,97.16,95.9477669712153,2862907,0.0000,1.0
2022-11-21,96.61,97.46,96.05,96.9,95.691010904804,3271909,0.0000,1.0
2022-11-18,96.0,96.61,95.425,96.28,95.0787464387464,3833889,0.0000,1.0
2022-11-17,94.95,95.4,93.49,95.16,93.9727203065134,2806738,0.0000,1.0
2022-11-16,95.26,95.59,94.38,94.71,93.5283348069555,2820244,0.0000,1.0
2022-11-15,95.68,96.22,93.92,94.67,93.4888338736615,4242690,0.0000,1.0
2022-11-14,94.55,95.37,93.87,93.93,92.7580666077218,5686642,0.0000,1.0
2022-11-11,93.45,94.82,92.42,94.47,93.2913292071913,4019092,0.0000,1.0
2022-11-10,93.01,93.59,91.67,93.25,92.0865507417232,5452952,0.0000,1.0
2022-11-09,92.55,92.91,90.91,90.97,89.8349975439631,3119567,0.0000,1.0
2022-11-08,91.2,92.585,90.36,92.5,91.34590824246,4176725,0.0000,1.0
2022-11-07,90.45,91.38,90.12,90.9,89.7658709106985,5069521,0.0000,1.0
2022-11-04,89.51,91.1828,89.07,89.98,88.8573494449357,2990462,0.0000,1.0
2022-11-03,88.6,89.11,88.17,88.34,87.2378111798802,3331764,0.0000,1.0
2022-11-02,91.6,91.885,89.25,89.38,88.2648354455251,4691938,0.0000,1.0
2022-11-01,92.26,92.55,91.11,91.72,90.5756400432263,3485335,0.0000,1.0
2022-10-31,92.05,92.3,91.29,91.85,90.7040180764319,3473857,0.0000,1.0
2022-10-28,89.99,93.144,89.67,92.53,91.3755339424305,4278880,0.0000,1.0
2022-10-27,89.52,90.2825,89.1,89.54,88.4228391787013,7072233,0.0000,1.0
2022-10-26,88.88,90.14,88.45,89.58,88.4623401119953,4750134,0.0000,1.0
2022-10-25,87.34,88.69,87.07,88.5,87.3958149130563,5243804,0.0000,1.0
2022-10-24,86.58,87.94,86.1148,87.19,86.1021593476766,8413890,0.0000,1.0
2022-10-21,85.15,87.01,84.44,86.51,85.430643481678,6780839,0.0000,1.0
2022-10-20,85.0,86.69,84.52,85.03,83.9691089497986,4846069,0.0000,1.0
2022-10-19,86.68,87.15,85.75,86.47,85.3911425483839,4874835,0.0000,1.0
2022-10-18,86.84,87.34,85.97,86.31,85.2331388152078,3480987,0.0000,1.0
2022-10-17,86.1,86.445,85.07,85.57,84.5023715492681,3277111,0.0000,1.0
2022-10-14,87.81,88.3,85.085,85.26,84.1962393162393,3536092,0.0000,1.0
2022-10-13,84.17,87.42,84.0,87.23,86.1416602809706,4495706,0.0000,1.0
2022-10-12,86.25,87.38,85.6,85.67,84.6011238825032,3901175,0.0000,1.0
2022-10-11,84.01,86.685,84.01,85.62,84.5517477158857,5037306,0.0000,1.0
2022-10-10,84.93,85.6,84.0,84.0,82.9519599174772,2717663,0.0000,1.0
2022-10-07,85.26,85.61,84.22,84.65,83.5938500835053,3464746,0.0000,1.0
2022-10-06,86.53,86.85,84.83,85.47,84.403619216033,4963602,0.0000,1.0
2022-10-05,86.35,87.46,86.2,86.97,85.8849042145594,4317087,0.0000,1.0
2022-10-04,85.38,87.5,85.06,87.0,85.9145299145299,5483772,0.0000,1.0
2022-10-03,84.17,85.44,83.74,85.03,83.9691089497986,4789624,0.0000,1.0
2022-09-30,86.0,86.36,82.85,83.01,81.9743118184498,7259171,0.0000,1.0
2022-09-29,87.12,87.5,85.61,86.09,85.0158836820906,4301378,0.0000,1.0
2022-09-28,87.28,87.83,86.1001,87.35,86.2601630808527,8287310,0.0000,1.0
2022-09-27,89.48,90.13,86.83,87.02,85.9342803811769,7067769,1.2700,1.0
2022-09-26,91.41,92.36,90.0499,90.17,87.7641189485868,4482372,0.0000,1.0
2022-09-23,95.0,95.155,90.62,91.79,89.3408947353974,5287896,0.0000,1.0
2022-09-22,96.38,96.979,95.26,95.79,93.2341682830778,3755137,0.0000,1.0
2022-09-21,96.19,97.47,96.08,96.42,93.8473588668375,5183881,0.0000,1.0
2022-09-20,95.52,96.73,95.09,96.01,93.4482983282002,3616857,0.0000,1.0
2022-09-19,94.88,96.04,94.3,95.92,93.3606996733774,4048198,0.0000,1.0
2022-09-16,95.49,95.76,94.03,95.56,93.0103050540862,10447020,0.0000,1.0
2022-09-15,93.83,94.48,93.14,94.04,91.5308611059676,3661150,0.0000,1.0
2022-09-14,94.42,94.49,93.09,93.7,91.1999328544148,3498648,0.0000,1.0
2022-09-13,96.96,97.2,93.75,94.02,91.5113947382292,3196542,0.0000,1.0
2022-09-12,97.5,98.23,97.24,97.66,95.0542736666184,3675625,0.0000,1.0
2022-09-09,96.07,97.87,95.58,97.06,94.4702826344664,3418633,0.0000,1.0
2022-09-08,94.38,95.99,94.09,95.62,93.0687041573014,3641845,0.0000,1.0
2022-09-07,94.17,94.94,93.53,94.61,92.0856525865121,3964984,0.0000,1.0
2022-09-06,94.97,95.32,93.7857,94.1,91.5892602091828,4122292,0.0000,1.0
2022-09-02,96.9,97.51,94.1,94.53,92.0077871155585,4077614,0.0000,1.0
2022-09-01,95.45,97.315,95.3463,96.48,93.9057579700527,3451626,0.0000,1.0
2022-08-31,95.51,96.3,95.21,95.49,92.9421727670018,3959713,0.0000,1.0
2022-08-30,96.24,96.66,95.18,95.49,92.9421727670018,2178409,0.0000,1.0
2022-08-29,96.2,96.9,95.72,96.24,93.6721615571919,2528434,0.0000,1.0
2022-08-26,98.6,98.74,96.48,96.55,93.9738902571371,2938053,0.0000,1.0
