timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,161.06,163.14,160.76,161.56,161.56,1929458,0.0000,1.0
2023-02-07,162.45,164.0,160.33,162.94,162.94,3890919,0.0000,1.0
2023-02-06,164.07,164.7,162.585,163.0,163.0,1567552,0.0000,1.0
2023-02-03,164.7,167.12,164.1,165.39,165.39,1507727,0.0000,1.0
2023-02-02,165.5,166.81,163.11,166.17,166.17,1930117,0.0000,1.0
2023-02-01,163.85,166.57,162.17,164.79,164.79,1844392,0.0000,1.0
2023-01-31,163.0,165.44,161.78,165.43,165.43,2295075,0.0000,1.0
2023-01-30,162.19,163.45,162.05,162.86,162.86,1947122,0.0000,1.0
2023-01-27,161.99,165.09,161.95,163.17,163.17,2046880,0.0000,1.0
2023-01-26,161.02,161.9876,159.31,161.93,161.93,1397195,0.0000,1.0
2023-01-25,157.22,160.72,156.63,160.18,160.18,2227526,0.0000,1.0
2023-01-24,159.73,159.73,157.49,158.42,158.42,1631647,0.0000,1.0
2023-01-23,155.22,160.99,154.55,159.34,159.34,2433426,0.0000,1.0
2023-01-20,148.44,155.11,147.31,154.87,154.87,4166545,0.0000,1.0
2023-01-19,150.5,150.88,147.1,148.02,148.02,5764331,0.0000,1.0
2023-01-18,152.49,155.21,149.585,152.07,152.07,6677796,0.0000,1.0
2023-01-17,163.13,163.55,161.16,161.85,161.85,3608198,0.0000,1.0
2023-01-13,164.75,165.26,161.36,164.0,164.0,4379375,1.5000,1.0
2023-01-12,167.0,169.07,166.64,168.82,167.289909365559,2169671,0.0000,1.0
2023-01-11,165.12,166.69,165.045,165.84,164.336918429003,3197947,0.0000,1.0
2023-01-10,163.49,165.05,162.46,164.94,163.445075528701,2139881,0.0000,1.0
2023-01-09,164.95,166.86,163.09,164.28,162.791057401813,2473784,0.0000,1.0
2023-01-06,162.5,164.785,158.915,164.21,162.7216918429,2250143,0.0000,1.0
2023-01-05,160.96,161.64,157.31,159.37,157.925558912387,2174084,0.0000,1.0
2023-01-04,161.6,166.1,160.65,163.73,162.246042296073,2107655,0.0000,1.0
2023-01-03,159.65,161.6,157.67,159.52,158.07419939577,1650580,0.0000,1.0
2022-12-30,157.24,158.57,156.22,157.94,156.508519637462,1035061,0.0000,1.0
2022-12-29,156.25,158.05,155.61,157.83,156.399516616314,994277,0.0000,1.0
2022-12-28,156.32,157.03,155.345,155.86,154.447371601208,974570,0.0000,1.0
