timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,57.24,57.48,56.27,56.71,56.71,1380752,0.0000,1.0
2023-02-07,57.88,57.895,56.49,57.61,57.61,1677028,0.0000,1.0
2023-02-06,58.68,58.725,57.915,58.23,58.23,1860772,0.0000,1.0
2023-02-03,59.28,59.86,58.885,59.37,59.37,2316010,0.0000,1.0
2023-02-02,58.49,60.85,58.09,60.21,60.21,4259653,0.0000,1.0
2023-02-01,55.43,57.85,54.75,57.62,57.62,3155738,0.0000,1.0
2023-01-31,52.0,55.6,52.0,55.38,55.38,5716291,0.0000,1.0
2023-01-30,50.95,51.41,50.57,50.7,50.7,1973786,0.0000,1.0
2023-01-27,50.48,51.81,50.21,51.53,51.53,1294178,0.0000,1.0
2023-01-26,51.09,51.09,50.15,50.59,50.59,1277835,0.0000,1.0
2023-01-25,49.86,50.77,49.52,50.74,50.74,1243327,0.0000,1.0
2023-01-24,50.11,50.755,49.63,50.38,50.38,1100018,0.0000,1.0
2023-01-23,49.63,50.55,49.2,50.44,50.44,2020609,0.0000,1.0
2023-01-20,48.34,49.19,47.9,49.16,49.16,2038648,0.0000,1.0
2023-01-19,49.53,49.72,47.93,48.03,48.03,2013029,0.2200,1.0
2023-01-18,50.77,51.25,50.02,50.24,50.0109264248705,1478307,0.0000,1.0
2023-01-17,50.56,51.09,50.33,50.53,50.2996041450777,1189285,0.0000,1.0
2023-01-13,50.01,50.77,49.92,50.52,50.2896497409326,1576954,0.0000,1.0
2023-01-12,49.94,50.24,49.345,49.86,49.6326590673575,1133656,0.0000,1.0
2023-01-11,48.44,49.58,48.11,49.54,49.314118134715,1919207,0.0000,1.0
2023-01-10,47.33,48.275,47.14,47.98,47.7612310880829,1796010,0.0000,1.0
2023-01-09,47.0,47.97,46.45,47.49,47.2734652849741,2045592,0.0000,1.0
2023-01-06,46.68,47.13,46.42,46.8,46.5866113989637,2052932,0.0000,1.0
2023-01-05,46.23,46.775,46.0,46.16,45.9495295336788,870880,0.0000,1.0
2023-01-04,45.88,47.145,45.775,46.7,46.487067357513,2026705,0.0000,1.0
2023-01-03,45.66,45.8,44.66,45.2,44.9939067357513,957546,0.0000,1.0
2022-12-30,44.84,45.1788,44.44,44.98,44.7749098445596,1023960,0.0000,1.0
2022-12-29,44.34,45.655,44.205,45.25,45.0436787564767,805493,0.0000,1.0
2022-12-28,44.78,45.11,43.91,43.96,43.7595606217617,586724,0.0000,1.0
2022-12-27,44.42,44.925,44.08,44.68,44.4762777202073,686785,0.0000,1.0
2022-12-23,44.17,44.46,43.91,44.4,44.1975544041451,860071,0.0000,1.0
2022-12-22,44.05,44.465,43.49,44.27,44.0681471502591,1181782,0.0000,1.0
2022-12-21,44.2,44.75,44.1,44.55,44.3468704663212,1201437,0.0000,1.0
2022-12-20,43.64,44.07,43.4595,43.66,43.4609284974093,1537544,0.0000,1.0
2022-12-19,43.71,45.12,43.6,43.83,43.6301533678756,1677410,0.0000,1.0
2022-12-16,43.98,44.19,43.19,43.44,43.2419316062176,2530450,0.0000,1.0
2022-12-15,45.14,45.19,44.05,44.51,44.3070528497409,1649631,0.0000,1.0
2022-12-14,46.36,46.92,45.675,45.84,45.6309886010363,1476199,0.0000,1.0
2022-12-13,47.94,48.06,46.25,46.58,46.367614507772,1399339,0.0000,1.0
