timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,74.57,74.66,73.12,73.29,73.29,621085,0.0000,1.0
2023-02-07,75.2,75.2,73.69,74.97,74.97,768622,0.0000,1.0
2023-02-06,75.73,76.07,74.53,75.61,75.61,820061,0.0000,1.0
2023-02-03,77.46,77.46,74.69,75.88,75.88,1062112,0.0000,1.0
2023-02-02,76.59,78.23,76.2801,77.74,77.74,1030842,0.0000,1.0
2023-02-01,74.21,76.835,73.94,76.53,76.53,1761703,0.0000,1.0
2023-01-31,73.5,74.57,72.73,74.55,74.55,1760312,0.8650,1.0
2023-01-30,73.89,74.62,73.72,74.01,73.161115162766,934622,0.0000,1.0
2023-01-27,74.1,74.43,73.65,74.07,73.2204269707618,719597,0.0000,1.0
2023-01-26,73.51,74.07,73.15,74.02,73.1710004640987,766648,0.0000,1.0
2023-01-25,73.7,74.1275,73.4,73.75,72.9040973281177,837182,0.0000,1.0
2023-01-24,73.76,74.36,72.82,74.06,73.2105416694292,746316,0.0000,1.0
2023-01-23,75.15,75.15,73.39,73.76,72.9139826294504,1044212,0.0000,1.0
2023-01-20,74.2,75.4,73.18,75.36,74.4956308426706,1078820,0.0000,1.0
2023-01-19,74.6,74.75,73.775,74.19,73.3390505867533,902256,0.0000,1.0
2023-01-18,75.12,75.29,74.01,74.39,73.5367566134058,988184,0.0000,1.0
2023-01-17,75.53,75.79,75.01,75.11,74.2484983093549,764561,0.0000,1.0
2023-01-13,75.78,75.935,74.96,75.37,74.5055161440032,651484,0.0000,1.0
2023-01-12,76.5,77.18,76.04,76.2,75.3259961546111,727110,0.0000,1.0
2023-01-11,75.65,76.5,75.465,76.46,75.5830139892594,720186,0.0000,1.0
2023-01-10,75.31,75.695,74.88,75.65,74.7823045813167,763256,0.0000,1.0
2023-01-09,75.24,76.48,75.24,75.55,74.6834515679904,656127,0.0000,1.0
2023-01-06,74.49,76.02,74.48,75.46,74.5944838559968,729810,0.0000,1.0
2023-01-05,74.88,75.095,73.305,73.65,72.8052443147915,994775,0.0000,1.0
2023-01-04,75.1,76.095,74.63,75.39,74.5252867466684,954218,0.0000,1.0
2023-01-03,76.25,76.4125,73.38,74.63,73.7740038453888,1442535,0.0000,1.0
2022-12-30,77.21,77.36,75.57,76.04,75.1678313332891,571367,0.0000,1.0
2022-12-29,77.24,77.76,77.05,77.13,76.2453291785454,745138,0.0000,1.0
2022-12-28,77.84,78.1,76.78,76.81,75.9289995359014,808282,0.0000,1.0
2022-12-27,78.1,78.1,77.22,77.71,76.8186766558377,720872,0.0000,1.0
2022-12-23,76.88,77.97,76.8,77.93,77.0361532851555,416522,0.0000,1.0
2022-12-22,77.08,77.19,75.91,76.99,76.1069349598886,1280891,0.0000,1.0
2022-12-21,77.55,77.815,77.18,77.45,76.5616588211894,1447702,0.0000,1.0
2022-12-20,77.28,77.48,76.415,77.01,76.1267055625539,1499069,0.0000,1.0
2022-12-19,77.85,78.31,76.81,77.28,76.3936086985348,698059,0.0000,1.0
2022-12-16,77.91,78.1,76.62,77.9,77.0064973811576,1750985,0.0000,1.0
2022-12-15,79.16,79.25,78.02,78.62,77.7182390771067,1076571,0.0000,1.0
2022-12-14,79.48,80.6,78.9237,79.45,78.5387190877147,677438,0.0000,1.0
2022-12-13,79.51,80.48,78.67,79.39,78.4794072797189,1262252,0.0000,1.0
2022-12-12,78.03,79.04,77.44,79.01,78.1037658290791,590398,0.0000,1.0
2022-12-09,77.38,78.17,77.31,77.5,76.6110853278525,699985,0.0000,1.0
2022-12-08,77.5,78.06,77.265,77.78,76.8878737651661,567477,0.0000,1.0
2022-12-07,77.84,78.35,77.61,77.62,76.7297089438441,734129,0.0000,1.0
2022-12-06,77.88,78.74,76.97,78.06,77.1646622024796,1948303,0.0000,1.0
2022-12-05,77.48,78.33,76.9038,77.86,76.9669561758271,1090853,0.0000,1.0
2022-12-02,77.26,78.47,76.87,78.12,77.2239740104754,1602789,0.0000,1.0
2022-12-01,79.01,79.39,77.65,77.8,76.9076443678313,594133,0.0000,1.0
2022-11-30,75.95,78.35,75.78,78.32,77.4216800371279,843992,0.0000,1.0
2022-11-29,76.12,76.52,75.52,76.23,75.355652058609,706635,0.0000,1.0
2022-11-28,76.06,76.76,75.7,76.59,75.7115229065836,582935,0.0000,1.0
2022-11-25,76.4,77.13,76.395,76.5,75.6225551945899,341854,0.0000,1.0
2022-11-23,76.23,76.58,75.46,76.39,75.513816879931,737458,0.0000,1.0
2022-11-22,75.56,76.21,75.41,76.16,75.2864549492806,627321,0.0000,1.0
2022-11-21,73.95,75.36,73.82,75.21,74.3473513226812,722694,0.0000,1.0
2022-11-18,73.08,73.91,72.79,73.73,72.8843267254525,857765,0.0000,1.0
2022-11-17,72.57,72.7,71.61,72.31,71.4806139362196,670873,0.0000,1.0
2022-11-16,73.77,74.1,72.71,73.3,72.4592587681496,1056779,0.0000,1.0
2022-11-15,72.0,73.94,72.0,73.88,73.0326062454419,1230813,0.0000,1.0
2022-11-14,71.84,72.3,71.15,71.15,70.333918981635,728376,0.0000,1.0
2022-11-11,72.6,72.6,71.05,71.64,70.8182987469336,572991,0.0000,1.0
2022-11-10,71.55,72.67,70.62,72.6,71.7672876748657,1019440,0.0000,1.0
2022-11-09,68.0,70.38,67.86,69.86,69.0587151097262,1779936,0.0000,1.0
2022-11-08,68.8,69.2069,68.04,68.29,67.5067228005039,711148,0.0000,1.0
2022-11-07,69.52,69.52,67.24,68.42,67.635231717828,846084,0.0000,1.0
2022-11-04,68.56,69.67,68.07,69.52,68.7226148644169,901704,0.0000,1.0
2022-11-03,67.74,69.86,66.73,68.52,67.7340847311543,1346695,0.0000,1.0
2022-11-02,67.39,68.96,67.2,67.29,66.5181926672413,1103756,0.0000,1.0
2022-11-01,67.49,68.19,66.85,67.81,67.0322283365378,796401,0.0000,1.0
2022-10-31,67.32,67.65,66.63,67.21,66.4391102565802,650110,0.8650,1.0
2022-10-28,66.81,68.435,66.66,68.3,66.6587033496061,516284,0.0000,1.0
2022-10-27,66.71,67.5,66.32,66.47,64.8726795263296,617976,0.0000,1.0
2022-10-26,66.25,66.7234,65.505,66.04,64.4530127263248,932041,0.0000,1.0
2022-10-25,64.54,66.08,64.335,65.79,64.2090204007406,978995,0.0000,1.0
2022-10-24,64.72,65.4,64.15,64.61,63.0573766239831,612529,0.0000,1.0
2022-10-21,63.24,64.56,62.58,64.18,62.6377098239783,1083151,0.0000,1.0
2022-10-20,63.97,64.065,62.39,62.65,61.1444767914029,661707,0.0000,1.0
2022-10-19,63.53,64.249,63.11,64.05,62.5108338146745,680306,0.0000,1.0
2022-10-18,63.81,64.675,63.5,64.41,62.8621827635158,734393,0.0000,1.0
2022-10-17,62.59,63.73,62.41,62.61,61.1054380193094,631791,0.0000,1.0
2022-10-14,62.68,63.145,61.06,61.79,60.3051431913932,894106,0.0000,1.0
2022-10-13,59.07,62.32,59.03,62.06,60.5686549030242,1185054,0.0000,1.0
2022-10-12,61.34,61.465,59.52,59.76,58.3239255076495,1235340,0.0000,1.0
2022-10-11,60.89,62.13,60.7,61.53,60.0513911727857,1467025,0.0000,1.0
2022-10-10,61.08,61.8299,61.08,61.19,59.7195616099911,804260,0.0000,1.0
2022-10-07,62.75,62.99,60.59,60.98,59.5146080565004,1033250,0.0000,1.0
2022-10-06,65.02,65.02,62.68,62.73,61.2225543355899,1261167,0.0000,1.0
2022-10-05,66.03,66.204,64.86,65.29,63.7210357495722,817281,0.0000,1.0
2022-10-04,66.22,67.5753,66.02,67.0,65.3899432565682,790217,0.0000,1.0
2022-10-03,65.83,66.79,64.88,66.03,64.4432530333014,1112051,0.0000,1.0
2022-09-30,66.66,66.92,64.34,64.51,62.9597796937494,1264929,0.0000,1.0
2022-09-29,68.71,68.74,65.89,66.22,64.6286872007454,789148,0.0000,1.0
2022-09-28,69.14,69.44,68.3,68.98,67.3223624751951,827578,0.0000,1.0
2022-09-27,69.97,70.1344,68.14,68.25,66.6099048844892,751992,0.0000,1.0
2022-09-26,71.09,71.27,68.98,69.67,67.9957812938075,740795,0.0000,1.0
2022-09-23,71.99,72.0174,70.69,71.27,69.5573321775465,727849,0.0000,1.0
2022-09-22,72.5,73.37,72.23,72.7,70.9529682798882,523971,0.0000,1.0
2022-09-21,73.67,74.44,72.75,72.76,71.0115264380284,557307,0.0000,1.0
2022-09-20,74.27,74.4003,73.0,73.31,71.5483095543136,593581,0.0000,1.0
2022-09-19,73.37,74.76,73.15,74.69,72.8951471915385,548123,0.0000,1.0
2022-09-16,73.71,74.165,73.3338,73.63,71.8606197310614,1170293,0.0000,1.0
2022-09-15,75.44,75.48,73.63,73.82,72.0460538985054,1036719,0.0000,1.0
2022-09-14,75.15,75.86,75.0,75.42,73.6076047822444,795495,0.0000,1.0
2022-09-13,77.13,77.345,74.77,75.07,73.2660155264264,691286,0.0000,1.0
2022-09-12,77.02,78.4,76.715,77.75,75.8816132566892,604701,0.0000,1.0
2022-09-09,76.92,77.7,76.6,77.04,75.18867505203,498769,0.0000,1.0
2022-09-08,76.65,77.27,76.31,76.65,74.8080470241187,529628,0.0000,1.0
2022-09-07,74.97,76.81,74.97,76.7,74.8568454892355,432784,0.0000,1.0
2022-09-06,75.1,75.9,74.38,74.53,72.7389921031646,611110,0.0000,1.0
2022-09-02,76.04,76.77,74.77,74.9,73.1001007450292,525828,0.0000,1.0
2022-09-01,75.51,76.38,75.08,75.94,74.1151088194595,653161,0.0000,1.0
2022-08-31,75.56,75.7,75.07,75.35,73.5392869310808,1108954,0.0000,1.0
2022-08-30,76.12,76.52,75.16,75.39,73.5783257031742,706811,0.0000,1.0
2022-08-29,75.73,76.58,75.23,76.14,74.3103026799269,381667,0.0000,1.0
2022-08-26,77.19,77.3,75.88,75.92,74.0955894334128,538375,0.0000,1.0
2022-08-25,76.22,77.06,75.75,77.05,75.1984347450534,411568,0.0000,1.0
2022-08-24,76.29,76.52,75.655,75.98,74.154147591553,443408,0.0000,1.0
2022-08-23,77.01,77.02,75.908,76.25,74.4176593031839,459071,0.0000,1.0
2022-08-22,77.39,77.57,76.425,76.86,75.0130005776094,815578,0.0000,1.0
2022-08-19,77.65,78.36,77.41,77.96,76.0865668101799,2891493,0.0000,1.0
2022-08-18,77.98,78.29,77.405,77.87,75.9987295729696,486333,0.0000,1.0
2022-08-17,77.79,78.25,77.37,77.97,76.0963265032033,740398,0.0000,1.0
2022-08-16,77.82,78.49,77.61,78.25,76.3695979078576,601801,0.0000,1.0
2022-08-15,77.32,77.855,76.83,77.8,75.930411721806,610703,0.0000,1.0
2022-08-12,76.01,77.34,76.01,77.32,75.4619464566843,643354,0.0000,1.0
2022-08-11,76.36,76.92,75.615,75.7,73.8808761868987,808647,0.0000,1.0
2022-08-10,76.57,76.57,76.005,76.45,74.6128531636513,684845,0.0000,1.0
2022-08-09,76.0,76.33,75.43,76.3,74.4664577683008,599978,0.0000,1.0
2022-08-08,76.09,76.2,75.0,75.57,73.7540001775949,575769,0.0000,1.0
2022-08-05,76.49,76.49,74.19,75.42,73.6076047822444,898776,0.0000,1.0
2022-08-04,75.33,77.24,75.01,76.57,74.7299694799317,1342949,0.0000,1.0
2022-08-03,74.3,75.6,73.32,75.27,73.4612093868938,1467261,0.0000,1.0
2022-08-02,74.11,74.72,73.46,73.77,71.9972554333886,1089433,0.0000,1.0
2022-08-01,73.63,74.15,73.02,73.81,72.036294205482,889413,0.0000,1.0
2022-07-29,72.56,73.64,72.535,73.47,71.7044646426875,1556793,0.8500,1.0
2022-07-28,72.87,73.82,72.14,73.69,71.0966361614591,680215,0.0000,1.0
2022-07-27,72.06,72.33,71.37,72.07,69.5336486383004,495926,0.0000,1.0
2022-07-26,71.21,72.47,71.21,72.27,69.7266100609126,646966,0.0000,1.0
2022-07-25,70.06,71.47,69.85,71.43,68.9161720859415,627878,0.0000,1.0
2022-07-22,69.8,70.37,69.3,70.24,67.768051621399,345069,0.0000,1.0
2022-07-21,69.57,69.655,68.92,69.39,66.9479655752972,656095,0.0000,1.0
2022-07-20,70.48,70.5,69.01,69.66,67.2084634958236,717649,0.0000,1.0
2022-07-19,70.28,70.6,69.75,70.21,67.7391074080071,720132,0.0000,1.0
2022-07-18,70.35,70.81,69.65,69.93,67.4689614163501,770456,0.0000,1.0
2022-07-15,70.95,71.005,69.39,70.74,68.2504551779294,803392,0.0000,1.0
2022-07-14,68.7,70.575,68.7,70.42,67.9417169017499,670328,0.0000,1.0
2022-07-13,70.13,70.75,69.585,69.95,67.4882575586113,882752,0.0000,1.0
2022-07-12,71.16,71.89,70.615,71.0,68.5013050273253,635600,0.0000,1.0
2022-07-11,70.8,71.58,70.36,71.47,68.9547643704639,607013,0.0000,1.0
2022-07-08,71.47,71.49,70.38,70.87,68.3758801026273,699830,0.0000,1.0
2022-07-07,72.12,72.41,70.96,71.32,68.8100433035048,578354,0.0000,1.0
2022-07-06,71.68,72.55,70.83,71.9,69.3696314290801,884082,0.0000,1.0
2022-07-05,74.06,74.5795,70.13,71.66,69.1380777219455,930776,0.0000,1.0
2022-07-01,73.35,74.91,73.07,74.68,72.0517952033895,717696,0.0000,1.0
2022-06-30,71.53,73.58,71.505,73.12,70.5466961070144,710912,0.0000,1.0
2022-06-29,73.31,73.83,71.52,72.3,69.7555542743045,1220966,0.0000,1.0
2022-06-28,73.02,73.555,72.89,73.16,70.5852883915368,637949,0.0000,1.0
2022-06-27,71.76,72.79,71.46,72.79,70.2283097597043,440776,0.0000,1.0
