timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,388.58,390.51,383.27,385.13,385.13,429338,0.0000,1.0
2023-02-07,387.17,393.28,382.05,391.83,391.83,431169,0.0000,1.0
2023-02-06,390.83,392.49,384.33,392.04,392.04,590880,0.0000,1.0
2023-02-03,413.1,413.61,400.48,403.57,403.57,780660,0.0000,1.0
2023-02-02,404.74,423.97,404.74,422.17,422.17,688498,0.0000,1.0
2023-02-01,384.95,400.59,383.78,398.14,398.14,435288,0.0000,1.0
2023-01-31,375.29,385.9,375.24,385.61,385.61,368086,0.0000,1.0
2023-01-30,375.0,378.785,370.73,376.48,376.48,638282,0.0000,1.0
2023-01-27,363.95,380.21,361.65,379.39,379.39,468966,0.0000,1.0
2023-01-26,367.24,369.77,359.825,364.41,364.41,209749,0.0000,1.0
2023-01-25,360.0,364.84,357.0,363.5,363.5,322965,0.0000,1.0
2023-01-24,357.34,367.36,355.87,364.26,364.26,439566,0.0000,1.0
2023-01-23,353.0,359.45,349.875,359.28,359.28,270928,0.0000,1.0
2023-01-20,346.56,353.15,343.93,352.74,352.74,335700,0.0000,1.0
2023-01-19,355.48,357.89,343.48,344.78,344.78,566671,0.0000,1.0
2023-01-18,358.52,367.5,357.535,359.65,359.65,923184,0.0000,1.0
2023-01-17,347.11,355.56,346.895,353.97,353.97,451313,0.0000,1.0
2023-01-13,342.29,351.8,341.311,349.09,349.09,308463,0.0000,1.0
2023-01-12,346.85,347.82,341.075,346.79,346.79,479372,0.0000,1.0
2023-01-11,333.99,343.85,332.04,342.81,342.81,602358,0.0000,1.0
2023-01-10,318.02,325.5,316.055,325.06,325.06,350375,0.0000,1.0
2023-01-09,315.41,328.58,315.31,317.81,317.81,486882,0.0000,1.0
2023-01-06,304.23,315.58,299.35,315.31,315.31,514311,0.0000,1.0
2023-01-05,301.73,305.03,296.89,303.0,303.0,332891,0.0000,1.0
2023-01-04,306.39,306.39,299.94,304.43,304.43,363210,0.0000,1.0
2023-01-03,305.25,309.83,297.26,300.83,300.83,368062,0.0000,1.0
2022-12-30,303.05,304.69,298.42,302.33,302.33,250028,0.0000,1.0
2022-12-29,300.37,308.54,300.29,306.92,306.92,268913,0.0000,1.0
2022-12-28,306.37,308.6644,295.95,296.48,296.48,196962,0.0000,1.0
2022-12-27,305.81,307.61,301.55,306.01,306.01,206468,0.0000,1.0
2022-12-23,304.62,306.85,302.77,305.6,305.6,207597,0.0000,1.0
2022-12-22,306.6,306.8,296.04,305.08,305.08,331786,0.0000,1.0
2022-12-21,306.33,311.68,306.0,311.68,311.68,358351,0.0000,1.0
2022-12-20,306.18,306.35,300.01,303.77,303.77,327978,0.0000,1.0
2022-12-19,314.6,315.72,307.85,308.14,308.14,380449,0.0000,1.0
2022-12-16,315.09,316.36,309.18,313.02,313.02,957135,0.0000,1.0
