timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,129.92,132.06,129.6,130.38,130.38,1050199,0.0000,1.0
2023-02-07,128.96,131.64,128.63,131.27,131.27,1380430,0.0000,1.0
2023-02-06,129.27,129.78,128.5,129.44,129.44,987451,0.0000,1.0
2023-02-03,132.72,133.39,129.85,130.73,130.73,1007197,0.0000,1.0
2023-02-02,132.04,134.9378,130.25,134.43,134.43,1327129,0.0000,1.0
2023-02-01,130.42,133.3,129.68,132.01,132.01,1661332,0.0000,1.0
2023-01-31,128.35,130.47,127.65,130.34,130.34,2276246,0.0000,1.0
2023-01-30,127.04,129.57,126.95,127.65,127.65,1333296,0.0000,1.0
2023-01-27,127.31,128.65,127.02,127.35,127.35,1564091,0.0000,1.0
2023-01-26,125.75,128.48,125.465,127.7,127.7,2149869,0.0000,1.0
2023-01-25,129.08,129.33,127.77,128.15,128.15,1578498,0.0000,1.0
2023-01-24,130.24,132.045,127.7,130.97,130.97,1259520,0.0000,1.0
2023-01-23,130.1,132.3,128.79,130.3,130.3,1788239,0.0000,1.0
2023-01-20,133.37,133.37,125.75,131.0,131.0,4117580,0.0000,1.0
2023-01-19,125.78,126.53,123.32,123.6,123.6,2904385,0.0000,1.0
2023-01-18,131.53,132.0,127.71,127.78,127.78,1973340,0.0000,1.0
2023-01-17,132.36,132.64,129.55,130.62,130.62,1689720,0.0000,1.0
2023-01-13,130.39,132.78,130.36,132.4,132.4,871214,0.0000,1.0
2023-01-12,132.49,132.61,130.53,131.62,131.62,1044537,0.0000,1.0
2023-01-11,131.99,132.505,129.68,132.09,132.09,1417524,0.0000,1.0
2023-01-10,127.0,129.85,126.874,129.78,129.78,981553,0.0000,1.0
2023-01-09,128.68,131.06,127.075,128.87,128.87,1299616,0.0000,1.0
2023-01-06,124.86,128.87,123.6,128.5,128.5,1231736,0.0000,1.0
2023-01-05,126.54,126.54,122.525,123.11,123.11,1610674,0.0000,1.0
2023-01-04,128.85,130.22,127.91,129.97,129.97,763043,0.0000,1.0
2023-01-03,126.79,127.425,125.09,126.84,126.84,1001095,0.0000,1.0
2022-12-30,125.22,126.01,124.17,125.74,125.74,648835,0.0000,1.0
2022-12-29,125.37,126.85,125.02,126.4,126.4,648846,0.0000,1.0
2022-12-28,127.01,127.54,124.25,124.27,124.27,640589,0.0000,1.0
2022-12-27,126.49,127.8114,126.03,126.42,126.42,701918,0.0000,1.0
2022-12-23,125.25,126.79,124.92,126.72,126.72,458223,0.0000,1.0
2022-12-22,125.29,125.88,123.222,125.86,125.86,722749,0.0000,1.0
2022-12-21,125.73,127.8,125.73,127.15,127.15,909518,0.0000,1.0
2022-12-20,125.21,126.2108,123.55,124.76,124.76,1106768,0.0000,1.0
2022-12-19,126.04,126.95,124.8,125.63,125.63,682027,0.0000,1.0
2022-12-16,127.24,127.78,125.25,126.17,126.17,1658582,0.0000,1.0
2022-12-15,130.43,130.43,128.13,128.77,128.77,1084506,0.0000,1.0
2022-12-14,133.67,135.0801,131.5,132.77,132.77,880843,0.0000,1.0
