timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,301.39,303.69,298.57,302.0,302.0,1182730,0.0000,1.0
2023-02-07,304.11,304.9599,299.28,302.03,302.03,1470586,0.0000,1.0
2023-02-06,300.43,311.72,299.54,307.75,307.75,2363619,0.0000,1.0
2023-02-03,307.57,308.83,303.175,308.47,308.47,709352,0.0000,1.0
2023-02-02,308.41,315.88,308.41,311.46,311.46,557614,0.0000,1.0
2023-02-01,302.94,307.14,299.43,305.94,305.94,680844,0.0000,1.0
2023-01-31,298.21,305.74,298.0,304.34,304.34,848701,0.0000,1.0
2023-01-30,297.6,301.14,297.6,298.89,298.89,1063574,0.0000,1.0
2023-01-27,296.13,300.65,296.13,299.32,299.32,628477,0.0000,1.0
2023-01-26,293.56,298.29,291.705,297.39,297.39,593581,0.0000,1.0
2023-01-25,292.91,294.09,290.43,292.29,292.29,521163,0.0000,1.0
2023-01-24,291.71,295.26,287.74,293.81,293.81,685967,0.0000,1.0
2023-01-23,289.4,291.41,287.41,290.85,290.85,709488,0.0000,1.0
2023-01-20,287.0,289.94,283.92,289.1,289.1,2293887,0.0000,1.0
2023-01-19,285.25,289.287,282.99,287.55,287.55,854352,0.0000,1.0
2023-01-18,291.15,292.82,284.53,285.78,285.78,1045498,0.0000,1.0
2023-01-17,293.0,294.5,290.36,291.6,291.6,756353,0.0000,1.0
2023-01-13,292.17,294.66,289.04,290.87,290.87,851140,0.0000,1.0
2023-01-12,294.04,296.975,291.21,296.08,296.08,707292,0.0000,1.0
2023-01-11,284.37,294.43,284.37,293.67,293.67,731642,0.0000,1.0
2023-01-10,282.23,283.425,278.81,281.18,281.18,769829,0.0000,1.0
2023-01-09,276.36,284.54,275.385,281.21,281.21,946980,0.0000,1.0
2023-01-06,271.55,277.06,271.04,276.76,276.76,857913,0.0000,1.0
2023-01-05,275.56,276.82,270.13,271.27,271.27,880933,0.0000,1.0
2023-01-04,276.36,281.04,275.87,278.11,278.11,694920,0.0000,1.0
2023-01-03,281.08,281.96,270.6725,274.18,274.18,1046305,0.0000,1.0
2022-12-30,281.47,281.99,276.96,280.19,280.19,432869,0.0000,1.0
2022-12-29,280.12,284.15,278.89,282.58,282.58,403532,0.0000,1.0
2022-12-28,283.97,285.24,277.1,277.99,277.99,574265,0.0000,1.0
2022-12-27,282.78,283.895,280.86,283.04,283.04,314154,0.0000,1.0
2022-12-23,278.58,284.595,277.0,283.21,283.21,459758,0.0000,1.0
2022-12-22,281.9,283.35,276.775,279.99,279.99,731678,0.0000,1.0
2022-12-21,284.23,288.0,282.83,283.67,283.67,574882,0.0000,1.0
2022-12-20,282.51,286.34,280.01,282.26,282.26,594651,0.0000,1.0
2022-12-19,285.65,286.46,282.64,284.43,284.43,730851,0.0000,1.0
2022-12-16,295.02,296.31,284.15,286.47,286.47,2001997,0.0000,1.0
2022-12-15,296.75,301.705,293.97,298.81,298.81,1353880,0.0000,1.0
2022-12-14,303.43,306.725,298.53,300.18,300.18,1254455,0.0000,1.0
2022-12-13,306.79,307.54,300.1,301.92,301.92,992117,2.0000,1.0
2022-12-12,297.6,301.77,295.49,301.42,299.436451697815,983901,0.0000,1.0
2022-12-09,301.91,302.87,297.52,297.6,295.641589892077,657734,0.0000,1.0
2022-12-08,297.57,306.28,295.98,302.68,300.688160042116,1081065,0.0000,1.0
2022-12-07,290.49,297.57,286.29,296.82,294.866722821795,937531,0.0000,1.0
2022-12-06,290.04,290.53,285.7205,288.99,287.088249539352,908231,0.0000,1.0
2022-12-05,293.25,295.83,289.39,289.45,287.545222426954,1049668,0.0000,1.0
2022-12-02,291.97,296.93,291.135,295.8,293.853435114504,632926,0.0000,1.0
2022-12-01,300.06,301.115,292.23,295.48,293.535540931824,652383,0.0000,1.0
2022-11-30,289.22,298.14,287.58,297.96,295.999220847591,2217363,0.0000,1.0
2022-11-29,288.91,290.64,287.27,290.6,288.687654645959,972550,0.0000,1.0
2022-11-28,297.2,298.6999,287.89,288.55,286.651145038168,993282,0.0000,1.0
2022-11-25,299.66,302.72,296.5,298.61,296.64494340616,394028,0.0000,1.0
2022-11-23,299.0,299.36,294.95,297.12,295.164748618057,1057198,0.0000,1.0
2022-11-22,298.16,299.68,295.49,299.35,297.380073703606,624689,0.0000,1.0
2022-11-21,292.21,298.01,292.21,297.54,295.581984732824,713860,0.0000,1.0
2022-11-18,292.19,294.845,288.47,293.51,291.578504869703,1048485,0.0000,1.0
2022-11-17,287.31,292.45,287.07,289.38,287.475683074493,511948,0.0000,1.0
2022-11-16,289.77,296.57,289.42,291.1,289.184364306396,843096,0.0000,1.0
2022-11-15,294.1,295.86,286.31,289.1,287.197525664649,925476,0.0000,1.0
2022-11-14,296.0,296.65,290.59,290.74,288.826733350882,774156,0.0000,1.0
2022-11-11,303.28,304.625,292.57,295.18,293.237515135562,655659,0.0000,1.0
2022-11-10,296.7,304.335,294.75,302.81,300.81730455383,1076703,0.0000,1.0
2022-11-09,287.94,292.67,284.62,284.71,282.836414846012,996228,0.0000,1.0
2022-11-08,275.81,288.71,275.035,286.71,284.82325348776,1327543,0.0000,1.0
2022-11-07,281.46,283.29,270.73,274.33,272.524722295341,756304,0.0000,1.0
2022-11-04,277.18,278.38,270.86,277.73,275.902347986312,1050904,0.0000,1.0
2022-11-03,280.0,280.0131,275.42,276.67,274.849323506186,1416976,0.0000,1.0
2022-11-02,307.27,307.27,282.53,283.02,281.157536193735,1534867,0.0000,1.0
2022-11-01,310.99,311.73,305.85,307.64,305.615519873651,827365,0.0000,1.0
2022-10-31,310.72,312.74,308.16,309.75,307.711634640695,1080314,0.0000,1.0
2022-10-28,296.66,312.77,295.15,311.54,309.489855225059,798042,0.0000,1.0
2022-10-27,299.99,301.03,296.32,297.84,295.880010529087,649968,0.0000,1.0
2022-10-26,300.2,303.21,296.665,298.08,296.118431166096,681095,0.0000,1.0
2022-10-25,292.56,301.23,291.25,300.11,298.13507238747,881018,0.0000,1.0
2022-10-24,294.52,296.42,290.09,291.34,289.422784943406,772061,0.0000,1.0
2022-10-21,292.76,294.04,287.52,292.68,290.753966833377,1558117,0.0000,1.0
2022-10-20,292.57,295.62,291.37,293.09,291.161268754936,840225,0.0000,1.0
2022-10-19,293.78,297.0,290.53,290.9,288.985680442222,627854,0.0000,1.0
2022-10-18,296.64,301.69,294.6,297.2,295.244222163727,853826,0.0000,1.0
2022-10-17,286.44,294.21,285.35,291.74,289.820152671756,1030643,0.0000,1.0
2022-10-14,292.75,293.92,281.46,281.79,279.93563042906,853932,0.0000,1.0
2022-10-13,282.11,291.02,281.77,289.24,287.336604369571,851472,0.0000,1.0
2022-10-12,289.97,291.11,286.44,286.91,285.021937351935,475564,0.0000,1.0
2022-10-11,286.5,290.79,285.09,289.91,288.002195314557,747516,0.0000,1.0
2022-10-10,284.82,290.03,284.06,287.6,285.707396683338,919954,0.0000,1.0
2022-10-07,285.67,287.315,280.83,283.67,281.803258752303,842921,0.0000,1.0
2022-10-06,294.6,295.87,287.11,287.96,286.065027638852,787217,0.0000,1.0
2022-10-05,292.79,295.65,288.785,293.92,291.985806791261,654360,0.0000,1.0
2022-10-04,295.14,299.68,294.26,297.0,295.045538299553,1062491,0.0000,1.0
2022-10-03,295.87,296.81,291.305,293.95,292.015609370887,868016,0.0000,1.0
2022-09-30,291.42,294.22,287.88,292.81,290.883111345091,1124069,0.0000,1.0
2022-09-29,290.02,290.84,284.01,287.49,285.598120558042,671560,0.0000,1.0
2022-09-28,290.92,294.37,286.89,292.57,290.644690708081,738564,0.0000,1.0
2022-09-27,293.75,294.19,285.75,287.49,285.598120558042,563961,0.0000,1.0
2022-09-26,293.23,293.98,286.35,290.82,288.906206896552,859840,0.0000,1.0
2022-09-23,295.72,298.81,291.885,295.07,293.128239010266,675740,0.0000,1.0
2022-09-22,300.57,300.57,295.01,298.91,296.942969202422,770496,0.0000,1.0
2022-09-21,307.77,309.75,301.55,301.73,299.744411687286,545915,0.0000,1.0
2022-09-20,309.83,309.83,303.74,306.28,304.264469597262,769667,0.0000,1.0
2022-09-19,311.52,312.98,307.04,312.5,310.443537773098,639989,0.0000,1.0
2022-09-16,314.03,314.73,309.56,313.15,311.089260331666,2423503,0.0000,1.0
2022-09-15,323.99,323.99,313.3,313.66,311.595904185312,669834,0.0000,1.0
2022-09-14,326.97,328.46,322.35,324.68,322.543385101342,864252,0.0000,1.0
2022-09-13,333.32,333.99,326.34,327.79,325.63291918926,740436,2.0000,1.0
2022-09-12,338.77,340.21,337.37,339.51,335.230396294447,577442,0.0000,1.0
2022-09-09,340.22,342.56,337.0,339.16,334.884808127079,649378,0.0000,1.0
2022-09-08,340.42,343.47,335.66,339.39,335.111908922778,560759,0.0000,1.0
2022-09-07,338.23,343.08,336.63,342.29,337.975353738112,881450,0.0000,1.0
2022-09-06,333.78,342.92,333.78,339.38,335.102034975139,708642,0.0000,1.0
2022-09-02,339.73,340.18,331.89,332.99,328.792582433766,505665,0.0000,1.0
2022-09-01,328.54,338.015,327.615,337.78,333.522203352886,796525,0.0000,1.0
2022-08-31,334.55,335.39,329.82,330.83,326.659809743725,913171,0.0000,1.0
2022-08-30,340.0,341.42,331.62,332.5,328.308758999451,561019,0.0000,1.0
2022-08-29,342.59,344.91,339.9,340.67,336.375774220581,398014,0.0000,1.0
2022-08-26,350.14,350.895,343.78,344.52,340.177244061627,453883,0.0000,1.0
2022-08-25,344.63,350.51,344.63,350.25,345.83501605882,578476,0.0000,1.0
2022-08-24,341.14,346.485,341.14,343.01,338.686277968126,838959,0.0000,1.0
2022-08-23,345.3,345.59,339.76,341.09,336.790480021422,613462,0.0000,1.0
2022-08-22,350.0,350.0,345.0,346.35,341.984176479579,567982,0.0000,1.0
2022-08-19,352.07,353.63,349.77,351.23,346.80266292745,1237835,0.0000,1.0
2022-08-18,355.29,357.125,350.52,352.85,348.402242444982,500459,0.0000,1.0
2022-08-17,350.0,356.5,348.43,355.27,350.791737773639,597573,0.0000,1.0
2022-08-16,352.41,355.53,351.11,353.22,348.767578507628,660866,0.0000,1.0
2022-08-15,352.59,355.41,351.56,355.34,350.860855407113,530962,0.0000,1.0
2022-08-12,348.3,351.98,347.75,351.7,347.266738466487,529870,0.0000,1.0
2022-08-11,346.5,350.47,344.9,346.44,342.073042008331,487671,0.0000,1.0
2022-08-10,346.42,347.41,341.41,345.99,341.628714364572,622839,0.0000,1.0
2022-08-09,336.67,343.49,335.86,342.93,338.607286387013,866998,0.0000,1.0
2022-08-08,334.0,337.88,331.7,335.71,331.478296191596,556090,0.0000,1.0
2022-08-05,320.0,334.595,320.0,331.2,327.025145806371,793876,0.0000,1.0
2022-08-04,330.66,332.85,326.48,330.57,326.403087105109,787098,0.0000,1.0
2022-08-03,322.62,331.72,321.6,328.4,324.260440467428,1015101,0.0000,1.0
2022-08-02,323.5,327.825,320.37,320.94,316.894475528673,860210,0.0000,1.0
2022-08-01,324.31,327.44,323.77,324.42,320.330609307074,599678,0.0000,1.0
2022-07-29,324.25,328.93,322.79,326.41,322.295524887251,638064,13.1500,1.0
2022-07-28,327.9,337.62,327.05,337.1,319.960600304783,875001,0.0000,1.0
2022-07-27,326.0,327.4,323.4,326.28,309.690728767264,815539,0.0000,1.0
2022-07-26,322.56,327.73,322.325,326.71,310.098865991029,753079,0.0000,1.0
2022-07-25,328.13,328.65,320.25,323.92,307.45071981823,619532,0.0000,1.0
2022-07-22,320.05,323.8625,317.57,319.33,303.094092243627,417104,0.0000,1.0
2022-07-21,315.9,319.38,313.76,319.28,303.04663442691,495127,0.0000,1.0
2022-07-20,315.61,318.5513,313.705,316.0,299.933401650286,422617,0.0000,1.0
2022-07-19,311.17,316.4,309.6,316.28,300.199165423901,549834,0.0000,1.0
2022-07-18,315.23,316.64,307.215,308.96,293.251341056559,556334,0.0000,1.0
2022-07-15,311.16,313.99,307.375,313.32,297.389662674265,734362,0.0000,1.0
2022-07-14,299.79,307.66,299.79,306.43,290.849975530688,445895,0.0000,1.0
