timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,101.76,103.65,101.24,102.74,102.74,3683372,0.0000,1.0
2023-02-07,98.86,102.38,98.49,102.28,102.28,3628394,0.0000,1.0
2023-02-06,98.58,99.5,96.15,98.08,98.08,2666327,0.0000,1.0
2023-02-03,99.28,100.6091,98.51,98.81,98.81,3525128,0.0000,1.0
2023-02-02,98.0,99.0,96.34,98.98,98.98,4668651,0.0000,1.0
2023-02-01,99.8,101.59,97.03,97.99,97.99,4467782,0.0000,1.0
2023-01-31,104.7,104.7,99.13,100.27,100.27,7890068,0.0000,1.0
2023-01-30,108.37,108.9253,105.89,106.42,106.42,3109975,0.0000,1.0
2023-01-27,111.44,111.84,108.7,108.73,108.73,2506688,0.0000,1.0
2023-01-26,109.55,111.67,108.28,111.49,111.49,2723551,0.0000,1.0
2023-01-25,106.36,108.86,105.54,108.85,108.85,2889143,0.0000,1.0
2023-01-24,106.94,107.26,98.96,107.01,107.01,2360600,0.0000,1.0
2023-01-23,107.5,108.68,106.6,106.94,106.94,3070063,0.0000,1.0
2023-01-20,104.8,107.235,103.83,106.96,106.96,2986434,0.0000,1.0
2023-01-19,102.68,104.82,101.83,104.38,104.38,2696925,0.0000,1.0
2023-01-18,103.22,105.51,102.3,102.71,102.71,2908164,0.0000,1.0
2023-01-17,103.55,105.01,102.36,102.51,102.51,2600814,0.0000,1.0
2023-01-13,102.86,103.38,101.52,103.03,103.03,2133215,0.0000,1.0
2023-01-12,101.94,103.77,101.72,102.86,102.86,2231790,0.0000,1.0
2023-01-11,102.47,102.73,100.5269,101.42,101.42,3551134,0.0000,1.0
2023-01-10,102.44,103.45,100.57,101.57,101.57,3259164,0.0000,1.0
2023-01-09,106.7,106.97,101.56,102.01,102.01,4707383,0.0000,1.0
2023-01-06,104.22,106.33,103.82,105.7,105.7,3101312,0.0000,1.0
2023-01-05,100.2,103.07,100.2,103.02,103.02,3348430,0.0000,1.0
2023-01-04,99.55,102.0,99.38,100.68,100.68,2959185,0.0000,1.0
2023-01-03,103.4,104.47,100.54,101.03,101.03,2877150,0.0000,1.0
2022-12-30,103.84,104.8795,103.51,104.08,104.08,2088915,0.0000,1.0
2022-12-29,102.0,104.295,101.67,104.11,104.11,1827314,0.0000,1.0
2022-12-28,104.4,104.72,101.99,102.15,102.15,1910695,0.0000,1.0
2022-12-27,104.57,104.79,103.69,104.58,104.58,2474864,0.0000,1.0
2022-12-23,101.05,104.02,101.05,103.94,103.94,2216304,0.0000,1.0
2022-12-22,103.4,103.49,98.97,100.53,100.53,2287727,0.0000,1.0
2022-12-21,104.24,104.66,102.27,103.35,103.35,2471941,0.0000,1.0
2022-12-20,101.0,103.45,100.6,102.64,102.64,2442301,0.0000,1.0
2022-12-19,101.31,102.39,99.57,100.61,100.61,2451214,0.0000,1.0
2022-12-16,99.75,100.95,99.06,100.64,100.64,7235170,0.0000,1.0
2022-12-15,100.75,101.53,99.68,101.47,101.47,2445464,0.0000,1.0
2022-12-14,102.2,103.17,101.05,101.28,101.28,2646772,0.0000,1.0
2022-12-13,103.97,104.33,101.74,102.13,102.13,2984029,0.0000,1.0
2022-12-12,98.67,102.15,98.02,102.07,102.07,3692377,0.0000,1.0
2022-12-09,100.46,101.25,97.94,98.0,98.0,3210060,0.0000,1.0
2022-12-08,104.63,104.75,100.47,100.9,100.9,2899713,0.0000,1.0
2022-12-07,102.75,104.96,101.92,103.01,103.01,2817139,0.0000,1.0
