timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,152.99,154.62,152.19,152.36,152.36,960298,0.0000,1.0
2023-02-07,152.35,154.04,150.5,153.57,153.57,569044,0.0000,1.0
2023-02-06,151.84,153.37,151.43,152.72,152.72,696584,0.0000,1.0
2023-02-03,150.81,153.75,150.4025,152.43,152.43,850242,0.0000,1.0
2023-02-02,153.59,154.21,149.54,151.68,151.68,991900,0.0000,1.0
2023-02-01,151.51,154.38,150.85,152.87,152.87,569149,0.0000,1.0
2023-01-31,149.43,152.24,148.77,152.19,152.19,705499,0.0000,1.0
2023-01-30,149.53,151.18,148.42,149.1,149.1,742984,0.0000,1.0
2023-01-27,149.72,151.13,149.28,150.0,150.0,645298,0.0000,1.0
2023-01-26,149.65,150.17,147.415,150.06,150.06,840381,0.0000,1.0
2023-01-25,150.0,150.0333,145.6491,148.89,148.89,915235,0.0000,1.0
2023-01-24,148.83,153.57,148.1774,151.51,151.51,804646,0.0000,1.0
2023-01-23,147.44,149.78,147.0,149.55,149.55,766088,0.0000,1.0
2023-01-20,143.75,146.38,143.22,146.24,146.24,931807,0.0000,1.0
2023-01-19,143.13,144.32,142.18,143.49,143.49,1677814,0.0000,1.0
2023-01-18,148.78,150.59,143.34,144.3,144.3,753251,0.0000,1.0
2023-01-17,148.5,150.34,147.87,148.27,148.27,849908,0.0000,1.0
2023-01-13,147.19,149.17,146.47,148.5,148.5,770802,0.0000,1.0
2023-01-12,141.55,147.98,141.2,147.81,147.81,1204037,0.0000,1.0
2023-01-11,141.04,143.67,139.965,140.69,140.69,875726,0.0000,1.0
2023-01-10,138.01,139.63,138.01,139.51,139.51,939578,0.0000,1.0
2023-01-09,139.49,142.965,138.2201,138.64,138.64,815823,0.0000,1.0
2023-01-06,137.75,140.955,136.77,139.12,139.12,894836,0.0000,1.0
2023-01-05,138.0,139.46,134.61,135.57,135.57,1101413,0.0000,1.0
2023-01-04,140.84,141.4,137.88,138.55,138.55,929976,0.0000,1.0
2023-01-03,142.86,143.33,139.16,140.61,140.61,789796,0.0000,1.0
2022-12-30,141.38,142.96,140.43,142.5,142.5,400924,0.0800,1.0
2022-12-29,142.79,143.4,141.61,142.7,142.619932669379,502366,0.0000,1.0
2022-12-28,143.83,145.02,140.85,141.32,141.240706971525,445572,0.0000,1.0
2022-12-27,144.5,145.43,143.305,143.97,143.889220086969,417666,0.0000,1.0
2022-12-23,142.71,144.22,141.94,144.2,144.119091036611,405662,0.0000,1.0
2022-12-22,143.38,144.32,140.4201,142.59,142.509994389115,672751,0.0000,1.0
2022-12-21,143.81,145.51,143.5,144.71,144.62880488147,653810,0.0000,1.0
2022-12-20,142.1,145.21,142.1,142.66,142.579955112919,1664502,0.0000,1.0
2022-12-19,143.98,144.33,141.5175,142.36,142.280123439473,1290644,0.0000,1.0
2022-12-16,142.9,144.2,141.71,143.27,143.189612848927,2219216,0.0000,1.0
2022-12-15,149.31,149.31,143.94,144.82,144.738743161734,1921257,0.0000,1.0
2022-12-14,153.56,154.8,150.805,152.09,152.004664048254,1518840,0.0000,1.0
2022-12-13,154.88,155.0,150.21,152.54,152.454411558423,984354,0.0000,1.0
2022-12-12,148.66,150.43,148.34,150.26,150.17569084023,565585,0.0000,1.0
2022-12-09,150.49,151.67,147.85,148.14,148.056880347875,744979,0.0000,1.0
2022-12-08,150.07,151.56,148.975,150.31,150.225662785804,622265,0.0000,1.0
2022-12-07,149.29,150.9,148.08,148.31,148.226784962828,627924,0.0000,1.0
2022-12-06,151.23,152.18,148.97,149.59,149.506066769533,475842,0.0000,1.0
2022-12-05,151.84,152.34,149.01,150.82,150.735376630663,748167,0.0000,1.0
2022-12-02,150.66,154.65,150.38,153.07,152.984114181512,627125,0.0000,1.0
2022-12-01,150.5,153.02,149.3,151.73,151.644866040118,906973,0.0000,1.0
2022-11-30,144.4,150.17,144.17,149.88,149.795904053864,1560721,0.0000,1.0
2022-11-29,144.03,145.17,143.1,144.55,144.468894655632,579697,0.0000,1.0
2022-11-28,148.58,150.55,142.72,143.56,143.479450133259,880948,0.0000,1.0
2022-11-25,146.93,149.19,146.47,148.52,148.43666713424,271728,0.0000,1.0
2022-11-23,147.51,149.89,145.27,146.2,146.117968859588,683040,0.0000,1.0
2022-11-22,150.0,151.77,147.72,147.79,147.707076728854,923259,0.0000,1.0
2022-11-21,147.83,149.64,147.52,148.94,148.856431477065,621069,0.0000,1.0
2022-11-18,150.0,150.399,146.84,148.66,148.576588581849,749495,0.0000,1.0
2022-11-17,145.02,148.86,144.42,148.75,148.666538083883,884870,0.0000,1.0
2022-11-16,143.62,147.0,142.855,146.73,146.647671482676,826670,0.0000,1.0
2022-11-15,144.03,145.43,141.93,144.05,143.969175199888,779287,0.0000,1.0
2022-11-14,144.05,144.8,142.12,142.19,142.11021882452,907353,0.0000,1.0
2022-11-11,147.07,149.0,144.17,144.47,144.388939542713,1065396,0.0000,1.0
