timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,74.4,75.46,72.12,74.51,74.51,8114874,0.0000,1.0
2023-02-07,72.4,75.78,70.13,74.01,74.01,15165724,0.0000,1.0
2023-02-06,67.79,69.5,67.49,69.09,69.09,3973016,0.0000,1.0
2023-02-03,68.08,69.39,67.61,68.44,68.44,3062855,0.0000,1.0
2023-02-02,68.14,70.18,67.6033,69.34,69.34,4233302,0.0000,1.0
2023-02-01,65.0,67.45,64.25,67.27,67.27,3822232,0.0000,1.0
2023-01-31,63.85,64.96,63.07,64.94,64.94,2566741,0.0000,1.0
2023-01-30,62.9,64.7247,62.55,63.01,63.01,2638423,0.0000,1.0
2023-01-27,64.0,64.6,63.29,63.81,63.81,3024435,0.0000,1.0
2023-01-26,64.53,64.7,62.98,63.93,63.93,2552411,0.0000,1.0
2023-01-25,62.89,63.95,61.835,63.88,63.88,2537258,0.0000,1.0
2023-01-24,62.69,64.72,62.67,63.98,63.98,3012881,0.0000,1.0
2023-01-23,63.32,63.8656,62.95,63.38,63.38,3254368,0.0000,1.0
2023-01-20,61.54,63.405,61.16,62.99,62.99,3567897,0.0000,1.0
2023-01-19,61.05,61.675,59.94,60.78,60.78,4072521,0.0000,1.0
2023-01-18,65.0,65.2643,61.86,62.22,62.22,4063728,0.0000,1.0
2023-01-17,63.55,64.49,62.7613,64.16,64.16,4217035,0.0000,1.0
2023-01-13,61.595,63.525,61.44,63.48,63.48,4459806,0.0000,1.0
2023-01-12,60.1,63.37,59.39,62.44,62.44,7654427,0.0000,1.0
2023-01-11,59.225,59.68,58.5,59.2,59.2,4078559,0.0000,1.0
2023-01-10,57.76,59.22,57.07,58.93,58.93,4299934,0.0000,1.0
2023-01-09,55.86,57.445,55.09,57.29,57.29,5368417,0.0000,1.0
2023-01-06,53.77,55.14,53.31,54.99,54.99,3117928,0.0000,1.0
2023-01-05,50.99,53.85,50.76,53.38,53.38,4466695,0.0000,1.0
2023-01-04,49.3,52.95,48.88,52.64,52.64,4585919,0.0000,1.0
2023-01-03,50.54,50.87,48.68,48.71,48.71,2963030,0.0000,1.0
2022-12-30,49.04,49.72,48.69,49.43,49.43,2015772,0.0000,1.0
2022-12-29,48.31,50.24,47.94,49.8,49.8,3246292,0.0000,1.0
2022-12-28,48.74,49.29,47.91,48.0,48.0,2592245,0.0000,1.0
2022-12-27,49.46,50.33,48.7266,48.9,48.9,2568448,0.0000,1.0
2022-12-23,49.44,50.03,48.4,49.79,49.79,2390025,0.0000,1.0
2022-12-22,51.1,51.49,48.35,49.5,49.5,4270024,0.0000,1.0
2022-12-21,51.25,53.605,50.89,51.81,51.81,4706042,0.0000,1.0
2022-12-20,51.04,52.3,50.7,50.88,50.88,3424464,0.0000,1.0
2022-12-19,53.5,53.5,50.7936,51.47,51.47,3762589,0.0000,1.0
2022-12-16,53.79,54.93,53.02,53.41,53.41,3820596,0.0000,1.0
2022-12-15,54.21,55.145,53.72,54.66,54.66,3974401,0.0000,1.0
2022-12-14,55.77,56.33,54.17,55.28,55.28,4581326,0.0000,1.0
2022-12-13,59.8,60.16,55.09,55.76,55.76,3967156,0.0000,1.0
2022-12-12,56.0,57.05,54.81,57.0,57.0,3139365,0.0000,1.0
2022-12-09,57.25,57.55,56.17,56.21,56.21,2024386,0.0000,1.0
2022-12-08,57.6,58.42,56.5601,57.09,57.09,2195012,0.0000,1.0
2022-12-07,57.64,58.49,56.05,56.54,56.54,3118391,0.0000,1.0
2022-12-06,57.82,58.69,56.2465,57.63,57.63,4813868,0.0000,1.0
2022-12-05,59.6,61.56,59.16,59.42,59.42,3809602,0.0000,1.0
2022-12-02,59.6,60.85,59.1,60.51,60.51,2948534,0.0000,1.0
2022-12-01,60.39,61.7794,60.36,60.91,60.91,4022310,0.0000,1.0
2022-11-30,59.94,60.29,58.065,59.93,59.93,4226597,0.0000,1.0
2022-11-29,58.35,60.34,58.34,59.93,59.93,2676202,0.0000,1.0
2022-11-28,59.12,59.92,57.98,58.1,58.1,2538538,0.0000,1.0
2022-11-25,59.34,60.308,59.07,59.68,59.68,1075830,0.0000,1.0
2022-11-23,58.7,59.43,57.86,59.34,59.34,2242546,0.0000,1.0
2022-11-22,58.91,59.78,57.53,58.8,58.8,2827140,0.0000,1.0
2022-11-21,58.61,59.0,57.16,58.76,58.76,3324456,0.0000,1.0
2022-11-18,59.09,60.1,57.36,58.69,58.69,3996119,0.0000,1.0
2022-11-17,58.67,58.9,57.05,57.81,57.81,5595158,0.0000,1.0
2022-11-16,58.47,60.56,58.01,60.14,60.14,4978732,0.0000,1.0
