timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,353.42,362.01,349.8,357.09,357.09,406441,0.0000,1.0
2023-02-07,344.12,356.17,342.13,355.13,355.13,311004,0.0000,1.0
2023-02-06,342.4,346.1999,341.07,345.79,345.79,244077,0.0000,1.0
2023-02-03,341.09,342.555,335.63,342.39,342.39,242280,0.0000,1.0
2023-02-02,355.2,355.2,339.0,341.43,341.43,444960,0.0000,1.0
2023-02-01,347.75,359.385,346.05,356.33,356.33,322224,0.0000,1.0
2023-01-31,347.94,350.255,344.23,349.69,349.69,160956,0.0000,1.0
2023-01-30,350.97,353.271,346.66,346.92,346.92,138313,0.0000,1.0
2023-01-27,356.69,359.11,349.675,350.99,350.99,151238,0.0000,1.0
2023-01-26,351.65,357.77,350.53,357.05,357.05,186509,0.0000,1.0
2023-01-25,342.83,352.12,342.465,350.84,350.84,194261,0.0000,1.0
2023-01-24,337.0,343.77,334.36,343.5,343.5,222344,0.0000,1.0
2023-01-23,339.93,341.22,336.665,338.91,338.91,156847,0.0000,1.0
2023-01-20,345.92,345.92,336.0,338.32,338.32,309985,0.0000,1.0
2023-01-19,344.31,346.51,342.27,344.49,344.49,246910,0.0000,1.0
2023-01-18,347.95,348.32,343.86,345.48,345.48,185549,0.0000,1.0
2023-01-17,353.13,354.23,345.59,346.67,346.67,321985,0.0000,1.0
2023-01-13,347.735,355.46,347.4599,352.91,352.91,362621,0.0000,1.0
2023-01-12,352.76,355.46,349.25,349.61,349.61,297430,0.0000,1.0
2023-01-11,359.55,361.665,351.71,352.77,352.77,305378,0.0000,1.0
2023-01-10,354.29,359.26,352.3,358.95,358.95,278958,0.0000,1.0
2023-01-09,350.59,356.8,348.28,352.69,352.69,372373,0.0000,1.0
2023-01-06,344.95,352.09,344.28,351.4,351.4,381676,0.0000,1.0
2023-01-05,340.8,344.4,338.06,342.14,342.14,301165,0.0000,1.0
2023-01-04,335.24,341.38,335.24,341.09,341.09,287501,0.0000,1.0
2023-01-03,330.79,337.535,329.79,333.38,333.38,248054,0.0000,1.0
2022-12-30,332.55,334.45,328.96,331.27,331.27,151917,0.0000,1.0
2022-12-29,336.72,336.72,332.945,334.86,334.86,121701,0.0000,1.0
2022-12-28,337.1,338.68,333.88,333.95,333.95,136981,0.0000,1.0
2022-12-27,335.33,338.37,334.49,336.08,336.08,135200,0.0000,1.0
2022-12-23,332.57,336.1,330.16,334.92,334.92,158346,0.0000,1.0
2022-12-22,334.04,336.18,328.75,332.8,332.8,261264,0.0000,1.0
2022-12-21,329.23,335.41,327.85,335.23,335.23,227576,0.0000,1.0
2022-12-20,324.64,329.385,324.64,327.01,327.01,239053,0.0000,1.0
2022-12-19,323.18,326.43,319.795,322.38,322.38,219122,0.0000,1.0
2022-12-16,319.95,325.01,318.03,323.11,323.11,1190747,0.0000,1.0
2022-12-15,323.23,326.3,320.845,322.49,322.49,523578,0.0000,1.0
2022-12-14,330.83,330.94,323.41,325.39,325.39,471538,0.0000,1.0
2022-12-13,335.57,338.61,329.07,331.35,331.35,305271,0.0000,1.0
2022-12-12,332.4,332.95,327.605,332.54,332.54,348348,0.0000,1.0
2022-12-09,333.81,336.785,332.19,332.56,332.56,249168,0.0000,1.0
2022-12-08,336.27,336.8,332.56,333.74,333.74,208869,0.0000,1.0
2022-12-07,335.66,338.23,330.21,332.95,332.95,192784,0.0000,1.0
2022-12-06,331.73,338.25,331.73,336.76,336.76,281125,0.0000,1.0
2022-12-05,332.25,333.56,327.5,330.59,330.59,165897,0.0000,1.0
2022-12-02,329.29,336.12,329.29,333.47,333.47,226621,0.0000,1.0
2022-12-01,339.85,340.66,329.815,330.34,330.34,299342,0.0000,1.0
