timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,65.38,65.54,64.68,65.1,65.1,750330,0.0000,1.0
2023-02-07,65.73,66.11,65.02,65.6,65.6,1009809,0.0000,1.0
2023-02-06,66.38,66.41,65.43,66.2,66.2,514700,0.0000,1.0
2023-02-03,66.86,67.1,66.08,66.81,66.81,644779,0.0000,1.0
2023-02-02,67.25,68.56,66.995,67.53,67.53,1246894,0.0000,1.0
2023-02-01,66.23,67.49,65.59,67.1,67.1,1037501,0.0000,1.0
2023-01-31,65.7,66.7,65.3,66.63,66.63,2946965,0.0000,1.0
2023-01-30,66.84,66.985,65.68,65.73,65.73,739580,0.0000,1.0
2023-01-27,66.05,67.3,65.93,67.15,67.15,698892,0.0000,1.0
2023-01-26,66.17,66.49,65.46,66.05,66.05,792261,0.0000,1.0
2023-01-25,65.63,65.96,65.205,65.94,65.94,697067,0.0000,1.0
2023-01-24,65.57,66.13,64.87,65.88,65.88,754294,0.0000,1.0
2023-01-23,64.36,65.49,64.11,65.44,65.44,491015,0.0000,1.0
2023-01-20,63.41,64.41,62.81,64.35,64.35,621530,0.0000,1.0
2023-01-19,63.86,64.7,63.45,63.46,63.46,812303,0.0000,1.0
2023-01-18,66.17,66.39,64.02,64.12,64.12,925857,0.0000,1.0
2023-01-17,65.97,66.49,65.56,65.97,65.97,1133634,0.0000,1.0
2023-01-13,65.7,66.38,65.21,65.98,65.98,924022,0.0000,1.0
2023-01-12,64.4,66.6,64.4,66.49,66.49,1390270,0.0000,1.0
2023-01-11,62.41,64.485,62.41,64.32,64.32,845141,0.0000,1.0
2023-01-10,62.01,62.38,60.89,62.03,62.03,977277,0.0000,1.0
2023-01-09,63.45,63.76,62.46,62.53,62.53,721216,0.0000,1.0
2023-01-06,63.75,63.94,63.19,63.59,63.59,968490,0.0000,1.0
2023-01-05,63.46,63.67,62.1,62.29,62.29,844166,0.0000,1.0
2023-01-04,63.22,64.12,63.14,63.69,63.69,1258163,0.0000,1.0
2023-01-03,63.11,63.38,62.25,62.83,62.83,1148304,0.0000,1.0
2022-12-30,62.37,62.67,61.87,62.5,62.5,614872,0.0000,1.0
2022-12-29,61.91,62.82,61.85,62.64,62.64,613986,0.0000,1.0
2022-12-28,62.92,62.98,61.54,61.65,61.65,642513,0.0000,1.0
2022-12-27,62.69,62.97,62.4001,62.61,62.61,401463,0.0000,1.0
2022-12-23,62.11,62.7,61.89,62.64,62.64,522534,0.0000,1.0
2022-12-22,62.5,62.51,60.895,62.27,62.27,667475,0.0000,1.0
2022-12-21,62.42,63.3,61.783,62.51,62.51,848060,0.0000,1.0
2022-12-20,62.13,62.15,61.28,61.67,61.67,1251572,0.0000,1.0
2022-12-19,62.59,62.81,61.79,62.33,62.33,897638,0.0000,1.0
2022-12-16,63.04,63.2,61.81,62.73,62.73,2203590,0.0000,1.0
2022-12-15,63.97,64.65,63.24,63.45,63.45,1208246,0.6500,1.0
2022-12-14,65.65,66.45,65.11,65.53,64.8654992199688,1488898,0.0000,1.0
2022-12-13,66.98,67.53,64.99,65.68,65.0139781591264,2331017,0.0000,1.0
2022-12-12,65.82,65.82,64.97,65.57,64.9050936037441,682480,0.0000,1.0
2022-12-09,65.71,66.025,65.31,65.73,65.0634711388455,1047536,0.0000,1.0
2022-12-08,66.13,66.63,65.86,65.96,65.2911388455538,1281011,0.0000,1.0
2022-12-07,65.25,66.43,65.02,65.75,65.0832683307332,1030516,0.0000,1.0
2022-12-06,65.08,65.46,64.785,65.39,64.7269188767551,911473,0.0000,1.0
2022-12-05,65.57,65.57,64.47,64.82,64.1626989079563,1984852,0.0000,1.0
2022-12-02,64.92,66.13,64.715,65.81,65.1426599063962,461078,0.0000,1.0
2022-12-01,67.1,67.29,65.05,65.67,65.0040795631825,637467,0.0000,1.0
2022-11-30,65.51,66.59,64.935,66.43,65.7563728549142,1311441,0.0000,1.0
2022-11-29,64.66,65.98,64.375,65.82,65.1525585023401,440429,0.0000,1.0
2022-11-28,65.62,66.155,64.22,64.36,63.7073634945398,569052,0.0000,1.0
2022-11-25,66.43,66.52,65.88,66.27,65.5979953198128,341984,0.0000,1.0
2022-11-23,66.15,66.52,65.51,65.76,65.0931669266771,520999,0.0000,1.0
2022-11-22,65.4,66.5,65.125,66.44,65.766271450858,801936,0.0000,1.0
