timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,84.22,85.12,83.97,84.39,84.39,668536,0.0000,1.0
2023-02-07,84.33,85.18,83.01,84.91,84.91,856383,0.0000,1.0
2023-02-06,86.02,86.75,84.25,84.77,84.77,745961,0.0000,1.0
2023-02-03,87.38,89.78,86.83,87.06,87.06,1104082,0.0000,1.0
2023-02-02,86.5,89.1,85.66,88.71,88.71,1346740,0.0000,1.0
2023-02-01,83.42,86.09,82.1661,85.59,85.59,1254719,0.0000,1.0
2023-01-31,82.75,84.13,82.35,83.96,83.96,982407,0.0000,1.0
2023-01-30,84.3,84.71,82.205,82.47,82.47,1047873,0.0000,1.0
2023-01-27,79.73,85.54,79.73,85.2,85.2,2121524,0.0000,1.0
2023-01-26,79.5,81.11,79.3,80.81,80.81,1396051,0.0000,1.0
2023-01-25,78.13,79.37,77.25,78.88,78.88,970869,0.0000,1.0
2023-01-24,78.97,79.615,78.52,79.1,79.1,814599,0.0000,1.0
2023-01-23,78.62,80.36,78.1,79.75,79.75,970379,0.0000,1.0
2023-01-20,76.03,78.46,75.46,78.27,78.27,796472,0.0000,1.0
2023-01-19,76.4,77.125,75.02,75.72,75.72,1141134,0.0000,1.0
2023-01-18,77.44,78.19,76.28,76.81,76.81,993646,0.0000,1.0
2023-01-17,77.27,77.89,75.92,76.82,76.82,1346212,0.0000,1.0
2023-01-13,75.15,77.63,75.115,77.5,77.5,680558,0.0000,1.0
2023-01-12,76.44,76.44,75.31,76.09,76.09,961402,0.0000,1.0
2023-01-11,75.49,77.37,75.075,76.22,76.22,918186,0.0000,1.0
2023-01-10,75.19,75.48,73.9,75.05,75.05,644099,0.0000,1.0
2023-01-09,76.5,76.95,75.33,75.41,75.41,665099,0.0000,1.0
2023-01-06,74.68,76.65,73.77,76.25,76.25,877316,0.0000,1.0
2023-01-05,75.07,75.24,73.76,74.21,74.21,864890,0.0000,1.0
2023-01-04,74.47,75.56,74.1,75.5,75.5,653618,0.0000,1.0
2023-01-03,74.47,75.29,72.935,73.59,73.59,499210,0.0000,1.0
2022-12-30,72.98,73.89,72.8,73.83,73.83,444765,0.0000,1.0
2022-12-29,72.74,74.255,72.305,73.87,73.87,410829,0.0000,1.0
2022-12-28,73.59,74.3,72.28,72.3,72.3,500094,0.0000,1.0
2022-12-27,73.52,74.11,72.714,73.47,73.47,372148,0.0000,1.0
2022-12-23,71.67,73.43,71.5662,73.38,73.38,491749,0.0000,1.0
2022-12-22,72.32,72.83,71.045,71.95,71.95,592786,0.0000,1.0
2022-12-21,72.45,73.55,72.3,73.16,73.16,702326,0.0000,1.0
2022-12-20,71.71,71.915,70.47,71.73,71.73,939466,0.0000,1.0
2022-12-19,72.93,73.135,71.85,72.07,72.07,897212,0.0000,1.0
2022-12-16,72.76,74.06,72.57,73.09,73.09,1954436,0.0000,1.0
2022-12-15,74.25,74.345,72.785,73.34,73.34,1065104,0.0000,1.0
2022-12-14,75.82,77.19,74.705,75.59,75.59,1078530,0.0000,1.0
2022-12-13,77.67,78.425,75.53,76.05,76.05,899530,0.0000,1.0
