timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,432.17,435.0,426.06,427.91,427.91,499139,0.0000,1.0
2023-02-07,429.0,435.96,425.66,434.55,434.55,411234,0.0000,1.0
2023-02-06,429.55,430.79,426.2,430.08,430.08,329202,0.0000,1.0
2023-02-03,429.11,432.35,425.53,430.34,430.34,778982,0.0000,1.0
2023-02-02,434.9,440.66,431.61,432.55,432.55,806940,0.0000,1.0
2023-02-01,421.93,436.38,420.25,433.91,433.91,832953,0.0000,1.0
2023-01-31,425.76,428.18,420.09,426.75,426.75,929015,0.0000,1.0
2023-01-30,433.16,433.545,422.755,423.48,423.48,808754,0.0000,1.0
2023-01-27,438.33,442.44,432.78,434.11,434.11,669221,0.0000,1.0
2023-01-26,446.51,448.94,440.56,444.45,444.45,697818,0.0000,1.0
2023-01-25,439.26,444.88,436.41,444.23,444.23,381963,0.0000,1.0
2023-01-24,444.09,446.9,440.97,446.18,446.18,382356,0.0000,1.0
2023-01-23,442.01,444.57,439.8,443.03,443.03,503655,0.0000,1.0
2023-01-20,432.3,442.8,427.73,441.59,441.59,462676,0.0000,1.0
2023-01-19,435.81,439.09,432.18,432.18,432.18,463223,0.0000,1.0
2023-01-18,448.14,448.72,436.765,437.81,437.81,517398,0.0000,1.0
2023-01-17,450.98,452.18,443.6875,445.06,445.06,512263,0.0000,1.0
2023-01-13,447.65,452.035,444.93,450.98,450.98,279551,0.0000,1.0
2023-01-12,451.29,453.43,445.26,451.23,451.23,345862,0.0000,1.0
2023-01-11,445.92,452.41,443.93,452.11,452.11,304136,0.0000,1.0
2023-01-10,443.89,445.91,441.02,443.46,443.46,323073,0.0000,1.0
2023-01-09,444.0,449.385,442.25,443.41,443.41,517495,0.0000,1.0
2023-01-06,439.93,443.85,436.83,443.67,443.67,467292,0.6825,1.0
2023-01-05,439.47,441.49,434.13,435.92,435.250451837224,254793,0.0000,1.0
