timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,113.88,114.5,111.91,114.49,114.49,2690906,0.0000,1.0
2023-02-07,114.74,114.765,112.03,114.49,114.49,2535901,0.0000,1.0
2023-02-06,115.1,116.785,114.68,115.71,115.71,2073536,0.0000,1.0
2023-02-03,115.87,116.315,114.79,115.32,115.32,3780597,0.0000,1.0
2023-02-02,118.96,119.21,115.73,116.09,116.09,3553540,0.0000,1.0
2023-02-01,119.02,119.315,116.15,118.52,118.52,2213402,0.0000,1.0
2023-01-31,119.12,119.46,117.7155,118.19,118.19,2208173,0.0000,1.0
2023-01-30,118.69,119.97,118.255,118.995,118.995,1689972,0.0000,1.0
2023-01-27,120.77,121.855,119.38,119.48,119.48,1887218,0.0000,1.0
2023-01-26,120.29,121.16,119.4,120.71,120.71,1847336,0.0000,1.0
2023-01-25,116.91,120.22,116.19,120.2,120.2,1674479,0.0000,1.0
2023-01-24,116.225,117.9,115.45,117.72,117.72,1881685,0.0000,1.0
2023-01-23,116.1,116.275,115.0,115.78,115.78,2132724,0.0000,1.0
2023-01-20,115.05,116.3,114.33,115.73,115.73,2240837,0.0000,1.0
2023-01-19,116.39,116.94,115.67,115.75,115.75,1618773,0.0000,1.0
2023-01-18,119.98,120.15,117.3,117.38,117.38,1762231,0.0000,1.0
2023-01-17,119.92,120.01,119.04,119.76,119.76,1708180,0.0000,1.0
2023-01-13,118.51,120.13,118.14,120.01,120.01,2339428,0.0000,1.0
2023-01-12,119.48,119.58,117.95,118.75,118.75,2747074,0.0000,1.0
2023-01-11,120.04,120.27,119.02,119.54,119.54,2533969,0.0000,1.0
2023-01-10,118.73,120.04,118.73,119.79,119.79,1596409,0.0000,1.0
2023-01-09,120.75,121.25,118.61,118.73,118.73,2581327,0.0000,1.0
2023-01-06,119.42,122.445,119.17,121.57,121.57,2467903,0.0000,1.0
2023-01-05,116.94,118.97,116.47,118.4,118.4,2058821,0.0000,1.0
2023-01-04,117.24,118.9,116.54,117.97,117.97,2008956,0.0000,1.0
2023-01-03,116.63,117.12,114.75,115.83,115.83,1707641,0.0000,1.0
