timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,123.87,124.82,123.62,124.42,124.42,1151035,0.0000,1.0
2023-02-07,122.8,124.4522,122.51,124.29,124.29,1504823,0.0000,1.0
2023-02-06,122.87,124.195,122.44,123.89,123.89,1111138,0.0000,1.0
2023-02-03,122.39,123.4,121.17,123.08,123.08,1499652,0.0000,1.0
2023-02-02,124.57,124.57,122.39,122.54,122.54,1936557,0.0000,1.0
2023-02-01,123.44,126.0299,122.01,124.79,124.79,2259492,0.0000,1.0
2023-01-31,124.33,124.85,123.39,124.82,124.82,1582720,0.0000,1.0
2023-01-30,123.83,125.5,123.81,124.12,124.12,1230018,0.0000,1.0
2023-01-27,123.63,124.04,122.52,123.85,123.85,1018299,0.0000,1.0
2023-01-26,124.78,124.91,123.065,123.87,123.87,898733,0.0000,1.0
2023-01-25,122.52,124.3,122.23,124.28,124.28,909067,0.0000,1.0
2023-01-24,123.51,124.25,122.2,123.21,123.21,1269231,0.0000,1.0
2023-01-23,123.34,124.02,122.31,123.32,123.32,1176391,0.0000,1.0
2023-01-20,121.42,123.27,120.58,123.15,123.15,1194025,0.0000,1.0
2023-01-19,121.79,122.83,121.48,121.62,121.62,1449976,0.0000,1.0
2023-01-18,125.73,126.695,122.12,122.13,122.13,1158804,0.0000,1.0
2023-01-17,125.6,126.48,124.795,125.68,125.68,1858292,0.0000,1.0
2023-01-13,122.92,124.97,122.5,124.89,124.89,2365414,0.0000,1.0
2023-01-12,127.06,127.06,122.93,123.27,123.27,1893394,0.0000,1.0
2023-01-11,126.37,126.97,125.2,126.92,126.92,2086526,0.0000,1.0
2023-01-10,125.54,125.93,123.2,125.17,125.17,3225032,0.0000,1.0
2023-01-09,128.99,129.67,127.31,127.73,127.73,2350697,0.0000,1.0
2023-01-06,126.35,129.08,126.35,128.36,128.36,2265680,0.0000,1.0
2023-01-05,127.74,128.025,125.06,125.52,125.52,1874057,0.0000,1.0
2023-01-04,128.98,129.185,127.575,128.25,128.25,1513319,0.0000,1.0
2023-01-03,129.68,129.99,127.74,128.68,128.68,1354470,0.0000,1.0
2022-12-30,129.88,130.135,128.0,128.99,128.99,801280,0.4950,1.0
2022-12-29,130.14,131.39,129.745,130.75,130.250164111673,969198,0.0000,1.0
2022-12-28,131.04,131.3,129.32,129.41,128.915286712747,900686,0.0000,1.0
