timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,97.34,98.25,97.25,97.65,97.65,3788776,0.0000,1.0
2023-02-07,97.16,98.2,95.8,97.87,97.87,3814740,0.0000,1.0
2023-02-06,96.75,97.99,96.7,97.64,97.64,5243017,0.0000,1.0
2023-02-03,96.76,97.79,96.3899,96.48,96.48,3844304,0.0000,1.0
2023-02-02,98.29,98.42,96.5801,96.96,96.96,6035704,0.0000,1.0
2023-02-01,99.93,99.99,97.6,98.42,98.42,5155053,0.0000,1.0
2023-01-31,98.8,99.98,98.23,99.85,99.85,4099501,0.0000,1.0
2023-01-30,99.5,99.8,97.855,98.71,98.71,4607344,0.0000,1.0
2023-01-27,99.85,100.54,99.33,99.6,99.6,3365793,0.0000,1.0
2023-01-26,100.68,100.93,99.13,100.25,100.25,4302854,0.0000,1.0
2023-01-25,99.3,100.01,97.58,100.01,100.01,5967289,0.0000,1.0
2023-01-24,108.84,108.84,94.02,99.47,99.47,8307972,0.0000,1.0
2023-01-23,94.8,96.93,94.51,96.25,96.25,5686586,0.0000,1.0
2023-01-20,94.15,94.44,93.34,94.36,94.36,8216173,0.0000,1.0
2023-01-19,95.23,95.53,94.16,94.24,94.24,4641525,0.0000,1.0
2023-01-18,98.66,98.66,95.67,95.74,95.74,5321760,0.0000,1.0
2023-01-17,99.25,99.65,98.355,98.43,98.43,3959099,0.0000,1.0
2023-01-13,97.74,99.05,97.51,98.68,98.68,4967985,0.0000,1.0
2023-01-12,99.85,100.74,99.53,100.68,100.68,4221428,0.0000,1.0
2023-01-11,100.12,100.33,98.93,99.59,99.59,4518671,0.0000,1.0
2023-01-10,99.42,101.08,99.02,99.92,99.92,4701859,0.0000,1.0
2023-01-09,102.73,102.78,98.78,99.6,99.6,6377254,0.0000,1.0
2023-01-06,101.9,103.95,101.3,102.46,102.46,6411711,0.0000,1.0
2023-01-05,100.27,101.46,99.66,100.88,100.88,4967152,0.0000,1.0
2023-01-04,100.51,102.1,100.41,100.84,100.84,5635320,0.0000,1.0
2023-01-03,100.99,101.225,100.095,100.81,100.81,3532334,0.0000,1.0
2022-12-30,100.28,101.01,99.78,100.92,100.92,2984144,0.0000,1.0
2022-12-29,99.23,100.6,99.08,100.33,100.33,2940623,0.0000,1.0
2022-12-28,99.75,100.34,99.11,99.14,99.14,2418733,0.0000,1.0
2022-12-27,99.6,100.24,99.3275,99.66,99.66,2600231,0.0000,1.0
2022-12-23,98.51,99.41,98.03,99.3,99.3,2119407,0.0000,1.0
2022-12-22,99.46,99.61,96.98,98.51,98.51,3165603,0.0000,1.0
2022-12-21,99.02,99.85,98.7,99.76,99.76,3610049,0.0000,1.0
2022-12-20,97.4,98.96,97.29,98.18,98.18,3907027,0.0000,1.0
2022-12-19,98.5,99.2,97.12,97.54,97.54,4732711,0.0000,1.0
2022-12-16,97.46,98.63,96.2611,98.34,98.34,7610800,0.0000,1.0
2022-12-15,99.75,99.79,97.3,98.49,98.49,4843491,0.0000,1.0
2022-12-14,100.29,100.9,99.42,99.95,99.95,4939099,0.0000,1.0
2022-12-13,101.57,101.96,99.66,99.89,99.89,7098654,0.0000,1.0
2022-12-12,98.6,99.61,98.5,99.56,99.56,4578651,0.0000,1.0
2022-12-09,99.24,100.34,98.23,98.27,98.27,3328415,0.0000,1.0
2022-12-08,99.64,100.28,99.185,99.49,99.49,2780122,0.0000,1.0
2022-12-07,98.89,99.63,98.47,99.04,99.04,3220738,0.0000,1.0
2022-12-06,101.32,101.49,98.1715,98.73,98.73,3809670,0.0000,1.0
2022-12-05,99.74,101.29,99.5,100.68,100.68,4532048,0.0000,1.0
2022-12-02,98.68,101.15,98.68,101.01,101.01,4339654,0.0000,1.0
2022-12-01,99.12,99.96,98.47,99.5,99.5,4084238,0.0000,1.0
2022-11-30,97.52,98.84,96.035,98.72,98.72,6191176,0.0000,1.0
2022-11-29,96.8,97.91,96.61,97.43,97.43,2916084,0.0000,1.0
2022-11-28,97.07,98.0,96.46,96.9,96.9,4662557,0.0000,1.0
2022-11-25,97.345,97.8,97.18,97.47,97.47,1313249,0.0000,1.0
2022-11-23,96.84,97.22,96.61,97.13,97.13,2172355,0.0000,1.0
2022-11-22,97.06,97.59,96.51,96.85,96.85,3031632,0.0000,1.0
2022-11-21,95.26,96.49,94.94,96.2,96.2,3272060,0.0000,1.0
2022-11-18,95.7,96.67,95.21,95.36,95.36,4073378,0.0000,1.0
2022-11-17,93.01,94.64,92.88,94.53,94.53,3256629,0.5500,1.0
2022-11-16,95.57,96.26,94.2538,94.35,93.8042227597812,4812958,0.0000,1.0
2022-11-15,93.62,95.95,93.3446,95.79,95.2358929322676,7506497,0.0000,1.0
