timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,232.29,237.62,231.39,235.51,235.51,1268390,0.0000,1.0
2023-02-07,241.03,242.39,234.475,238.44,238.44,2156556,0.0000,1.0
2023-02-06,240.88,244.2,239.43,243.03,243.03,1342474,0.0000,1.0
2023-02-03,241.78,242.99,240.09,241.73,241.73,1691867,0.0000,1.0
2023-02-02,243.95,247.75,242.38,245.35,245.35,1678035,0.0000,1.0
2023-02-01,236.15,244.47,235.0201,243.22,243.22,1818113,0.0000,1.0
2023-01-31,231.84,237.08,231.34,236.59,236.59,2244464,0.0000,1.0
2023-01-30,230.47,232.86,229.78,230.88,230.88,2315684,0.0000,1.0
2023-01-27,225.1,230.65,225.1,228.54,228.54,2871709,0.0000,1.0
2023-01-26,220.8,230.28,219.07,225.06,225.06,7702990,0.0000,1.0
2023-01-25,245.53,249.365,244.7,247.09,247.09,1608841,0.0000,1.0
2023-01-24,246.53,249.74,243.4,249.36,249.36,1133338,0.0000,1.0
2023-01-23,244.28,247.72,242.18,246.04,246.04,1110886,0.0000,1.0
2023-01-20,236.02,246.31,234.66,245.31,245.31,1648430,0.0000,1.0
2023-01-19,241.81,243.71,233.87,234.34,234.34,1435367,0.0000,1.0
2023-01-18,249.5,249.92,244.09,244.27,244.27,1382141,0.0000,1.0
2023-01-17,246.49,248.45,244.8,247.8,247.8,1379058,0.0000,1.0
2023-01-13,241.03,246.45,241.03,245.88,245.88,827097,0.0000,1.0
2023-01-12,244.16,246.57,238.55,243.74,243.74,1077558,0.0000,1.0
2023-01-11,237.16,243.96,236.74,243.76,243.76,1459168,0.0000,1.0
2023-01-10,233.94,235.8699,232.62,234.1,234.1,865777,0.0000,1.0
2023-01-09,237.1,241.265,234.07,236.01,236.01,1047436,0.0000,1.0
2023-01-06,229.46,237.2075,228.11,235.8,235.8,1400031,0.0000,1.0
2023-01-05,239.8,241.14,226.5,227.75,227.75,1601794,0.0000,1.0
2023-01-04,242.41,245.0957,240.68,244.18,244.18,790141,0.0000,1.0
2023-01-03,240.58,241.09,236.91,239.37,239.37,1006059,0.0000,1.0
2022-12-30,239.62,240.86,235.105,237.33,237.33,877692,0.0000,1.0
2022-12-29,239.31,242.095,239.0,241.32,241.32,605222,0.0000,1.0
2022-12-28,240.0,242.27,237.185,237.48,237.48,861138,0.0000,1.0
2022-12-27,241.83,242.69,239.08,239.42,239.42,653280,0.0000,1.0
2022-12-23,240.69,244.23,238.84,242.67,242.67,604992,0.0000,1.0
2022-12-22,239.18,241.53,237.72,241.3,241.3,934244,0.0000,1.0
2022-12-21,239.48,242.31,238.52,242.21,242.21,1046461,0.0000,1.0
2022-12-20,237.09,240.49,236.42,238.58,238.58,952804,0.0000,1.0
2022-12-19,239.67,241.6076,237.15,238.11,238.11,1026148,0.0000,1.0
2022-12-16,242.01,243.54,238.51,240.47,240.47,2295250,0.0000,1.0
2022-12-15,246.01,246.01,241.23,244.19,244.19,1324643,0.0000,1.0
2022-12-14,254.0,258.93,248.64,248.68,248.68,1742925,0.0000,1.0
2022-12-13,261.88,265.64,255.03,258.86,258.86,1312677,0.0000,1.0
2022-12-12,254.68,254.68,249.03,253.88,253.88,1402783,0.0000,1.0
2022-12-09,254.19,255.22,251.945,252.88,252.88,972667,0.0000,1.0
2022-12-08,251.52,254.58,249.88,254.45,254.45,1153890,0.0000,1.0
2022-12-07,253.36,255.46,249.99,251.12,251.12,1285688,0.0000,1.0
2022-12-06,254.41,255.55,249.38,253.46,253.46,1150651,0.0000,1.0
2022-12-05,253.75,256.5,252.92,253.59,253.59,1431591,0.0000,1.0
2022-12-02,248.38,259.69,246.68,257.75,257.75,1769375,0.0000,1.0
2022-12-01,253.31,253.31,248.89,251.61,251.61,1060983,0.0000,1.0
2022-11-30,237.51,249.59,236.63,249.18,249.18,2873618,0.0000,1.0
2022-11-29,245.0,246.95,239.61,241.57,241.57,1239146,0.0000,1.0
2022-11-28,247.37,249.8,245.11,245.56,245.56,816956,0.0000,1.0
2022-11-25,248.0,249.87,246.94,249.52,249.52,403941,0.0000,1.0
2022-11-23,243.59,250.06,241.64,250.0,250.0,1380514,0.0000,1.0
2022-11-22,240.04,243.58,235.62,243.45,243.45,2046847,0.0000,1.0
2022-11-21,240.5,243.97,238.74,239.26,239.26,1583018,0.0000,1.0
2022-11-18,240.0,244.89,237.6,240.04,240.04,1394820,0.0000,1.0
2022-11-17,238.13,238.68,231.67,237.11,237.11,1521179,0.6000,1.0
2022-11-16,239.99,243.17,239.105,240.81,240.2021753397,1539917,0.0000,1.0
2022-11-15,239.0,243.56,237.87,240.59,239.982730638173,1799182,0.0000,1.0
