timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,125.1,125.65,123.34,124.24,124.24,1614268,0.0000,1.0
2023-02-07,127.85,127.85,123.21,125.9,125.9,2443127,0.0000,1.0
2023-02-06,128.44,129.55,127.78,128.64,128.64,1379570,0.0000,1.0
2023-02-03,130.01,130.285,128.2,129.81,129.81,1391837,0.0000,1.0
2023-02-02,130.0,133.08,129.51,131.79,131.79,2066906,0.0000,1.0
2023-02-01,127.9,129.95,126.88,128.93,128.93,1467272,0.0000,1.0
2023-01-31,126.13,128.71,125.67,128.46,128.46,3802934,0.0000,1.0
2023-01-30,127.46,128.85,125.89,125.95,125.95,1430034,0.0000,1.0
2023-01-27,126.34,128.88,126.15,128.61,128.61,1480585,0.0000,1.0
2023-01-26,125.95,126.41,124.88,126.33,126.33,1205944,0.0000,1.0
2023-01-25,125.0,125.5446,124.5,125.19,125.19,1016970,0.0000,1.0
2023-01-24,124.93,125.645,123.2,125.45,125.45,1353472,0.0000,1.0
2023-01-23,123.86,125.29,123.2783,124.97,124.97,1097994,0.0000,1.0
2023-01-20,121.68,123.85,120.41,123.65,123.65,1651866,0.0000,1.0
2023-01-19,121.09,121.71,120.035,120.93,120.93,1274342,0.0000,1.0
2023-01-18,125.61,125.8649,121.94,122.25,122.25,1483867,0.0000,1.0
2023-01-17,125.0,125.62,124.46,125.02,125.02,2021207,0.0000,1.0
2023-01-13,124.31,126.12,124.17,125.57,125.57,1560371,0.0000,1.0
2023-01-12,122.0,126.43,121.45,125.99,125.99,2304159,0.0000,1.0
2023-01-11,117.8,121.63,117.15,121.36,121.36,1660566,0.0000,1.0
2023-01-10,117.61,117.78,115.44,116.85,116.85,1329081,0.0000,1.0
2023-01-09,118.83,119.6,117.61,118.32,118.32,1474889,0.0000,1.0
2023-01-06,117.82,119.53,117.78,118.87,118.87,1500989,0.0000,1.0
2023-01-05,119.6,119.755,117.17,117.42,117.42,1390675,0.0000,1.0
2023-01-04,118.82,122.31,118.01,121.16,121.16,1808803,0.0000,1.0
2023-01-03,118.13,119.18,116.22,117.54,117.54,1313832,0.0000,1.0
2022-12-30,116.56,117.86,115.72,117.48,117.48,1265312,0.0000,1.0
2022-12-29,115.95,117.66,115.33,117.32,117.32,972832,0.0000,1.0
2022-12-28,118.34,118.89,114.83,115.06,115.06,983705,0.0000,1.0
2022-12-27,118.06,118.53,117.135,118.1,118.1,1234328,0.0000,1.0
2022-12-23,116.18,117.95,115.65,117.91,117.91,680383,0.0000,1.0
2022-12-22,115.48,116.44,114.0461,116.36,116.36,1081663,0.0000,1.0
2022-12-21,117.0,118.1,116.27,116.55,116.55,1335287,0.0000,1.0
2022-12-20,115.0,116.01,113.8,115.66,115.66,1146369,0.0000,1.0
2022-12-19,116.17,116.83,114.185,115.62,115.62,1368271,0.0000,1.0
2022-12-16,116.08,116.92,114.85,116.32,116.32,3919736,0.0000,1.0
2022-12-15,118.31,118.81,116.83,118.21,118.21,1928345,0.0000,1.0
2022-12-14,120.38,121.805,118.98,119.71,119.71,1779921,0.0000,1.0
2022-12-13,120.46,121.95,118.67,120.24,120.24,2386628,0.0000,1.0
2022-12-12,116.75,118.725,115.545,118.62,118.62,1697951,0.0000,1.0
2022-12-09,116.8,117.56,116.1,116.75,116.75,1162558,0.0000,1.0
2022-12-08,118.47,118.65,116.55,117.12,117.12,1976515,1.8000,1.0
2022-12-07,117.61,120.35,117.2601,119.05,117.248032290616,2318328,0.0000,1.0
2022-12-06,118.15,119.05,116.71,118.26,116.469989909183,2218431,0.0000,1.0
2022-12-05,118.48,119.36,117.38,117.69,115.908617558022,1455805,0.0000,1.0
2022-12-02,117.61,120.03,117.5,119.34,117.533642785066,1738312,0.0000,1.0
2022-12-01,120.18,120.8,117.75,119.01,117.208637739657,1848607,0.0000,1.0
2022-11-30,117.34,119.69,116.425,119.44,117.632129162462,2503116,0.0000,1.0
2022-11-29,116.12,117.67,115.53,117.46,115.68209889001,1765217,0.0000,1.0
2022-11-28,119.8,120.1097,115.5,115.76,114.007830474268,1735984,0.0000,1.0
2022-11-25,119.97,120.7,119.71,120.7,118.873057517659,548243,0.0000,1.0
2022-11-23,119.0,120.18,118.385,119.61,117.799556004036,1116072,0.0000,1.0
2022-11-22,117.93,119.655,117.47,119.38,117.573037336024,1541732,0.0000,1.0
2022-11-21,117.14,118.14,116.055,117.18,115.4063370333,1315257,0.0000,1.0
2022-11-18,118.0,118.48,116.75,117.9,116.115438950555,1507930,0.0000,1.0
2022-11-17,113.98,115.87,113.46,115.79,114.037376387487,1817781,0.0000,1.0
2022-11-16,118.99,119.06,115.5233,115.59,113.840403632694,1832535,0.0000,1.0
2022-11-15,119.51,120.93,118.46,120.16,118.341231079717,1692253,0.0000,1.0
2022-11-14,118.95,119.57,117.51,117.53,115.751039354188,1551594,0.0000,1.0
2022-11-11,120.11,121.98,119.93,120.2,118.380625630676,1999003,0.0000,1.0
2022-11-10,117.73,121.285,117.475,120.04,118.223047426842,2991031,0.0000,1.0
2022-11-09,114.6,116.06,112.56,112.92,111.210817356206,1740112,0.0000,1.0
2022-11-08,116.86,117.47,114.635,115.42,113.67297679112,1848614,0.0000,1.0
2022-11-07,116.5,117.15,114.765,116.87,115.10102926337,1522287,0.0000,1.0
2022-11-04,114.15,115.81,112.62,115.57,113.820706357215,1588652,0.0000,1.0
2022-11-03,110.19,113.4,108.81,112.58,110.875963673058,1562965,0.0000,1.0
2022-11-02,113.42,115.35,111.48,111.61,109.920645812311,3163085,0.0000,1.0
2022-11-01,110.0,114.52,109.46,113.84,112.116892028254,2451109,0.0000,1.0
2022-10-31,107.86,109.56,107.37,108.98,107.330454086781,2144111,0.0000,1.0
2022-10-28,105.94,109.11,105.5629,108.96,107.310756811302,1454026,0.0000,1.0
2022-10-27,106.9,107.72,106.19,106.39,104.77965691221,1463904,0.0000,1.0
2022-10-26,105.74,106.7,105.12,105.53,103.932674066599,1650348,0.0000,1.0
2022-10-25,102.76,106.27,102.55,105.84,104.237981836529,2379071,0.0000,1.0
2022-10-24,101.555,102.86,100.03,102.39,100.840201816347,1470421,0.0000,1.0
2022-10-21,98.12,101.07,97.28,101.04,99.5106357214935,2364816,0.0000,1.0
2022-10-20,98.84,100.94,98.2,98.31,96.8219576185671,2096582,0.0000,1.0
2022-10-19,97.89,99.65,97.25,98.03,96.5461957618567,2128113,0.0000,1.0
2022-10-18,100.15,101.07,97.33,98.66,97.1666599394551,2307705,0.0000,1.0
2022-10-17,98.0,99.93,97.6,99.15,97.6492431886983,3178200,0.0000,1.0
2022-10-14,97.02,97.99,95.14,95.86,94.4090413723512,2161976,0.0000,1.0
2022-10-13,91.82,96.63,90.77,95.83,94.3794954591322,1788275,0.0000,1.0
2022-10-12,94.52,94.75,92.7899,93.68,92.262038345106,1912267,0.0000,1.0
2022-10-11,92.72,95.94,91.33,94.82,93.3847830474268,2178216,0.0000,1.0
2022-10-10,93.44,94.01,92.09,92.53,91.1294450050454,1425915,0.0000,1.0
2022-10-07,93.48,94.31,92.03,92.54,91.1392936427851,1811796,0.0000,1.0
2022-10-06,95.23,96.35,94.16,94.68,93.2469021190717,1596145,0.0000,1.0
2022-10-05,93.27,96.18,91.83,95.77,94.3204036326943,2246528,0.0000,1.0
2022-10-04,92.33,95.93,92.33,95.87,94.4188900100908,2520065,0.0000,1.0
2022-10-03,91.54,91.91,89.105,90.98,89.6029061553986,2247579,0.0000,1.0
2022-09-30,89.65,90.51,88.41,89.75,88.3915237134208,3000291,0.0000,1.0
2022-09-29,91.25,91.42,88.46,89.13,87.7809081735621,2924888,0.0000,1.0
2022-09-28,90.53,92.97,89.4,92.53,91.1294450050454,2864588,0.0000,1.0
2022-09-27,88.4,89.95,87.94,89.03,87.6824217961655,2611850,0.0000,1.0
2022-09-26,89.39,89.48,86.02,87.36,86.0376992936428,3618496,0.0000,1.0
2022-09-23,90.76,91.0,88.54,90.18,88.8150151362261,3334616,0.0000,1.0
2022-09-22,95.59,95.79,91.74,92.18,90.7847426841574,2778269,0.0000,1.0
2022-09-21,99.5,100.0274,95.61,95.65,94.2022199798184,1790034,0.0000,1.0
2022-09-20,99.04,99.81,97.89,98.32,96.8318062563068,1525405,0.0000,1.0
2022-09-19,98.31,100.28,98.0,100.28,98.7621392532795,1288781,0.0000,1.0
2022-09-16,99.22,99.8,97.6148,99.7,98.1909182643794,2630904,0.0000,1.0
2022-09-15,100.54,101.22,99.4,99.54,98.0333400605449,2019170,0.0000,1.0
2022-09-14,99.89,100.2,98.335,100.03,98.5159233097881,1961621,0.0000,1.0
2022-09-13,102.15,103.1,100.04,100.41,98.8901715438951,2172111,0.0000,1.0
2022-09-12,104.73,105.82,103.84,105.25,103.656912209889,1668385,0.0000,1.0
2022-09-09,103.45,104.095,102.6,103.77,102.19931382442,1441808,0.0000,1.0
2022-09-08,100.7,102.59,99.75,102.54,100.987931382442,1868168,1.7500,1.0
2022-09-07,101.31,103.49,100.91,103.46,100.184211149942,2056930,0.0000,1.0
2022-09-06,101.35,101.76,98.82,101.04,97.8408340865082,1838848,0.0000,1.0
2022-09-02,102.92,103.76,100.17,100.53,97.346981895454,1908349,0.0000,1.0
2022-09-01,101.19,101.425,98.75,101.33,98.1216519990684,2114661,0.0000,1.0
2022-08-31,104.38,104.73,101.77,101.98,98.7510714582552,2294535,0.0000,1.0
2022-08-30,104.05,105.05,103.085,103.79,100.503762567683,1592679,0.0000,1.0
2022-08-29,103.92,105.1,102.95,103.65,100.36819529955,1765208,0.0000,1.0
2022-08-26,108.5,108.55,104.84,104.85,101.530200454972,1538587,0.0000,1.0
2022-08-25,107.16,108.27,106.89,108.24,104.812865019038,1332063,0.0000,1.0
2022-08-24,106.61,107.69,105.92,106.68,103.30225831699,1069990,0.0000,1.0
2022-08-23,107.15,108.345,106.73,106.84,103.457192337713,1314031,0.0000,1.0
2022-08-22,109.48,110.0,105.94,106.74,103.360358574761,1722115,0.0000,1.0
2022-08-19,112.61,112.855,110.26,111.01,107.495160252804,1459781,0.0000,1.0
2022-08-18,112.84,113.48,112.28,113.33,109.741703553286,1146683,0.0000,1.0
2022-08-17,112.8,113.622,111.78,112.84,109.267218114822,1579777,0.0000,1.0
2022-08-16,112.62,115.32,112.62,114.52,110.894025332412,1567614,0.0000,1.0
2022-08-15,115.23,115.62,113.1,113.25,109.664236542924,1989081,0.0000,1.0
2022-08-12,114.82,115.99,114.14,115.85,112.181914379671,1491121,0.0000,1.0
2022-08-11,112.77,114.81,112.7,114.07,110.458273399129,1948731,0.0000,1.0
2022-08-10,110.51,111.52,109.71,111.38,107.853445175725,1581848,0.0000,1.0
2022-08-09,108.7,108.885,107.1,108.01,104.590147364249,1495670,0.0000,1.0
2022-08-08,107.61,110.1393,107.61,108.84,105.393867596749,1646931,0.0000,1.0
2022-08-05,105.19,106.62,104.87,106.5,103.127957543677,1277742,0.0000,1.0
2022-08-04,106.49,107.41,104.95,105.82,102.469487955605,1416182,0.0000,1.0
2022-08-03,106.68,108.37,106.59,106.93,103.54434272437,2241768,0.0000,1.0
2022-08-02,109.88,110.96,105.25,105.48,102.140253161569,2593963,0.0000,1.0
2022-08-01,107.93,109.2,107.08,108.63,105.19051669455,1650076,0.0000,1.0
2022-07-29,107.71,109.26,107.46,108.64,105.200200070846,2460162,0.0000,1.0
2022-07-28,104.92,107.56,104.778,107.46,104.057561668014,1696252,0.0000,1.0
2022-07-27,102.98,104.61,102.43,104.12,100.823313985424,1275778,0.0000,1.0
2022-07-26,103.0,103.78,102.0598,102.58,99.332074035966,1376440,0.0000,1.0
2022-07-25,103.71,104.63,103.1138,104.03,100.736163598767,1172339,0.0000,1.0
2022-07-22,105.02,105.38,103.28,103.68,100.397245428436,1627877,0.0000,1.0
2022-07-21,102.44,104.26,102.0,104.24,100.939514500966,1552690,0.0000,1.0
2022-07-20,101.83,104.315,101.54,103.45,100.174527773647,2077778,0.0000,1.0
2022-07-19,99.95,102.555,99.14,102.27,99.0318893708154,1990130,0.0000,1.0
2022-07-18,97.31,98.83,97.3,98.64,95.5168237756647,1727476,0.0000,1.0
2022-07-15,95.92,96.75,94.75,96.36,93.3090139803635,2034695,0.0000,1.0
2022-07-14,94.01,94.89,93.06,94.0,91.0237371747008,1692124,0.0000,1.0
2022-07-13,96.02,97.15,95.04,95.56,92.534343876749,1821527,0.0000,1.0
2022-07-12,97.2,99.14,96.98,97.6,94.5097526409659,1660506,0.0000,1.0
2022-07-11,96.98,97.51,95.73,97.22,94.1417843417491,1032431,0.0000,1.0
2022-07-08,98.0,98.2155,96.18,97.69,94.5969030276226,1423554,0.0000,1.0
2022-07-07,97.04,98.28,96.65,97.88,94.780887177231,1378218,0.0000,1.0
2022-07-06,97.72,98.47,96.01,96.42,93.3671142381346,1406126,0.0000,1.0
2022-07-05,95.07,97.6,93.51,97.57,94.4807025120804,1908401,0.0000,1.0
2022-07-01,94.35,95.97,93.79,95.68,92.6505443922912,1709191,0.0000,1.0
2022-06-30,95.0,96.43,93.2,94.92,91.9146077938574,3121398,0.0000,1.0
2022-06-29,98.7,99.0,96.42,97.26,94.1805178469298,1866865,0.0000,1.0
2022-06-28,101.43,102.48,99.14,99.25,96.1075097296708,1498200,0.0000,1.0
2022-06-27,99.94,101.44,98.75,100.12,96.9499634673515,1783335,0.0000,1.0
2022-06-24,97.92,100.5213,97.49,99.62,96.4657946525925,4455167,0.0000,1.0
2022-06-23,96.09,97.04,95.19,96.7,93.6382487743997,2372745,0.0000,1.0
2022-06-22,95.14,97.7225,94.83,95.95,92.9119955522611,2730519,0.0000,1.0
2022-06-21,97.69,98.64,96.47,96.59,93.5317316351527,2221285,0.0000,1.0
2022-06-17,95.64,97.35,94.94,95.69,92.6602277685864,3631559,0.0000,1.0
2022-06-16,95.3,95.73,93.5,94.62,91.624106505002,3000156,0.0000,1.0
2022-06-15,97.52,98.93,95.97,97.5,94.4129188780141,2598141,0.0000,1.0
2022-06-14,97.25,98.31,95.715,96.51,93.4542646247912,2491028,0.0000,1.0
2022-06-13,98.3,98.75,95.46,97.15,94.0740007076828,3667030,0.0000,1.0
2022-06-10,102.22,103.34,101.22,101.26,98.0538683650022,2793405,0.0000,1.0
2022-06-09,107.3,107.45,103.84,103.87,100.581229578044,2101938,0.0000,1.0
2022-06-08,109.19,110.29,107.62,107.87,104.454580096117,1603453,1.7000,1.0
2022-06-07,108.84,112.325,108.56,112.28,107.038060173332,2546759,0.0000,1.0
2022-06-06,110.75,111.1,109.1104,109.62,104.502245780198,1917962,0.0000,1.0
2022-06-03,111.3,111.61,109.58,109.95,104.816839295136,1392451,0.0000,1.0
2022-06-02,110.75,112.33,109.87,112.32,107.076192720597,1531828,0.0000,1.0
2022-06-01,114.98,115.2852,109.82,111.17,105.979881986724,2685839,0.0000,1.0
2022-05-31,113.0,115.29,112.11,114.65,109.297413598793,3700278,0.0000,1.0
2022-05-27,112.92,114.64,112.406,113.73,108.420365011694,1436471,0.0000,1.0
2022-05-26,110.0,112.82,110.0,112.03,106.799731752925,2086611,0.0000,1.0
2022-05-25,107.17,110.27,106.89,109.19,104.092320897098,2324920,0.0000,1.0
2022-05-24,107.03,108.13,103.46,107.85,102.814880563714,2605196,0.0000,1.0
2022-05-23,109.81,110.4591,107.23,107.77,102.738615469184,1842928,0.0000,1.0
2022-05-20,111.0,111.195,105.72,108.84,103.758661108527,3296761,0.0000,1.0
2022-05-19,112.52,114.63,109.91,110.04,104.902637526482,2629066,0.0000,1.0
2022-05-18,119.32,119.69,113.16,113.67,108.363166190797,2031790,0.0000,1.0
2022-05-17,118.88,120.92,118.18,120.76,115.122160193548,1752088,0.0000,1.0
2022-05-16,116.8,118.125,115.5,116.87,111.41376997201,1564713,0.0000,1.0
2022-05-13,117.0,117.68,115.18,116.78,111.327971740664,2663045,0.0000,1.0
2022-05-12,112.74,116.28,111.1736,115.62,110.222127869974,2754468,0.0000,1.0
2022-05-11,118.99,120.0,112.78,113.01,107.733979160921,3323538,0.0000,1.0
2022-05-10,121.14,125.99,117.94,119.07,113.511060071595,3139164,0.0000,1.0
2022-05-09,119.59,120.78,117.61,118.19,112.672144031761,2810159,0.0000,1.0
2022-05-06,121.2,122.96,118.64,121.42,115.751347223423,2366518,0.0000,1.0
2022-05-05,123.7,124.29,121.12,122.34,116.628395810522,2037762,0.0000,1.0
2022-05-04,120.73,125.175,119.58,124.58,118.763818457372,1623040,0.0000,1.0
2022-05-03,117.73,121.7,116.25,120.87,115.227024698527,1894728,0.0000,1.0
2022-05-02,118.68,119.08,113.41,116.84,111.385170561561,2818453,0.0000,1.0
2022-04-29,123.51,123.98,117.78,118.0,112.491014432251,3160463,0.0000,1.0
2022-04-28,122.02,125.05,120.82,124.41,118.601755131495,2313212,0.0000,1.0
2022-04-27,124.6,125.195,122.06,122.13,116.42819993738,2032315,0.0000,1.0
2022-04-26,126.13,126.96,124.03,124.13,118.334827300639,1887045,0.0000,1.0
2022-04-25,125.88,126.7,123.93,126.29,120.393984852958,2053587,0.0000,1.0
2022-04-22,130.84,130.84,125.72,125.88,120.00312624349,1988547,0.0000,1.0
2022-04-21,134.25,134.8,130.56,130.85,124.741095241187,1499644,0.0000,1.0
2022-04-20,131.72,133.5,131.0367,132.59,126.399861047222,1612669,0.0000,1.0
2022-04-19,128.77,131.7513,127.89,131.32,125.189152671553,1470656,0.0000,1.0
2022-04-18,127.42,129.11,127.1,127.89,121.919286743565,1206881,0.0000,1.0
2022-04-14,128.0,129.45,127.69,127.88,121.909753606748,1788834,0.0000,1.0
2022-04-13,126.0,128.71,125.76,127.58,121.62375950226,1661380,0.0000,1.0
2022-04-12,126.38,128.92,125.71,126.18,120.289120347979,1459953,0.0000,1.0
2022-04-11,127.22,129.1,126.33,126.78,120.861108556956,1084318,0.0000,1.0
2022-04-08,126.09,128.52,125.485,127.47,121.51889499728,1804877,0.0000,1.0
2022-04-07,127.42,127.52,123.48,125.51,119.650400181287,2542917,0.0000,1.0
2022-04-06,130.0,130.18,126.27,127.86,121.890687333116,2327114,0.0000,1.0
2022-04-05,134.5,135.63,130.31,130.58,124.483700547147,1717506,0.0000,1.0
2022-04-04,132.61,134.89,131.145,134.53,128.249289589583,1723176,0.0000,1.0
2022-04-01,132.27,133.26,131.26,133.0,126.79071965669,1572770,0.0000,1.0
2022-03-31,134.63,135.41,131.55,131.56,125.417947955144,2331863,0.0000,1.0
2022-03-30,137.85,138.65,134.335,134.79,128.497151146806,1346317,0.0000,1.0
2022-03-29,133.93,138.43,133.59,138.08,131.633553159367,2468341,0.0000,1.0
2022-03-28,130.81,131.8,129.655,131.75,125.599077554653,1632029,0.0000,1.0
2022-03-25,130.51,131.1778,129.64,130.17,124.092841937679,2002555,0.0000,1.0
2022-03-24,130.03,130.53,129.05,130.13,124.054709390414,1474013,0.0000,1.0
2022-03-23,132.07,132.7,129.875,130.01,123.940311748619,1206005,0.0000,1.0
2022-03-22,131.15,134.45,130.8601,132.84,126.638189467629,2393738,0.0000,1.0
2022-03-21,131.65,131.82,127.97,129.06,123.034663751071,2371114,0.0000,1.0
2022-03-18,129.63,131.56,129.4715,130.84,124.731562104371,3962640,0.0000,1.0
2022-03-17,130.49,132.41,129.942,131.65,125.503746186491,2045052,0.0000,1.0
2022-03-16,131.14,132.46,128.29,131.33,125.198685808369,2550356,0.0000,1.0
2022-03-15,128.6,130.03,127.03,128.88,122.863067288378,1883593,0.0000,1.0
2022-03-14,131.13,132.545,126.76,128.19,122.205280848053,2455789,0.0000,1.0
2022-03-11,134.01,134.09,130.0,130.05,123.978444295884,2548218,0.0000,1.0
2022-03-10,130.02,132.93,129.47,132.61,126.418927320855,1565865,0.0000,1.0
2022-03-09,133.4,135.32,132.44,132.57,126.380794773589,1728159,1.6500,1.0
2022-03-08,128.92,133.89,128.1,131.39,123.716082739546,3123906,0.0000,1.0
2022-03-07,135.84,135.89,128.2,128.27,120.778308341591,3966319,0.0000,1.0
2022-03-04,137.65,137.91,133.82,136.89,128.894851710301,2316099,0.0000,1.0
2022-03-03,140.06,140.9399,137.56,139.41,131.267669493266,1890143,0.0000,1.0
2022-03-02,135.93,139.73,135.92,138.77,130.665049103941,2096534,0.0000,1.0
2022-03-01,137.84,138.34,133.44,134.6,126.738600629751,2182299,0.0000,1.0
2022-02-28,137.79,139.9,136.56,137.56,129.525719930375,2382013,0.0000,1.0
2022-02-25,138.65,140.1499,137.67,139.7,131.540731857178,1785560,0.0000,1.0
2022-02-24,129.93,138.18,129.35,137.82,129.770534463538,3105942,0.0000,1.0
2022-02-23,139.12,140.3241,133.4317,134.07,126.239555619842,1978501,0.0000,1.0
2022-02-22,139.99,140.39,136.73,138.05,129.987101165952,1913240,0.0000,1.0
2022-02-18,143.24,144.11,140.49,140.95,132.717724805077,1751083,0.0000,1.0
2022-02-17,143.05,146.77,143.02,143.67,135.278861459705,3546993,0.0000,1.0
2022-02-16,142.04,144.29,141.31,143.86,135.457764387786,1712502,0.0000,1.0
2022-02-15,142.11,142.9,140.54,141.32,133.066114717655,1619941,0.0000,1.0
2022-02-14,141.79,142.3,139.06,139.9,131.729050728842,2070783,0.0000,1.0
2022-02-11,143.85,146.39,140.58,141.83,133.546327840398,2157559,0.0000,1.0
2022-02-10,142.0,147.5,141.26,143.98,135.570755710784,2722258,0.0000,1.0
2022-02-09,143.25,144.0449,141.45,143.09,134.73273673188,2603996,0.0000,1.0
2022-02-08,139.81,144.5974,137.77,142.04,133.744062655645,4550323,0.0000,1.0
2022-02-07,145.54,149.8,144.89,148.92,140.22223184088,3230664,0.0000,1.0
2022-02-04,144.23,146.81,141.75,145.18,136.700668940767,1934934,0.0000,1.0
2022-02-03,147.97,149.1899,145.34,145.56,137.058474796928,1539083,0.0000,1.0
2022-02-02,148.01,149.98,146.91,149.55,140.815436286621,1871247,0.0000,1.0
2022-02-01,147.2,148.66,145.04,147.36,138.753344641902,1510788,0.0000,1.0
2022-01-31,144.86,147.6,143.61,147.2,138.602689544571,2108239,0.0000,1.0
2022-01-28,143.56,146.44,139.67,146.4,137.849414057916,2631550,0.0000,1.0
2022-01-27,147.71,149.46,143.1,143.89,135.486012218535,1810071,0.0000,1.0
2022-01-26,149.11,151.87,143.76,145.58,137.077306684094,2029547,0.0000,1.0
2022-01-25,142.7,148.96,140.84,146.78,138.207219914077,2614130,0.0000,1.0
2022-01-24,142.88,146.23,137.75,146.1,137.56693575042,3757982,0.0000,1.0
2022-01-21,147.15,147.54,144.56,146.96,138.376706898575,2515306,0.0000,1.0
2022-01-20,150.49,152.75,147.1893,147.43,138.819256246985,1976047,0.0000,1.0
2022-01-19,154.89,154.89,148.53,148.59,139.911505702635,2196530,0.0000,1.0
