timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,215.92,217.58,214.12,215.85,215.85,507797,0.0000,1.0
2023-02-07,213.02,218.1,211.21,217.01,217.01,461718,0.0000,1.0
2023-02-06,217.37,217.77,213.89,214.64,214.64,480438,0.0000,1.0
2023-02-03,219.3,220.81,216.455,219.03,219.03,466520,0.0000,1.0
2023-02-02,215.16,221.9,213.85,220.86,220.86,726900,0.0000,1.0
2023-02-01,206.45,215.65,206.45,214.49,214.49,711880,0.0000,1.0
2023-01-31,203.19,206.56,202.54,206.51,206.51,341736,0.0000,1.0
2023-01-30,204.05,205.85,203.07,203.23,203.23,508085,0.0000,1.0
2023-01-27,204.88,206.359,203.535,206.1,206.1,276972,0.0000,1.0
2023-01-26,205.07,206.218,203.26,204.92,204.92,336385,0.0000,1.0
2023-01-25,202.76,206.015,202.3,205.0,205.0,544822,0.0000,1.0
2023-01-24,204.24,207.09,204.24,204.82,204.82,332137,0.0000,1.0
2023-01-23,205.15,208.84,204.17,206.85,206.85,388087,0.0000,1.0
2023-01-20,200.25,205.41,199.705,205.11,205.11,504351,0.0000,1.0
2023-01-19,194.09,199.3375,194.09,199.17,199.17,476370,0.0000,1.0
2023-01-18,199.93,200.14,194.71,195.14,195.14,307891,0.0000,1.0
2023-01-17,201.25,202.68,197.38,199.88,199.88,435768,0.0000,1.0
2023-01-13,199.01,202.66,198.63,202.03,202.03,338054,0.0000,1.0
2023-01-12,201.35,201.43,196.99,200.23,200.23,502100,0.0000,1.0
2023-01-11,202.87,204.115,198.68,200.69,200.69,570572,0.0000,1.0
2023-01-10,193.5,203.98,193.5,201.52,201.52,674333,0.0000,1.0
2023-01-09,192.61,193.66,190.09,190.85,190.85,354328,0.0000,1.0
2023-01-06,189.4,192.11,186.73,191.75,191.75,280716,0.0000,1.0
2023-01-05,190.14,190.95,186.58,187.29,187.29,341182,0.0000,1.0
2023-01-04,188.21,191.41,187.325,191.32,191.32,511784,0.0000,1.0
2023-01-03,186.57,188.85,184.19,185.58,185.58,363837,0.0000,1.0
2022-12-30,184.57,185.68,182.89,184.69,184.69,336767,0.0000,1.0
2022-12-29,183.98,188.48,182.46,186.2,186.2,272823,0.0000,1.0
2022-12-28,183.0,186.155,182.075,182.35,182.35,416538,0.0000,1.0
2022-12-27,181.99,184.28,180.05,183.2,183.2,276057,0.0000,1.0
2022-12-23,181.65,182.91,180.23,182.06,182.06,255374,0.0000,1.0
2022-12-22,180.11,181.87,176.78,181.86,181.86,489779,0.0000,1.0
2022-12-21,180.84,183.2789,179.98,181.48,181.48,458698,0.0000,1.0
2022-12-20,179.41,182.34,178.41,180.15,180.15,525533,0.0000,1.0
2022-12-19,182.86,184.3013,179.96,180.5,180.5,441459,0.0000,1.0
2022-12-16,185.83,187.49,182.27,183.03,183.03,1030971,0.0000,1.0
2022-12-15,190.82,191.68,187.18,187.86,187.86,556714,0.0000,1.0
2022-12-14,198.22,199.37,193.0,193.72,193.72,616700,0.0000,1.0
2022-12-13,200.19,200.835,195.05,199.08,199.08,858897,0.0000,1.0
