timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,122.37,125.51,121.89,124.03,124.03,1304454,0.0000,1.0
2023-02-07,123.6,125.16,121.26,123.2,123.2,1455686,0.0000,1.0
2023-02-06,127.63,128.17,122.47,123.51,123.51,1741879,0.0000,1.0
2023-02-03,126.06,132.5,125.86,128.18,128.18,2223940,0.0000,1.0
2023-02-02,125.31,125.92,122.56,125.85,125.85,1704221,0.0000,1.0
2023-02-01,120.64,126.05,119.56,125.32,125.32,1733476,0.0000,1.0
2023-01-31,118.17,120.68,116.97,120.64,120.64,2011793,0.0000,1.0
2023-01-30,117.82,121.22,117.64,119.09,119.09,1830281,0.0000,1.0
2023-01-27,120.15,123.69,117.57,118.93,118.93,2658149,0.0000,1.0
2023-01-26,113.12,121.76,111.86,121.44,121.44,3731997,0.0000,1.0
2023-01-25,107.07,111.21,107.07,110.41,110.41,1954738,0.0000,1.0
2023-01-24,107.29,108.43,105.015,108.03,108.03,1441365,0.0000,1.0
2023-01-23,107.87,110.2,106.91,107.69,107.69,1184385,0.0000,1.0
2023-01-20,107.31,108.2,106.005,108.02,108.02,1289670,0.0000,1.0
2023-01-19,107.9,108.85,105.95,107.33,107.33,1430903,0.0000,1.0
2023-01-18,110.75,113.46,108.11,108.22,108.22,1545567,0.0000,1.0
2023-01-17,111.35,113.71,109.232,110.19,110.19,1557746,0.0000,1.0
2023-01-13,109.79,112.4,109.3745,111.52,111.52,1287307,0.0000,1.0
2023-01-12,110.45,111.2,108.66,110.37,110.37,963108,0.0000,1.0
2023-01-11,106.91,110.23,106.91,110.0,110.0,1657383,0.0000,1.0
2023-01-10,101.5,107.13,101.5,106.86,106.86,1522958,0.0000,1.0
2023-01-09,103.22,104.37,101.32,101.38,101.38,1432546,0.0000,1.0
2023-01-06,100.16,104.62,99.7,102.69,102.69,1566815,0.0000,1.0
2023-01-05,98.33,100.29,96.015,98.79,98.79,2111653,0.0000,1.0
2023-01-04,94.94,99.34,94.87,98.71,98.71,2393316,0.0000,1.0
2023-01-03,97.8,98.185,95.0,95.17,95.17,2063759,0.0000,1.0
2022-12-30,98.1,98.33,96.71,97.7,97.7,1390361,0.0000,1.0
2022-12-29,100.0,100.4,97.95,98.41,98.41,1438340,0.3400,1.0
2022-12-28,103.01,103.21,99.8,99.89,99.5460749367088,1137684,0.0000,1.0
2022-12-27,103.1,104.14,102.315,102.9,102.545711392405,1144730,0.0000,1.0
2022-12-23,103.6,104.1,101.26,102.59,102.236778734177,1423505,0.0000,1.0
2022-12-22,104.65,104.76,99.13,102.85,102.495883544304,2710431,0.0000,1.0
2022-12-21,104.085,107.91,102.91,104.82,104.459100759494,38999824,0.0000,1.0
2022-12-20,101.65,105.37,101.65,103.2,102.844678481013,2462809,0.0000,1.0
2022-12-19,102.4,104.37,100.28,101.54,101.190393924051,1982762,0.0000,1.0
2022-12-16,100.32,103.62,97.35,101.02,100.672184303797,5312326,0.0000,1.0
2022-12-15,106.41,106.44,100.46,101.92,101.56908556962,2638992,0.0000,1.0
2022-12-14,110.04,110.13,107.26,108.66,108.285879493671,1639529,0.0000,1.0
2022-12-13,112.49,113.12,109.75,110.38,109.999957468354,1809271,0.0000,1.0
2022-12-12,107.85,109.94,106.43,109.76,109.382092151899,1548605,0.0000,1.0
2022-12-09,109.72,111.1864,108.26,108.41,108.036740253165,1333744,0.0000,1.0
2022-12-08,109.52,110.74,108.7,110.04,109.661128101266,2121025,0.0000,1.0
2022-12-07,107.32,110.35,106.89,107.6,107.229529113924,1943321,0.0000,1.0
2022-12-06,104.2,108.935,104.2,108.27,107.897222278481,2060857,0.0000,1.0
2022-12-05,107.77,109.44,105.68,106.74,106.372490126582,2425783,0.0000,1.0
2022-12-02,104.29,109.63,103.77,109.55,109.172815189873,2283549,0.0000,1.0
2022-12-01,103.9,105.455,102.66,105.13,104.768033417721,1577223,0.0000,1.0
2022-11-30,103.62,104.03,100.65,103.93,103.572165063291,2930146,0.0000,1.0
2022-11-29,104.61,105.199,102.05,102.64,102.286606582278,1106948,0.0000,1.0
2022-11-28,102.58,104.78,101.77,102.88,102.525780253165,1366422,0.0000,1.0
2022-11-25,103.86,105.37,103.36,103.98,103.621992911392,503156,0.0000,1.0
