timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,121.42,122.54,119.41,119.71,119.71,2535217,0.0000,1.0
2023-02-07,114.67,123.69,113.48,122.97,122.97,5743499,0.0000,1.0
2023-02-06,111.19,112.095,109.11,109.28,109.28,2032674,0.0000,1.0
2023-02-03,111.2,114.19,110.71,112.48,112.48,2339550,0.0000,1.0
2023-02-02,112.93,115.5477,111.81,113.38,113.38,2823616,0.0000,1.0
2023-02-01,109.45,114.48,109.42,113.12,113.12,2762024,0.0000,1.0
2023-01-31,108.05,109.75,107.82,109.67,109.67,1638351,0.0000,1.0
2023-01-30,109.67,110.365,108.49,108.58,108.58,1557698,0.0000,1.0
2023-01-27,111.02,112.029,110.41,111.16,111.16,1383484,0.0000,1.0
2023-01-26,109.99,112.17,108.93,112.02,112.02,1652741,0.0000,1.0
2023-01-25,105.8,109.73,105.5,109.42,109.42,1670732,0.0000,1.0
2023-01-24,107.89,109.82,106.91,107.31,107.31,1729226,0.0000,1.0
2023-01-23,105.75,110.08,104.7401,109.61,109.61,2799325,0.0000,1.0
2023-01-20,101.2,103.2,99.58,103.06,103.06,1656110,0.0000,1.0
2023-01-19,100.85,101.67,99.75,99.92,99.92,1839177,0.0000,1.0
2023-01-18,103.53,104.79,101.8,101.8,101.8,1485608,0.0000,1.0
2023-01-17,101.14,103.82,101.14,102.57,102.57,2698123,0.0000,1.0
2023-01-13,100.1,101.71,99.74,101.61,101.61,968947,0.0000,1.0
2023-01-12,100.64,102.52,99.0,101.25,101.25,1650677,0.0000,1.0
2023-01-11,98.08,100.49,97.23,100.45,100.45,1636705,0.0000,1.0
2023-01-10,96.99,97.88,95.55,97.51,97.51,1500319,0.0000,1.0
2023-01-09,96.92,98.51,95.75,96.48,96.48,1679949,0.0000,1.0
2023-01-06,93.33,96.04,92.61,95.44,95.44,1787217,0.0000,1.0
2023-01-05,92.54,94.15,91.99,92.42,92.42,1971411,0.0000,1.0
2023-01-04,91.77,93.63,91.495,93.48,93.48,1966256,0.0000,1.0
2023-01-03,92.2,92.7,90.43,90.5,90.5,2090863,0.0000,1.0
2022-12-30,89.45,91.24,89.0,91.13,91.13,1566916,0.0000,1.0
2022-12-29,87.87,91.19,87.66,90.94,90.94,1969441,0.0000,1.0
2022-12-28,87.3,88.46,86.18,86.8,86.8,1430360,0.0000,1.0
2022-12-27,88.06,88.72,86.74,88.06,88.06,1663948,0.0000,1.0
2022-12-23,88.1,88.89,86.6,88.85,88.85,1222369,0.0000,1.0
2022-12-22,89.67,90.17,86.5,88.73,88.73,2367472,0.0000,1.0
2022-12-21,89.91,92.365,89.91,91.9,91.9,2190525,0.0000,1.0
2022-12-20,90.43,91.38,89.55,89.6,89.6,2063195,0.0000,1.0
2022-12-19,93.44,93.77,90.54,91.68,91.68,2104999,0.0000,1.0
2022-12-16,92.93,94.91,91.875,93.01,93.01,10620451,0.0000,1.0
2022-12-15,94.82,95.624,93.605,93.74,93.74,2584066,0.0000,1.0
2022-12-14,98.27,99.6,95.8801,97.06,97.06,2246791,0.0000,1.0
2022-12-13,100.54,101.73,96.8,98.26,98.26,2549078,0.0000,1.0
2022-12-12,93.95,96.74,93.535,96.72,96.72,1681787,0.0000,1.0
2022-12-09,94.58,95.98,93.915,94.52,94.52,1839245,0.0000,1.0
2022-12-08,92.64,95.45,92.08,95.17,95.17,1843225,0.0000,1.0
2022-12-07,91.45,92.57,91.21,91.96,91.96,1525564,0.0000,1.0
2022-12-06,93.74,93.76,91.165,92.24,92.24,1982499,0.0000,1.0
2022-12-05,93.6,94.83,92.3,93.74,93.74,1517484,0.0000,1.0
2022-12-02,92.99,93.985,91.98,93.96,93.96,1203014,0.0000,1.0
2022-12-01,96.14,97.0,94.65,94.97,94.97,2455200,0.0000,1.0
2022-11-30,90.76,95.65,89.14,95.62,95.62,3385468,0.0000,1.0
2022-11-29,91.42,92.08,89.66,90.27,90.27,1530006,0.0000,1.0
2022-11-28,91.55,92.56,90.55,91.24,91.24,2129569,0.0000,1.0
2022-11-25,94.77,94.929,92.89,92.91,92.91,1102528,0.0000,1.0
2022-11-23,94.3,96.3,94.19,94.99,94.99,1267559,0.0000,1.0
2022-11-22,92.55,94.22,91.81,94.18,94.18,1809945,0.0000,1.0
2022-11-21,93.06,93.3,91.96,92.08,92.08,1421518,0.6200,1.0
2022-11-18,95.05,95.19,92.98,94.33,93.6990981661273,1401856,0.0000,1.0
2022-11-17,90.42,94.09,90.35,93.75,93.1229773462783,1184606,0.0000,1.0
2022-11-16,94.94,95.32,91.89,92.39,91.7720733549083,2189406,0.0000,1.0
2022-11-15,97.93,98.45,95.28,96.54,95.8943171521036,2262413,0.0000,1.0
2022-11-14,95.51,96.53,93.98,94.1,93.4706364617044,1763286,0.0000,1.0
2022-11-11,93.06,96.765,92.69,96.35,95.7055879180151,1867638,0.0000,1.0
2022-11-10,90.63,93.31,89.82,93.23,92.606455231931,3512518,0.0000,1.0
2022-11-09,87.84,87.84,85.49,85.55,84.9778209277238,2388059,0.0000,1.0
2022-11-08,89.79,90.79,87.19,88.66,88.0670204962244,1997410,0.0000,1.0
2022-11-07,88.0,89.04,86.86,88.25,87.6597626752966,2287586,0.0000,1.0
2022-11-04,86.32,89.32,85.69,87.93,87.3419029126214,4231998,0.0000,1.0
2022-11-03,81.9,83.19,80.08,82.34,81.7892901833873,2561661,0.0000,1.0
2022-11-02,86.92,88.02,83.28,83.39,82.8322675296656,1742310,0.0000,1.0
2022-11-01,87.51,87.86,85.59,86.42,85.8420021574973,1189286,0.0000,1.0
2022-10-31,87.53,87.53,85.5,86.01,85.4347443365696,2192049,0.0000,1.0
2022-10-28,84.53,88.175,84.168,88.06,87.4710334412082,2383011,0.0000,1.0
2022-10-27,86.49,87.0725,83.65,83.84,83.2792578209277,2160862,0.0000,1.0
2022-10-26,85.71,87.96,84.85,85.64,85.0672189859763,1863136,0.0000,1.0
2022-10-25,84.96,87.03,84.71,86.68,86.100263214671,1819029,0.0000,1.0
2022-10-24,84.2,85.49,82.77,84.96,84.3917669902912,1566075,0.0000,1.0
2022-10-21,81.07,84.59,80.87,84.14,83.5772513484358,1651655,0.0000,1.0
2022-10-20,82.32,83.89,81.07,81.44,80.895309600863,1893127,0.0000,1.0
2022-10-19,81.23,82.08,80.35,81.69,81.1436375404531,1399080,0.0000,1.0
2022-10-18,84.04,85.125,80.41,81.89,81.3422998921251,2130170,0.0000,1.0
2022-10-17,82.87,83.505,80.87,81.82,81.2727680690399,1840994,0.0000,1.0
2022-10-14,85.01,85.12,80.41,80.64,80.1006601941748,2242373,0.0000,1.0
2022-10-13,76.88,85.45,76.16,83.8,83.2395253505933,3758074,0.0000,1.0
2022-10-12,80.93,81.6,79.32,79.38,78.8490873786408,1761446,0.0000,1.0
2022-10-11,81.16,83.13,80.26,81.16,80.6171823085221,3283249,0.0000,1.0
2022-10-10,87.31,87.47,83.285,83.92,83.3587227615965,1893090,0.0000,1.0
2022-10-07,90.18,90.395,86.95,87.2,86.6167853290183,2592452,0.0000,1.0
2022-10-06,93.46,95.27,92.22,92.61,91.9906019417476,1675892,0.0000,1.0
2022-10-05,91.19,94.05,90.18,93.34,92.7157195253506,1538066,0.0000,1.0
2022-10-04,89.76,92.26,89.76,92.18,91.5634778856526,3118227,0.0000,1.0
2022-10-03,86.43,88.9,85.385,87.88,87.2922373247033,2526216,0.0000,1.0
2022-09-30,88.3,89.17,85.18,85.27,84.6996936353829,2703157,0.0000,1.0
2022-09-29,91.43,91.6,88.34,89.26,88.6630075512406,2684550,0.0000,1.0
2022-09-28,91.97,93.43,91.375,92.96,92.3382610571737,2384653,0.0000,1.0
2022-09-27,94.07,94.92,91.85,93.26,92.6362545846818,1473794,0.0000,1.0
2022-09-26,94.27,95.66,92.66,92.87,92.2488629989212,1855486,0.0000,1.0
2022-09-23,95.11,95.52,92.545,94.34,93.7090312837109,2174540,0.0000,1.0
2022-09-22,97.75,98.16,94.8385,95.65,95.0102696871629,1875811,0.0000,1.0
2022-09-21,98.27,102.2599,97.72,97.76,97.1061574973031,1733646,0.0000,1.0
2022-09-20,98.95,99.55,97.32,98.14,97.48361596548,2266397,0.0000,1.0
2022-09-19,98.95,101.035,98.35,99.84,99.1722459546925,1456020,0.0000,1.0
2022-09-16,99.5,100.7,97.38,99.88,99.211978425027,2661370,0.0000,1.0
2022-09-15,99.96,102.92,99.4701,100.2,99.5298381877023,2899555,0.0000,1.0
2022-09-14,98.54,100.24,97.52,100.01,99.3411089536138,1880707,0.0000,1.0
2022-09-13,99.82,101.13,97.47,97.88,97.2253549083063,3349618,0.0000,1.0
2022-09-12,103.26,104.19,102.5,103.62,102.926964401294,1340644,0.0000,1.0
2022-09-09,101.0,103.03,100.71,102.64,101.953518878101,1357437,0.0000,1.0
2022-09-08,98.33,100.19,97.025,99.88,99.211978425027,1378716,0.0000,1.0
