timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,36.58,36.96,36.4,36.43,36.43,3804913,0.0000,1.0
2023-02-07,36.36,37.21,36.31,36.95,36.95,3356761,0.0000,1.0
2023-02-06,36.7,36.8,36.03,36.42,36.42,4591407,0.0000,1.0
2023-02-03,36.86,37.995,36.66,37.05,37.05,5661050,0.2300,1.0
2023-02-02,35.41,37.87,35.41,37.79,37.5568535407725,7701487,0.0000,1.0
2023-02-01,33.0,35.62,32.38,35.31,35.0921539699571,14055129,0.0000,1.0
2023-01-31,36.17,36.74,35.84,36.73,36.5033932403433,4613552,0.0000,1.0
2023-01-30,36.71,37.17,36.13,36.15,35.9269715665236,4336354,0.0000,1.0
2023-01-27,36.85,37.35,36.67,37.06,36.8313572961373,3206407,0.0000,1.0
2023-01-26,37.04,37.23,35.92,36.55,36.3245037553648,3970916,0.0000,1.0
2023-01-25,35.04,36.945,34.97,36.88,36.6524678111588,6534763,0.0000,1.0
2023-01-24,34.2,36.125,34.15,35.37,35.1517837982833,6794207,0.0000,1.0
2023-01-23,35.23,36.08,34.01,34.56,34.3467811158798,9548132,0.0000,1.0
2023-01-20,32.86,35.42,32.86,35.41,35.1915370171674,12094063,0.0000,1.0
2023-01-19,32.04,32.73,30.83,32.58,32.3789967811159,7470214,0.0000,1.0
2023-01-18,33.79,34.22,33.18,33.21,33.0051099785408,5522249,0.0000,1.0
2023-01-17,33.46,33.9,33.305,33.67,33.4622719957082,5123250,0.0000,1.0
2023-01-13,32.67,33.645,32.34,33.47,33.2635059012876,4474260,0.0000,1.0
2023-01-12,34.12,34.24,33.23,33.58,33.3728272532189,5974787,0.0000,1.0
2023-01-11,33.0,33.805,32.795,33.76,33.5517167381974,5957939,0.0000,1.0
2023-01-10,32.06,32.89,30.88,32.84,32.6373927038627,9165395,0.0000,1.0
2023-01-09,33.16,33.3,32.23,32.29,32.090785944206,9784771,0.0000,1.0
2023-01-06,31.75,32.83,31.74,32.8,32.5976394849785,9003571,0.0000,1.0
2023-01-05,32.61,32.61,31.95,31.98,31.7826984978541,5777245,0.0000,1.0
2023-01-04,32.87,33.54,32.73,33.1,32.8957886266095,5922686,0.0000,1.0
2023-01-03,33.25,33.5,32.1,32.39,32.1901689914163,4697690,0.0000,1.0
2022-12-30,32.46,32.905,32.31,32.86,32.6572693133047,3343393,0.0000,1.0
2022-12-29,32.3,32.9,32.17,32.84,32.6373927038627,3619511,0.0000,1.0
2022-12-28,32.59,32.69,31.955,32.1,31.9019581545064,2932998,0.0000,1.0
2022-12-27,32.85,32.86,32.38,32.56,32.3591201716738,2132117,0.0000,1.0
2022-12-23,32.29,32.775,32.06,32.75,32.5479479613734,2957456,0.0000,1.0
2022-12-22,32.84,32.87,31.68,32.34,32.1404774678112,5249488,0.0000,1.0
2022-12-21,33.1,33.4663,32.93,33.28,33.074678111588,4053348,0.0000,1.0
2022-12-20,32.43,32.725,32.01,32.65,32.4485649141631,3887056,0.0000,1.0
2022-12-19,33.21,33.45,32.1408,32.38,32.1802306866953,4241695,0.0000,1.0
2022-12-16,33.08,33.23,32.58,33.21,33.0051099785408,16057583,0.0000,1.0
2022-12-15,33.66,33.76,32.56,33.59,33.3827655579399,5523402,0.0000,1.0
2022-12-14,35.24,35.63,33.76,34.35,34.1380767167382,6895923,0.0000,1.0
