timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,52.02,52.52,51.2,51.41,51.41,1979126,0.0000,1.0
2023-02-07,53.02,53.02,52.08,52.3,52.3,1991063,0.0000,1.0
2023-02-06,53.29,53.71,53.0173,53.58,53.58,1939830,0.0000,1.0
2023-02-03,54.18,54.3,52.92,53.62,53.62,1850554,0.0000,1.0
2023-02-02,53.02,54.23,52.74,54.18,54.18,1999593,0.0000,1.0
2023-02-01,52.4,53.47,52.37,53.31,53.31,2016486,0.0000,1.0
2023-01-31,51.54,52.59,50.88,52.58,52.58,1387286,0.0000,1.0
2023-01-30,51.24,52.05,51.06,51.23,51.23,1187244,0.0000,1.0
2023-01-27,52.31,52.47,50.9438,51.3,51.3,2211817,0.0000,1.0
2023-01-26,52.81,53.58,52.51,52.77,52.77,2600277,0.0000,1.0
2023-01-25,51.54,53.23,51.25,52.92,52.92,1899371,0.0000,1.0
2023-01-24,50.27,52.01,50.27,51.47,51.47,1322780,0.0000,1.0
2023-01-23,50.15,50.34,49.66,50.09,50.09,1069854,0.0000,1.0
2023-01-20,49.7,49.99,49.25,49.98,49.98,906349,0.0000,1.0
2023-01-19,48.9,49.72,48.485,49.59,49.59,1356257,0.0000,1.0
2023-01-18,50.32,50.62,48.965,49.03,49.03,1483731,0.0000,1.0
2023-01-17,50.82,51.12,50.355,50.38,50.38,1691597,0.0000,1.0
2023-01-13,50.11,50.9,49.96,50.76,50.76,1126061,0.0000,1.0
2023-01-12,50.86,50.96,50.163,50.33,50.33,1143011,0.0000,1.0
2023-01-11,50.94,51.29,50.71,50.92,50.92,1641376,0.0000,1.0
2023-01-10,50.33,50.99,50.24,50.86,50.86,1225645,0.0000,1.0
2023-01-09,50.73,51.18,50.16,50.21,50.21,1466930,0.0000,1.0
2023-01-06,50.86,51.194,50.45,50.88,50.88,2145002,0.0000,1.0
2023-01-05,50.46,50.76,49.21,49.58,49.58,1849824,0.0000,1.0
2023-01-04,49.78,51.58,49.66,51.36,51.36,1672111,0.0000,1.0
2023-01-03,50.55,50.67,48.66,49.44,49.44,2770362,0.0000,1.0
2022-12-30,51.39,51.625,51.11,51.52,51.52,993228,0.0000,1.0
2022-12-29,51.37,51.68,51.355,51.6,51.6,744999,0.0000,1.0
2022-12-28,52.25,52.48,51.32,51.38,51.38,921213,0.0000,1.0
2022-12-27,52.0,52.54,51.98,52.33,52.33,639999,0.0000,1.0
2022-12-23,51.47,51.93,51.275,51.93,51.93,536208,0.0000,1.0
2022-12-22,51.34,51.57,50.765,51.44,51.44,763162,0.0000,1.0
2022-12-21,51.01,51.57,50.885,51.45,51.45,791676,0.0000,1.0
2022-12-20,51.77,51.795,50.72,50.77,50.77,1026300,0.0000,1.0
2022-12-19,51.23,52.125,51.095,51.69,51.69,1171634,0.0000,1.0
2022-12-16,51.19,51.48,50.63,51.18,51.18,2243990,0.0000,1.0
2022-12-15,52.35,52.58,51.491,51.74,51.74,1177666,0.0000,1.0
2022-12-14,52.47,53.345,52.28,52.89,52.89,1288330,0.0000,1.0
2022-12-13,53.67,53.76,52.46,52.61,52.61,1597736,0.0000,1.0
2022-12-12,52.41,52.97,52.06,52.96,52.96,956386,0.0000,1.0
2022-12-09,52.55,52.84,51.955,52.46,52.46,1157672,0.0000,1.0
2022-12-08,53.1,53.165,52.38,52.66,52.66,1065923,0.0000,1.0
2022-12-07,53.37,53.69,52.8,53.05,53.05,1211729,0.0000,1.0
2022-12-06,53.75,54.24,52.47,53.26,53.26,1664277,0.0000,1.0
2022-12-05,55.09,55.23,54.445,54.5,54.5,1064978,0.0000,1.0
2022-12-02,54.76,55.7,54.735,55.57,55.57,1111844,0.0000,1.0
2022-12-01,54.82,55.485,54.82,54.97,54.97,1067306,0.3800,1.0
2022-11-30,55.13,55.47,54.04,55.11,54.731647696477,2272936,0.0000,1.0
2022-11-29,54.88,55.357,54.56,54.92,54.5429521228546,860598,0.0000,1.0
2022-11-28,55.17,55.7,54.92,54.93,54.5528834688347,979330,0.0000,1.0
2022-11-25,55.27,55.65,55.14,55.58,55.1984209575429,378213,0.0000,1.0
2022-11-23,54.89,55.305,54.79,55.27,54.890549232159,734679,0.0000,1.0
2022-11-22,54.65,55.15,54.215,54.8,54.423775971093,953109,0.0000,1.0
2022-11-21,53.09,54.62,53.09,54.33,53.9570027100271,1152230,0.0000,1.0
2022-11-18,53.57,53.74,53.19,53.5,53.1327009936766,1030762,0.0000,1.0
2022-11-17,51.62,53.07,51.62,53.01,52.6460650406504,949120,0.0000,1.0
2022-11-16,52.27,52.38,51.64,52.11,51.752243902439,649881,0.0000,1.0
2022-11-15,52.15,52.555,51.88,52.08,51.7224498644986,1249252,0.0000,1.0
2022-11-14,51.9,52.64,51.75,51.95,51.593342366757,806119,0.0000,1.0
2022-11-11,51.46,52.14,50.6291,51.9,51.5436856368564,1440342,0.0000,1.0
2022-11-10,50.9,52.105,50.84,51.45,51.0967750677507,1074427,0.0000,1.0
2022-11-09,51.04,51.04,49.71,49.76,49.4183775971093,1072282,0.0000,1.0
2022-11-08,51.0,51.59,50.75,51.29,50.9378735320687,1005996,0.0000,1.0
2022-11-07,51.51,51.88,50.1896,50.98,50.6300018066847,1119952,0.0000,1.0
2022-11-04,50.15,51.23,49.91,51.2,50.8484914182475,1253072,0.0000,1.0
2022-11-03,48.85,49.72,48.61,49.48,49.1402999096658,1404495,0.0000,1.0
2022-11-02,49.13,50.775,49.105,49.34,49.001261065944,2798636,0.0000,1.0
2022-11-01,50.35,50.35,46.9,48.81,48.4748997289973,3553362,0.0000,1.0
