timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,75.14,78.93,74.77,78.44,78.44,900423,0.0000,1.0
2023-02-06,78.39,78.79,75.48,75.57,75.57,1184802,0.0000,1.0
2023-02-03,79.3,80.08,77.66,79.16,79.16,1251900,0.0000,1.0
2023-02-02,80.73,86.1352,79.94,80.85,80.85,2284849,0.0000,1.0
2023-02-01,79.91,81.87,79.07,81.28,81.28,1526316,0.0000,1.0
2023-01-31,78.73,79.825,78.1,79.66,79.66,1643739,0.0000,1.0
2023-01-30,80.76,80.9436,78.545,78.68,78.68,853624,0.0000,1.0
2023-01-27,79.95,82.0091,79.32,81.19,81.19,864960,0.0000,1.0
2023-01-26,80.6,81.04,79.35,80.32,80.32,800576,0.0000,1.0
2023-01-25,79.01,79.84,77.87,79.83,79.83,827234,0.0000,1.0
2023-01-24,81.53,81.57,79.665,80.15,80.15,711463,0.0000,1.0
2023-01-23,81.58,82.795,81.51,82.29,82.29,645303,0.0000,1.0
2023-01-20,80.49,81.715,80.13,81.46,81.46,675452,0.0000,1.0
2023-01-19,79.64,81.32,78.7,80.79,80.79,884184,0.0000,1.0
2023-01-18,81.05,82.14,79.78,79.99,79.99,1185020,0.0000,1.0
2023-01-17,81.06,82.93,80.48,80.85,80.85,1301212,0.0000,1.0
2023-01-13,81.21,82.21,80.23,80.85,80.85,2219915,0.0000,1.0
2023-01-12,86.31,86.31,81.0,82.17,82.17,2441492,0.0000,1.0
2023-01-11,87.19,88.845,86.39,86.62,86.62,545381,0.0000,1.0
2023-01-10,84.8,86.73,84.59,86.54,86.54,887610,0.0000,1.0
2023-01-09,83.37,84.62,82.82,83.94,83.94,712970,0.0000,1.0
2023-01-06,82.42,83.83,80.185,82.52,82.52,1243081,0.0000,1.0
2023-01-05,83.57,83.57,81.615,82.29,82.29,771134,0.0000,1.0
2023-01-04,83.76,85.15,83.09,84.39,84.39,622699,0.0000,1.0
2023-01-03,83.86,84.52,81.75,82.53,82.53,781866,0.0000,1.0
2022-12-30,83.71,83.71,81.17,82.88,82.88,657456,0.0000,1.0
2022-12-29,81.58,84.96,79.61,84.47,84.47,748093,0.0000,1.0
2022-12-28,82.4,84.03,80.65,80.69,80.69,479125,0.0000,1.0
2022-12-27,82.73,83.38,81.45,82.21,82.21,489553,0.0000,1.0
