timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,49.33,49.86,49.12,49.26,49.26,4541327,0.0000,1.0
2023-02-07,49.25,50.275,49.02,50.03,50.03,6181915,0.0000,1.0
2023-02-06,49.91,49.91,49.345,49.6,49.6,4637127,0.0000,1.0
2023-02-03,49.79,50.52,49.67,50.09,50.09,6504924,0.0000,1.0
2023-02-02,50.05,50.57,49.5,50.39,50.39,6484808,0.0000,1.0
2023-02-01,48.95,50.07,48.77,49.63,49.63,8539131,0.0000,1.0
2023-01-31,48.26,49.43,48.12,49.39,49.39,5962234,0.0000,1.0
2023-01-30,48.4,48.92,48.38,48.45,48.45,4868840,0.0000,1.0
2023-01-27,48.91,49.25,48.76,48.84,48.84,4150510,0.0000,1.0
2023-01-26,49.09,49.48,48.42,48.86,48.86,5506792,0.0000,1.0
2023-01-25,47.97,48.8,47.68,48.78,48.78,5047630,0.0000,1.0
2023-01-24,51.26,53.34,48.1,48.34,48.34,5203736,0.0000,1.0
2023-01-23,48.2,49.07,47.81,48.84,48.84,7514079,0.0000,1.0
2023-01-20,47.82,48.05,47.165,47.92,47.92,9187909,0.0000,1.0
2023-01-19,46.11,48.03,45.77,47.71,47.71,9714110,0.0000,1.0
2023-01-18,46.72,47.03,45.605,45.74,45.74,7793413,0.0000,1.0
2023-01-17,47.53,47.6,46.875,47.15,47.15,10013020,0.0000,1.0
2023-01-13,46.71,47.74,46.16,47.57,47.57,8241770,0.0000,1.0
2023-01-12,46.76,47.35,46.5,47.18,47.18,6183169,0.0000,1.0
2023-01-11,46.33,46.565,45.96,46.37,46.37,10156160,0.0000,1.0
2023-01-10,45.85,46.295,45.535,46.0,46.0,8294717,0.0000,1.0
2023-01-09,46.24,46.34,45.78,45.8,45.8,8978994,0.0000,1.0
2023-01-06,44.37,46.065,44.29,45.86,45.86,5326150,0.0000,1.0
2023-01-05,44.14,44.82,43.755,44.44,44.44,7688890,0.0000,1.0
2023-01-04,44.12,45.23,43.55,44.85,44.85,8611437,0.0000,1.0
2023-01-03,43.42,43.98,43.01,43.63,43.63,7269714,0.0000,1.0
2022-12-30,42.86,43.285,42.74,43.03,43.03,4189259,0.0000,1.0
2022-12-29,42.69,43.28,42.6,43.2,43.2,4666228,0.0000,1.0
2022-12-28,42.9,43.065,42.49,42.55,42.55,3986743,0.0000,1.0
2022-12-27,42.65,43.065,42.34,42.84,42.84,3951756,0.0000,1.0
2022-12-23,42.5,42.79,42.375,42.59,42.59,4387034,0.0000,1.0
2022-12-22,41.4,42.51,41.14,42.48,42.48,8405728,0.0000,1.0
2022-12-21,41.71,41.92,41.5,41.75,41.75,5144512,0.0000,1.0
2022-12-20,41.02,41.72,40.93,41.12,41.12,5364712,0.0000,1.0
2022-12-19,41.29,41.63,40.8,41.12,41.12,7229615,0.0000,1.0
2022-12-16,41.14,41.4,40.545,41.3,41.3,24293198,0.0000,1.0
2022-12-15,41.6,41.9,41.26,41.49,41.49,10415896,0.0000,1.0
2022-12-14,43.15,43.39,41.95,42.22,42.22,9994842,0.0000,1.0
2022-12-13,44.56,45.03,42.91,43.19,43.19,9604898,0.0000,1.0
2022-12-12,41.94,43.61,41.53,43.46,43.46,11615655,0.0000,1.0
2022-12-09,41.92,42.385,41.84,42.08,42.08,10891034,0.0000,1.0
2022-12-08,41.97,42.22,41.58,42.06,42.06,9584739,0.0000,1.0
2022-12-07,41.74,42.22,41.3,41.84,41.84,7448287,0.0000,1.0
2022-12-06,42.53,42.62,41.38,41.89,41.89,10523593,0.0000,1.0
2022-12-05,44.5,44.79,42.3,42.59,42.59,12280947,0.0000,1.0
2022-12-02,45.61,45.87,44.865,45.06,45.06,9505058,0.0000,1.0
2022-12-01,47.06,47.46,45.99,46.22,46.22,7945658,0.0000,1.0
2022-11-30,45.73,46.85,44.05,46.81,46.81,9633835,0.0000,1.0
2022-11-29,45.39,45.96,45.24,45.91,45.91,7471369,0.0000,1.0
2022-11-28,46.43,46.65,45.23,45.32,45.32,5783803,0.0000,1.0
2022-11-25,46.66,47.07,46.51,46.92,46.92,1651033,0.0000,1.0
2022-11-23,46.28,46.7279,46.22,46.43,46.43,4930102,0.0000,1.0
2022-11-22,46.58,46.94,46.27,46.42,46.42,3798628,0.0000,1.0
2022-11-21,45.72,46.275,45.576,46.13,46.13,4563394,0.0000,1.0
2022-11-18,45.88,46.15,45.2,45.66,45.66,4539746,0.0000,1.0
2022-11-17,44.84,45.22,44.56,45.12,45.12,3819472,0.0000,1.0
2022-11-16,46.4,46.58,45.51,45.53,45.53,7217223,0.0000,1.0
2022-11-15,46.85,47.47,45.455,46.33,46.33,6245002,0.0000,1.0
2022-11-14,46.84,47.27,46.0134,46.05,46.05,6852613,0.0000,1.0
2022-11-11,46.31,47.46,46.11,47.26,47.26,8322967,0.0000,1.0
2022-11-10,44.09,46.135,44.09,46.04,46.04,8539497,0.0000,1.0
2022-11-09,43.75,43.955,42.545,42.69,42.69,7675718,0.5200,1.0
2022-11-08,44.11,44.67,43.96,44.49,43.9545961582967,5232791,0.0000,1.0
2022-11-07,44.09,44.21,43.525,43.98,43.4507336264753,5209103,0.0000,1.0
2022-11-04,43.26,43.94,43.07,43.66,43.1345845869012,6816093,0.0000,1.0
2022-11-03,43.37,43.58,42.14,42.66,42.1466188382319,8659225,0.0000,1.0
2022-11-02,44.37,45.33,43.89,43.92,43.3914556815552,9174098,0.0000,1.0
2022-11-01,45.19,45.26,44.45,44.82,44.2806248553576,5814481,0.0000,1.0
2022-10-31,44.88,45.25,44.57,44.79,44.2509858828975,8686567,0.0000,1.0
2022-10-28,44.5,45.06,44.31,45.05,44.5078569775515,4813942,0.0000,1.0
2022-10-27,44.71,44.99,44.055,44.18,43.6483267762092,5305767,0.0000,1.0
2022-10-26,43.91,44.63,43.91,44.21,43.6779657486693,6010738,0.0000,1.0
