timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,61.15,61.64,59.97,59.98,59.98,4927152,0.0000,1.0
2023-02-07,60.29,61.71,59.65,61.41,61.41,7809475,0.0000,1.0
2023-02-06,60.72,62.1699,60.11,61.08,61.08,12387498,0.0000,1.0
2023-02-03,65.2,65.31,63.97,64.03,64.03,3338345,0.0000,1.0
2023-02-02,65.1,65.8079,64.77,65.13,65.13,2639725,0.0000,1.0
2023-02-01,65.39,65.595,64.07,65.13,65.13,2575898,0.0000,1.0
2023-01-31,64.4,65.75,63.88,65.75,65.75,2940580,0.0000,1.0
2023-01-30,65.47,65.47,64.0,64.1,64.1,3362150,0.0000,1.0
2023-01-27,65.48,65.73,64.6,65.72,65.72,2699058,0.0000,1.0
2023-01-26,65.84,65.91,64.86,65.49,65.49,1651092,0.0000,1.0
2023-01-25,64.94,65.94,64.75,65.81,65.81,2133574,0.0000,1.0
2023-01-24,66.0,74.07,65.06,65.24,65.24,2053384,0.0000,1.0
2023-01-23,64.96,66.34,64.73,66.15,66.15,2568951,0.0000,1.0
2023-01-20,63.68,64.725,63.2,64.7,64.7,2603644,0.0000,1.0
2023-01-19,63.64,63.83,63.014,63.49,63.49,2136405,0.0000,1.0
2023-01-18,65.28,65.74,63.82,63.87,63.87,2212973,0.0000,1.0
2023-01-17,64.98,65.775,64.98,65.36,65.36,2580333,0.0000,1.0
2023-01-13,64.48,65.0195,64.39,64.98,64.98,2132226,0.0000,1.0
2023-01-12,66.04,66.26,64.795,64.83,64.83,1975724,0.0000,1.0
2023-01-11,65.86,66.02,64.85,65.81,65.81,2142050,0.0000,1.0
2023-01-10,66.0,66.01,65.13,65.58,65.58,2030777,0.0000,1.0
2023-01-09,66.15,66.7892,65.71,65.71,65.71,2153812,0.0000,1.0
2023-01-06,64.84,66.34,64.69,66.07,66.07,2387756,0.0000,1.0
2023-01-05,64.44,64.67,63.85,64.36,64.36,2868077,0.0000,1.0
2023-01-04,64.01,64.84,63.8901,64.51,64.51,3380387,0.0000,1.0
2023-01-03,62.95,63.845,62.52,63.6,63.6,3444792,0.0000,1.0
2022-12-30,61.68,62.25,61.45,62.25,62.25,2183330,0.0000,1.0
2022-12-29,61.25,62.065,61.18,61.79,61.79,1737094,0.0000,1.0
2022-12-28,61.68,61.99,61.0902,61.19,61.19,1352191,0.0000,1.0
2022-12-27,61.36,61.85,60.8992,61.69,61.69,1708107,0.0000,1.0
2022-12-23,60.96,61.4,60.76,61.35,61.35,1303142,0.0000,1.0
2022-12-22,60.33,60.899,59.38,60.88,60.88,2402285,0.0000,1.0
2022-12-21,61.63,61.9072,60.65,60.76,60.76,3078062,0.0000,1.0
2022-12-20,60.6,61.66,60.6,61.38,61.38,2908464,0.0000,1.0
2022-12-19,61.78,62.07,60.51,60.81,60.81,4014295,0.0000,1.0
2022-12-16,61.93,62.46,61.05,61.84,61.84,5231554,0.0000,1.0
2022-12-15,63.87,64.11,62.44,62.57,62.57,3536182,0.0000,1.0
2022-12-14,64.62,65.11,63.895,64.35,64.35,2982978,0.0000,1.0
2022-12-13,65.15,66.08,64.345,64.58,64.58,2618228,0.0000,1.0
2022-12-12,63.68,64.6,63.1,64.53,64.53,2630472,0.0000,1.0
2022-12-09,63.45,64.41,63.3071,63.75,63.75,2311577,0.0000,1.0
2022-12-08,63.55,64.28,63.5,63.86,63.86,3188763,0.0000,1.0
2022-12-07,64.01,64.79,63.71,63.74,63.74,3476696,0.0000,1.0
2022-12-06,64.44,64.77,63.77,64.15,64.15,4098229,0.0000,1.0
2022-12-05,65.42,65.5831,64.31,64.77,64.77,2464416,0.0000,1.0
2022-12-02,65.1,66.13,64.91,66.02,66.02,2896612,0.0000,1.0
2022-12-01,66.61,66.61,64.94,65.48,65.48,2605667,0.0000,1.0
2022-11-30,65.96,66.32,64.58,66.28,66.28,3600397,0.4800,1.0
2022-11-29,65.55,66.625,65.07,66.45,65.9722288795686,3505708,0.0000,1.0
2022-11-28,65.87,66.7,64.79,65.53,65.0588436189335,4496862,0.0000,1.0
2022-11-25,67.27,67.87,67.22,67.33,66.8459017375674,2009660,0.0000,1.0
2022-11-23,67.12,67.335,66.72,67.14,66.6572678250449,2230895,0.0000,1.0
2022-11-22,67.13,67.87,66.78,67.32,66.8359736369083,5249314,0.0000,1.0
2022-11-21,65.63,66.79,65.04,66.75,66.2700718993409,4043848,0.0000,1.0
2022-11-18,66.0,66.15,64.33,65.52,65.0489155182744,3592866,0.0000,1.0
2022-11-17,64.17,65.48,64.17,65.39,64.9198502097064,3187737,0.0000,1.0
2022-11-16,64.48,65.3799,64.09,64.53,64.0660335530258,3867701,0.0000,1.0
2022-11-15,65.69,65.96,63.96,64.34,63.8773996405033,3819927,0.0000,1.0
2022-11-14,67.59,68.755,64.72,64.83,64.3638765727981,5535604,0.0000,1.0
2022-11-11,66.56,67.515,65.58,67.41,66.92532654284,4794381,0.0000,1.0
2022-11-10,65.61,66.88,65.29,66.46,65.9821569802277,4080282,0.0000,1.0
2022-11-09,65.52,66.11,63.62,64.11,63.6490533253445,5160731,0.0000,1.0
2022-11-08,67.31,68.67,67.07,67.73,67.2430257639305,2103677,0.0000,1.0
2022-11-07,67.48,68.0159,66.03,67.26,66.7764050329539,4330797,0.0000,1.0
2022-11-04,67.37,68.01,66.38,67.3,66.8161174355902,2240760,0.0000,1.0
2022-11-03,66.92,67.06,66.22,66.56,66.0814379868184,1884423,0.0000,1.0
2022-11-02,67.74,69.02,67.39,67.44,66.9551108448172,1688080,0.0000,1.0
2022-11-01,68.85,69.07,67.82,68.0,67.5110844817256,1584908,0.0000,1.0
2022-10-31,68.63,69.03,68.09,68.35,67.8585680047933,2302007,0.0000,1.0
2022-10-28,67.65,68.87,67.51,68.64,68.1464829239065,1687599,0.0000,1.0
