timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,186.73,188.2,186.0,186.36,186.36,1969966,0.0000,1.0
2023-02-07,187.87,189.21,185.79,188.29,188.29,2037849,0.0000,1.0
2023-02-06,190.0,190.58,188.18,188.76,188.76,2243357,0.0000,1.0
2023-02-03,189.06,192.25,187.25,191.66,191.66,2766408,0.0000,1.0
2023-02-02,186.03,193.705,186.02,191.29,191.29,4996140,0.0000,1.0
2023-02-01,184.68,185.83,180.8,184.98,184.98,4005165,0.0000,1.0
2023-01-31,178.77,186.08,178.77,185.23,185.23,6872089,0.0000,1.0
2023-01-30,180.71,181.845,176.39,176.97,176.97,4593318,0.0000,1.0
2023-01-27,179.6,183.83,178.8,182.09,182.09,2831795,0.0000,1.0
2023-01-26,178.63,179.78,176.05,179.7,179.7,1627001,0.0000,1.0
2023-01-25,178.005,178.02,174.91,177.46,177.46,1722176,0.0000,1.0
2023-01-24,157.61,181.375,157.61,179.99,179.99,1958413,0.0000,1.0
2023-01-23,178.51,181.71,177.21,180.48,180.48,2240062,0.0000,1.0
2023-01-20,176.74,178.19,175.12,178.13,178.13,2296408,0.0000,1.0
2023-01-19,176.16,177.22,173.655,176.15,176.15,2711764,0.0000,1.0
2023-01-18,178.8,180.55,176.46,176.72,176.72,3085283,0.0000,1.0
2023-01-17,181.62,182.38,178.87,179.0,179.0,2703314,0.0000,1.0
2023-01-13,182.18,183.25,180.77,182.15,182.15,2078273,0.0000,1.0
2023-01-12,183.47,183.7,180.68,182.95,182.95,1832262,0.0000,1.0
2023-01-11,179.525,182.46,178.985,182.23,182.23,2674711,0.0000,1.0
2023-01-10,181.31,181.56,177.26,178.77,178.77,2324238,0.0000,1.0
2023-01-09,179.22,183.64,178.98,181.69,181.69,3214745,0.0000,1.0
2023-01-06,175.63,179.54,174.29,178.95,178.95,3690149,0.0000,1.0
2023-01-05,174.88,175.91,173.33,173.84,173.84,2736857,0.0000,1.0
2023-01-04,176.45,177.87,175.2001,177.11,177.11,1965095,0.0000,1.0
2023-01-03,174.27,175.83,173.65,175.28,175.28,2206482,0.0000,1.0
2022-12-30,174.26,174.85,171.89,173.84,173.84,1670881,0.0000,1.0
2022-12-29,174.79,176.41,174.42,175.75,175.75,1369351,0.0000,1.0
2022-12-28,177.0,177.47,173.37,173.61,173.61,1455898,0.0000,1.0
2022-12-27,177.09,177.8174,175.62,176.93,176.93,1294218,0.0000,1.0
2022-12-23,175.92,177.19,174.16,177.01,177.01,1897662,0.0000,1.0
