timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,27.4,29.12,26.7,28.44,28.44,15702205,0.0000,1.0
2023-02-07,28.44,29.6,28.115,28.52,28.52,12737200,0.0000,1.0
2023-02-06,30.0,30.14,28.49,28.66,28.66,10264026,0.0000,1.0
2023-02-03,30.53,31.5,30.07,30.62,30.62,4646991,0.0000,1.0
2023-02-02,31.7,32.13,30.94,31.14,31.14,7039751,0.0000,1.0
2023-02-01,30.81,31.98,30.22,31.64,31.64,5115537,0.0000,1.0
2023-01-31,30.28,30.94,30.27,30.94,30.94,10112168,0.0000,1.0
2023-01-30,29.89,30.545,29.63,30.12,30.12,5085336,0.0000,1.0
2023-01-27,29.71,30.8,29.65,30.45,30.45,4053833,0.0000,1.0
2023-01-26,30.51,30.67,29.3336,29.9,29.9,4278589,0.0000,1.0
2023-01-25,29.92,29.975,28.895,29.89,29.89,5687124,0.0000,1.0
2023-01-24,29.85,30.59,29.77,30.26,30.26,3629647,0.0000,1.0
2023-01-23,29.42,30.53,29.42,30.49,30.49,4091445,0.0000,1.0
2023-01-20,28.41,29.375,28.34,29.34,29.34,4732395,0.0000,1.0
2023-01-19,29.46,29.46,28.13,28.42,28.42,6403410,0.0000,1.0
2023-01-18,30.74,31.025,30.02,30.06,30.06,4540621,0.0000,1.0
2023-01-17,30.98,31.325,30.345,30.61,30.61,5938429,0.0000,1.0
2023-01-13,30.33,31.16,30.1799,31.13,31.13,5176287,0.0000,1.0
2023-01-12,30.5,30.925,30.02,30.75,30.75,4552074,0.0000,1.0
2023-01-11,30.04,30.26,29.55,30.18,30.18,4913069,0.0000,1.0
2023-01-10,29.63,30.01,29.27,29.97,29.97,3079083,0.0000,1.0
2023-01-09,29.55,30.195,28.9,29.57,29.57,4621366,0.0000,1.0
2023-01-06,29.26,29.83,29.0,29.54,29.54,4891283,0.0000,1.0
2023-01-05,29.04,29.51,28.38,29.45,29.45,4637224,0.0000,1.0
2023-01-04,28.16,29.6459,27.96,29.52,29.52,7635696,0.0000,1.0
2023-01-03,28.01,28.45,27.505,27.74,27.74,6180137,0.0000,1.0
2022-12-30,27.05,27.655,27.05,27.61,27.61,4600126,0.0000,1.0
2022-12-29,26.17,27.51,26.17,27.44,27.44,5881677,0.0000,1.0
2022-12-28,27.12,27.3,25.6951,25.86,25.86,5761806,0.0000,1.0
2022-12-27,26.1,27.17,25.78,27.16,27.16,9743265,0.0000,1.0
2022-12-23,25.96,26.23,25.81,26.07,26.07,6403553,0.0000,1.0
2022-12-22,25.15,26.21,25.05,26.21,26.21,9141948,0.0000,1.0
2022-12-21,25.96,26.13,25.38,25.46,25.46,7800446,0.0000,1.0
2022-12-20,25.8,25.96,25.1,25.17,25.17,6542820,0.0000,1.0
2022-12-19,26.44,26.7984,25.77,26.05,26.05,6616723,0.0000,1.0
2022-12-16,27.09,27.42,26.06,26.37,26.37,12931196,0.0000,1.0
2022-12-15,27.41,27.955,27.07,27.53,27.53,9927410,0.0000,1.0
2022-12-14,28.4,28.4699,27.275,28.04,28.04,8764482,0.0000,1.0
2022-12-13,29.2,29.415,28.15,28.42,28.42,11473910,0.0000,1.0
2022-12-12,28.28,28.32,27.8041,28.15,28.15,9358147,0.0000,1.0
2022-12-09,28.0,28.56,27.8,28.2,28.2,6324400,0.5100,1.0
