timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,23.85,24.01,23.39,23.43,23.43,1775599,0.0000,1.0
2023-02-07,23.72,24.28,23.47,23.94,23.94,2073209,0.0000,1.0
2023-02-06,24.37,24.4256,23.625,23.93,23.93,2065429,0.0000,1.0
2023-02-03,25.7,25.87,24.715,24.85,24.85,3745344,0.0000,1.0
2023-02-02,25.1,26.76,25.085,26.33,26.33,5808355,0.0000,1.0
2023-02-01,24.01,24.605,23.57,24.53,24.53,2242456,0.0000,1.0
2023-01-31,23.41,24.43,23.27,24.39,24.39,2461292,0.0000,1.0
2023-01-30,23.26,23.63,23.25,23.43,23.43,2592273,0.0000,1.0
2023-01-27,21.9,23.53,21.9,23.5,23.5,2716707,0.3750,1.0
2023-01-26,22.66,22.75,21.99,22.32,21.9694240837696,2701164,0.0000,1.0
2023-01-25,21.81,22.53,21.71,22.45,22.0973821989529,1884949,0.0000,1.0
2023-01-24,22.49,22.52,22.07,22.11,21.762722513089,1558018,0.0000,1.0
2023-01-23,22.32,22.74,22.175,22.42,22.0678534031414,2324899,0.0000,1.0
2023-01-20,22.11,22.255,21.88,22.25,21.9005235602094,4062215,0.0000,1.0
2023-01-19,22.68,22.75,22.1,22.17,21.821780104712,3210755,0.0000,1.0
2023-01-18,23.43,23.545,22.8308,23.07,22.7076439790576,2073125,0.0000,1.0
2023-01-17,23.35,23.53,23.18,23.3,22.9340314136126,2688004,0.0000,1.0
2023-01-13,22.7,23.4,22.62,23.31,22.9438743455497,2451404,0.0000,1.0
2023-01-12,22.8,23.13,22.48,23.03,22.6682722513089,2152464,0.0000,1.0
2023-01-11,21.97,22.6,21.95,22.56,22.2056544502618,2934406,0.0000,1.0
2023-01-10,21.2,21.89,21.13,21.82,21.477277486911,4393407,0.0000,1.0
2023-01-09,21.78,21.87,21.17,21.19,20.8571727748691,6342701,0.0000,1.0
2023-01-06,21.4,21.86,21.22,21.76,21.418219895288,2718964,0.0000,1.0
2023-01-05,20.92,21.4,20.7,21.37,21.0343455497382,6472469,0.0000,1.0
2023-01-04,21.44,21.8,21.03,21.23,20.8965445026178,60865766,0.0000,1.0
2023-01-03,21.09,21.36,20.4,21.03,20.6996858638743,5726045,0.0000,1.0
2022-12-30,20.96,21.14,20.41,20.81,20.4831413612565,4132793,0.0000,1.0
2022-12-29,20.99,21.47,20.89,21.23,20.8965445026178,4488532,0.0000,1.0
2022-12-28,21.5,21.62,20.735,20.89,20.5618848167539,2449557,0.0000,1.0
2022-12-27,21.45,21.5754,21.18,21.52,21.1819895287958,1572545,0.0000,1.0
2022-12-23,21.34,21.62,21.23,21.45,21.1130890052356,1583580,0.0000,1.0
2022-12-22,20.79,21.48,20.48,21.45,21.1130890052356,2509185,0.0000,1.0
2022-12-21,21.31,21.55,21.025,21.08,20.7489005235602,2151008,0.0000,1.0
2022-12-20,21.18,21.57,21.11,21.16,20.8276439790576,1993156,0.0000,1.0
2022-12-19,21.62,21.71,21.14,21.31,20.9752879581152,2171621,0.0000,1.0
2022-12-16,22.04,22.39,21.305,21.65,21.3099476439791,9689833,0.0000,1.0
2022-12-15,22.7,22.85,22.39,22.6,22.2450261780105,2588427,0.0000,1.0
2022-12-14,22.77,23.52,22.69,22.97,22.6092146596859,3061705,0.0000,1.0
