timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,51.5,51.94,51.24,51.88,51.88,1798712,0.0000,1.0
2023-02-07,51.62,52.0,51.05,51.5,51.5,2862289,0.0000,1.0
2023-02-06,51.98,51.98,51.17,51.87,51.87,1494385,0.0000,1.0
2023-02-03,52.27,52.625,51.6,52.6,52.6,1698662,0.0000,1.0
2023-02-02,52.16,53.15,52.01,53.0,53.0,1831956,0.0000,1.0
2023-02-01,51.63,52.01,50.705,51.66,51.66,1590322,0.0000,1.0
2023-01-31,51.53,51.98,51.0,51.81,51.81,3041246,0.0000,1.0
2023-01-30,51.36,51.62,50.94,51.28,51.28,1571344,0.0000,1.0
2023-01-27,50.72,51.88,50.72,51.62,51.62,2027247,0.0000,1.0
2023-01-26,50.91,51.1562,50.15,50.75,50.75,1643950,0.0000,1.0
2023-01-25,50.6,50.91,50.22,50.81,50.81,2129609,0.0000,1.0
2023-01-24,50.61,51.15,50.38,51.0,51.0,1512402,0.0000,1.0
2023-01-23,49.0,50.78,48.74,50.69,50.69,1696807,0.0000,1.0
2023-01-20,48.46,49.32,48.11,49.28,49.28,2142841,0.0000,1.0
2023-01-19,48.56,48.97,48.2,48.36,48.36,2496113,0.0000,1.0
2023-01-18,49.27,49.5125,48.67,48.81,48.81,2237923,0.0000,1.0
2023-01-17,48.66,49.34,48.41,49.09,49.09,2015668,0.0000,1.0
2023-01-13,49.165,49.69,48.78,48.99,48.99,2259938,0.0000,1.0
2023-01-12,49.41,50.1,48.96,49.76,49.76,1540836,0.0000,1.0
2023-01-11,48.09,49.26,48.09,49.08,49.08,2088709,0.0000,1.0
2023-01-10,47.55,47.97,47.27,47.79,47.79,1306878,0.0000,1.0
2023-01-09,47.88,48.36,47.72,47.81,47.81,1502330,0.0000,1.0
2023-01-06,46.91,48.16,46.81,47.82,47.82,1619547,0.0000,1.0
2023-01-05,46.36,46.88,45.54,46.76,46.76,1479765,0.0000,1.0
2023-01-04,45.84,47.635,45.64,47.03,47.03,1937789,0.0000,1.0
2023-01-03,46.1,46.18,44.74,45.37,45.37,2252603,0.0000,1.0
2022-12-30,44.89,45.2,44.43,45.05,45.05,1450766,0.4500,1.0
2022-12-29,45.06,45.7,44.88,45.56,45.1094065934066,1578236,0.0000,1.0
2022-12-28,45.9,46.2,44.72,44.81,44.3668241758242,1502067,0.0000,1.0
2022-12-27,45.55,46.06,45.31,45.82,45.3668351648352,2346305,0.0000,1.0
2022-12-23,45.12,45.51,44.66,45.49,45.0400989010989,938121,0.0000,1.0
2022-12-22,44.49,45.29,44.19,45.26,44.8123736263736,1460209,0.0000,1.0
2022-12-21,45.06,45.74,44.65,44.84,44.3965274725275,1464577,0.0000,1.0
