timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,12.04,12.1,11.9,11.92,11.92,4907570,0.0000,1.0
2023-02-07,12.1,12.24,11.965,12.11,12.11,6456126,0.0000,1.0
2023-02-06,12.05,12.11,11.82,12.05,12.05,10046402,0.0000,1.0
2023-02-03,12.19,12.26,12.1,12.18,12.18,7055741,0.0000,1.0
2023-02-02,12.24,12.25,12.025,12.19,12.19,13719669,0.0000,1.0
2023-02-01,12.06,12.3993,12.046,12.26,12.26,9534300,0.0000,1.0
2023-01-31,11.94,12.195,11.91,12.16,12.16,12176278,0.0000,1.0
2023-01-30,11.83,12.01,11.78,11.94,11.94,8186937,0.0000,1.0
2023-01-27,11.9,12.09,11.815,11.89,11.89,9864495,0.0000,1.0
2023-01-26,11.56,11.66,11.465,11.64,11.64,5423381,0.0000,1.0
2023-01-25,11.58,11.67,11.405,11.64,11.64,7145238,0.0000,1.0
2023-01-24,11.76,11.79,11.58,11.6,11.6,5518540,0.0000,1.0
2023-01-23,11.62,11.85,11.58,11.82,11.82,7245567,0.0000,1.0
2023-01-20,11.5,11.63,11.34,11.6,11.6,7878317,0.0000,1.0
2023-01-19,11.4,11.67,11.26,11.52,11.52,9961315,0.0000,1.0
2023-01-18,11.82,11.85,11.38,11.47,11.47,10629034,0.0000,1.0
2023-01-17,11.5,11.86,11.495,11.84,11.84,9489626,0.0000,1.0
2023-01-13,11.58,11.61,11.43,11.54,11.54,14142627,0.0000,1.0
2023-01-12,11.76,11.83,11.59,11.66,11.66,12017744,0.0000,1.0
2023-01-11,11.84,11.87,11.36,11.77,11.77,13306777,0.0000,1.0
2023-01-10,12.0,12.03,11.76,11.84,11.84,7872549,0.0000,1.0
2023-01-09,12.12,12.19,11.98,12.01,12.01,12884491,0.0000,1.0
2023-01-06,11.92,12.11,11.8,12.1,12.1,7879740,0.0000,1.0
2023-01-05,11.67,11.88,11.495,11.84,11.84,9215505,0.0000,1.0
2023-01-04,11.5,11.78,11.43,11.75,11.75,10617547,0.0000,1.0
2023-01-03,11.19,11.47,11.19,11.38,11.38,10148279,0.0000,1.0
2022-12-30,11.09,11.18,10.96,11.13,11.13,6587990,0.0000,1.0
2022-12-29,10.87,11.22,10.87,11.13,11.13,6404752,0.0000,1.0
2022-12-28,11.04,11.13,10.85,10.92,10.92,5431389,0.0000,1.0
2022-12-27,11.03,11.08,10.94,11.04,11.04,4498096,0.0000,1.0
2022-12-23,10.72,11.025,10.71,11.01,11.01,6653827,0.0000,1.0
2022-12-22,10.8,10.81,10.555,10.75,10.75,5754598,0.0000,1.0
2022-12-21,10.85,10.97,10.815,10.85,10.85,5545438,0.0000,1.0
2022-12-20,10.975,11.01,10.73,10.74,10.74,7303757,0.0000,1.0
2022-12-19,10.95,11.14,10.87,10.91,10.91,9274721,0.0000,1.0
2022-12-16,11.08,11.1,10.89,10.96,10.96,25123120,0.0000,1.0
2022-12-15,11.26,11.34,11.125,11.14,11.14,6480278,0.0000,1.0
2022-12-14,11.29,11.425,11.205,11.32,11.32,7602847,0.0000,1.0
2022-12-13,11.35,11.45,11.27,11.34,11.34,12107375,0.0000,1.0
