timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,36.6,36.92,36.38,36.56,36.56,5334999,0.0000,1.0
2023-02-07,36.265,36.8099,35.96,36.74,36.74,6941927,0.0000,1.0
2023-02-06,37.0,37.0,36.07,36.28,36.28,6287152,0.0000,1.0
2023-02-03,37.7,37.75,36.92,37.09,37.09,5937252,0.0000,1.0
2023-02-02,37.3,37.955,37.17,37.71,37.71,6829112,0.0000,1.0
2023-02-01,36.815,37.43,36.165,37.18,37.18,7963686,0.0000,1.0
2023-01-31,36.5,36.89,35.945,36.86,36.86,12117083,0.0000,1.0
2023-01-30,37.04,37.14,36.51,36.53,36.53,5196119,0.0000,1.0
2023-01-27,36.68,37.53,36.639,37.17,37.17,5950834,0.0000,1.0
2023-01-26,36.48,36.56,35.99,36.5,36.5,4267920,0.0000,1.0
2023-01-25,35.97,36.44,35.81,36.28,36.28,5347591,0.0000,1.0
2023-01-24,36.06,36.16,35.625,35.9,35.9,6016616,0.0000,1.0
2023-01-23,35.95,36.73,35.82,36.67,36.67,6287562,0.0000,1.0
2023-01-20,35.65,35.94,35.1314,35.88,35.88,5606977,0.0000,1.0
2023-01-19,35.6,35.75,35.355,35.41,35.41,6165219,0.0000,1.0
2023-01-18,36.43,36.435,35.42,35.61,35.61,7128420,0.0000,1.0
2023-01-17,36.9,36.9,36.16,36.33,36.33,6820225,0.0000,1.0
2023-01-13,36.58,36.83,36.12,36.78,36.78,4178891,0.0000,1.0
2023-01-12,37.295,37.41,36.62,36.66,36.66,6056119,0.0000,1.0
2023-01-11,37.2,37.29,36.755,37.12,37.12,6098731,0.0000,1.0
2023-01-10,36.35,36.72,36.06,36.7,36.7,6341161,0.0000,1.0
2023-01-09,36.73,37.107,36.3,36.35,36.35,9435000,0.0000,1.0
2023-01-06,35.36,36.74,35.11,36.61,36.61,10009787,0.0000,1.0
2023-01-05,35.905,36.1799,34.3,35.19,35.19,19328231,0.0000,1.0
2023-01-04,37.595,37.945,36.975,37.49,37.49,7987036,0.0000,1.0
2023-01-03,37.85,37.85,36.88,37.19,37.19,7377223,0.0000,1.0
