timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,74.74,75.44,74.3,75.0,75.0,1650197,0.0000,1.0
2023-02-07,74.08,75.64,73.75,74.92,74.92,2332541,0.0000,1.0
2023-02-06,74.93,75.36,73.68,74.52,74.52,1987104,0.0000,1.0
2023-02-03,75.16,75.88,74.32,75.82,75.82,1648659,0.0000,1.0
2023-02-02,75.49,76.7225,74.82,76.27,76.27,1930798,0.0000,1.0
2023-02-01,74.97,75.42,73.53,74.88,74.88,2266486,0.0000,1.0
2023-01-31,74.38,75.1,73.86,75.04,75.04,2601955,0.0000,1.0
2023-01-30,74.86,75.28,74.46,74.52,74.52,2349641,0.0000,1.0
2023-01-27,74.3,75.57,73.47,75.19,75.19,2091629,0.0000,1.0
2023-01-26,74.18,74.405,73.63,74.18,74.18,1274776,0.0000,1.0
2023-01-25,74.7,74.84,73.405,73.86,73.86,1502814,0.0000,1.0
2023-01-24,73.83,74.92,73.5,74.88,74.88,1528134,0.0000,1.0
2023-01-23,72.72,74.52,72.2,74.28,74.28,2051207,0.0000,1.0
2023-01-20,71.83,72.91,71.29,72.83,72.83,1843721,0.0000,1.0
2023-01-19,71.29,72.28,71.29,71.65,71.65,2002237,0.0000,1.0
2023-01-18,72.21,72.49,71.36,71.65,71.65,2985070,0.0000,1.0
2023-01-17,71.29,72.09,71.05,71.71,71.71,1583042,0.0000,1.0
2023-01-13,71.55,71.95,70.83,71.15,71.15,1376855,0.0000,1.0
2023-01-12,72.0,72.73,71.58,72.1,72.1,2403154,0.0000,1.0
2023-01-11,69.6,71.985,69.5345,71.83,71.83,2144696,0.0000,1.0
2023-01-10,68.72,69.01,67.96,68.99,68.99,2091086,0.0000,1.0
2023-01-09,70.09,70.31,69.15,69.27,69.27,2207383,0.0000,1.0
2023-01-06,67.73,70.0,67.4,69.78,69.78,1685007,0.0000,1.0
2023-01-05,68.11,68.62,66.6902,67.39,67.39,1761767,0.0000,1.0
2023-01-04,67.69,69.41,67.49,68.84,68.84,2263692,0.0000,1.0
2023-01-03,66.51,67.175,65.48,66.95,66.95,3086360,0.0000,1.0
2022-12-30,65.64,66.01,64.77,65.55,65.55,1189669,0.0000,1.0
2022-12-29,65.47,66.24,64.75,65.83,65.83,1421999,0.0000,1.0
2022-12-28,66.07,66.62,64.625,64.84,64.84,1648275,0.0000,1.0
2022-12-27,65.06,66.35,64.91,65.94,65.94,1758024,0.0000,1.0
2022-12-23,64.39,65.08,63.79,65.07,65.07,1148144,0.0000,1.0
2022-12-22,63.17,64.57,63.0,64.53,64.53,1737888,0.0000,1.0
2022-12-21,64.07,65.0896,63.625,63.97,63.97,1777251,0.0000,1.0
2022-12-20,63.01,63.93,62.62,63.55,63.55,2380573,0.0000,1.0
2022-12-19,64.19,64.42,63.09,63.7,63.7,2413182,0.0000,1.0
2022-12-16,66.05,66.56,63.58,64.32,64.32,8289868,0.0000,1.0
2022-12-15,66.64,67.59,66.2801,67.12,67.12,2512503,0.0000,1.0
2022-12-14,66.21,68.58,65.99,67.35,67.35,3234416,0.0000,1.0
2022-12-13,67.82,68.065,65.17,66.26,66.26,4433504,0.0000,1.0
2022-12-12,66.69,66.89,64.99,65.73,65.73,3023784,0.0000,1.0
2022-12-09,65.61,67.06,65.285,66.67,66.67,2779473,0.0000,1.0
2022-12-08,65.2,66.67,65.03,65.7,65.7,3756808,0.0000,1.0
2022-12-07,64.79,65.98,64.02,65.0,65.0,10394978,0.0000,1.0
2022-12-06,70.52,70.52,67.93,68.2,68.2,3516491,0.0000,1.0
2022-12-05,70.51,71.167,69.95,70.19,70.19,2979113,0.0000,1.0
2022-12-02,70.39,71.53,69.66,71.08,71.08,2195061,0.0000,1.0
2022-12-01,71.45,72.2,70.56,70.99,70.99,3345668,0.0000,1.0
2022-11-30,69.1,71.53,68.62,71.03,71.03,9642543,0.0000,1.0
2022-11-29,66.89,69.24,66.81,69.2,69.2,2401826,0.0000,1.0
2022-11-28,69.19,69.84,66.29,66.64,66.64,3256692,0.0000,1.0
2022-11-25,69.45,69.73,68.985,69.53,69.53,956614,0.0000,1.0
2022-11-23,68.49,69.465,68.39,69.35,69.35,1577374,0.0000,1.0
2022-11-22,68.18,69.0,67.88,68.85,68.85,1885715,0.0000,1.0
2022-11-21,67.74,68.24,66.89,68.18,68.18,2267054,0.0000,1.0
2022-11-18,67.85,67.98,66.55,67.78,67.78,3804992,0.0000,1.0
2022-11-17,66.57,67.23,65.68,66.72,66.72,2407508,0.6100,1.0
2022-11-16,69.76,69.835,67.95,68.2,67.58211792663,2600130,0.0000,1.0
2022-11-15,71.16,71.22,69.11,69.91,69.2766255755235,2800193,0.0000,1.0
2022-11-14,70.99,71.57,70.14,70.29,69.6531828308332,2378397,0.0000,1.0
2022-11-11,70.31,71.73,70.31,71.58,70.931495618595,3012067,0.0000,1.0
2022-11-10,68.16,70.94,68.15,70.06,69.4252665973563,4430126,0.0000,1.0
2022-11-09,66.25,68.155,66.21,66.5,65.897519679192,4330426,0.0000,1.0
2022-11-08,65.37,68.54,64.83,66.51,65.9074290806476,5087366,0.0000,1.0
2022-11-07,61.75,62.32,60.73,61.46,60.9031813456112,2523920,0.0000,1.0
2022-11-04,58.9,61.42,58.715,60.95,60.3978018713798,3315024,0.0000,1.0
2022-11-03,58.16,58.88,57.1,58.4,57.8709045002228,2578404,0.0000,1.0
2022-11-02,60.1,60.73,58.81,58.86,58.3267369671766,2287805,0.0000,1.0
2022-11-01,60.71,61.09,59.86,60.1,59.5555027476608,1806365,0.0000,1.0
2022-10-31,60.81,61.92,60.66,61.04,60.4869864844794,2275537,0.0000,1.0
2022-10-28,60.01,61.69,59.65,61.5,60.9428189514332,2167793,0.0000,1.0
2022-10-27,60.95,61.66,59.67,59.94,59.3969523243725,2349352,0.0000,1.0
2022-10-26,60.51,61.295,60.17,60.4,59.8527847913263,3869899,0.0000,1.0
2022-10-25,57.81,60.42,57.81,60.36,59.8131471855042,2659853,0.0000,1.0
2022-10-24,58.27,58.565,56.66,57.51,56.9889677706817,3645660,0.0000,1.0
2022-10-21,58.9,59.065,57.21,57.88,57.3556156245359,5553045,0.0000,1.0
2022-10-20,59.32,59.91,58.6,58.98,58.4456497846428,1832455,0.0000,1.0
2022-10-19,59.98,60.51,59.13,59.33,58.7924788355859,1709100,0.0000,1.0
2022-10-18,60.81,61.55,60.03,60.67,60.1203386306253,2359862,0.0000,1.0
2022-10-17,58.75,60.08,58.22,59.98,59.4365899301946,2579615,0.0000,1.0
2022-10-14,59.9,59.9,57.74,57.84,57.3159780187138,2731174,0.0000,1.0
2022-10-13,56.98,59.25,56.5,59.17,58.6339284122976,2622996,0.0000,1.0
2022-10-12,57.92,58.31,56.92,57.91,57.3853438289024,2439475,0.0000,1.0
2022-10-11,57.605,58.435,56.5194,58.17,57.6429882667459,3054786,0.0000,1.0
2022-10-10,58.15,58.58,57.36,57.37,56.8502361503045,3556187,0.0000,1.0
2022-10-07,59.4,59.75,58.16,58.6,58.0690925293331,2773421,0.0000,1.0
2022-10-06,61.98,62.18,59.57,59.76,59.2185830981732,2802128,0.0000,1.0
2022-10-05,63.49,63.59,61.68,62.32,61.7553898707857,3007115,0.0000,1.0
2022-10-04,65.36,66.33,63.4,64.38,63.7967265706223,4330913,0.0000,1.0
2022-10-03,65.1,65.87,63.85,65.38,64.7876667161741,2560483,0.0000,1.0
2022-09-30,63.7,64.665,62.96,64.32,63.7372701618892,3208548,0.0000,1.0
2022-09-29,64.63,64.96,62.65,63.33,62.756239417793,2844377,0.0000,1.0
2022-09-28,64.98,65.93,64.04,65.42,64.8273043219962,1846487,0.0000,1.0
2022-09-27,66.39,66.8,64.17,64.31,63.7273607604337,2467223,0.0000,1.0
2022-09-26,66.41,66.465,64.6,65.77,65.1741333729393,3006018,0.0000,1.0
2022-09-23,67.37,68.57,65.97,66.71,66.1056171097579,2723929,0.0000,1.0
2022-09-22,68.71,68.825,67.24,68.25,67.6316649339076,1952331,0.0000,1.0
2022-09-21,70.04,70.87,68.97,68.99,68.3649606416159,2023341,0.0000,1.0
2022-09-20,70.38,70.68,69.13,69.56,68.9297965245804,2249466,0.0000,1.0
2022-09-19,71.98,72.98,70.84,71.24,70.5945759691074,2818422,0.0000,1.0
